#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor
0.0	0.9	96.7	-0.95	-0.33	0	0
0.5	0.9	96.7	-0.95	-0.33	0	0
1.5	0.2	96.1	-1.03	-0.39	0	0
2.5	-0.3	95.4	-0.98	-0.5	0	0
3.5	-0.9	94.9	-1.04	-0.6	0	0
4.5	-1.3	94.5	-1.09	-0.71	0	0
5.5	-1.6	94.4	-1.19	-0.74	0	0
6.5	-1.8	94.4	-0.95	-0.89	0	0
7.5	-1.7	94.3	-1.04	-0.78	0	0
8.5	-1.4	94.1	-0.42	-0.42	144	52
9.5	0.2	92.8	-0.5	-0.0	523	68
10.5	1.8	87.8	-0.69	0.11	653	68
11.5	3.8	79.0	-0.51	0.31	495	112
12.5	4.0	79.2	-0.87	0.22	215	143
13.5	4.4	75.5	0.23	0.45	131	129
14.5	4.4	78.9	-0.48	0.36	0	63
15.5	3.9	82.8	-0.0	-0.5	0	11
16.5	3.1	89.6	-1.5	-0.0	0	0
17.5	3.3	85.1	-1.3	-0.11	0	0
18.5	3.4	86.4	-0.58	-0.39	0	0
19.5	3.4	89.7	-0.54	-0.27	0	0
20.5	2.9	96.7	-0.79	0.12	0	0
21.5	2.9	98.6	-2.39	0.21	0	0
22.5	3.0	97.8	-2.2	0.12	0	0
23.5	2.6	99.7	-1.79	-0.19	0	0
24.5	2.5	100.0	-1.2	-0.1	0	0
25.5	2.5	100.0	-1.1	-0.1	0	0
26.5	2.6	100.0	-0.65	-0.47	0	0
27.5	2.7	98.7	-1.07	-0.55	0	0
28.5	2.7	98.9	-0.77	-0.22	0	0
29.5	2.8	98.9	-0.89	-0.11	0	0
30.5	2.5	100.0	-0.7	-0.0	0	0
31.5	2.6	100.0	-0.28	-0.28	0	4
32.5	2.7	99.6	-1.26	0.31	0	23
33.5	3.1	99.2	-0.79	0.1	0	53
34.5	3.6	98.2	-0.2	-0.0	0	94
35.5	3.7	97.5	-0.59	0.09	3	128
36.5	4.4	95.5	-0.6	-0.0	9	131
37.5	4.4	95.4	-0.69	-0.1	5	103
38.5	4.6	93.6	-1.08	0.19	17	76
39.5	3.7	96.9	-1.79	-0.19	0	22
40.5	3.9	96.2	-1.66	-0.38	0	0
41.5	3.3	96.5	-2.06	-1.24	0	0
42.5	3.3	94.9	-0.66	-0.76	0	0
43.5	2.5	97.6	-0.0	0.5	0	0
44.5	2.1	98.4	-1.0	-0.0	0	0
45.5	1.8	98.7	-1.89	0.2	0	0
46.5	0.6	100.0	-2.2	-0.12	0	0
47.5	0.7	98.7	-2.12	-0.57	0	0
48.5	-0.2	98.9	-2.87	-0.88	0	0
49.5	-0.1	99.5	-2.16	-0.79	0	0
50.5	0.3	98.3	-1.86	-0.4	0	0
51.5	0.2	98.4	-1.48	-0.21	0	0
52.5	-0.6	98.4	-1.96	-0.42	0	0
53.5	-1.4	98.6	-1.59	-0.61	0	0
54.5	-1.6	98.6	-1.73	-0.5	0	0
55.5	-2.9	98.2	-1.8	-0.0	0	5
56.5	-2.3	96.8	-2.17	-0.34	129	51
57.5	-1.0	93.3	-1.36	-0.32	474	73
58.5	1.3	85.3	-1.07	0.25	676	58
59.5	2.0	85.1	-0.62	0.32	700	63
60.5	3.5	77.0	-1.03	0.62	589	83
61.5	3.5	77.4	-0.76	0.48	649	57
62.5	3.2	78.6	-1.73	0.5	540	47
63.5	1.8	85.1	-1.75	0.4	89	32
64.5	0.5	88.9	-1.93	-0.52	0	0
65.5	0.4	87.0	-1.79	-0.22	0	0
66.5	-0.4	90.5	-1.24	-0.4	0	0
67.5	-1.1	91.3	-1.33	-0.43	0	0
68.5	-1.9	95.9	-1.08	-0.19	0	0
69.5	-2.4	95.3	-2.09	-0.18	0	0
70.5	-2.3	95.3	-1.6	0.11	0	0
71.5	-2.6	95.1	-1.85	-0.43	0	0
72.5	-2.4	93.7	-2.06	-0.4	0	0
73.5	-3.4	95.9	-1.9	-0.62	0	0
74.5	-2.7	94.1	-1.43	-0.44	0	0
75.5	-4.3	95.2	-1.41	-0.51	0	0
76.5	-4.0	93.4	-1.3	0.11	0	0
77.5	-4.4	95.1	-1.2	-0.0	0	0
78.5	-5.5	95.0	-1.67	-0.32	0	0
79.5	-5.8	93.9	-1.7	-0.12	0	0
80.5	-5.1	93.9	-1.7	-0.0	101	51
81.5	-3.6	92.4	-1.6	-0.11	390	81
