#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-1.8	89.2	-0.98	0.21	0	0	50	0.0	50
0.5	-1.8	89.2	-0.98	0.21	0	0	50	0.0	50
1.5	-3.0	87.4	-1.3	-0.0	0	0	42	0.0	50
2.5	-3.9	86.7	-1.26	0.34	0	0	33	0.0	50
3.5	-5.0	86.3	-1.68	0.24	0	0	25	0.0	50
4.5	-5.8	86.7	-2.24	0.52	0	0	17	0.0	50
5.5	-6.3	88.3	-1.98	0.24	0	0	8	0.0	50
6.5	-6.8	90.0	-1.73	0.5	0	0	0	0.0	50
7.5	-6.7	89.6	-2.26	0.4	0	0	2	0.0	50
8.5	-6.7	92.5	-1.97	0.35	194	51	4	0.0	50
9.5	-4.1	80.6	-1.85	0.43	425	83	6	0.0	50
10.5	-1.6	61.6	-1.54	0.72	587	80	8	0.0	50
11.5	-0.6	53.9	-1.31	0.73	423	145	10	0.0	30
12.5	0.1	50.9	-0.93	0.76	339	149	12	0.0	30
13.5	0.4	50.4	-1.54	1.12	465	89	12	0.0	30
14.5	0.0	51.6	-0.45	0.89	344	67	12	0.0	30
15.5	-2.1	60.2	-2.35	0.5	0	39	12	0.0	30
16.5	-3.1	67.0	-2.26	0.4	0	0	12	0.0	30
17.5	-3.7	73.9	-2.54	0.54	0	0	12	0.0	30
18.5	-3.8	78.3	-2.3	-0.08	0	0	12	0.0	30
19.5	-4.4	80.4	-1.7	0.03	0	0	15	0.0	30
20.5	-5.3	83.4	-1.8	0.13	0	0	17	0.0	30
21.5	-6.5	88.1	-2.43	0.6	0	0	19	0.0	30
22.5	-6.4	90.1	-2.64	0.56	0	0	21	0.0	30
23.5	-5.4	87.9	-1.99	0.17	0	0	23	0.0	30
24.5	-5.0	87.1	-0.06	0.8	0	0	25	0.0	30
25.5	-6.0	86.0	-1.18	0.21	0	0	27	0.0	30
26.5	-7.4	88.2	-1.48	0.24	0	0	29	0.0	30
27.5	-7.9	89.7	-2.17	0.34	0	0	31	0.0	30
28.5	-8.1	90.1	-2.04	0.51	0	0	33	0.0	30
29.5	-7.9	88.5	-2.63	0.61	0	0	35	0.0	30
30.5	-7.2	88.3	-2.38	0.33	0	0	38	0.0	30
31.5	-7.5	90.3	-1.99	0.21	0	0	38	0.0	30
32.5	-6.9	91.5	-2.17	0.38	38	53	38	0.0	30
33.5	-5.0	94.8	-1.79	0.19	154	112	38	0.0	30
34.5	-3.2	83.4	-1.07	0.25	100	150	38	0.0	30
35.5	-1.4	72.2	-1.14	0.63	400	142	38	0.0	30
36.5	-0.4	63.5	-0.66	0.61	433	134	38	0.0	30
37.5	0.1	60.0	-0.95	0.74	630	72	40	0.0	30
38.5	0.2	54.9	-0.82	0.57	446	60	42	0.0	14
39.5	-1.2	58.8	-0.52	0.3	0	36	44	0.0	14
40.5	-2.4	65.3	-1.27	0.27	0	0	46	0.0	14
41.5	-3.3	72.0	-2.49	-0.17	0	0	48	0.0	30
42.5	-3.5	72.3	-3.09	-0.22	0	0	50	0.0	30
43.5	-1.9	60.6	-2.1	0.04	0	0	54	0.0	30
44.5	-1.2	55.0	-2.28	-0.32	0	0	58	0.0	30
45.5	-1.4	52.6	-1.14	-0.39	0	0	62	0.0	30
46.5	-1.9	50.1	-0.79	-0.14	0	0	67	0.0	30
47.5	-2.2	48.9	-0.6	0.07	0	0	71	0.0	30
48.5	-2.7	52.5	-2.19	0.19	0	0	75	0.0	30
49.5	-0.8	47.1	-1.04	-0.6	0	0	79	0.0	30
50.5	-0.4	43.4	0.41	-0.69	0	0	83	0.0	30
51.5	0.7	40.6	-0.51	1.41	0	0	88	0.0	30
52.5	0.3	41.2	-1.57	0.87	0	0	92	0.0	30
53.5	0.2	40.8	-0.24	0.97	0	0	96	0.0	30
54.5	0.4	38.7	-0.65	2.42	0	0	100	0.0	30
55.5	0.7	36.3	-0.78	1.4	0	0	100	0.0	30
56.5	1.3	33.7	-0.36	2.07	21	51	100	0.0	30
57.5	2.1	28.1	-0.0	3.1	44	102	100	0.0	30
58.5	3.1	25.0	-1.76	2.18	120	153	100	0.0	30
59.5	3.1	25.0	1.26	1.68	59	172	100	0.0	30
60.5	3.5	26.0	-0.35	1.97	102	161	100	0.0	30
61.5	4.0	27.0	-0.35	1.97	433	111	83	0.0	30
62.5	4.2	28.0	-0.35	1.97	470	64	67	0.0	30
63.5	3.5	27.0	-1.5	2.6	78	34	50	0.0	30
64.5	2.0	28.0	-1.5	2.6	0	0	33	0.0	30
65.5	1.0	29.0	-1.5	2.6	0	0	17	0.0	30
66.5	0.0	31.0	-2.68	2.25	0	0	0	0.0	30
67.5	-0.5	32.0	-2.68	2.25	0	0	0	0.0	30
68.5	-1.0	33.5	-2.68	2.25	0	0	0	0.0	30
69.5	-1.6	34.3	-3.67	2.04	0	0	0	0.0	30
70.5	-2.4	36.0	-2.0	0.04	0	0	0	0.0	30
71.5	-4.9	43.5	-2.3	-0.0	0	0	0	0.0	30
72.5	-5.1	47.7	-1.99	-0.68	0	0	0	0.0	30
73.5	-5.9	51.8	-2.99	0.21	0	0	0	0.0	30
74.5	-6.5	55.4	-2.58	-1.09	0	0	0	0.0	30
75.5	-5.9	53.9	-1.46	-0.34	0	0	0	0.0	30
76.5	-8.1	59.9	-2.09	-0.18	0	0	0	0.0	30
77.5	-6.5	58.4	-1.37	0.29	0	0	0	0.0	30
78.5	-6.8	58.4	-0.58	0.55	0	0	0	0.0	30
79.5	-8.2	67.6	-1.2	-0.06	0	0	12	0.0	30
80.5	-6.7	71.5	-1.4	0.12	338	58	25	0.0	30
81.5	-3.7	58.0	-0.97	0.22	413	83	38	0.0	30
82.5	-1.4	50.8	-2.0	-0.1	717	91	50	0.0	30
83.5	-0.3	42.5	-0.73	0.53	832	72	62	0.0	30
84.5	1.3	43.1	-2.91	1.06	649	130	75	0.0	30
85.5	1.2	44.5	-2.94	1.5	178	136	79	0.0	30
86.5	0.9	52.9	-2.85	0.93	296	79	83	0.0	30
87.5	0.4	59.1	-2.83	1.26	115	36	88	0.0	30
88.5	-0.2	65.8	-3.51	0.81	0	0	92	0.0	30
89.5	0.5	61.3	-3.72	0.79	0	0	96	0.0	30
90.5	-0.3	66.0	0.72	1.87	0	0	100	0.0	30
91.5	-1.3	76.2	-0.36	-2.07	0	0	92	0.0	30
92.5	-0.3	36.2	2.09	-0.18	0	0	83	0.0	30
93.5	-1.2	26.8	2.45	0.48	0	0	75	0.0	30
94.5	-2.8	31.2	-6.63	1.9	0	0	67	0.0	30
95.5	-3.0	30.6	-6.89	0.36	0	0	58	0.0	30
96.5	-3.7	32.0	-7.76	1.51	0	0	50	0.0	30
97.5	-4.4	31.7	-6.98	2.13	0	0	42	0.0	30
98.5	-4.5	28.7	-3.2	3.31	0	0	33	0.0	30
99.5	-4.8	30.5	-3.05	2.74	0	0	25	0.0	30
100.5	-4.9	29.9	-2.37	2.29	0	0	17	0.0	30
101.5	-5.1	29.9	-4.11	2.67	0	0	8	0.0	30
102.5	-5.4	30.6	-4.63	1.6	0	0	0	0.0	30
103.5	-5.3	31.2	-3.81	1.78	0	0	0	0.0	30
104.5	-4.7	30.7	-2.72	0.68	72	53	0	0.0	30
105.5	-3.7	31.3	-4.2	1.87	400	91	0	0.0	30
106.5	-2.4	28.3	-4.5	3.16	684	75	0	0.0	30
107.5	-1.6	27.0	-3.55	3.8	731	69	0	0.0	30
108.5	-1.1	26.4	-3.02	3.6	671	76	0	0.0	30
109.5	-0.9	25.3	-2.3	2.64	599	73	0	0.0	30
110.5	-1.7	26.9	-3.81	2.2	469	59	0	0.0	30
111.5	-2.5	27.0	-4.3	1.32	191	33	0	0.0	30
112.5	-2.7	25.5	-2.21	0.94	0	0	0	0.0	30
113.5	-4.2	29.5	-3.56	0.5	0	0	0	0.0	30
114.5	-4.7	32.5	-5.1	1.46	0	0	0	0.0	30
115.5	-4.9	32.7	-5.14	1.67	0	0	0	0.0	30
116.5	-5.2	33.4	-5.23	2.01	0	0	0	0.0	30
117.5	-5.5	32.6	-4.58	3.71	0	0	0	0.0	30
118.5	-5.7	34.6	-4.2	3.4	0	0	0	0.0	30
119.5	-6.9	36.6	-4.29	2.58	0	0	0	0.0	30
120.5	-7.8	39.6	-3.51	0.81	0	0	0	0.0	30
121.5	-8.4	40.8	-3.6	-0.19	0	0	0	0.0	30
122.5	-9.0	43.3	-3.79	-0.26	0	0	0	0.0	30
123.5	-8.9	43.8	-3.46	-0.55	0	0	0	0.0	30
124.5	-9.1	45.6	-3.92	-1.2	0	0	0	0.0	30
125.5	-9.4	47.5	-3.88	-1.34	0	0	0	0.0	30
126.5	-9.1	46.1	-3.84	-1.1	0	0	0	0.0	30
127.5	-10.5	50.3	-3.42	-0.73	0	0	0	0.0	30
128.5	-8.7	48.7	-1.0	0.04	362	42	0	0.0	30
129.5	-5.9	42.6	0.3	0.0	641	62	0	0.0	30
130.5	-4.9	39.5	0.65	0.26	773	59	0	0.0	30
131.5	-4.3	37.6	0.87	0.68	791	62	0	0.0	30
132.5	-3.6	34.1	1.29	0.94	778	62	0	0.0	30
133.5	-3.0	29.1	0.47	0.65	704	61	0	0.0	30
134.5	-3.5	31.0	1.26	0.82	587	50	0	0.0	30
135.5	-4.8	35.8	0.76	1.17	280	31	0	0.0	30
136.5	-7.4	48.3	-2.45	0.48	0	0	0	0.0	30
137.5	-6.4	46.2	-1.83	0.52	0	0	0	0.0	30
138.5	-6.5	46.8	-1.63	0.47	0	0	0	0.0	30
139.5	-8.4	53.7	-0.18	0.36	0	0	2	0.0	30
140.5	-8.5	59.4	-0.5	-0.06	0	0	4	0.0	30
141.5	-7.9	58.9	-1.26	-0.31	0	0	6	0.0	30
142.5	-8.5	60.5	-0.8	0.04	0	0	8	0.0	30
143.5	-8.7	63.6	-0.8	-0.03	0	0	10	0.0	30
144.5	-9.1	64.2	-2.84	0.6	0	0	12	0.0	30
145.5	-10.2	67.9	-2.9	-0.15	0	0	15	0.0	30
146.5	-10.3	68.3	-1.79	0.16	0	0	17	0.0	30
147.5	-10.8	70.7	-2.67	-0.42	0	0	19	0.0	30
148.5	-11.0	71.7	-2.3	0.04	0	0	21	0.0	30
149.5	-11.4	71.7	-2.59	0.18	0	0	23	0.0	30
150.5	-11.6	74.3	-1.8	0.09	0	0	25	0.0	30
151.5	-11.7	76.8	-2.4	-0.0	0	0	27	0.0	30
152.5	-10.5	78.0	-2.1	0.04	232	51	29	0.0	30
153.5	-8.7	65.3	-1.97	0.35	439	75	31	0.0	30
154.5	-7.3	53.8	-1.89	0.65	481	100	33	0.0	30
155.5	-6.2	46.5	0.02	0.7	303	163	35	0.0	30
156.5	-5.3	43.7	0.8	0.41	312	158	38	0.0	30
157.5	-4.7	46.0	1.06	1.06	381	120	38	0.0	30
158.5	-5.1	48.0	0.75	1.06	99	96	38	0.0	30
159.5	-6.6	55.5	-1.17	0.76	11	35	38	0.0	30
160.5	-8.2	67.0	-3.13	0.66	0	0	38	0.0	30
161.5	-9.2	73.9	-3.31	0.76	0	0	38	0.0	14
162.5	-9.1	75.7	-3.0	-0.16	0	0	38	0.0	14
163.5	-9.3	76.2	-3.2	0.06	0	0	41	0.0	14
164.5	-8.7	75.4	-2.67	-0.38	0	0	44	0.0	14
165.5	-8.5	72.1	-2.7	-0.14	0	0	47	0.0	14
166.5	-9.1	73.1	-2.48	0.35	0	0	50	0.0	14
167.5	-8.8	70.5	-3.27	-0.46	0	0	53	0.0	14
168.5	-8.1	72.3	-2.6	0.14	0	0	56	0.0	14
169.5	-7.7	71.0	-2.44	-0.52	0	0	59	0.0	14
170.5	-7.3	68.5	-0.86	0.69	0	0	62	0.0	14
171.5	-7.7	68.3	-1.25	-0.36	0	0	66	0.0	14
172.5	-8.1	68.5	-1.59	0.61	0	0	69	0.0	14
173.5	-9.7	74.4	-2.29	0.24	0	0	72	0.0	30
174.5	-10.4	75.5	-2.95	0.52	0	0	75	0.0	30
175.5	-9.4	76.5	-3.49	0.87	0	4	75	0.0	30
176.5	-8.2	75.7	-1.67	0.32	19	52	75	0.0	30
177.5	-7.4	71.1	-2.5	-0.09	36	103	75	0.0	30
178.5	-6.3	64.2	-2.2	-0.04	71	154	75	0.0	30
179.5	-5.4	58.0	-1.68	0.27	55	176	75	0.0	30
180.5	-4.6	52.5	-1.08	0.53	96	185	75	0.0	30
181.5	-4.2	44.4	0.34	0.37	67	139	62	0.0	30
182.5	-4.2	44.2	-0.43	0.42	13	90	50	0.0	30
183.5	-5.3	51.9	-1.09	0.17	0	34	38	0.0	30
184.5	-6.5	59.4	-1.78	0.65	0	0	25	0.0	30
185.5	-7.9	72.3	-2.75	0.53	0	0	12	0.0	30
186.5	-6.7	72.9	-2.44	0.56	0	0	0	0.0	30
187.5	-6.9	75.1	-2.19	0.19	0	0	6	0.0	30
188.5	-7.5	76.8	-2.5	0.04	0	0	12	0.0	30
189.5	-7.3	78.2	-2.8	-0.15	0	0	19	0.0	30
190.5	-7.1	75.6	-1.0	-0.02	0	0	25	0.0	30
191.5	-8.3	77.3	-0.39	-0.08	0	0	31	0.0	30
192.5	-8.8	80.8	0.3	0.04	0	0	38	0.0	30
193.5	-8.8	80.3	-0.7	-0.0	0	0	44	0.0	30
194.5	-7.7	72.1	-2.17	0.75	0	0	50	0.0	30
195.5	-5.2	49.8	-2.38	1.06	0	0	56	0.0	30
196.5	-3.5	39.4	-3.88	2.07	0	0	62	0.0	30
197.5	-1.8	29.0	-5.17	3.23	0	0	69	0.0	30
198.5	-1.4	26.9	-6.55	4.93	0	0	75	0.0	30
199.5	-1.8	25.9	-3.2	2.24	0	7	62	0.0	30
200.5	-1.6	26.1	-4.71	0.92	253	52	50	0.0	30
201.5	-0.4	25.6	-4.22	2.06	560	64	38	0.0	30
202.5	0.5	24.8	-4.63	3.49	587	85	25	0.0	30
203.5	1.5	23.4	-3.39	4.33	627	90	12	0.0	30
204.5	2.1	23.8	-3.55	4.71	692	75	0	0.0	30
205.5	2.0	24.0	-4.24	5.06	591	78	0	0.0	30
206.5	1.7	23.0	-3.36	4.97	505	61	0	0.0	30
207.5	0.6	23.0	-3.61	5.16	328	32	0	0.0	30
208.5	-0.1	23.5	-3.96	4.9	0	0	0	0.0	30
209.5	-0.2	23.5	-4.72	4.89	0	0	0	0.0	30
210.5	-0.1	23.4	-4.03	5.97	0	0	0	0.0	30
211.5	-0.1	24.9	-4.29	3.6	0	0	0	0.0	30
212.5	-2.9	30.6	-2.8	0.05	0	0	0	0.0	30
213.5	-2.3	32.3	-3.8	1.24	0	0	0	0.0	30
214.5	-1.8	33.5	-3.59	1.99	0	0	0	0.0	30
215.5	-2.4	36.4	-3.36	0.53	0	0	0	0.0	30
216.5	-0.7	34.8	-4.16	3.75	0	0	0	0.0	30
217.5	-1.5	35.4	-4.48	3.02	0	0	0	0.0	30
218.5	-3.0	40.4	-4.09	1.33	0	0	0	0.0	30
219.5	-3.8	42.9	-2.9	0.1	0	0	0	0.0	30
220.5	-3.6	60.7	3.46	-0.55	0	0	0	0.0	30
221.5	-5.4	67.5	1.21	-0.88	0	0	0	0.0	30
222.5	-7.3	75.1	-0.07	0.7	0	0	0	0.0	30
223.5	-8.3	82.2	-0.92	0.39	0	0	0	0.0	30
224.5	-7.5	84.7	-0.4	0.45	264	49	0	0.0	30
225.5	-3.7	72.3	0.78	0.18	493	71	0	0.0	30
226.5	-1.3	67.0	1.21	0.7	406	136	0	0.0	30
227.5	-0.8	64.2	1.43	1.25	396	156	0	0.0	30
228.5	-0.2	59.2	1.54	0.93	400	153	0	0.0	30
229.5	0.3	53.6	1.63	0.47	521	89	0	0.0	30
230.5	-0.2	51.2	1.11	0.67	306	85	0	0.0	30
231.5	-1.8	54.9	-0.65	1.01	154	44	0	0.0	30
232.5	-3.2	62.9	-2.4	0.69	0	0	0	0.0	30
233.5	-4.3	67.8	-0.98	0.21	0	0	0	0.0	30
234.5	-6.0	76.8	-1.67	0.3	0	0	0	0.0	30
235.5	-6.9	84.9	-1.5	0.03	0	0	0	0.0	30
236.5	-7.1	86.5	-0.77	0.21	0	0	0	0.0	30
237.5	-7.4	86.2	-0.29	-0.27	0	0	0	0.0	30
238.5	-8.4	89.1	-1.34	0.41	0	0	0	0.0	30
239.5	-8.2	89.8	-1.54	0.41	0	0	0	0.0	30
240.5	-9.4	91.0	-1.66	0.38	0	0	0	0.0	30
241.5	-9.3	91.0	-1.5	-0.0	0	0	0	0.0	30
242.5	-9.5	90.2	-1.63	0.5	0	0	0	0.0	30
243.5	-9.5	90.5	-1.39	0.15	0	0	0	0.0	30
244.5	-10.3	91.3	-1.37	0.27	0	0	0	0.0	30
245.5	-10.9	91.4	-1.48	0.26	0	0	0	0.0	30
246.5	-10.7	91.7	-1.94	0.48	0	0	0	0.0	30
247.5	-11.0	91.7	-1.83	0.52	0	8	0	0.0	30
248.5	-9.2	92.4	-2.14	0.5	265	52	0	0.0	30
249.5	-5.4	79.2	-1.53	0.47	620	59	0	0.0	30
250.5	-2.5	57.5	-0.82	0.57	712	66	0	0.0	30
251.5	-1.5	50.1	-0.5	0.87	735	70	0	0.0	30
252.5	-1.0	42.2	0.19	0.88	703	74	0	0.0	30
253.5	-0.1	38.4	-0.12	0.99	635	72	0	0.0	30
254.5	-0.2	37.7	-0.92	1.06	500	64	0	0.0	30
255.5	-1.9	44.3	-0.79	0.62	286	37	0	0.0	30
256.5	-3.7	55.7	-1.87	0.72	0	0	0	0.0	30
257.5	-5.3	70.6	-1.88	0.3	0	0	0	0.0	30
258.5	-5.6	77.8	-1.89	-0.17	0	0	0	0.0	30
259.5	-6.1	80.1	-1.8	-0.09	0	0	0	0.0	30
260.5	-7.1	82.9	-1.9	-0.07	0	0	0	0.0	30
261.5	-8.1	85.0	-1.67	0.3	0	0	0	0.0	30
262.5	-8.8	86.8	-2.18	0.27	0	0	0	0.0	30
263.5	-8.9	87.7	-2.55	0.5	0	0	0	0.0	30
264.5	-8.9	87.5	-2.39	0.25	0	0	0	0.0	30
265.5	-8.8	86.8	-1.67	0.3	0	0	0	0.0	30
266.5	-9.8	89.2	-1.0	-0.05	0	0	0	0.0	30
267.5	-10.0	89.4	-1.89	0.17	0	0	0	0.0	30
268.5	-10.7	90.1	-2.19	0.23	0	0	0	0.0	30
269.5	-11.0	89.1	-1.89	0.23	0	0	0	0.0	30
270.5	-11.0	90.2	-2.05	0.47	0	0	0	0.0	30
271.5	-11.3	89.9	-1.87	0.33	0	8	0	0.0	30
272.5	-10.0	93.1	-2.06	0.4	223	54	0	0.0	30
273.5	-6.4	79.3	-2.08	0.72	565	65	0	0.0	30
274.5	-3.8	58.4	-1.43	0.73	672	72	0	0.0	30
275.5	-2.3	51.3	-1.1	1.02	691	79	0	0.0	30
276.5	-1.7	52.0	-0.31	0.85	656	93	0	0.0	30
277.5	-1.4	43.2	-0.12	1.09	402	125	10	0.0	30
278.5	-1.1	41.2	-0.48	0.88	506	73	21	0.0	30
279.5	-1.3	45.0	-1.05	0.58	304	49	31	0.0	30
280.5	-1.7	47.4	-1.03	0.39	0	0	42	0.0	30
281.5	-3.0	58.4	-1.46	0.34	0	0	52	0.0	30
282.5	-3.8	65.2	-1.72	0.53	0	0	62	0.0	30
283.5	-4.9	75.5	-1.4	0.12	0	0	60	0.0	30
284.5	-5.1	80.1	-1.7	-0.12	0	0	58	0.0	30
285.5	-6.3	82.2	-1.6	0.06	0	0	56	0.0	30
286.5	-5.9	83.2	-2.19	-0.19	0	0	54	0.0	30
287.5	-5.7	78.6	-2.39	0.17	0	0	52	0.0	30
288.5	-5.4	76.6	-2.78	-0.29	0	0	50	0.0	30
289.5	-5.6	75.0	-1.29	0.14	0	0	48	0.0	30
290.5	-5.8	74.7	-1.39	0.2	0	0	46	0.0	30
291.5	-7.1	78.4	-1.6	0.06	0	0	44	0.0	30
292.5	-7.9	82.9	-2.08	0.29	0	0	42	0.0	30
293.5	-7.5	83.9	-2.29	0.2	0	0	40	0.0	30
294.5	-7.9	85.6	-2.1	0.07	0	0	38	0.0	30
295.5	-7.6	83.4	-2.1	0.11	0	9	48	0.0	30
296.5	-6.8	82.9	-1.6	0.06	0	50	58	0.0	30
297.5	-5.2	79.0	-1.8	0.06	3	96	69	0.0	30
298.5	-3.8	70.6	-0.78	0.19	11	140	79	0.0	30
299.5	-2.4	58.1	0.9	-0.63	26	146	90	0.0	30
300.5	-1.6	53.5	0.59	0.11	11	137	100	0.0	30
301.5	-1.2	56.8	0.7	0.06	0	106	100	0.0	30
