#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	1.3	95.5	-1.13	0.41	0	0	50	0.6	14
0.5	1.3	95.5	-1.13	0.41	0	0	50	0.6	14
1.5	1.8	95.2	-0.95	0.31	0	0	58	0.7	14
2.5	2.1	94.9	0.07	-0.29	0	0	67	0.7	14
3.5	2.4	94.9	-0.03	-0.4	0	0	75	0.4	14
4.5	2.5	94.9	-0.03	0.2	0	0	83	0.3	14
5.5	2.4	95.0	-0.64	0.48	0	0	92	0.2	14
6.5	2.3	95.1	-0.61	0.35	0	0	100	0.4	14
7.5	2.2	95.2	-1.78	0.28	0	0	100	0.1	14
8.5	2.1	95.3	-2.07	0.33	0	8	100	0.1	14
9.5	2.3	95.2	-1.77	0.34	0	21	100	0.0	14
10.5	2.6	95.4	-1.47	0.31	0	28	100	0.0	14
11.5	2.7	95.4	-1.55	0.39	0	24	100	0.0	14
12.5	3.0	95.5	-1.38	0.22	0	39	100	0.0	14
13.5	3.5	94.3	-1.7	-0.0	0	77	100	0.0	14
14.5	3.9	88.5	-0.49	0.11	0	50	100	0.0	14
15.5	3.7	88.4	0.44	-0.54	0	13	100	0.0	14
16.5	3.5	90.5	-0.59	1.16	0	0	100	0.0	14
17.5	3.1	91.7	-1.99	0.17	0	0	100	0.0	14
18.5	3.0	92.3	-1.1	0.02	0	0	100	0.0	14
19.5	2.9	92.7	-1.59	-0.14	0	0	99	0.0	14
20.5	2.8	93.7	-2.1	0.11	0	0	98	0.0	14
21.5	2.9	93.7	-2.5	0.04	0	0	97	0.0	14
22.5	2.8	93.3	-1.4	0.07	0	0	96	0.0	14
23.5	2.5	92.4	-2.59	-0.18	0	0	95	0.0	14
24.5	2.3	85.0	-2.54	0.54	0	0	94	0.0	14
25.5	2.0	84.0	-2.1	-0.15	0	0	93	0.0	14
26.5	2.1	78.4	-2.33	0.58	0	0	92	0.0	14
27.5	1.7	80.7	-3.3	-0.06	0	0	91	0.0	14
28.5	1.5	81.9	-3.73	-0.72	0	0	90	0.0	14
29.5	2.0	75.2	-2.79	-0.8	0	0	89	0.0	14
30.5	2.1	73.3	-3.06	0.94	0	0	88	0.0	14
31.5	1.7	76.5	-2.75	0.53	0	5	90	0.0	14
32.5	2.0	78.4	-2.29	-0.24	0	15	92	0.0	14
33.5	2.5	76.5	-0.41	0.57	0	32	94	0.0	14
34.5	2.7	78.2	-2.89	1.11	0	61	96	0.0	14
35.5	2.6	85.6	-2.0	0.1	0	76	98	0.0	14
36.5	3.3	77.9	-2.08	0.26	0	90	100	0.0	14
37.5	3.6	74.8	-1.36	-0.32	0	60	100	0.0	14
38.5	3.5	75.0	-1.01	-0.65	0	20	100	0.0	14
