#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor
0.0	2.5	73.8	-1.1	2.47	0	0
0.5	2.5	73.8	-1.1	2.47	0	0
1.5	2.9	68.6	-2.51	1.45	0	0
2.5	3.2	65.2	-3.08	0.32	0	0
3.5	3.4	62.1	-3.04	-0.99	0	0
4.5	3.5	61.1	-2.8	-1.55	0	0
5.5	3.5	61.9	-2.71	-1.5	0	0
6.5	3.3	63.4	-2.67	-1.36	0	0
7.5	3.5	62.6	-3.03	-1.54	0	0
8.5	4.2	59.0	-3.5	-1.48	338	57
9.5	4.3	58.4	-3.9	-1.27	369	77
10.5	4.4	57.8	-2.99	-0.8	129	136
11.5	5.3	54.5	-3.28	-0.88	478	132
12.5	5.2	54.8	-3.65	-1.05	253	141
13.5	5.3	54.4	-2.81	-0.7	417	118
14.5	4.4	57.2	-2.89	-1.11	45	82
15.5	4.1	59.0	-2.88	-1.4	178	38
16.5	3.5	60.9	-2.94	-1.5	0	0
17.5	3.4	61.0	-3.3	-1.68	0	0
18.5	3.4	61.1	-3.06	-1.49	0	0
19.5	3.5	60.4	-3.88	-2.07	0	0
20.5	3.4	61.6	-4.15	-2.21	0	0
21.5	3.4	61.4	-3.17	-1.48	0	0
22.5	3.3	62.7	-2.76	-0.9	0	0
23.5	2.5	71.2	-2.39	-0.73	0	0
24.5	1.4	85.4	-2.39	-1.02	0	0
25.5	1.2	85.9	-2.92	-1.3	0	0
26.5	1.0	89.9	-2.94	-1.91	0	0
27.5	0.7	95.0	-2.85	-1.85	0	0
28.5	0.6	95.7	-2.14	-1.09	0	0
29.5	0.2	99.3	-1.47	-0.62	0	0
30.5	0.2	97.4	-1.64	-0.73	0	0
31.5	0.4	94.9	-2.01	-1.31	0	0
32.5	0.5	95.6	-1.31	-0.92	0	18
33.5	0.8	92.5	-2.31	-1.39	0	23
34.5	0.5	96.4	-1.93	-0.82	0	34
35.5	0.7	95.2	-2.41	-1.23	0	99
36.5	0.8	92.1	-2.19	-1.21	0	58
37.5	1.2	87.1	-1.68	-1.09	0	55
38.5	1.2	86.4	-1.72	-1.2	0	37
39.5	1.3	82.9	-2.6	-2.03	0	9
40.5	0.8	89.4	-3.22	-2.01	0	0
41.5	0.3	94.9	-3.48	-2.17	0	0
42.5	0.1	98.1	-1.47	-0.31	0	0
43.5	0.0	94.3	-1.15	-0.96	0	0
44.5	-0.1	85.9	0.39	-2.77	0	0
45.5	0.1	81.9	0.38	-2.67	0	0
46.5	-0.3	84.3	0.73	-3.42	0	0
47.5	-0.5	85.5	2.52	-2.71	0	0
48.5	-0.4	82.7	3.44	-1.61	0	0
49.5	-0.8	86.8	3.11	-1.38	0	0
50.5	-0.7	85.0	2.67	-1.13	0	0
51.5	-0.9	84.7	1.73	-0.5	0	0
52.5	-0.8	82.7	3.01	-0.75	0	0
53.5	-0.9	77.0	2.97	-1.45	0	0
54.5	-1.8	79.7	0.75	-1.85	0	0
55.5	-1.9	77.6	0.31	-1.47	0	0
56.5	-1.3	82.2	0.1	-0.69	45	60
