#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor
0.0	0.6	83.7	0.31	1.47	0	0
0.5	0.6	83.7	0.31	1.47	0	0
1.5	0.3	87.8	-0.58	1.05	0	0
2.5	0.1	90.4	-0.47	0.88	0	0
3.5	-0.1	93.4	-0.34	0.61	0	0
4.5	-0.2	94.8	-0.23	0.45	0	0
5.5	-0.3	95.0	0.12	0.38	0	0
6.5	-0.2	95.3	0.24	0.32	0	0
7.5	-0.3	94.8	0.3	0.02	0	0
8.5	-0.7	95.8	0.14	-0.27	28	46
9.5	0.3	89.4	0.21	0.21	228	95
10.5	1.2	72.9	0.57	0.57	542	102
11.5	1.2	73.5	1.76	1.14	286	152
12.5	1.6	68.5	2.54	0.92	124	161
13.5	0.8	79.8	3.82	0.81	16	123
14.5	-0.5	96.7	6.02	0.95	0	41
15.5	-0.9	85.0	4.6	-0.16	199	24
16.5	-1.2	67.0	3.24	-1.31	0	0
17.5	-1.0	59.0	2.68	-1.55	0	0
18.5	-1.3	66.7	1.97	-0.72	0	0
19.5	-1.8	74.5	3.82	-0.81	0	0
20.5	-2.0	82.4	3.29	-0.29	0	0
21.5	-2.2	87.2	4.07	-0.5	0	0
22.5	-2.4	82.4	4.06	-0.57	0	0
23.5	-2.2	75.9	3.14	-1.02	0	0
24.5	-2.1	72.2	3.15	-1.27	0	0
25.5	-2.5	71.3	1.97	-0.72	0	0
26.5	-3.1	77.3	1.28	-0.23	0	0
27.5	-3.2	72.9	1.54	-1.43	0	0
28.5	-4.3	74.1	0.68	-1.34	0	0
29.5	-4.3	71.1	-0.09	-1.3	0	0
30.5	-4.8	70.1	-0.1	-1.1	0	0
31.5	-5.3	71.7	0.0	-0.8	0	0
32.5	-4.3	69.8	-0.21	-0.21	515	35
33.5	-2.4	55.5	-0.0	0.5	706	62
34.5	-1.5	48.7	-0.29	0.75	792	78
35.5	-0.5	37.2	-0.31	0.74	795	91
36.5	-0.1	37.6	-0.1	0.69	820	71
37.5	0.0	35.4	-0.1	0.69	729	76
38.5	-0.5	34.7	-0.18	0.36	458	67
39.5	-1.1	49.7	-0.0	0.3	210	34
40.5	-1.4	69.0	-0.14	-0.27	0	0
41.5	-1.4	64.7	-0.12	-0.48	0	0
42.5	-1.0	65.7	0.35	-0.35	0	0
43.5	-0.9	63.9	0.48	-0.36	0	0
44.5	-1.1	72.8	-0.33	-0.22	0	0
45.5	-0.8	70.6	-0.36	-0.18	0	0
46.5	-0.8	73.6	-0.28	-0.28	0	0
47.5	0.2	77.2	0.3	0.0	0	0
48.5	-0.2	74.7	0.0	-0.2	0	0
49.5	0.0	75.4	0.14	-0.27	0	0
50.5	0.5	75.4	-0.5	-0.5	0	0
51.5	0.5	71.5	-1.23	-1.03	0	0
52.5	1.0	73.0	-1.13	-0.82	0	0
53.5	1.6	65.4	-1.63	-1.32	0	0
54.5	2.2	60.0	-2.18	-1.59	0	0
55.5	2.4	65.1	-1.01	-0.82	0	0
56.5	2.9	67.8	-0.61	-0.51	424	34
57.5	5.3	44.1	-2.17	-0.38	576	57
58.5	5.9	42.3	-0.77	0.22	660	68
59.5	6.5	39.3	-0.8	0.41	672	84
60.5	7.0	34.1	-1.9	0.1	753	85
61.5	7.7	35.0	-2.0	-0.0	728	57
62.5	6.6	43.9	-2.24	-0.52	612	49
63.5	4.7	57.7	-1.68	-1.09	219	37
64.5	4.7	58.0	-0.93	-1.54	0	0
65.5	4.3	59.6	-0.63	-1.14	0	0
66.5	4.1	58.2	-1.11	-1.42	0	0
67.5	4.0	58.6	-0.98	-1.26	0	0
68.5	3.8	58.9	-0.59	-0.68	0	0
69.5	3.9	58.7	-0.95	-0.74	0	0
70.5	3.8	59.0	-0.92	-0.92	0	0
71.5	3.7	57.8	-0.68	-0.87	0	0
72.5	3.1	58.8	-0.72	-0.83	0	0
73.5	3.4	57.4	-0.95	-0.74	0	0
74.5	3.7	56.3	-0.74	-0.95	0	0
75.5	3.6	56.2	-0.53	-0.73	0	0
76.5	3.2	59.6	-1.03	-0.62	0	0
77.5	3.4	57.8	-0.45	-0.66	0	0
78.5	3.6	56.1	1.38	-0.59	0	0
79.5	5.1	43.6	3.63	-0.71	0	0
80.5	3.9	53.2	1.9	0.62	0	27
81.5	2.9	63.1	1.41	-0.51	0	43
82.5	2.7	72.4	-0.5	-0.98	2	113
83.5	3.2	68.2	-0.5	-0.0	188	155
84.5	2.6	68.4	0.14	0.58	7	129
85.5	2.6	73.0	0.0	-0.6	5	125
86.5	2.8	79.5	1.09	0.12	7	91
87.5	2.8	81.6	1.19	0.12	0	28
88.5	3.2	81.1	2.2	0.12	0	0
89.5	2.7	85.9	2.4	0.08	0	0
90.5	2.2	89.5	1.7	0.12	0	0
91.5	2.1	84.9	1.68	-0.64	0	0
92.5	1.9	86.1	0.11	-1.3	0	0
93.5	2.1	82.8	0.88	-1.21	0	0
94.5	2.8	75.6	2.01	-1.31	0	0
95.5	2.7	77.7	3.72	-1.73	0	0
96.5	2.3	82.5	4.13	-1.18	0	0
97.5	2.3	84.0	2.8	-1.08	0	0
98.5	2.1	84.8	2.96	-0.47	0	0
99.5	2.1	84.7	2.76	-0.9	0	0
100.5	1.5	89.4	4.61	-0.9	0	0
101.5	1.4	92.5	4.87	-0.51	0	0
102.5	1.4	91.9	4.29	-0.99	0	0
103.5	1.4	92.1	4.7	-1.0	0	0
104.5	1.5	91.3	4.61	-0.9	0	32
105.5	1.7	89.1	4.59	-1.4	0	71
106.5	2.1	86.0	3.71	-1.2	0	96
107.5	2.6	79.7	3.67	-0.98	0	102
108.5	2.9	76.3	3.75	-1.08	0	110
109.5	3.1	75.4	2.53	-0.58	1	112
110.5	2.8	79.1	0.78	-0.78	1	80
111.5	2.4	80.5	0.87	-0.97	16	37
112.5	2.1	81.4	1.72	-1.2	0	0
113.5	2.1	80.9	1.39	-0.98	0	0
114.5	2.2	79.8	3.19	-0.22	0	0
115.5	1.6	88.3	4.4	0.0	0	0
116.5	1.5	91.8	4.28	-0.38	0	0
117.5	1.4	92.9	4.27	-0.52	0	0
118.5	0.9	96.2	5.2	0.0	0	0
119.5	1.0	96.7	4.3	0.08	0	0
120.5	1.0	96.7	3.9	0.07	0	0
121.5	1.0	96.1	3.2	0.0	0	0
122.5	0.9	96.3	2.89	-0.2	0	0
123.5	0.9	96.6	2.89	-0.2	0	0
124.5	0.7	96.8	3.1	0.0	0	0
125.5	0.5	97.1	2.7	0.0	0	0
126.5	0.5	97.1	2.8	0.0	0	0
127.5	0.6	96.6	2.6	0.0	0	0
128.5	0.5	97.2	2.4	0.0	0	15
129.5	0.7	96.2	1.8	-0.09	0	36
130.5	0.8	93.3	0.9	0.0	0	68
131.5	0.7	94.4	1.1	0.0	0	69
132.5	0.9	93.0	1.4	0.1	0	60
133.5	0.8	92.6	3.6	0.13	0	68
134.5	1.0	92.1	3.09	0.22	0	39
135.5	1.0	89.2	3.59	0.31	0	12
136.5	0.6	95.6	4.5	0.96	0	0
137.5	0.7	94.2	4.19	-0.22	0	0
138.5	0.7	89.5	3.35	0.59	0	0
139.5	0.8	81.8	2.65	-0.52	0	0
140.5	0.6	76.8	2.67	-1.13	0	0
141.5	-0.3	72.8	3.42	-1.11	0	0
142.5	-0.8	69.1	2.8	-0.1	0	0
143.5	-1.1	75.1	2.29	0.2	0	0
144.5	-1.4	94.4	2.96	0.91	0	0
145.5	-1.4	92.1	2.6	-0.14	0	0
146.5	-0.8	64.2	3.41	1.89	0	0
147.5	-1.5	74.7	2.78	0.29	0	0
148.5	-1.6	72.4	2.78	0.29	0	0
149.5	-1.7	63.4	2.19	-0.23	0	0
150.5	-1.9	56.6	2.7	-0.72	0	0
151.5	-2.4	61.6	1.92	-1.61	0	0
152.5	-2.4	62.8	1.63	-1.32	64	52
153.5	-1.8	58.9	2.25	-1.1	122	107
154.5	-1.6	57.6	1.67	0.32	300	129
155.5	-1.5	55.9	1.99	0.93	354	150
156.5	-1.9	62.0	2.96	0.91	259	157
157.5	-2.5	67.3	2.63	0.96	60	138
158.5	-3.9	84.0	1.1	0.49	41	93
159.5	-4.1	92.3	0.54	0.27	75	45
160.5	-5.5	95.1	0.4	0.3	0	0
161.5	-6.0	96.0	-0.4	-0.0	0	0
162.5	-5.9	96.1	-0.4	0.3	0	0
163.5	-6.0	95.9	-0.33	0.22	0	0
164.5	-6.4	96.0	-0.27	0.14	0	0
165.5	-6.5	96.2	-0.4	-0.0	0	0
166.5	-6.3	95.9	-0.69	-0.1	0	0
167.5	-6.3	95.7	-0.6	-0.0	0	0
168.5	-6.2	95.2	-0.4	-0.0	0	0
169.5	-6.0	94.8	-0.21	0.21	0	0
170.5	-4.2	91.9	0.11	-0.79	0	0
171.5	-4.5	93.9	-0.27	-0.14	0	0
172.5	-4.6	94.9	-0.0	0.3	0	0
173.5	-3.2	92.0	0.83	0.35	0	0
