#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	PRECIPITATION	ALBEDO
0.0	-4.7	77.8	-4.5	-1.37	0	0	0.0	50
0.5	-4.7	77.8	-4.5	-1.37	0	0	0.0	50
1.5	-3.2	77.2	-4.45	-1.8	0	0	0.0	50
2.5	-2.2	76.7	-4.7	-1.71	0	0	0.0	50
3.5	-1.1	75.7	-4.36	-1.76	0	0	0.0	50
4.5	-0.6	75.0	-4.45	-1.8	0	0	0.0	50
5.5	-0.5	74.0	-4.64	-1.87	0	0	0.0	50
6.5	-0.3	72.4	-4.42	-1.61	0	0	0.0	50
7.5	0.2	69.1	-4.31	-2.1	0	0	0.0	50
8.5	0.5	66.5	-4.38	-1.42	59	66	0.0	50
9.5	2.1	60.8	-4.56	-1.14	414	180	0.0	50
10.5	3.1	56.2	-4.74	-0.75	715	98	0.0	50
11.5	3.5	54.1	-5.07	-0.53	652	138	0.0	50
12.5	2.7	56.9	-4.71	-0.92	130	151	0.0	50
13.5	2.8	55.9	-4.38	-0.46	169	134	0.0	50
14.5	2.9	54.4	-4.71	-0.92	388	103	0.0	50
15.5	2.3	54.1	-4.64	-1.87	98	28	0.0	50
16.5	2.0	55.2	-4.67	-1.79	0	0	0.0	50
17.5	1.9	54.7	-4.4	-2.15	0	0	0.0	50
18.5	1.6	55.1	-3.62	-1.69	0	0	0.0	50
19.5	1.5	55.8	-3.29	-1.9	0	0	0.0	50
20.5	1.5	56.0	-3.12	-1.8	0	0	0.0	50
21.5	1.1	57.9	-3.44	-2.23	0	0	0.0	50
22.5	1.0	59.4	-3.17	-1.91	0	0	0.0	50
23.5	0.9	59.1	-2.71	-1.7	0	0	0.0	50
24.5	0.8	59.2	-2.68	-1.74	0	0	0.0	50
25.5	0.8	57.4	-2.6	-1.5	0	0	0.0	50
26.5	0.5	57.9	-2.31	-1.39	0	0	0.0	50
27.5	0.9	55.1	-2.63	-1.64	0	0	0.0	50
28.5	0.2	57.3	-2.08	-1.2	0	0	0.0	50
29.5	0.1	57.5	-2.23	-1.14	0	0	0.0	50
30.5	0.6	54.7	-2.8	-1.75	0	0	0.0	50
31.5	0.2	56.8	-2.31	-1.39	0	0	0.0	50
32.5	0.8	54.7	-2.94	-1.7	21	43	0.0	50
33.5	1.6	53.2	-2.45	-0.48	200	100	0.0	50
34.5	2.4	53.0	-3.29	-0.29	681	87	0.0	50
35.5	2.8	53.3	-3.42	-0.73	623	107	0.0	50
36.5	3.4	51.1	-3.14	-0.61	653	148	0.0	50
37.5	3.1	51.8	-2.32	-0.62	367	111	0.0	50
38.5	2.8	52.2	-2.38	-0.77	360	79	0.0	50
39.5	2.0	54.6	-2.08	-1.2	45	35	0.0	50
40.5	1.7	55.6	-2.26	-1.47	0	0	0.0	50
41.5	1.5	56.2	-1.87	-1.17	0	0	0.0	50
42.5	1.3	56.5	-1.43	-0.73	0	0	0.0	50
43.5	0.9	59.2	-1.1	-0.49	0	0	0.0	50
44.5	0.8	59.9	-1.14	-0.37	0	0	0.0	50
45.5	1.0	63.0	-0.79	-0.91	0	0	0.0	50
46.5	-0.8	87.3	-0.44	-0.54	0	0	0.5	50
47.5	-1.5	95.1	0.28	0.42	0	0	2.0	50
48.5	-1.4	95.7	0.45	0.23	0	0	0.7	50
49.5	-0.8	90.3	1.8	0.09	0	0	0.3	50
50.5	-0.7	90.2	2.7	0.09	0	0	1.1	50
51.5	-1.0	87.5	3.72	-0.79	0	0	0.3	50
52.5	-1.2	79.4	2.8	-1.08	0	0	0.0	50
53.5	-1.3	76.6	2.63	-1.23	0	0	0.0	50
54.5	-1.2	74.1	2.12	-1.13	0	0	0.0	50
55.5	-1.4	81.3	3.41	-0.79	0	0	0.1	50
56.5	-1.6	86.4	4.08	-1.02	0	18	0.3	50
57.5	-1.1	82.0	2.2	-1.38	0	52	0.6	50
58.5	-0.7	80.7	3.06	-1.24	0	71	0.3	50
59.5	-0.4	82.2	2.84	-0.6	0	67	0.2	50
60.5	0.4	77.4	1.59	-0.2	0	95	0.1	50
61.5	0.3	81.6	-0.5	-0.0	0	85	0.0	50
62.5	0.0	83.6	-0.4	-0.0	0	40	0.2	50
63.5	-0.6	93.3	0.71	0.36	0	13	1.1	50
64.5	0.3	92.6	2.18	0.31	0	0	0.8	50
