#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor
0.0	0.9	86.4	-1.59	0.19	0	0
0.5	0.9	86.4	-1.59	0.19	0	0
1.5	-0.8	86.0	-1.59	-0.17	0	0
2.5	-2.1	85.8	-1.47	-0.29	0	0
3.5	-3.4	85.3	-1.37	-0.29	0	0
4.5	-4.3	85.0	-1.0	-0.03	0	0
5.5	-4.6	85.0	-0.59	0.09	0	0
6.5	-5.1	84.8	-0.47	0.16	0	0
7.5	-5.1	84.3	-0.48	0.13	0	0
8.5	-4.8	85.1	-0.15	0.58	0	0
9.5	-4.1	79.3	0.1	0.39	311	32
10.5	-3.3	80.6	-0.11	-0.89	516	63
11.5	-1.8	76.9	0.11	-0.59	655	105
12.5	-0.3	72.7	0.0	-1.0	601	89
13.5	0.2	71.2	0.09	-1.7	373	121
14.5	-1.0	77.9	-0.4	-2.87	121	118
15.5	-1.9	83.1	-0.09	-1.7	0	50
16.5	-2.1	84.7	-0.37	-1.14	0	0
17.5	-2.1	84.8	0.23	0.45	0	0
18.5	-2.0	85.8	0.53	-0.27	0	0
19.5	-2.3	83.9	0.3	0.0	0	0
20.5	-3.0	87.7	0.0	0.7	0	0
21.5	-2.8	85.9	0.0	0.5	0	0
22.5	-3.1	85.5	0.0	-0.5	0	0
23.5	-3.9	85.2	0.36	0.93	0	0
24.5	-3.4	83.4	0.19	0.67	0	0
25.5	-3.7	86.8	-0.66	0.75	0	0
26.5	-3.4	84.2	0.56	2.23	0	0
27.5	-3.2	87.1	0.34	0.83	0	0
28.5	-3.8	86.6	0.31	0.95	0	0
29.5	-2.8	86.1	1.44	1.08	0	0
30.5	-2.2	89.6	0.85	1.47	0	0
31.5	-2.4	92.2	1.63	1.63	0	0
32.5	-2.1	93.5	0.21	1.99	0	0
33.5	-1.6	93.1	0.72	2.08	312	32
34.5	-0.8	92.4	0.89	2.01	451	78
35.5	0.5	89.6	0.1	2.0	75	122
36.5	1.2	88.9	0.31	1.77	0	86
37.5	1.7	87.2	0.65	1.68	0	59
38.5	1.9	87.1	0.68	1.77	0	23
39.5	2.0	87.4	0.52	2.24	0	8
40.5	2.2	88.4	1.2	1.2	0	0
41.5	2.6	87.4	0.66	2.31	0	0
42.5	2.7	88.5	1.0	0.45	0	0
43.5	2.9	88.7	0.36	0.71	0	0
44.5	3.3	88.0	0.46	2.15	0	0
45.5	3.4	88.6	0.58	-0.39	0	0
46.5	3.2	89.0	-0.15	-0.48	0	0
47.5	2.8	91.1	-0.3	-0.74	0	0
48.5	2.6	91.8	-0.15	-0.48	0	0
49.5	2.3	95.4	-0.22	-0.56	0	0
50.5	2.2	93.5	0.11	0.59	0	0
51.5	2.2	92.8	0.39	0.58	0	0
52.5	2.0	93.0	0.62	0.91	0	0
53.5	1.2	95.5	1.09	1.3	0	0
54.5	1.2	93.8	0.99	1.26	0	0
55.5	1.7	92.9	0.22	1.38	0	0
56.5	2.1	91.3	0.0	1.0	0	0
57.5	2.6	89.5	-0.31	1.47	143	43
58.5	2.9	89.8	0.44	1.22	6	79
59.5	3.4	88.3	-0.13	2.4	6	105
60.5	3.5	89.0	0.0	1.6	0	63
61.5	4.3	88.7	0.54	2.54	0	55
62.5	4.6	87.7	-0.2	2.29	0	40
63.5	4.9	88.9	-0.72	2.08	0	11
64.5	7.6	86.5	1.51	1.87	0	0
65.5	8.5	87.6	3.0	1.8	0	0
66.5	8.9	88.2	3.34	3.01	0	0
67.5	10.0	83.1	4.92	3.07	0	0
68.5	10.6	78.6	4.44	2.07	0	0
69.5	10.8	76.9	5.47	3.69	0	0
70.5	10.9	75.2	5.77	1.99	0	0
71.5	10.5	77.1	4.59	1.4	0	0
72.5	10.2	80.6	2.08	1.87	0	0
73.5	9.9	80.7	1.58	1.06	0	0
74.5	9.6	84.1	2.86	1.65	0	0
75.5	9.4	86.1	1.8	1.08	0	0
76.5	9.2	88.6	1.6	0.0	0	0
77.5	9.2	87.5	-0.17	0.68	0	0
78.5	8.4	89.8	-1.27	-2.72	0	0
79.5	6.3	83.8	-2.52	-3.73	0	0
80.5	5.3	84.6	-1.45	-2.85	0	0
81.5	5.0	84.5	-1.08	-2.03	140	51
82.5	5.2	82.4	-0.99	-0.99	477	129
83.5	5.7	75.7	-0.89	-1.33	608	79
84.5	6.4	70.4	0.39	-0.92	679	80
85.5	7.0	67.7	0.78	-0.78	411	129
86.5	7.1	67.7	-1.27	-2.49	156	111
87.5	5.7	69.8	-2.24	-3.19	0	45
88.5	4.0	68.7	-2.23	-2.01	0	0
89.5	3.7	68.2	-1.36	-0.85	0	0
90.5	3.0	70.4	0.25	-0.87	0	0
91.5	2.1	75.2	-0.28	-1.06	0	0
92.5	1.1	82.6	-0.65	-1.68	0	0
93.5	0.5	84.7	-0.98	-2.3	0	0
94.5	0.0	86.7	0.0	-1.0	0	0
95.5	-0.2	87.9	-0.29	-0.96	0	0
96.5	-0.4	89.6	-0.32	-1.05	0	0
97.5	-0.7	89.8	-0.31	-0.74	0	0
98.5	-1.1	91.2	-0.19	-0.98	0	0
99.5	-1.2	90.2	0.0	-1.1	0	0
100.5	-1.5	91.0	-0.12	-0.49	0	0
101.5	-1.8	90.6	-0.19	-0.67	0	0
102.5	-1.4	88.8	-0.14	-0.27	0	0
103.5	-1.5	89.9	0.21	0.21	0	0
104.5	-0.9	86.8	0.12	0.49	0	0
105.5	-0.3	84.3	0.45	0.23	318	32
106.5	0.8	78.7	0.14	-0.27	518	64
107.5	2.4	72.6	0.2	-0.88	578	145
108.5	3.0	70.4	0.0	-1.3	650	85
109.5	3.9	67.0	-0.11	-0.79	436	117
110.5	4.4	64.9	-0.31	-0.95	231	111
111.5	4.0	67.3	-0.63	-1.47	0	67
112.5	3.2	70.4	-0.41	-1.44	0	3
113.5	2.2	75.5	-0.2	-1.28	0	0
114.5	1.5	81.9	-0.22	-0.56	0	0
115.5	1.3	82.7	0.14	-0.14	0	0
116.5	0.6	85.5	0.0	0.2	0	0
117.5	0.1	89.2	0.0	0.3	0	0
118.5	0.1	86.7	0.14	0.27	0	0
119.5	-0.3	88.2	0.23	0.45	0	0
120.5	-0.7	86.9	0.1	0.39	0	0
121.5	-1.2	87.8	0.23	0.45	0	0
122.5	-1.0	86.6	0.33	0.22	0	0
123.5	-1.3	88.1	0.11	0.69	0	0
124.5	-1.7	86.6	-0.11	0.69	0	0
125.5	-1.7	88.4	0.1	0.39	0	0
126.5	-1.9	86.8	0.19	0.67	0	0
127.5	-2.3	85.2	0.23	0.45	0	0
128.5	-1.7	83.3	0.0	-0.3	0	0
129.5	-0.2	77.0	0.35	0.35	321	32
130.5	1.7	68.2	0.62	0.5	521	64
131.5	2.8	65.6	0.88	0.66	584	145
132.5	3.8	62.8	0.95	0.74	562	113
133.5	4.8	59.8	1.09	-0.13	380	125
134.5	4.9	60.9	0.09	-1.8	180	124
135.5	4.0	59.7	-0.11	-1.6	0	62
136.5	2.6	68.6	-0.25	-0.87	0	5
137.5	1.9	75.8	0.0	-0.7	0	0
138.5	1.6	80.1	-0.15	-0.58	0	0
139.5	0.7	84.0	-0.37	0.93	0	0
140.5	1.0	83.9	0.23	0.45	0	0
141.5	0.5	84.6	0.19	-0.78	0	0
142.5	-0.8	87.3	0.21	0.21	0	0
143.5	-1.6	90.5	0.23	0.45	0	0
144.5	-1.3	90.2	0.11	1.09	0	0
145.5	-0.7	86.8	0.0	1.0	0	0
146.5	-0.4	86.5	0.53	0.27	0	0
147.5	-0.4	86.5	0.44	0.54	0	0
148.5	-0.8	86.9	-0.5	-1.31	0	0
149.5	-1.8	91.7	-0.1	-0.99	0	0
150.5	-1.4	87.1	0.64	1.02	0	0
151.5	-0.9	85.5	-0.15	-1.09	0	0
152.5	-0.1	82.7	-0.17	0.68	0	0
153.5	0.9	80.1	0.77	0.64	288	37
154.5	2.0	80.3	-0.19	0.78	386	149
155.5	3.9	71.6	-0.35	0.83	182	108
156.5	4.6	66.4	-0.72	0.83	582	115
157.5	5.9	60.8	0.23	0.45	436	119
158.5	6.6	59.4	-0.2	-2.89	184	125
159.5	4.2	78.2	-0.12	-2.2	1	71
160.5	3.9	79.7	-0.23	-1.28	0	3
161.5	2.9	83.3	-0.48	0.15	0	0
162.5	2.7	84.0	-0.4	0.0	0	0
163.5	2.6	81.4	0.0	0.6	0	0
164.5	1.2	87.5	-0.41	-1.55	0	0
165.5	1.1	88.6	0.45	-0.23	0	0
166.5	1.8	82.4	0.6	0.8	0	0
167.5	1.9	80.7	0.22	1.58	0	0
168.5	2.0	78.9	0.23	1.18	0	0
169.5	2.0	81.0	-0.41	1.65	0	0
170.5	1.7	80.9	0.64	1.58	0	0
171.5	1.0	82.7	0.11	1.6	0	0
