#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor
0.0	6.2	75.9	-1.41	2.76	0	0
0.5	6.2	75.9	-1.41	2.76	0	0
1.5	6.3	77.0	0.67	3.44	0	0
2.5	6.3	77.2	2.12	3.03	0	0
3.5	6.3	77.0	3.41	1.89	0	0
4.5	6.2	75.9	3.83	1.17	0	0
5.5	6.0	75.0	3.67	0.98	0	0
6.5	5.8	74.1	3.64	0.64	0	0
7.5	5.8	72.1	3.39	0.24	0	0
8.5	5.7	69.2	3.5	0.18	0	24
9.5	5.4	70.2	2.27	-1.06	0	48
10.5	5.1	72.8	1.83	-0.81	0	81
11.5	5.0	72.4	1.26	-1.55	0	105
12.5	5.2	64.6	1.77	-1.9	6	139
13.5	5.0	64.4	2.15	-2.23	15	122
14.5	4.8	64.9	1.56	-1.56	11	80
15.5	4.4	64.6	1.39	-2.31	0	19
16.5	3.7	63.4	1.7	-2.94	0	0
17.5	3.0	57.4	2.41	-3.19	0	0
18.5	2.2	58.7	2.08	-2.16	0	0
19.5	1.7	57.1	2.01	-2.09	0	0
20.5	1.7	55.3	2.01	-1.12	0	0
21.5	1.6	55.6	3.09	-0.22	0	0
22.5	1.6	53.8	3.2	0.0	0	0
23.5	1.7	55.7	3.66	1.33	0	0
24.5	1.7	55.8	2.75	2.0	0	0
25.5	1.3	60.7	4.32	1.57	0	0
26.5	0.7	75.7	4.84	0.77	0	0
27.5	0.8	82.9	3.97	0.49	0	0
28.5	0.1	83.1	5.09	-1.08	0	0
29.5	-0.8	67.7	3.48	-0.93	0	0
30.5	-1.3	62.5	1.46	-1.36	0	0
31.5	-1.1	61.3	1.64	-0.73	0	0
32.5	-0.9	63.2	2.4	-0.69	0	18
33.5	-0.8	70.1	-0.52	1.93	0	17
34.5	-0.7	73.8	-0.5	0.75	0	36
35.5	-0.6	76.1	-0.41	0.8	0	45
36.5	-0.2	70.2	0.42	-0.42	0	100
37.5	0.1	68.9	-0.36	0.93	47	120
38.5	0.3	75.5	0.31	0.74	0	48
39.5	0.4	71.4	0.77	0.64	0	11
40.5	0.1	73.2	1.25	0.64	0	0
41.5	0.0	78.0	-0.23	1.48	0	0
42.5	-0.1	80.4	1.95	1.22	0	0
43.5	-0.3	83.4	2.04	0.82	0	0
44.5	0.1	83.4	2.61	0.7	0	0
45.5	0.2	85.6	2.55	0.5	0	0
46.5	0.3	85.8	2.9	0.1	0	0
47.5	0.5	84.8	2.7	0.0	0	0
48.5	0.6	84.5	2.4	-0.08	0	0
49.5	0.5	85.1	2.37	-0.38	0	0
50.5	0.4	86.0	1.86	-1.35	0	0
51.5	0.3	86.3	1.14	-1.52	0	0
52.5	0.4	85.8	0.84	-1.24	0	0
53.5	0.2	83.6	-0.32	-1.67	0	0
54.5	0.4	83.1	0.5	-0.98	0	0
55.5	0.2	77.5	-0.59	-1.7	0	0
56.5	0.3	74.3	-0.72	-1.54	294	34
57.5	0.4	71.5	-0.43	-1.85	569	71
58.5	1.0	67.1	-2.23	-2.95	681	68
59.5	1.3	67.4	-1.42	-3.2	713	63
60.5	1.4	65.8	-1.66	-2.38	699	63
61.5	1.4	61.7	-1.69	-3.18	627	62
62.5	1.2	63.4	-1.69	-3.18	578	46
63.5	0.8	65.2	-1.68	-3.3	332	32
64.5	0.1	66.4	-2.53	-3.48	0	0
