#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover
0.0	7.5	79.7	1.13	2.23	0	0	93
0.5	7.5	79.7	1.13	2.23	0	0	93
1.5	8.4	77.0	1.89	2.33	0	0	91
2.5	9.0	74.9	2.45	2.21	0	0	89
3.5	9.5	72.6	2.98	2.01	0	0	88
4.5	9.8	70.9	3.32	1.84	0	0	87
5.5	9.9	69.8	3.51	1.71	0	0	87
6.5	9.9	68.7	3.63	1.11	0	0	87
7.5	9.9	68.2	3.64	1.4	0	0	85
8.5	9.7	68.8	3.29	1.46	126	43	83
9.5	9.9	67.7	2.23	2.01	488	90	81
10.5	10.7	64.0	2.51	2.99	652	102	79
11.5	11.3	63.0	2.31	2.76	562	95	77
12.5	12.0	60.4	2.53	3.48	519	88	75
13.5	11.8	61.2	2.52	3.11	124	115	79
14.5	11.6	62.2	2.01	2.49	95	69	83
15.5	11.2	63.0	1.82	2.51	0	24	88
16.5	11.1	64.3	1.56	2.08	0	0	92
17.5	10.7	69.1	1.01	1.61	0	0	96
18.5	10.3	75.9	1.07	1.32	0	0	100
19.5	10.5	69.9	2.4	3.07	0	0	100
20.5	11.1	65.3	3.91	2.95	0	0	100
21.5	11.3	66.7	6.34	1.82	0	0	100
22.5	11.2	70.2	5.54	2.02	0	0	100
23.5	12.3	67.2	8.92	5.15	0	0	100
24.5	12.3	68.3	8.21	4.37	0	0	100
25.5	12.1	72.4	7.19	0.38	0	0	100
26.5	12.4	74.4	9.04	2.94	0	0	100
27.5	13.0	74.3	8.96	3.44	0	0	100
28.5	13.2	74.1	7.29	4.38	0	0	100
29.5	13.0	75.7	6.44	2.74	0	0	100
30.5	13.1	78.4	5.4	5.21	0	0	100
31.5	13.0	80.8	3.52	5.22	0	0	100
32.5	11.0	84.7	3.1	5.6	0	10	100
33.5	13.5	74.9	5.18	3.76	0	28	100
34.5	14.2	72.4	5.67	4.76	0	32	100
35.5	14.4	68.4	4.39	4.24	0	35	100
36.5	14.6	67.9	5.87	3.81	0	48	100
37.5	14.0	77.0	6.62	1.05	0	13	98
38.5	13.1	86.7	5.47	0.57	0	6	96
39.5	14.2	76.7	8.81	4.3	0	7	94
40.5	16.0	61.9	12.03	4.38	0	0	92
41.5	14.6	69.4	13.77	4.21	0	0	90
42.5	15.5	56.4	14.17	4.6	0	0	88
43.5	14.2	55.2	16.74	5.76	0	0	88
44.5	13.4	52.7	13.79	4.48	0	0	88
45.5	12.3	57.6	11.46	4.17	0	0	88
46.5	12.1	53.6	10.08	3.87	0	0	88
47.5	11.6	56.5	10.31	4.38	0	0	88
48.5	10.7	63.9	11.03	3.58	0	0	88
49.5	10.0	65.3	9.36	3.78	0	0	88
50.5	10.3	62.5	9.52	3.66	0	0	88
51.5	10.3	60.5	10.57	4.27	0	0	88
52.5	10.5	55.8	9.85	4.18	0	0	88
53.5	10.0	61.5	8.25	3.33	0	0	88
54.5	10.1	60.1	7.85	2.7	0	0	88
55.5	10.5	55.6	6.53	3.47	0	0	88
56.5	10.9	51.4	5.06	3.04	0	23	88
57.5	11.1	52.8	4.97	2.11	5	80	88
58.5	11.7	51.5	6.94	2.26	476	111	88
59.5	12.3	49.6	8.42	2.57	671	64	88
60.5	12.6	46.2	6.71	2.31	491	120	88
61.5	12.0	47.4	6.54	1.87	11	107	85
