#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor
0.0	4.8	86.8	-1.48	1.2	0	0
0.5	4.8	86.8	-1.48	1.2	0	0
1.5	3.9	84.9	-2.18	0.27	0	0
2.5	3.3	83.9	-2.28	-0.32	0	0
3.5	2.7	83.1	-2.44	-0.89	0	0
4.5	2.3	83.1	-2.32	-1.18	0	0
5.5	2.2	83.7	-2.36	-1.1	0	0
6.5	2.1	83.7	-2.41	-1.23	0	0
7.5	2.1	83.6	-2.7	-1.32	0	0
8.5	2.1	83.2	-2.54	-1.41	0	26
9.5	2.1	83.5	-3.24	-1.31	0	53
10.5	2.3	83.6	-2.79	-0.8	0	76
11.5	2.6	83.2	-1.7	-0.09	0	72
12.5	2.5	84.9	-1.48	0.21	0	81
13.5	2.4	85.5	-1.1	-0.0	0	39
14.5	2.3	85.7	-1.34	-0.41	0	14
15.5	2.2	86.1	-1.13	-0.41	0	8
16.5	2.1	88.8	-1.54	-0.72	0	0
17.5	1.7	96.1	-1.84	-1.02	0	0
18.5	1.5	96.7	-2.12	-1.13	0	0
19.5	1.6	96.1	-1.38	-1.0	0	0
20.5	1.6	95.6	-0.72	-0.54	0	0
21.5	1.5	95.9	-0.44	-0.54	0	0
22.5	1.6	96.5	-0.42	-0.42	0	0
23.5	1.6	94.6	-0.18	-0.36	0	0
24.5	1.6	94.3	-0.42	-0.42	0	0
25.5	1.6	95.5	-0.83	-0.56	0	0
26.5	1.5	95.8	-0.88	-0.48	0	0
27.5	1.5	96.0	-0.68	-0.59	0	0
28.5	1.4	96.6	-1.09	-0.88	0	0
29.5	1.6	95.8	-1.57	-0.87	0	0
30.5	1.7	95.7	-1.01	-0.82	0	0
31.5	1.7	95.7	-1.43	-0.93	0	0
32.5	1.7	95.2	-1.94	-1.03	0	11
33.5	1.9	94.4	-2.36	-1.1	0	26
34.5	2.1	95.1	-2.54	-1.18	0	71
35.5	2.4	90.5	-2.65	-1.79	0	87
36.5	2.5	88.3	-2.86	-1.65	0	89
37.5	2.5	88.4	-2.49	-2.16	9	108
38.5	2.4	88.4	-3.09	-2.69	0	48
39.5	2.2	87.9	-3.2	-2.24	0	9
40.5	2.1	88.1	-3.59	-1.99	0	0
41.5	1.8	85.7	-3.07	-2.4	0	0
42.5	1.5	85.5	-3.69	-2.4	0	0
43.5	1.2	85.9	-3.9	-2.63	0	0
44.5	1.0	85.1	-3.59	-2.71	0	0
45.5	0.7	84.7	-2.92	-3.02	0	0
46.5	0.6	82.7	-2.81	-3.12	0	0
47.5	0.3	83.5	-3.39	-1.72	0	0
48.5	0.1	82.3	-4.06	-2.16	0	0
49.5	0.1	81.7	-3.73	-2.33	0	0
50.5	0.1	82.2	-2.49	-2.16	0	0
