#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-0.1	87.8	1.34	0.41	0	0	50	0.0	50
0.5	-0.1	87.8	1.34	0.41	0	0	50	0.0	50
1.5	0.1	86.5	0.66	-0.45	0	0	58	0.0	50
2.5	0.3	86.1	1.02	-0.41	0	0	67	0.0	50
3.5	0.5	85.6	0.58	-0.39	0	0	75	0.0	50
4.5	0.5	85.9	1.0	-0.1	0	0	83	0.0	50
5.5	0.6	86.5	-0.27	-0.54	0	0	92	0.0	50
6.5	0.5	87.3	0.0	-0.5	0	0	100	0.0	50
7.5	0.7	86.5	0.7	0.0	0	0	100	0.0	50
8.5	1.0	84.7	0.78	0.19	76	45	100	0.0	50
9.5	1.8	80.9	1.69	0.86	283	87	100	0.0	50
10.5	2.3	81.6	2.12	1.32	140	141	100	0.0	50
11.5	2.7	81.1	0.62	1.03	76	155	100	0.0	50
12.5	2.8	81.4	-0.0	0.7	7	129	100	0.0	50
13.5	2.9	80.8	-0.69	-0.41	0	100	100	0.0	50
14.5	2.8	80.1	0.95	0.74	0	68	100	0.0	50
15.5	2.7	84.1	-0.71	0.36	0	27	100	0.0	50
16.5	2.2	88.8	-0.49	-1.1	0	0	100	0.0	50
17.5	2.1	88.4	1.34	-0.41	0	0	100	0.0	50
18.5	2.4	86.8	1.3	0.0	0	0	100	0.0	50
19.5	2.1	89.7	-0.42	-0.28	0	0	100	0.0	50
20.5	2.0	90.1	-0.81	-0.59	0	0	100	0.0	50
21.5	1.9	90.1	-0.73	-0.53	0	0	100	0.0	50
22.5	1.9	90.6	-0.76	-0.66	0	0	100	0.0	50
23.5	1.8	91.7	-0.54	-0.44	0	0	100	0.0	50
24.5	1.4	92.9	-0.91	-0.41	0	0	100	0.0	50
25.5	0.9	93.1	-0.62	-0.91	0	0	100	0.0	50
26.5	1.1	92.7	-0.09	-0.18	0	0	100	0.0	50
27.5	1.5	92.8	-0.48	-0.36	0	0	100	0.0	50
28.5	1.4	94.2	-0.69	-0.1	0	0	100	0.0	50
29.5	1.2	95.1	-0.77	-0.22	0	0	100	0.0	50
30.5	1.5	93.7	0.77	0.22	0	0	100	0.0	50
31.5	1.7	94.1	-0.23	-0.45	0	0	98	0.0	50
32.5	2.2	92.2	-0.96	-0.53	0	28	96	0.0	50
33.5	2.5	91.9	-0.77	-0.22	4	80	94	0.0	50
34.5	3.5	87.7	-1.08	-0.21	99	131	92	0.0	50
35.5	4.1	85.7	-1.98	-0.31	173	154	90	0.0	50
36.5	4.6	83.4	-2.55	-0.88	68	146	88	0.0	50
37.5	3.7	86.2	-4.04	-1.16	163	119	90	0.0	50
38.5	3.0	87.9	-2.95	-0.96	0	51	92	0.0	50
39.5	2.7	89.9	-1.92	-0.85	0	20	94	0.0	50
40.5	2.4	90.0	-1.9	-0.89	0	0	96	0.0	50
41.5	2.2	89.6	-3.32	-1.84	0	0	98	0.0	50
42.5	2.0	90.1	-2.54	-0.92	0	0	100	0.0	50
43.5	1.8	90.1	-2.5	-1.01	0	0	100	0.0	50
44.5	1.6	89.1	-1.32	-1.23	0	0	100	0.0	50
