#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	5.5	88.3	-0.42	-0.28	0	0	50	0.1	14
0.5	5.5	88.3	-0.42	-0.28	0	0	50	0.1	14
1.5	5.1	90.2	-0.14	0.14	0	0	58	0.3	14
2.5	4.9	91.3	-0.21	0.21	0	0	67	0.1	14
3.5	4.7	92.2	-0.39	-0.1	0	0	75	0.0	14
4.5	4.7	92.7	-0.0	0.2	0	0	83	0.0	14
5.5	4.9	92.8	0.38	0.47	0	0	92	0.0	14
6.5	5.1	93.0	0.96	0.53	0	0	100	0.1	14
7.5	5.4	93.1	1.08	0.19	0	0	100	0.1	14
8.5	5.7	93.0	1.2	0.51	0	6	100	0.3	14
9.5	6.1	92.8	1.4	0.54	0	28	100	0.0	14
10.5	6.6	93.0	2.02	0.58	0	53	100	0.0	14
11.5	7.0	91.5	3.14	0.61	0	92	100	0.0	14
12.5	7.4	87.3	3.42	0.73	43	140	100	0.0	14
13.5	7.6	84.2	2.99	0.8	0	80	94	0.0	14
14.5	7.6	81.7	3.82	0.81	62	83	88	0.0	14
15.5	7.3	83.3	3.87	0.48	55	33	81	0.0	14
16.5	6.6	70.0	3.18	-0.39	0	0	75	0.0	14
17.5	6.3	76.8	2.88	-0.3	0	0	69	0.0	14
18.5	6.3	82.3	2.42	0.65	0	0	62	0.0	14
19.5	6.1	81.7	3.07	0.43	0	0	66	0.0	14
20.5	6.2	74.6	4.59	0.24	0	0	69	0.0	14
21.5	6.0	76.0	4.76	-0.58	0	0	72	0.0	14
22.5	6.2	76.6	4.8	0.08	0	0	75	0.0	14
23.5	6.1	79.0	5.19	0.36	0	0	78	0.0	14
24.5	6.0	83.6	4.43	0.78	0	0	81	0.1	14
25.5	6.1	83.1	4.94	0.78	0	0	84	0.0	14
26.5	6.2	83.8	4.46	1.11	0	0	88	0.0	14
27.5	6.3	86.3	4.17	0.51	0	0	91	0.0	14
28.5	6.3	85.4	5.14	-0.81	0	0	94	0.0	14
29.5	6.7	82.9	4.56	0.64	0	0	97	0.0	14
30.5	6.9	82.5	5.79	0.3	0	0	100	0.0	14
31.5	7.0	82.9	6.72	-1.06	0	0	100	0.0	14
32.5	7.3	83.2	5.79	-0.4	0	16	100	0.0	14
33.5	8.6	75.8	5.99	-0.31	306	112	100	0.0	14
34.5	8.5	75.8	5.4	-0.09	5	106	100	0.0	14
35.5	9.0	76.6	4.51	0.88	206	141	100	0.0	14
36.5	10.0	74.1	3.46	2.0	383	117	100	0.0	14
37.5	10.8	73.1	4.63	1.6	257	125	100	0.0	14
38.5	11.7	67.5	6.85	1.46	0	43	100	0.0	14
39.5	11.4	67.5	7.23	1.02	0	7	100	0.0	14
40.5	10.5	71.5	5.77	1.23	0	0	100	0.0	14
41.5	10.4	73.8	5.34	2.96	0	0	100	0.0	14
42.5	11.1	73.2	7.0	2.97	0	0	100	0.0	14
43.5	9.7	85.8	7.5	2.15	0	0	100	1.3	14
44.5	9.3	90.7	6.5	3.31	0	0	100	1.2	14
45.5	8.7	86.3	9.48	0.66	0	0	100	4.2	14
46.5	8.4	75.7	6.65	1.41	0	0	100	0.0	14
47.5	8.8	66.7	7.6	0.26	0	0	100	0.0	14
48.5	8.6	67.6	8.1	-0.28	0	0	100	0.0	14
49.5	8.6	65.7	5.6	1.09	0	0	100	0.0	14
50.5	8.7	63.4	5.18	1.1	0	0	100	0.0	14
51.5	8.5	61.2	5.89	1.14	0	0	100	0.0	14
52.5	8.2	63.7	6.37	2.07	0	0	100	0.0	14
53.5	7.9	73.5	6.62	2.28	0	0	100	0.0	14
54.5	6.9	81.5	8.48	1.96	0	0	100	0.3	14
55.5	6.7	78.2	9.09	2.78	0	0	100	0.3	14
56.5	6.3	81.1	7.91	3.86	0	13	100	0.1	14
57.5	5.9	84.5	6.88	4.47	0	29	100	0.0	14
58.5	6.5	81.9	6.47	3.59	87	124	100	0.0	14
59.5	7.9	75.8	6.96	1.86	162	155	100	0.0	14
60.5	8.3	70.3	6.63	1.53	86	150	100	0.0	14
61.5	8.4	66.5	4.99	2.32	13	114	100	0.0	14
62.5	8.3	65.8	3.42	1.11	0	53	100	0.0	14
63.5	8.3	65.1	3.51	0.81	0	14	100	0.0	14
64.5	7.6	65.1	6.28	0.44	0	0	100	0.3	14
65.5	5.6	83.9	4.89	-1.04	0	0	100	3.0	14
66.5	5.3	92.1	5.0	1.43	0	0	100	1.3	14
67.5	4.9	91.2	4.29	-0.3	0	0	100	0.8	14
68.5	4.8	87.1	4.39	-0.23	0	0	100	0.0	14
69.5	5.0	83.1	4.29	0.22	0	0	100	0.0	14
70.5	5.2	81.6	4.6	0.16	0	0	100	0.0	14
71.5	5.3	80.0	5.29	0.37	0	0	100	0.0	14
72.5	5.2	81.8	5.1	0.99	0	0	100	0.1	14
73.5	4.8	86.0	5.86	2.02	0	0	100	0.0	14
74.5	4.4	88.2	6.31	1.57	0	0	100	0.0	14
75.5	4.6	85.6	6.18	2.01	0	0	100	0.0	14
76.5	4.6	84.2	6.11	2.22	0	0	100	0.0	14
77.5	5.1	82.7	6.34	3.81	0	0	100	0.0	14
78.5	5.5	79.9	6.74	3.73	0	0	100	0.0	14
79.5	4.8	80.1	8.59	3.3	0	0	100	0.5	14
80.5	3.8	88.5	8.77	3.9	0	4	100	0.4	14
81.5	4.0	90.6	8.25	3.85	0	11	100	0.9	14
82.5	4.4	90.8	8.08	2.63	0	22	100	1.0	14
83.5	5.2	89.8	8.64	2.15	0	36	100	1.1	14
84.5	5.8	90.4	8.25	2.06	0	36	100	0.4	14
85.5	6.4	90.9	7.37	1.84	0	29	100	0.6	14
86.5	6.8	90.6	6.98	2.13	0	15	100	0.7	14
87.5	7.1	91.5	6.95	2.53	0	4	100	0.6	14
88.5	7.4	90.1	7.13	2.32	0	0	100	0.5	14
89.5	7.4	90.5	7.42	2.7	0	0	100	0.4	14
90.5	7.7	89.1	7.05	2.85	0	0	100	0.5	14
