#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover
0.0	3.7	91.8	0.12	0.79	0	0	90
0.5	3.7	91.8	0.12	0.79	0	0	90
1.5	3.6	93.4	0.5	0.87	0	0	93
2.5	3.5	94.3	0.77	0.92	0	0	95
3.5	3.5	95.1	1.26	0.61	0	0	98
4.5	3.4	95.3	1.59	0.2	0	0	100
5.5	3.4	95.0	1.68	0.24	0	0	100
6.5	3.5	94.8	1.78	0.25	0	0	100
7.5	3.6	94.8	1.89	0.2	0	0	100
8.5	3.6	95.6	1.9	0.13	0	7	100
9.5	3.8	94.2	1.89	0.17	0	20	100
10.5	3.9	93.1	1.99	0.21	0	19	100
11.5	4.1	92.4	1.6	-0.03	0	40	100
12.5	4.3	92.0	1.16	0.31	0	40	100
13.5	4.5	93.5	-0.53	0.46	0	56	100
14.5	4.4	94.8	-0.25	0.17	0	35	100
15.5	4.3	93.7	1.0	0.04	0	16	100
16.5	4.1	91.7	1.5	-0.1	0	0	100
17.5	4.1	92.2	0.77	-0.21	0	0	100
18.5	4.1	92.5	0.8	-0.08	0	0	100
19.5	4.3	89.5	1.19	0.12	0	0	99
20.5	4.4	89.6	0.49	0.1	0	0	98
21.5	4.2	92.7	0.11	-0.79	0	0	97
22.5	4.3	89.2	0.69	0.12	0	0	96
23.5	4.1	91.6	-0.76	-0.49	0	0	95
24.5	4.0	83.1	-1.12	-0.84	0	0	94
25.5	3.9	82.0	-0.8	-1.27	0	0	93
26.5	3.8	80.8	0.2	-0.67	0	0	92
27.5	3.6	82.9	-0.49	-0.76	0	0	91
28.5	3.3	80.2	-1.38	-1.71	0	0	90
29.5	3.4	78.3	-0.45	-1.95	0	0	89
30.5	3.6	75.5	-0.46	-1.43	0	0	88
31.5	3.5	77.3	-0.78	-1.16	0	0	90
32.5	3.8	76.2	0.02	-0.7	0	21	92
33.5	3.9	75.4	-0.35	-0.48	0	38	94
34.5	4.1	74.5	-1.4	-0.07	1	108	96
35.5	3.6	84.0	-1.76	-0.71	0	109	98
36.5	4.2	78.2	-0.96	-0.29	0	96	100
37.5	4.2	80.5	-0.2	0.22	0	60	100
38.5	4.2	80.2	0.44	0.24	0	29	100
39.5	4.2	77.7	0.61	-0.35	0	19	100
40.5	4.2	77.3	0.17	-0.25	0	0	100
41.5	4.2	78.5	0.18	-0.47	0	0	100
42.5	4.1	82.7	-0.39	-0.58	0	0	100
43.5	4.2	82.1	0.36	-0.6	0	0	100
44.5	4.3	83.4	0.35	-0.35	0	0	100
45.5	4.3	84.6	0.35	-0.35	0	0	100
46.5	4.1	87.5	-0.38	-0.12	0	0	100
47.5	4.2	87.9	0.55	-0.23	0	0	100
48.5	4.2	88.1	0.48	-0.16	0	0	100
49.5	4.0	87.3	-0.88	-0.48	0	0	100
50.5	3.9	86.8	-0.42	-0.43	0	0	100
51.5	4.0	85.6	-0.53	-0.28	0	0	100
52.5	4.0	85.8	0.64	-0.28	0	0	100
53.5	4.0	87.0	1.1	-0.04	0	0	100
54.5	4.0	87.3	-0.74	-0.67	0	0	100
55.5	4.0	85.3	-0.6	-0.54	0	0	98
56.5	4.2	86.4	-0.4	-0.0	0	42	96
57.5	4.9	82.9	-0.58	0.69	156	100	94
58.5	6.2	74.6	-1.85	0.99	573	90	92
59.5	6.8	73.5	-1.76	1.14	515	124	90
60.5	6.4	70.6	0.35	1.15	24	144	88
