#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover
0.0	3.5	85.5	-0.06	0.4	0	0	90
0.5	3.5	85.5	-0.06	0.4	0	0	90
1.5	3.2	85.9	-0.04	0.3	0	0	93
2.5	3.0	86.3	-0.08	0.29	0	0	95
3.5	2.8	86.7	-0.06	0.29	0	0	98
4.5	2.7	86.9	-0.1	0.28	0	0	100
5.5	2.7	87.2	-0.17	0.25	0	0	99
6.5	2.7	88.0	-0.23	0.2	0	0	99
7.5	2.8	87.9	-0.23	0.2	0	3	98
8.5	2.9	87.5	-0.0	0.2	0	41	96
9.5	3.2	85.0	-0.28	0.09	19	94	94
10.5	4.4	80.0	-0.62	0.91	261	126	92
11.5	4.5	79.4	-0.74	1.19	223	146	90
12.5	4.7	77.4	-0.09	0.59	41	137	88
13.5	4.9	77.4	-0.57	0.57	64	123	75
14.5	4.8	78.4	-0.1	0.49	112	84	62
15.5	4.6	80.8	0.16	0.48	0	53	50
16.5	4.0	83.5	-0.3	-0.4	0	0	38
17.5	3.6	82.8	-0.22	-0.77	0	0	25
18.5	3.4	82.2	-0.62	-0.91	0	0	12
19.5	3.0	83.7	-0.23	-0.45	0	0	12
20.5	2.9	82.6	0.0	-0.5	0	0	12
21.5	3.1	81.6	0.09	-0.18	0	0	12
22.5	2.8	81.4	-0.35	-0.35	0	0	12
23.5	2.9	78.0	-0.1	-0.39	0	0	12
24.5	3.0	75.4	0.0	-0.3	0	0	12
25.5	3.4	69.2	0.09	-0.28	0	0	12
26.5	4.1	63.9	0.12	-0.48	0	0	12
27.5	4.3	62.0	-0.1	-0.39	0	0	12
28.5	4.8	58.7	-0.29	-0.75	0	0	12
29.5	5.3	56.6	-0.41	-1.02	0	0	12
30.5	5.8	54.5	-0.22	-0.87	0	0	12
31.5	6.6	51.7	-0.44	-0.54	0	0	21
32.5	6.8	52.9	-0.42	-0.42	0	73	29
33.5	7.3	54.9	-0.78	-0.19	191	95	38
34.5	7.9	55.4	-0.48	-0.36	108	135	46
35.5	8.4	64.9	0.22	0.77	572	117	54
36.5	8.4	65.1	-0.25	0.76	191	141	62
37.5	8.2	64.8	-0.18	0.36	20	118	60
38.5	8.6	60.0	-0.42	-0.56	0	65	58
39.5	9.7	48.9	-0.8	-0.89	0	21	56
40.5	11.2	32.9	-0.11	-1.6	0	0	54
41.5	10.0	41.2	0.31	-1.26	0	0	52
42.5	10.2	36.2	-0.64	-1.68	0	0	50
43.5	9.7	39.1	-1.01	-2.17	0	0	49
44.5	9.8	37.9	-1.22	-1.95	0	0	48
45.5	9.4	38.9	-0.73	-1.64	0	0	47
46.5	9.2	39.4	-0.7	-1.21	0	0	46
47.5	9.3	38.9	-0.19	-0.78	0	0	45
48.5	9.3	38.3	0.26	-0.65	0	0	44
49.5	9.6	36.0	-0.4	-0.0	0	0	43
50.5	9.7	35.5	-1.15	-1.99	0	0	42
51.5	9.8	34.8	-2.74	-1.84	0	0	41
52.5	9.8	34.4	-2.3	-2.07	0	0	40
53.5	9.5	35.3	-1.13	-2.12	0	0	39
54.5	9.1	36.1	-1.02	-2.39	0	0	38
55.5	9.1	36.0	-2.03	-2.34	0	0	33
56.5	9.6	34.8	-2.16	-1.62	0	65	29
57.5	11.0	31.6	-2.97	-1.2	542	67	25
58.5	11.8	30.5	-3.14	-0.61	668	58	21
59.5	13.0	26.0	-3.09	-0.22	708	59	17
60.5	13.1	26.1	-3.35	-1.02	704	59	12
61.5	13.0	25.6	-3.48	-2.17	640	57	12
62.5	12.6	26.4	-3.42	-2.77	514	49	12
63.5	11.2	28.9	-3.83	-2.89	0	45	12
64.5	10.1	31.6	-3.22	-2.01	0	0	12
65.5	9.7	32.5	-3.75	-3.15	0	0	12
66.5	9.1	35.2	-2.24	-1.51	0	0	12
67.5	8.9	36.0	-1.32	-0.7	0	0	12
68.5	8.3	37.8	0.31	-1.26	0	0	12
69.5	8.1	37.5	0.7	0.57	0	0	12
70.5	8.2	37.0	1.8	-0.13	0	0	12
71.5	7.8	38.6	0.54	0.72	0	0	12
72.5	7.0	41.6	-0.68	-1.22	0	0	12
73.5	5.6	50.2	-0.11	-0.69	0	0	12
74.5	4.9	54.0	-0.31	-0.74	0	0	12
75.5	4.7	56.2	-0.36	-0.48	0	0	12
76.5	4.2	57.5	0.28	-0.28	0	0	12
77.5	4.0	56.9	0.12	-0.38	0	0	12
78.5	3.6	58.2	0.34	-0.5	0	0	12
79.5	3.7	59.1	0.42	-0.42	0	0	10
80.5	4.1	59.1	0.4	0.0	0	60	8
81.5	5.4	59.8	-0.23	0.45	514	69	6
82.5	6.2	50.3	-0.31	0.74	672	58	4
83.5	7.7	44.1	-0.41	0.8	710	59	2
84.5	8.7	42.5	-0.79	0.91	686	62	0
85.5	8.9	40.5	-0.74	1.19	518	76	2
86.5	8.4	41.8	-0.09	0.9	483	60	4
87.5	7.6	44.8	-0.09	0.18	0	45	6
88.5	6.7	49.2	-0.22	-0.33	0	0	8
89.5	5.7	54.4	0.1	-0.39	0	0	10
90.5	5.1	56.8	-0.12	-0.48	0	0	12
91.5	4.6	59.1	0.09	-0.18	0	0	20
92.5	4.1	61.1	0.22	-0.33	0	0	27
93.5	3.8	62.6	-0.22	-0.33	0	0	34
94.5	3.4	64.9	-0.0	-0.1	0	0	42
95.5	3.2	65.6	-0.12	-0.38	0	0	49
96.5	3.2	66.5	0.0	-0.2	0	0	56
97.5	3.5	66.8	-0.14	-0.27	0	0	64
98.5	3.4	69.8	-0.44	-0.54	0	0	71
99.5	3.3	68.4	-0.3	-0.4	0	0	78
100.5	3.7	64.0	-0.36	-0.6	0	0	85
101.5	3.9	60.3	-0.68	-0.59	0	0	93
102.5	3.9	61.5	0.0	-0.6	0	0	100
103.5	4.1	62.1	-0.42	-0.42	0	4	100
104.5	4.3	65.4	-0.18	-0.36	0	39	100
105.5	4.8	61.1	-0.44	-0.54	3	85	100
106.5	5.3	59.1	0.35	0.35	13	128	100
107.5	5.8	55.6	-0.14	0.58	60	139	100
108.5	6.1	58.7	-0.22	0.87	46	133	100
109.5	6.3	54.5	0.66	0.45	8	113	100
110.5	6.6	54.5	0.28	0.28	0	67	100
111.5	6.5	59.0	0.6	0.0	0	21	100
112.5	6.0	64.5	0.28	0.28	0	0	100
113.5	5.7	66.3	0.0	-0.4	0	0	100
114.5	5.7	63.9	-0.54	-0.44	0	0	100
115.5	5.6	62.2	0.14	-0.14	0	0	100
116.5	5.7	59.7	-0.45	-0.66	0	0	100
117.5	5.9	58.0	-0.5	-0.62	0	0	100
118.5	5.2	63.3	-0.28	-0.28	0	0	100
119.5	5.3	63.8	0.0	-0.3	0	0	100
120.5	5.6	62.4	-0.33	-0.22	0	0	100
121.5	5.7	64.1	0.22	-0.56	0	0	100
122.5	5.5	65.3	0.14	-0.27	0	0	100
123.5	5.3	67.9	0.14	-0.14	0	0	100
124.5	5.7	68.3	0.0	-0.5	0	0	100
125.5	5.5	68.0	-0.23	-0.45	0	0	100
126.5	5.3	69.2	0.0	-0.5	0	0	100
127.5	5.1	68.6	-0.51	-0.61	0	0	85
128.5	5.5	69.3	-0.54	-0.44	0	73	71
129.5	6.6	63.1	-0.09	0.59	457	75	56
130.5	8.1	58.1	-0.1	1.2	635	63	42
131.5	8.2	55.5	-0.1	1.5	661	67	27
132.5	9.4	52.6	-0.59	1.27	636	70	12
133.5	9.5	51.0	-0.67	1.11	590	65	12
134.5	9.4	51.8	-0.0	1.0	467	54	12
135.5	8.1	60.1	-0.09	0.28	137	33	12
136.5	7.1	61.5	-0.23	-0.45	0	0	12
137.5	6.1	63.7	-0.1	-0.39	0	0	12
138.5	5.7	64.2	-0.23	-0.45	0	0	12
139.5	5.2	66.2	0.21	-0.21	0	0	11
140.5	5.1	66.4	-0.09	-0.18	0	0	10
141.5	4.6	67.4	0.0	-0.4	0	0	9
142.5	4.0	69.9	-0.36	-0.48	0	0	8
143.5	4.1	66.8	-0.12	-0.48	0	0	7
144.5	3.8	69.0	-0.21	-0.21	0	0	6
145.5	3.8	67.2	0.12	-0.38	0	0	5
146.5	3.8	64.8	-0.36	-0.6	0	0	4
147.5	3.4	66.0	-0.12	-0.48	0	0	3
148.5	3.5	65.5	-0.23	-0.45	0	0	2
149.5	3.3	66.7	0.07	-0.07	0	0	1
150.5	3.4	65.7	0.14	-0.14	0	0	0
151.5	3.7	63.8	-0.12	-0.48	0	0	4
152.5	3.8	65.6	-0.27	-0.14	0	66	8
153.5	5.8	60.8	-0.16	0.48	513	70	12
154.5	6.8	54.9	-0.44	0.54	663	59	17
155.5	7.9	46.4	-1.0	0.67	705	60	21
156.5	8.4	46.5	-0.32	0.84	693	60	25
157.5	9.5	44.8	-0.19	0.98	648	58	21
158.5	8.8	46.8	-0.32	0.84	449	63	17
159.5	8.0	49.3	1.03	0.39	152	34	12
160.5	7.5	51.4	1.05	-0.58	0	0	8
161.5	6.2	57.5	-0.22	-0.56	0	0	4
162.5	5.4	62.5	0.07	-0.07	0	0	0
163.5	5.1	64.6	0.18	-0.36	0	0	8
164.5	4.7	65.9	0.0	-0.2	0	0	17
165.5	4.4	67.2	-0.09	-0.18	0	0	25
166.5	4.8	65.0	0.27	-0.14	0	0	33
167.5	4.4	68.1	0.2	0.0	0	0	42
168.5	4.8	65.4	-0.14	-0.14	0	0	50
169.5	5.2	62.9	-0.14	-0.27	0	0	58
170.5	5.3	60.1	-0.42	-0.28	0	0	67
171.5	5.3	59.5	-0.0	0.2	0	0	75
172.5	5.1	59.6	-0.0	-0.1	0	0	83
173.5	5.4	60.0	-0.09	-0.18	0	0	92
174.5	5.1	61.7	0.18	0.09	0	0	100
175.5	5.3	60.2	0.14	-0.14	0	0	98
176.5	5.2	62.7	0.5	0.0	0	12	96
177.5	5.7	61.1	0.67	-0.22	0	34	94
178.5	6.2	65.6	0.62	-0.32	0	70	92
179.5	6.8	65.8	1.2	0.1	0	110	90
180.5	7.0	66.7	0.73	0.53	32	139	88
181.5	7.1	67.2	0.95	0.74	125	137	83
182.5	7.4	67.1	1.39	0.8	293	80	79
183.5	6.7	68.7	1.3	0.0	112	35	75
184.5	6.4	69.5	1.8	-0.09	0	0	71
185.5	6.2	70.8	1.75	-0.4	0	0	67
186.5	6.1	73.0	0.57	-0.18	0	0	62
187.5	5.4	76.2	-0.49	-0.1	0	0	66
188.5	5.1	74.3	-0.59	-0.11	0	0	69
189.5	5.3	69.5	-0.73	-0.53	0	0	72
190.5	5.2	69.1	-0.27	-0.14	0	0	75
191.5	5.1	69.9	-0.33	-0.22	0	0	78
192.5	5.0	67.1	-0.4	-0.0	0	0	81
193.5	5.2	68.0	0.0	-0.1	0	0	84
194.5	5.1	69.7	-0.09	-0.18	0	0	88
195.5	4.8	71.5	-0.38	-0.12	0	0	91
196.5	4.6	73.6	-0.69	-0.4	0	0	94
197.5	4.9	63.3	-0.54	-0.44	0	0	97
198.5	4.8	63.0	-0.48	-0.76	0	0	100
199.5	4.9	62.0	-0.39	-0.58	0	3	83
200.5	5.1	59.9	-0.45	-0.23	0	31	67
201.5	5.4	59.0	-0.56	0.22	2	85	50
202.5	6.6	53.3	-1.17	0.94	321	119	33
203.5	7.9	49.2	-0.52	1.83	611	85	17
204.5	8.2	49.2	-0.44	1.64	648	69	0
205.5	7.7	49.9	-1.43	0.93	589	67	0
206.5	7.4	52.6	-1.44	0.41	421	68	0
207.5	6.6	54.4	-0.42	0.42	124	36	0
208.5	5.6	60.0	-0.18	-0.57	0	0	0
209.5	4.8	64.5	-0.18	-0.57	0	0	0
210.5	4.1	65.3	-0.18	-0.57	0	0	0
211.5	3.9	65.7	-0.1	-0.39	0	0	0
212.5	3.8	63.7	-0.23	-0.45	0	0	0
213.5	3.4	66.9	-0.18	-0.57	0	0	0
214.5	3.0	68.2	0.21	-0.21	0	0	0
215.5	2.7	68.9	0.22	-0.33	0	0	0
