#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	3.1	50.0	0.71	-0.71	0	0	50	0.0	14
0.5	3.1	50.0	0.71	-0.71	0	0	50	0.0	14
1.5	2.1	53.4	-0.12	-0.38	0	0	46	0.0	14
2.5	1.2	56.4	-0.09	-0.59	0	0	42	0.0	14
3.5	0.5	59.2	-0.1	-0.39	0	0	38	0.0	14
4.5	0.0	61.2	-0.09	-0.28	0	0	33	0.0	14
5.5	-0.2	62.3	0.14	-0.27	0	0	29	0.0	14
6.5	-0.4	62.9	0.21	-0.21	0	0	25	0.0	14
7.5	-0.3	64.5	0.16	-0.48	0	0	21	0.0	14
8.5	-0.3	66.5	0.5	0.0	0	73	17	0.0	14
9.5	1.0	70.2	0.11	0.69	527	65	12	0.0	14
10.5	1.9	69.0	-0.29	1.16	576	83	8	0.0	14
11.5	2.8	63.6	2.16	0.42	439	143	4	0.0	14
12.5	3.4	58.8	3.69	0.92	426	140	0	0.0	14
13.5	3.4	59.3	2.99	2.17	386	109	0	0.0	14
14.5	2.7	60.7	2.91	1.75	252	79	0	0.0	14
15.5	1.9	62.3	2.13	0.53	0	42	0	0.0	14
16.5	1.2	63.1	1.83	-0.52	0	0	0	0.0	14
17.5	0.5	66.4	1.24	-0.4	0	0	0	0.0	14
18.5	0.1	68.9	0.22	-0.56	0	0	0	0.0	14
19.5	0.0	68.3	1.6	-0.82	0	0	7	0.0	14
20.5	-0.1	69.1	1.66	-0.92	0	0	15	0.0	14
21.5	0.3	70.7	1.25	-0.64	0	0	22	0.0	14
22.5	0.4	70.6	2.7	0.09	0	0	29	0.0	14
23.5	0.3	71.3	2.07	-0.33	0	0	36	0.0	14
24.5	0.3	66.7	2.88	0.3	0	0	44	0.0	14
25.5	0.4	65.2	2.36	-0.42	0	0	51	0.0	14
26.5	0.3	67.7	1.89	-0.2	0	0	58	0.0	14
27.5	0.2	68.6	2.2	0.12	0	0	66	0.0	14
28.5	-0.1	66.7	2.04	-0.51	0	0	73	0.0	14
29.5	0.0	61.1	1.83	-0.81	0	0	80	0.0	14
30.5	-0.1	62.7	2.18	-0.31	0	0	88	0.0	14
31.5	-0.2	65.5	1.89	0.2	0	3	85	0.0	14
32.5	-0.2	62.0	1.19	0.53	0	27	83	0.0	14
33.5	0.1	60.3	1.24	0.4	0	68	81	0.0	14
34.5	0.5	58.2	1.38	1.0	4	119	79	0.0	14
35.5	1.5	54.5	1.4	2.07	223	154	77	0.0	14
36.5	2.2	53.0	1.87	2.48	624	121	75	0.0	14
37.5	1.7	53.9	2.03	2.6	483	103	79	0.0	14
38.5	1.0	54.6	1.68	2.49	215	84	83	0.0	14
39.5	-0.5	61.5	2.75	2.0	0	39	88	0.0	14
40.5	-1.4	66.9	4.67	3.27	0	0	92	0.0	14
41.5	-2.0	69.4	5.19	3.91	0	0	96	0.0	14
42.5	-2.5	68.0	4.21	3.54	0	0	100	0.0	14
43.5	-2.8	64.9	2.59	3.43	0	0	97	0.0	14
44.5	-2.9	64.2	2.23	3.07	0	0	94	0.0	14
45.5	-2.9	62.4	2.5	0.72	0	0	91	0.0	14
46.5	-2.9	64.1	1.9	1.1	0	0	88	0.0	14
47.5	-3.0	64.1	2.06	1.24	0	0	84	0.0	14
48.5	-3.1	63.5	1.4	0.1	0	0	81	0.0	14
49.5	-3.3	63.7	0.89	-0.65	0	0	78	0.0	14
50.5	-3.7	67.6	-0.82	-1.6	0	0	75	0.0	14
51.5	-4.0	67.5	-0.11	-0.79	0	0	72	0.0	14
52.5	-4.0	68.4	-0.22	-1.38	0	0	69	0.0	14
53.5	-3.7	66.6	0.0	-0.6	0	0	66	0.0	14
54.5	-3.9	67.5	0.0	-0.8	0	0	62	0.0	14
55.5	-4.1	67.8	-0.22	-0.67	0	0	58	0.0	14
56.5	-3.8	65.9	0.16	-0.48	0	51	54	0.0	14
57.5	-2.8	64.2	-0.0	0.4	122	111	50	0.0	14
58.5	-1.6	62.4	1.78	0.65	313	134	46	0.0	14
59.5	-0.6	60.6	1.82	1.23	391	150	42	0.0	14
60.5	-0.2	55.8	1.23	1.82	376	147	38	0.0	14
61.5	0.2	53.3	0.55	1.92	348	124	31	0.0	14
62.5	-0.2	50.2	1.41	1.94	356	68	25	0.0	14
63.5	-1.0	49.7	1.06	0.75	0	44	19	0.0	14
64.5	-1.5	52.4	0.91	-0.79	0	0	12	0.0	14
65.5	-2.0	56.5	-0.09	-0.9	0	0	6	0.0	14
66.5	-2.3	58.1	0.88	-0.66	0	0	0	0.0	14
67.5	-2.3	58.2	1.45	-0.68	0	0	8	0.0	14
68.5	-2.4	58.5	2.58	0.32	0	0	17	0.0	14
69.5	-2.4	58.0	2.0	0.1	0	0	25	0.0	14
70.5	-2.4	57.3	1.99	0.21	0	0	33	0.0	14
71.5	-2.6	56.8	1.9	0.1	0	0	42	0.0	14
72.5	-2.6	56.2	1.59	-0.2	0	0	50	0.0	14
73.5	-3.2	61.5	-1.26	-0.31	0	0	58	0.0	14
74.5	-3.1	60.3	-1.12	-1.0	0	0	67	0.0	14
75.5	-2.7	61.1	-0.09	-0.59	0	0	75	0.0	14
76.5	-2.5	61.0	1.3	-0.11	0	0	83	0.0	14
77.5	-2.4	58.3	2.08	0.72	0	0	92	0.0	14
78.5	-2.4	56.5	1.17	1.09	0	0	100	0.0	14
79.5	-2.6	57.3	-0.25	0.76	0	3	90	0.0	14
80.5	-2.6	56.7	-0.59	-0.81	0	20	79	0.0	14
81.5	-2.2	56.8	-0.89	-0.11	14	99	69	0.0	14
82.5	-1.1	54.4	-0.22	1.58	445	112	58	0.0	14
83.5	-0.4	54.6	-1.57	1.68	676	99	48	0.0	14
84.5	-0.1	52.2	-1.9	1.1	492	125	38	0.0	14
85.5	0.3	50.1	-1.99	0.68	336	117	40	0.0	14
86.5	0.0	49.5	-1.79	0.19	218	83	42	0.0	14
87.5	-0.6	51.4	-0.4	-0.0	0	38	44	0.0	14
88.5	-0.9	54.1	-0.31	-1.16	0	0	46	0.0	14
89.5	-1.3	54.0	0.0	-1.0	0	0	48	0.0	14
90.5	-1.6	57.1	-0.32	-1.05	0	0	50	0.0	14
91.5	-2.1	59.5	-0.19	-0.78	0	0	46	0.0	14
92.5	-2.4	60.9	0.0	-0.7	0	0	42	0.0	14
93.5	-2.4	59.3	0.0	-0.8	0	0	38	0.0	14
94.5	-2.4	59.1	-0.32	-0.84	0	0	33	0.0	14
95.5	-2.8	61.0	-0.27	-0.54	0	0	29	0.0	14
96.5	-2.7	58.8	-0.34	-1.05	0	0	25	0.0	14
97.5	-3.1	63.6	-0.32	-0.62	0	0	21	0.0	14
98.5	-2.7	58.3	0.11	-0.69	0	0	17	0.0	14
99.5	-2.9	57.6	-0.32	-0.62	0	0	12	0.0	14
100.5	-2.8	56.4	-0.18	-0.57	0	0	8	0.0	14
101.5	-2.8	56.7	-0.32	-0.62	0	0	4	0.0	14
102.5	-2.5	52.1	-0.22	-0.77	0	0	0	0.0	14
103.5	-2.1	46.8	-0.1	-0.49	0	0	0	0.0	14
104.5	-1.4	51.4	0.0	-0.5	0	75	0	0.0	14
105.5	0.1	55.8	-0.45	0.23	510	79	0	0.0	14
106.5	1.5	50.1	-0.58	0.69	703	64	0	0.0	14
107.5	2.3	43.6	-0.41	1.02	740	67	0	0.0	14
108.5	3.4	39.3	-0.2	1.28	748	64	0	0.0	14
109.5	3.8	38.9	-0.0	1.3	695	61	0	0.0	14
110.5	3.4	42.2	0.2	1.28	589	49	0	0.0	14
111.5	2.8	50.0	0.36	0.71	269	31	0	0.0	14
112.5	1.6	50.1	-0.45	-0.89	0	0	0	0.0	14
113.5	1.1	46.0	-0.63	-1.14	0	0	0	0.0	14
114.5	1.1	43.3	0.0	-0.3	0	0	0	0.0	14
115.5	1.1	41.4	0.0	-0.5	0	0	5	0.0	14
116.5	1.2	40.0	-0.42	-0.56	0	0	10	0.0	14
117.5	1.2	41.8	-0.36	-0.93	0	0	16	0.0	14
118.5	1.5	40.4	-0.32	-0.62	0	0	21	0.0	14
119.5	1.2	41.4	0.33	-0.22	0	0	26	0.0	14
120.5	1.3	40.5	-0.16	-0.48	0	0	31	0.0	14
121.5	1.2	41.8	-0.09	-0.59	0	0	36	0.0	14
122.5	1.8	39.4	0.0	-0.3	0	0	42	0.0	14
123.5	1.3	41.7	0.42	-0.42	0	0	47	0.0	14
124.5	1.4	41.4	0.0	-0.2	0	0	52	0.0	14
125.5	1.9	41.3	-0.14	-0.27	0	0	57	0.0	14
126.5	2.4	41.0	0.14	-0.27	0	0	62	0.0	14
127.5	2.6	40.9	-0.33	-0.22	0	0	65	0.0	14
128.5	3.1	42.2	0.1	0.0	0	72	67	0.0	14
129.5	3.2	45.4	-0.3	-0.0	1	88	69	0.0	14
130.5	3.7	51.2	-0.38	0.12	2	125	71	0.0	14
131.5	4.4	50.9	-0.48	0.16	68	155	73	0.0	14
132.5	6.0	41.2	-0.45	0.78	441	146	75	0.0	14
133.5	6.7	37.7	-0.31	0.74	586	77	67	0.0	14
134.5	6.8	39.5	-0.09	0.59	508	56	58	0.0	14
135.5	6.5	40.8	-0.42	-0.28	200	34	50	0.0	14
136.5	5.5	39.8	-0.12	-0.38	0	0	42	0.0	14
137.5	4.9	39.4	-0.1	-0.49	0	0	33	0.0	14
138.5	4.7	39.9	0.12	-0.38	0	0	25	0.0	14
139.5	4.5	42.7	0.18	-0.36	0	0	28	0.0	14
140.5	4.4	42.6	-0.45	-0.78	0	0	31	0.0	14
141.5	3.6	44.5	0.26	-0.65	0	0	34	0.0	14
142.5	4.1	43.2	0.21	-0.21	0	0	38	0.0	14
143.5	3.7	46.2	0.21	-0.21	0	0	41	0.0	14
144.5	3.8	49.0	-0.18	-0.36	0	0	44	0.0	14
145.5	3.8	51.8	0.21	-0.21	0	0	47	0.0	14
146.5	4.1	51.6	0.0	-0.4	0	0	50	0.0	14
147.5	4.0	54.5	0.0	-0.3	0	0	53	0.0	14
148.5	4.2	57.2	0.28	-0.28	0	0	56	0.0	14
149.5	4.5	59.6	0.14	-0.27	0	0	59	0.0	14
150.5	5.1	58.5	0.35	-0.35	0	0	62	0.0	14
151.5	5.1	60.5	-0.5	-0.62	0	0	67	0.0	14
152.5	5.7	61.8	-0.12	-0.38	0	46	71	0.0	14
153.5	6.8	60.8	-0.33	-0.22	45	104	75	0.0	14
154.5	7.8	59.2	-0.38	0.12	180	150	79	0.0	14
155.5	8.5	56.6	-0.14	0.14	17	142	83	0.0	14
156.5	9.9	53.6	-0.36	0.18	70	152	88	0.0	14
157.5	10.5	53.6	-0.14	0.27	100	143	77	0.0	14
158.5	9.7	56.3	0.28	0.42	140	99	67	0.0	14
159.5	9.5	56.9	-0.35	-0.35	191	34	56	0.0	14
160.5	9.2	56.6	-0.19	-0.46	0	0	46	0.0	14
161.5	9.4	55.6	0.36	-0.48	0	0	35	0.0	14
162.5	11.2	49.9	-0.49	-1.1	0	0	25	0.0	14
163.5	11.8	48.5	-0.91	-1.78	0	0	30	0.0	14
164.5	11.6	48.1	-0.72	-1.97	0	0	35	0.0	14
165.5	11.9	46.3	-1.23	-2.63	0	0	41	0.0	14
166.5	11.6	46.6	-0.72	-2.5	0	0	46	0.0	14
167.5	11.2	46.8	-0.5	-2.14	0	0	51	0.0	14
168.5	10.8	48.2	-0.52	-2.24	0	0	56	0.0	14
169.5	11.1	47.0	-0.98	-2.19	0	0	61	0.0	14
170.5	11.1	47.4	-0.94	-1.77	0	0	67	0.0	14
171.5	10.4	49.7	0.0	-0.9	0	0	72	0.0	14
172.5	10.8	47.9	-0.29	-0.96	0	0	77	0.0	14
173.5	10.6	48.3	-0.1	-0.49	0	0	82	0.0	14
174.5	10.0	49.5	-0.31	-0.74	0	0	88	0.0	14
175.5	9.6	50.5	-0.36	-0.48	0	0	88	0.0	14
176.5	9.4	53.1	0.0	-0.4	0	83	88	0.0	14
177.5	8.9	62.1	-0.62	0.32	557	76	88	0.0	14
178.5	9.2	59.0	0.12	0.99	332	136	88	0.0	14
179.5	9.6	57.3	-0.0	0.8	246	168	88	0.0	14
180.5	10.4	52.0	-0.0	0.9	315	141	88	0.0	14
181.5	10.5	49.1	-0.22	0.67	388	121	75	0.0	14
182.5	10.8	50.4	0.72	0.83	464	72	62	0.0	14
183.5	9.7	53.5	0.21	0.21	178	38	50	0.0	14
184.5	9.1	56.3	-0.18	-0.36	0	0	38	0.0	14
185.5	8.7	55.6	-0.32	-0.62	0	0	25	0.0	14
186.5	8.5	55.6	0.0	-0.7	0	0	12	0.0	14
187.5	8.3	56.2	-0.11	-0.69	0	0	11	0.0	14
188.5	8.9	53.8	0.0	-0.7	0	0	10	0.0	14
189.5	8.8	53.7	0.13	-0.69	0	0	9	0.0	14
190.5	8.4	54.5	0.69	-0.41	0	0	8	0.0	14
191.5	8.3	54.3	0.34	-0.5	0	0	7	0.0	14
192.5	8.1	54.3	0.36	-0.6	0	0	6	0.0	14
193.5	7.8	55.4	0.28	-0.42	0	0	5	0.0	14
194.5	7.4	56.3	0.0	-0.8	0	0	4	0.0	14
195.5	7.4	56.5	-0.12	-0.38	0	0	3	0.0	14
196.5	7.2	56.2	-0.34	-1.05	0	0	2	0.0	14
197.5	7.1	56.0	0.12	-0.38	0	0	1	0.0	14
198.5	6.8	55.9	-0.49	-1.1	0	0	0	0.0	14
199.5	6.8	55.4	0.23	-0.45	0	0	2	0.0	14
200.5	7.3	56.5	-0.42	-0.42	0	77	4	0.0	14
201.5	8.1	61.4	-0.35	0.35	535	65	6	0.0	14
202.5	9.1	56.5	-0.25	0.76	567	87	8	0.0	14
203.5	9.6	54.8	-0.19	1.18	690	76	10	0.0	14
204.5	9.2	56.6	0.2	1.28	713	72	12	0.0	14
205.5	10.2	50.0	0.41	1.13	656	67	10	0.0	14
206.5	9.8	57.8	0.11	0.69	515	59	8	0.0	14
207.5	8.7	62.7	-0.0	0.4	222	36	6	0.0	14
208.5	7.9	62.0	-0.45	-0.66	0	0	4	0.0	14
209.5	7.6	58.3	-0.69	-1.1	0	0	2	0.0	14
210.5	7.0	58.9	0.12	-0.38	0	0	0	0.0	14
211.5	6.9	57.8	0.35	-0.35	0	0	3	0.0	14
212.5	6.2	60.5	0.25	-0.17	0	0	6	0.0	14
213.5	5.7	62.7	0.0	-0.2	0	0	9	0.0	14
214.5	5.2	64.6	0.0	-0.6	0	0	12	0.0	14
215.5	4.9	65.2	0.35	-0.35	0	0	16	0.0	14
216.5	4.3	68.2	-0.22	-0.33	0	0	19	0.0	14
217.5	4.4	67.5	-0.18	-0.36	0	0	22	0.0	14
218.5	4.3	69.1	-0.28	-0.28	0	0	25	0.0	14
219.5	4.0	70.9	-0.35	-0.35	0	0	28	0.0	14
220.5	3.5	72.2	-0.09	-0.28	0	0	31	0.0	14
221.5	3.2	72.4	-0.31	-0.74	0	0	34	0.0	14
222.5	3.5	71.1	-0.09	-0.28	0	0	38	0.0	14
223.5	3.4	71.2	0.3	-0.4	0	0	33	0.0	14
224.5	4.1	71.8	-0.62	-0.32	0	74	29	0.0	14
225.5	5.2	71.1	-0.15	0.78	387	90	25	0.0	14
226.5	6.3	67.1	-0.69	0.58	419	125	21	0.0	14
227.5	6.5	65.0	-0.53	0.85	358	161	17	0.0	14
228.5	7.4	58.9	-0.53	0.73	389	154	12	0.0	14
229.5	7.8	60.0	-0.96	0.53	468	98	23	0.0	14
230.5	7.5	56.7	-0.44	0.54	308	86	33	0.0	14
231.5	6.8	60.6	-0.14	0.14	58	43	44	0.0	14
232.5	6.6	63.3	-0.28	-0.42	0	0	54	0.0	14
233.5	6.3	64.5	-0.32	-0.62	0	0	65	0.0	14
234.5	6.1	65.1	0.0	-0.4	0	0	75	0.0	14
235.5	5.7	66.7	-0.1	-0.39	0	0	77	0.0	14
236.5	5.7	67.4	0.12	-0.48	0	0	79	0.0	14
237.5	5.9	66.9	0.48	-0.12	0	0	81	0.0	14
238.5	6.1	65.9	0.35	-0.35	0	0	83	0.0	14
239.5	6.2	66.3	0.23	-0.45	0	0	85	0.0	14
240.5	6.4	65.5	-0.14	-0.58	0	0	88	0.0	14
241.5	6.2	66.8	-0.42	-0.42	0	0	90	0.0	14
242.5	6.1	67.5	0.64	-0.48	0	0	92	0.0	14
243.5	6.2	67.1	-0.14	-0.27	0	0	94	0.0	14
244.5	5.6	69.9	0.33	-0.22	0	0	96	0.0	14
245.5	5.9	68.2	0.0	-0.4	0	0	98	0.0	14
246.5	5.8	69.6	0.4	0.0	0	0	100	0.0	14
247.5	5.8	70.0	-0.14	-0.14	0	0	100	0.0	14
248.5	6.1	68.1	0.38	-0.12	0	12	100	0.0	14
249.5	5.9	73.6	-0.3	-0.0	0	51	100	0.0	14
250.5	6.1	72.5	0.28	0.28	0	93	100	0.0	14
251.5	6.3	72.0	-0.35	0.35	0	99	100	0.0	14
252.5	6.8	69.9	-0.28	0.42	0	127	100	0.0	14
253.5	7.4	65.9	-0.89	0.11	1	113	100	0.0	14
254.5	7.8	62.9	-1.08	-0.19	0	61	100	0.0	14
255.5	7.5	64.3	0.57	-0.18	0	11	100	0.0	14
256.5	6.6	69.5	0.18	0.09	0	0	100	0.0	14
257.5	7.1	65.6	0.14	-0.27	0	0	100	0.0	14
258.5	6.9	68.7	0.0	-0.5	0	0	100	0.0	14
259.5	6.5	73.2	-0.38	-0.12	0	0	100	0.0	14
260.5	6.7	70.1	-0.12	-0.38	0	0	100	0.0	14
261.5	6.5	71.6	-0.27	-0.14	0	0	100	0.0	14
262.5	6.3	73.7	0.6	0.0	0	0	100	0.0	14
263.5	6.1	77.5	0.28	-0.28	0	0	100	0.0	14
264.5	6.2	77.0	-0.27	-0.14	0	0	100	0.0	14
265.5	5.9	81.2	-0.0	0.2	0	0	100	0.0	14
266.5	5.9	80.6	-0.21	-0.21	0	0	100	0.0	14
267.5	6.0	79.8	-0.78	-0.45	0	0	100	0.0	14
268.5	6.0	76.8	0.56	-0.22	0	0	100	0.0	14
269.5	6.2	75.0	0.27	0.14	0	0	100	0.0	14
270.5	5.9	78.3	0.0	-0.3	0	0	100	0.0	14
271.5	5.8	84.2	-0.41	-0.69	0	3	100	0.0	14
272.5	5.8	85.1	-0.38	-0.93	0	18	100	0.0	14
273.5	6.4	81.4	0.34	-0.5	0	20	100	0.0	14
274.5	6.1	82.7	-0.0	0.3	0	27	100	0.0	14
275.5	6.1	82.2	-0.21	0.21	0	37	100	0.0	14
276.5	6.4	81.4	-0.28	-0.28	0	47	100	0.0	14
277.5	6.5	80.1	0.28	0.28	0	32	100	0.0	14
278.5	6.7	79.1	-0.66	-0.45	0	23	100	0.0	14
279.5	7.0	80.9	-0.45	-0.78	0	8	100	0.0	14
280.5	7.3	80.3	0.0	-0.6	0	0	100	0.0	14
281.5	7.2	82.6	0.0	-0.4	0	0	100	0.0	14
282.5	7.1	81.5	-0.14	-0.14	0	0	100	0.0	14
283.5	7.5	80.0	-0.14	-0.58	0	0	99	0.0	14
284.5	7.3	81.6	0.0	-0.6	0	0	98	0.0	14
285.5	7.6	80.0	-0.32	-0.62	0	0	97	0.0	14
286.5	7.4	81.6	-0.16	-0.48	0	0	96	0.0	14
287.5	7.4	81.9	0.28	-0.28	0	0	95	0.0	14
288.5	7.3	81.7	-0.5	-0.5	0	0	94	0.0	14
289.5	7.0	83.8	-0.5	-0.98	0	0	93	0.0	14
290.5	7.1	82.8	-0.57	-0.57	0	0	92	0.0	14
291.5	7.3	82.3	0.0	-0.4	0	0	91	0.0	14
292.5	7.0	83.0	-0.69	-0.4	0	0	90	0.0	14
293.5	7.3	81.4	-0.36	-0.71	0	0	89	0.0	14
294.5	7.7	80.7	0.21	-0.21	0	0	88	0.0	14
295.5	7.6	79.4	-0.78	-0.78	0	0	90	0.0	14
296.5	7.8	79.1	-0.12	-0.48	0	9	92	0.0	14
297.5	7.9	78.8	-0.4	-0.3	0	22	94	0.0	14
298.5	7.9	80.0	0.48	0.12	0	66	96	0.0	14
299.5	7.5	83.4	0.42	0.28	0	84	98	0.0	14
300.5	7.5	83.2	-0.16	0.48	0	86	100	0.0	14
301.5	7.7	82.6	0.18	0.36	0	52	100	0.0	14
302.5	7.8	85.5	-0.28	0.28	0	56	100	0.0	14
303.5	7.6	87.2	0.71	0.36	0	15	100	0.0	14
304.5	7.6	88.9	0.67	0.22	0	0	100	0.0	14
305.5	7.7	90.7	-0.22	-0.33	0	0	100	0.0	14
306.5	7.5	92.4	-0.42	-0.42	0	0	100	0.1	14
307.5	7.4	93.2	-0.14	0.14	0	0	95	0.6	14
308.5	7.3	93.2	-0.21	0.21	0	0	90	0.1	14
309.5	7.1	94.0	-0.57	-0.57	0	0	84	0.0	14
310.5	7.2	92.8	-0.6	-0.36	0	0	79	0.0	14
311.5	7.2	92.7	-0.45	-0.23	0	0	74	0.1	14
312.5	7.1	92.3	-0.27	-0.14	0	0	69	0.0	14
313.5	7.2	91.4	0.14	-0.14	0	0	64	0.0	14
314.5	7.2	91.2	0.0	-0.5	0	0	58	0.0	14
315.5	6.9	92.4	-0.39	-0.58	0	0	53	0.0	14
316.5	7.0	90.4	-0.56	-0.22	0	0	48	0.0	14
317.5	7.0	89.8	-0.23	-0.45	0	0	43	0.0	14
318.5	7.1	89.3	0.13	-0.69	0	0	38	0.0	14
319.5	6.9	88.8	0.0	-0.4	0	9	38	0.0	14
320.5	7.2	89.5	-0.27	-0.14	33	58	38	0.0	14
321.5	7.4	91.3	-0.14	0.27	72	115	38	0.0	14
322.5	8.3	86.8	-0.26	0.65	209	154	38	0.0	14
323.5	9.3	80.6	-0.41	1.13	516	129	38	0.0	14
324.5	10.3	75.0	-0.87	0.97	713	74	38	0.0	14
325.5	10.2	74.1	-0.82	1.01	652	75	33	0.0	14
326.5	10.2	74.8	-0.25	0.76	535	60	29	0.0	14
327.5	9.2	77.9	-0.12	0.38	255	42	25	0.0	14
328.5	9.1	75.8	0.27	-0.54	0	0	21	0.0	14
329.5	8.4	76.2	0.42	-0.42	0	0	17	0.0	14
330.5	7.9	77.4	0.28	-0.86	0	0	12	0.0	14
331.5	7.6	78.8	-0.36	-0.71	0	0	15	0.0	14
332.5	7.2	79.6	-0.15	-0.78	0	0	17	0.0	14
333.5	6.6	81.2	-0.09	-0.28	0	0	19	0.0	14
334.5	6.2	82.4	0.27	-0.54	0	0	21	0.0	14
335.5	6.3	82.0	0.0	-0.7	0	0	23	0.0	14
336.5	6.0	82.3	0.0	-0.5	0	0	25	0.0	14
337.5	5.9	82.8	-0.36	-0.71	0	0	27	0.0	14
338.5	5.6	84.5	0.0	-0.3	0	0	29	0.0	14
339.5	5.4	85.6	-0.41	-0.8	0	0	31	0.0	14
340.5	5.4	83.5	0.35	-0.35	0	0	33	0.0	14
341.5	4.9	84.3	0.8	0.0	0	0	35	0.0	14
342.5	4.4	91.4	0.9	0.0	0	0	38	0.0	14
343.5	4.4	92.0	-0.12	-0.48	0	8	48	0.0	14
344.5	4.7	91.6	0.62	0.32	0	28	58	0.0	14
345.5	4.8	92.4	-1.4	0.1	0	50	69	0.0	14
346.5	4.9	93.1	-1.79	-0.19	0	110	79	0.0	14
347.5	5.2	92.7	-0.78	0.45	90	164	90	0.0	14
348.5	6.8	87.3	-0.36	0.6	536	142	100	0.0	14
349.5	7.0	83.9	0.11	0.89	623	95	98	0.0	14
350.5	6.3	84.0	0.32	0.84	233	93	96	0.0	14
351.5	6.3	85.3	-0.22	0.33	47	47	94	0.0	14
352.5	6.0	88.6	0.42	0.42	0	0	92	0.0	14
353.5	5.8	89.8	0.38	0.12	0	0	90	0.0	14
354.5	5.7	90.7	0.3	0.0	0	0	88	0.0	14
355.5	5.7	90.6	-0.14	-0.27	0	0	80	0.0	14
356.5	5.6	90.8	-0.28	0.28	0	0	73	0.0	14
357.5	5.3	92.1	-0.33	-0.22	0	0	66	0.0	14
358.5	5.1	92.3	-0.83	-0.35	0	0	58	0.0	14
359.5	4.7	93.6	-0.9	0.09	0	0	51	0.0	14
360.5	4.5	93.9	-0.69	-0.1	0	0	44	0.0	14
361.5	3.9	96.4	-0.95	-0.31	0	0	36	0.0	14
362.5	3.5	96.1	-0.48	-0.16	0	0	29	0.0	14
363.5	3.8	89.6	-0.36	-0.6	0	0	22	0.0	14
364.5	4.6	82.7	-0.78	-0.78	0	0	15	0.0	14
365.5	4.6	80.4	0.0	-0.6	0	0	7	0.0	14
366.5	4.8	77.7	0.21	-0.21	0	0	0	0.0	14
367.5	4.7	76.8	-0.45	-0.66	0	11	0	0.0	14
368.5	5.2	76.7	-0.21	-0.21	222	52	0	0.0	14
369.5	5.9	80.0	-0.0	0.6	510	84	0	0.0	14
370.5	6.4	80.8	-0.25	0.76	649	80	0	0.0	14
371.5	7.0	77.8	-0.32	0.84	714	77	0	0.0	14
372.5	7.2	77.0	-0.22	0.97	717	76	0	0.0	14
373.5	7.4	76.2	-0.22	0.67	686	68	0	0.0	14
374.5	7.0	80.0	-0.1	0.49	529	64	0	0.0	14
375.5	6.3	77.8	0.21	0.21	262	44	0	0.0	14
376.5	5.9	74.7	0.2	0.0	0	0	0	0.0	14
377.5	4.6	83.8	0.2	0.0	0	0	0	0.0	14
378.5	3.3	95.2	-0.0	-0.2	0	0	0	0.0	14
379.5	3.1	98.0	-0.28	-0.09	0	0	8	0.0	14
380.5	3.0	97.4	-0.35	-0.35	0	0	17	0.0	14
381.5	2.9	91.5	0.14	-0.27	0	0	25	0.0	14
382.5	1.7	95.8	0.1	0.0	0	0	33	0.0	14
383.5	1.6	96.8	-0.14	-0.14	0	0	42	0.0	14
384.5	1.6	96.0	0.5	0.0	0	0	50	0.0	14
385.5	1.5	98.6	0.21	-0.21	0	0	58	0.0	14
386.5	1.7	98.2	-0.83	-0.35	0	0	67	0.0	14
387.5	1.4	98.7	-0.3	-0.0	0	0	75	0.0	14
388.5	1.1	99.1	-0.35	-0.35	0	0	83	0.0	14
389.5	0.9	99.4	-0.4	-0.0	0	0	92	0.0	14
390.5	0.6	98.3	-0.0	-0.1	0	0	100	0.0	14
391.5	0.8	96.0	0.45	-0.23	0	6	100	0.0	14
392.5	1.0	98.1	-0.8	-0.0	0	35	100	0.0	14
393.5	0.6	98.1	-0.95	0.31	13	108	100	0.0	14
394.5	1.1	98.1	-0.35	0.35	48	163	100	0.0	14
395.5	1.6	96.1	-0.22	0.56	95	184	100	0.0	14
396.5	2.1	94.2	0.11	0.59	88	199	100	0.0	14
397.5	2.3	94.5	-0.0	0.6	70	155	100	0.0	14
398.5	2.3	94.6	0.11	0.59	13	97	100	0.0	14
399.5	2.2	96.7	0.86	0.25	0	30	100	0.0	14
400.5	2.2	97.4	-0.35	0.35	0	0	100	0.0	14
401.5	2.0	97.6	0.27	0.14	0	0	100	0.0	14
402.5	1.8	98.9	-0.3	-0.0	0	0	100	0.0	14
403.5	1.2	100.0	-0.28	-0.09	0	0	100	0.0	14
404.5	1.1	97.8	-0.14	-0.14	0	0	100	0.0	14
405.5	2.4	88.3	-0.54	-0.44	0	0	100	0.0	14
