#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover
0.0	4.2	93.4	-1.24	0.66	0	0	100
0.5	4.2	93.4	-1.24	0.66	0	0	100
1.5	3.4	92.1	-1.5	0.05	0	0	100
2.5	2.8	91.3	-1.33	-0.43	0	0	100
3.5	2.3	90.5	-1.09	-0.88	0	0	100
4.5	1.9	90.4	-0.77	-0.92	0	0	100
5.5	1.9	90.7	-0.58	-0.69	0	0	100
6.5	1.8	91.1	-0.42	-0.56	0	0	100
7.5	1.7	91.2	-0.24	-0.32	0	0	100
8.5	1.7	91.9	-0.1	-0.0	0	24	100
9.5	1.8	90.8	-0.0	-0.0	0	54	100
10.5	2.0	89.3	0.39	-0.1	0	78	100
11.5	2.1	89.0	-0.23	-0.45	0	79	100
12.5	2.4	86.4	-0.5	-0.0	0	87	100
13.5	2.6	86.1	-0.11	-0.79	0	64	100
14.5	2.7	84.5	-1.05	0.34	0	35	100
15.5	2.5	87.5	0.12	-0.99	0	9	100
16.5	2.0	91.7	-1.0	-0.0	0	0	100
17.5	2.0	94.1	0.12	-0.38	0	0	100
18.5	1.6	99.3	0.0	-0.1	0	0	100
19.5	1.5	100.0	-0.0	-0.0	0	0	100
20.5	1.3	100.0	-0.0	-0.0	0	0	100
21.5	1.4	99.5	-0.0	-0.0	0	0	100
22.5	1.4	99.5	-0.0	-0.0	0	0	100
23.5	1.4	98.2	0.09	0.18	0	0	100
24.5	1.4	98.8	-0.0	-0.1	0	0	100
25.5	1.5	99.1	-0.0	-0.0	0	0	100
26.5	1.4	99.3	-0.1	-0.0	0	0	100
27.5	1.3	100.0	-0.0	-0.0	0	0	100
28.5	1.1	99.5	-0.39	0.1	0	0	100
29.5	0.6	99.9	0.07	-0.07	0	0	100
30.5	0.8	100.0	-0.0	-0.0	0	0	100
31.5	0.7	99.4	-0.2	-0.0	0	0	100
32.5	1.1	98.9	-0.0	-0.0	0	17	100
33.5	1.3	98.6	-0.0	-0.0	0	40	100
34.5	1.9	97.1	-0.7	-1.21	0	100	100
35.5	2.2	95.2	-0.92	-1.66	5	132	100
36.5	2.3	93.5	-1.32	-2.12	2	119	100
37.5	2.5	91.8	-1.9	-1.77	0	78	100
38.5	2.6	89.9	-1.84	-1.98	0	55	100
39.5	2.5	89.2	-2.01	-1.81	0	21	100
40.5	2.4	86.0	-3.32	-1.84	0	0	100
41.5	2.0	87.1	-1.7	-2.35	0	0	100
42.5	1.5	87.6	-2.23	-2.57	0	0	100
43.5	1.3	86.4	-2.12	-1.32	0	0	100
44.5	1.1	84.6	-3.42	-1.67	0	0	100
45.5	0.9	83.2	-3.4	-2.29	0	0	100
46.5	0.6	83.9	-4.39	-1.68	0	0	100
47.5	0.4	84.3	-3.03	-1.75	0	0	100
48.5	0.2	85.1	-2.23	-1.14	0	0	100
49.5	0.1	86.2	-1.93	-2.3	0	0	100
50.5	0.1	87.2	-2.33	-2.33	0	0	100
51.5	0.0	85.4	-2.68	-2.25	0	0	100
52.5	-0.2	87.0	-1.62	-1.18	0	0	100
53.5	-0.5	87.7	-0.93	-1.54	0	0	100
54.5	-0.5	87.8	-1.06	-1.46	0	0	100
55.5	-0.4	87.3	-1.23	-1.03	0	0	100
56.5	-0.3	85.7	-1.34	-0.87	0	15	100
57.5	0.0	84.2	-1.61	-1.78	0	53	100
58.5	-0.2	82.6	-2.02	-2.09	0	71	100
59.5	-0.1	82.2	-1.84	-1.84	0	92	100
60.5	0.0	81.2	-1.42	-1.81	0	103	100
61.5	0.1	82.1	-1.5	-2.0	0	85	100
62.5	0.2	82.1	-1.8	-1.08	0	69	100
63.5	0.1	82.7	-0.84	-1.81	0	26	100
64.5	0.0	82.1	-1.67	-1.86	0	0	100
65.5	-0.3	81.1	-2.24	-0.86	0	0	100
66.5	-0.4	81.5	-1.46	-1.06	0	0	100
67.5	-0.4	80.9	-1.06	-1.06	0	0	100
68.5	-0.7	81.9	-1.77	-1.9	0	0	100
69.5	-0.9	82.0	-1.81	-2.01	0	0	100
70.5	-1.3	81.6	-1.92	-1.61	0	0	100
71.5	-1.3	82.4	-0.97	-0.87	0	0	100
72.5	-1.5	83.1	-0.4	-1.24	0	0	100
