#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	4.8	90.2	0.42	0.42	0	0	50	0.0	14
0.5	4.8	90.2	0.42	0.42	0	0	50	0.0	14
1.5	4.3	91.4	-0.48	0.36	0	0	58	0.3	14
2.5	4.0	92.3	-0.34	1.05	0	0	67	0.1	14
3.5	3.7	93.5	0.4	0.0	0	0	75	0.1	14
4.5	3.6	94.1	-0.43	0.26	0	0	83	0.0	14
5.5	3.7	94.1	-0.6	-0.0	0	0	92	0.0	14
6.5	3.8	94.1	0.41	1.02	0	0	100	0.0	14
7.5	4.0	93.9	-0.71	0.71	0	0	100	0.2	14
8.5	4.1	94.0	0.94	1.29	0	8	100	0.2	14
9.5	5.4	91.1	1.31	2.36	0	35	100	0.0	14
10.5	6.2	88.2	1.64	2.63	0	39	100	0.0	14
11.5	7.0	85.7	2.12	2.53	0	87	100	0.0	14
12.5	7.5	81.5	3.16	2.29	0	62	100	0.0	14
13.5	7.8	81.6	2.01	2.23	4	107	96	0.0	14
14.5	7.7	79.6	1.93	1.74	0	53	92	0.0	14
15.5	7.2	79.6	2.52	1.63	37	31	88	0.0	14
16.5	6.7	80.5	1.54	2.46	0	0	83	0.0	14
17.5	6.2	82.2	1.63	2.52	0	0	79	0.0	14
18.5	5.9	81.4	1.65	2.74	0	0	75	0.0	14
19.5	5.8	77.8	1.4	2.99	0	0	77	0.0	14
20.5	5.9	76.4	2.56	3.94	0	0	79	0.0	14
21.5	5.9	79.6	3.15	3.75	0	0	81	0.0	14
22.5	5.9	80.8	3.41	3.66	0	0	83	0.0	14
23.5	6.0	80.5	2.96	3.78	0	0	85	0.0	14
24.5	6.2	78.9	3.83	3.21	0	0	88	0.0	14
25.5	6.3	76.7	3.09	2.69	0	0	90	0.0	14
26.5	6.5	75.6	3.39	3.39	0	0	92	0.0	14
27.5	6.4	76.8	3.74	3.61	0	0	94	0.0	14
28.5	6.4	75.3	2.82	3.88	0	0	96	0.0	14
29.5	6.5	75.9	3.39	4.33	0	0	98	0.0	14
30.5	6.9	75.8	2.35	3.36	0	0	100	0.0	14
31.5	7.1	74.2	3.51	3.27	0	0	98	0.0	14
32.5	7.6	70.5	4.08	4.53	44	37	96	0.0	14
33.5	8.4	69.3	4.31	4.46	390	107	94	0.0	14
34.5	8.7	69.2	4.08	3.54	62	123	92	0.0	14
35.5	9.5	68.6	3.25	4.31	105	148	90	0.0	14
36.5	10.5	67.6	2.81	4.5	369	123	88	0.0	14
37.5	11.2	68.1	4.24	4.39	196	129	90	0.0	14
38.5	11.6	65.5	4.55	5.05	0	74	92	0.0	14
39.5	11.2	66.3	4.13	4.76	0	4	94	0.0	14
40.5	10.9	67.9	4.47	5.52	0	0	96	0.0	14
41.5	11.4	66.4	3.75	6.5	0	0	98	0.0	14
42.5	10.6	72.7	4.0	6.93	0	0	100	0.0	14
43.5	9.5	81.4	4.37	5.21	0	0	99	0.5	14
44.5	9.2	86.5	3.6	5.54	0	0	98	0.3	14
45.5	8.8	87.4	7.21	5.05	0	0	97	5.4	14
46.5	7.9	76.5	8.21	4.37	0	0	96	0.9	14
47.5	8.3	70.1	7.88	2.26	0	0	95	0.0	14
48.5	9.0	61.5	7.93	4.04	0	0	94	0.0	14
49.5	8.2	66.3	4.34	5.36	0	0	93	0.0	14
50.5	7.5	69.7	2.98	4.26	0	0	92	0.0	14
51.5	8.0	60.6	4.81	4.81	0	0	91	0.0	14
52.5	7.9	70.0	5.63	5.83	0	0	90	0.0	14
53.5	8.2	64.6	6.25	6.47	0	0	89	0.0	14
54.5	7.9	63.9	6.36	6.36	0	0	88	0.0	14
55.5	7.8	61.8	6.79	5.9	0	0	85	0.0	14
56.5	5.6	75.1	6.63	7.62	0	17	83	0.0	14
57.5	4.2	85.7	4.35	4.83	0	53	81	0.8	14
58.5	6.6	78.0	4.8	6.15	229	122	79	0.0	14
59.5	8.4	64.9	6.26	5.44	618	100	77	0.0	14
60.5	9.1	58.0	6.19	5.38	662	74	75	0.0	14
61.5	9.4	55.8	4.53	4.53	409	123	79	0.0	14
62.5	8.4	59.8	2.29	3.52	0	58	83	0.0	14
63.5	7.9	62.6	1.78	1.61	0	17	88	0.0	14
