#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover
0.0	0.3	92.0	-0.14	0.38	0	0	100
0.5	0.3	92.0	-0.14	0.38	0	0	100
1.5	0.4	92.3	-0.05	0.3	0	0	100
2.5	0.4	92.7	0.02	0.3	0	0	100
3.5	0.4	93.1	0.13	0.27	0	0	100
4.5	0.4	93.4	0.2	0.23	0	0	100
5.5	0.4	93.7	0.34	0.22	0	0	100
6.5	0.3	94.0	0.5	0.06	0	0	100
7.5	0.3	94.3	0.6	0.04	0	0	100
8.5	0.6	95.3	0.77	-0.21	0	44	100
9.5	-0.2	94.8	0.69	-0.13	0	45	100
10.5	0.0	86.7	1.09	-0.51	0	108	100
11.5	-0.3	89.0	-0.39	0.58	0	113	100
12.5	-0.1	93.6	0.49	0.08	0	50	100
13.5	0.2	93.2	0.47	0.17	0	31	100
14.5	-0.2	93.1	-0.28	0.42	0	22	100
15.5	-0.6	92.3	-0.26	0.43	0	9	100
16.5	-0.6	91.4	-0.33	0.62	0	0	100
17.5	-0.5	88.5	0.53	0.46	0	0	100
18.5	-1.2	85.9	2.33	-0.58	0	0	100
19.5	-2.9	85.0	2.49	-0.22	0	0	100
20.5	-3.7	86.1	3.63	-0.71	0	0	100
21.5	-3.7	83.4	4.07	-0.5	0	0	100
22.5	-4.4	81.7	2.44	-0.56	0	0	100
23.5	-4.8	83.4	1.93	-0.52	0	0	100
24.5	-4.4	85.4	2.89	-0.25	0	0	100
25.5	-3.7	83.6	1.18	-0.23	0	0	100
26.5	-3.4	83.2	0.48	0.16	0	0	100
27.5	-3.0	83.8	0.51	-0.32	0	0	100
28.5	-3.2	85.7	1.67	-0.3	0	0	100
29.5	-1.9	77.5	3.04	-0.59	0	0	100
30.5	-1.9	75.5	2.77	-0.39	0	0	100
31.5	-2.8	84.0	1.3	-0.11	0	0	98
32.5	-2.3	86.1	0.48	-0.14	0	35	96
33.5	-1.5	80.1	-0.34	0.21	0	61	94
34.5	-0.6	73.7	-0.5	0.62	0	119	92
35.5	-0.1	69.3	-0.38	0.33	0	103	90
36.5	0.3	66.7	0.37	-0.15	0	129	88
37.5	1.1	62.2	-0.59	0.12	0	117	90
38.5	1.3	62.8	0.4	0.3	0	52	92
39.5	1.0	68.8	-0.62	0.33	0	10	94
40.5	0.9	72.9	0.6	-0.07	0	0	96
41.5	0.7	78.9	-0.43	0.42	0	0	98
42.5	0.7	80.7	0.8	0.04	0	0	100
43.5	0.6	82.8	-0.48	0.14	0	0	100
44.5	0.5	85.3	-0.47	0.18	0	0	100
45.5	0.3	87.2	-0.48	0.16	0	0	100
46.5	0.3	87.9	0.64	-0.28	0	0	100
47.5	0.1	88.3	-0.51	0.48	0	0	100
48.5	0.1	88.8	-0.44	0.24	0	0	100
49.5	0.1	89.0	-0.52	0.29	0	0	100
50.5	0.1	89.1	0.45	-0.23	0	0	100
51.5	-0.1	89.9	0.4	-0.06	0	0	100
52.5	-0.4	88.5	1.28	-0.25	0	0	100
53.5	-0.5	78.5	0.9	0.03	0	0	100
54.5	-0.4	78.0	1.35	-0.36	0	0	100
55.5	-0.3	77.9	1.3	0.02	0	0	92
56.5	0.1	77.3	1.49	-0.13	0	40	83
57.5	1.3	65.8	1.27	-0.59	0	112	75
58.5	2.4	56.7	1.0	-0.45	0	181	67
59.5	1.5	60.4	-0.78	0.78	0	143	58
60.5	1.8	63.7	-0.96	0.53	0	107	50
61.5	2.0	67.4	-2.54	1.59	0	78	58
62.5	2.1	68.4	-1.12	0.84	0	83	67
63.5	1.6	73.5	-0.8	0.89	0	29	75
64.5	1.5	77.2	-0.04	-0.09	0	0	83
65.5	1.3	81.6	-0.44	0.41	0	0	92
66.5	1.1	85.6	-0.42	-0.42	0	0	100
67.5	0.9	88.2	-0.49	0.34	0	0	96
68.5	0.8	90.6	0.02	0.2	0	0	92
69.5	0.8	92.0	-0.0	0.0	0	0	88
70.5	0.6	92.9	-0.14	0.14	0	0	83
71.5	0.5	93.8	-0.08	0.39	0	0	79
72.5	0.4	94.0	0.7	0.01	0	0	75
73.5	0.3	93.1	1.3	-0.09	0	0	71
74.5	-0.1	90.7	1.24	-0.38	0	0	67
75.5	-0.8	90.3	0.99	-0.16	0	0	62
76.5	-1.3	90.6	2.28	-0.28	0	0	58
77.5	-1.8	89.0	0.56	-0.2	0	0	54
78.5	-1.5	90.3	1.84	-0.46	0	0	50
79.5	0.7	79.3	3.09	-1.64	0	0	52
80.5	1.6	56.9	5.12	-2.28	0	32	54
81.5	1.1	47.9	5.46	-1.26	0	38	56
82.5	1.5	41.0	5.8	0.1	0	138	58
83.5	1.7	38.2	1.78	-0.91	0	147	60
84.5	0.8	33.2	2.14	-1.29	0	50	62
85.5	-0.1	32.4	1.48	-0.6	0	35	52
86.5	-0.7	36.9	-1.19	0.17	0	31	42
87.5	-1.4	43.4	0.7	0.05	0	18	31
