#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	3.8	36.5	5.88	0.51	0	0	50	0.0	30
0.5	3.8	36.5	5.88	0.51	0	0	50	0.0	30
1.5	2.8	38.9	5.78	0.51	0	0	42	0.0	30
2.5	2.1	40.3	5.78	0.51	0	0	33	0.0	30
3.5	1.4	41.5	5.3	0.18	0	0	25	0.0	30
4.5	1.0	42.4	5.2	-0.09	0	0	17	0.0	30
5.5	1.2	41.1	5.3	-0.18	0	0	8	0.0	14
6.5	1.4	39.6	6.2	0.0	0	0	0	0.0	14
7.5	1.9	37.3	6.1	0.0	0	0	0	0.0	14
8.5	2.3	35.6	5.9	0.0	0	39	0	0.0	14
9.5	3.2	32.5	5.2	-0.09	0	57	0	0.0	14
10.5	3.9	31.7	4.84	-0.77	0	129	0	0.0	14
11.5	4.2	30.1	4.18	-0.44	0	133	0	0.0	14
12.5	2.4	38.4	4.5	-0.16	0	68	0	0.0	14
13.5	-0.6	56.1	1.13	1.13	0	58	0	0.0	14
14.5	-1.8	64.6	-0.32	0.24	0	44	0	0.0	14
15.5	-2.7	68.5	0.28	-0.1	0	20	0	0.0	14
16.5	-3.7	73.7	0.4	0.06	0	0	0	0.0	14
17.5	-3.9	71.5	-0.3	-0.04	0	0	0	0.0	14
18.5	1.6	25.1	4.11	-1.26	0	0	0	0.0	14
19.5	1.6	22.7	6.43	-1.48	0	0	8	0.0	14
20.5	1.6	21.9	5.66	-0.7	0	0	17	0.0	14
21.5	1.7	21.9	5.56	-0.68	0	0	25	0.0	14
22.5	1.8	21.9	5.47	-0.57	0	0	33	0.0	14
23.5	-1.7	48.5	3.99	0.28	0	0	42	0.0	14
24.5	-5.8	88.5	-0.77	0.21	0	0	50	0.0	14
25.5	-6.4	91.1	-0.3	-0.04	0	0	58	0.0	14
26.5	-7.2	91.8	-0.38	0.13	0	0	67	0.0	14
27.5	-6.8	92.1	-0.08	0.59	0	0	75	0.0	14
28.5	-6.3	90.2	-0.42	0.42	0	0	83	0.0	14
29.5	-5.7	86.1	-0.48	0.12	0	0	92	0.0	14
30.5	-5.6	81.9	0.48	-0.36	0	0	100	0.0	14
31.5	-5.7	78.7	0.3	-0.52	0	0	83	0.0	14
32.5	-5.6	79.5	-0.13	0.27	0	38	67	0.0	14
33.5	-5.6	78.9	0.9	0.02	0	77	50	0.0	14
34.5	-5.7	78.7	2.29	-0.2	0	136	33	0.0	14
35.5	-5.9	77.0	1.7	0.03	0	147	17	0.0	30
36.5	-5.6	76.4	0.24	0.32	0	80	0	0.0	30
37.5	-5.2	76.9	0.69	-0.1	0	64	0	0.0	30
38.5	-5.7	80.7	-0.64	0.48	0	46	0	0.0	30
39.5	-6.0	77.3	1.39	-0.17	0	23	0	0.0	30
40.5	-1.0	20.7	5.39	-1.86	0	0	0	0.0	30
41.5	-2.1	21.9	6.4	-2.58	0	0	0	0.0	30
42.5	-5.8	74.6	-5.29	-0.28	0	0	0	0.0	30
43.5	-6.7	89.4	-1.31	0.5	0	0	0	0.0	30
44.5	-6.8	88.6	-1.54	0.41	0	0	0	0.0	30
45.5	-7.3	85.3	1.76	0.71	0	0	0	0.0	30
46.5	-8.8	79.3	1.48	0.21	0	0	0	0.0	30
47.5	-9.2	79.1	1.3	-0.07	0	0	0	0.0	30
