#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor
0.0	8.3	79.8	1.32	-1.07	0	0
0.5	8.3	79.8	1.32	-1.07	0	0
1.5	8.2	83.1	1.13	-0.82	0	0
2.5	8.1	85.3	0.92	-0.6	0	0
3.5	8.0	87.7	0.79	-0.44	0	0
4.5	8.0	88.9	0.74	-0.3	0	0
5.5	8.0	89.4	0.69	-0.1	0	0
6.5	7.9	90.1	0.6	-0.03	0	0
7.5	8.0	90.1	0.52	0.3	0	0
8.5	8.1	90.7	-0.18	0.36	350	45
9.5	8.6	86.2	-0.53	1.19	519	99
10.5	8.8	82.6	-0.41	1.02	609	81
11.5	8.7	79.7	-0.44	1.22	581	77
12.5	8.9	78.7	0.28	0.96	400	131
13.5	8.5	83.2	1.15	0.35	0	92
14.5	8.6	84.2	0.28	0.28	0	63
15.5	8.9	81.8	0.18	0.09	0	27
16.5	8.9	82.6	0.18	0.09	0	0
17.5	8.9	85.4	0.69	-0.11	0	0
18.5	8.9	86.1	0.96	-0.28	0	0
19.5	9.1	84.6	1.12	-1.0	0	0
20.5	9.2	86.4	1.24	-0.84	0	0
21.5	9.4	87.4	0.5	-0.62	0	0
22.5	9.7	85.1	0.66	-0.76	0	0
23.5	9.6	85.1	-0.12	-1.09	0	0
24.5	9.7	87.6	-0.12	-0.89	0	0
25.5	9.9	88.3	0.71	-0.71	0	0
26.5	9.7	92.1	-0.58	-0.14	0	0
27.5	10.0	90.0	0.0	-0.6	0	0
28.5	10.3	89.4	0.95	-0.74	0	0
29.5	10.6	94.3	1.24	-1.01	0	0
30.5	10.6	92.6	-0.22	-0.56	0	0
31.5	10.8	91.8	0.5	-0.5	0	0
32.5	11.1	93.0	0.16	-0.48	0	7
33.5	11.6	92.6	-0.57	-0.57	0	34
34.5	11.9	86.8	0.87	-0.22	0	25
35.5	11.6	90.2	0.58	0.14	0	16
36.5	12.2	84.3	2.18	0.31	0	15
37.5	13.3	77.6	4.75	-1.18	0	16
38.5	15.8	62.0	5.6	1.5	0	49
39.5	15.3	63.5	5.28	2.13	0	24
40.5	15.5	57.8	5.3	2.59	0	0
41.5	14.8	57.6	5.67	1.21	0	0
42.5	13.9	57.0	7.08	0.5	0	0
43.5	12.9	62.1	5.1	-0.09	0	0
44.5	12.3	59.2	4.43	-0.78	0	0
45.5	11.8	56.8	3.6	0.13	0	0
46.5	11.7	55.8	3.09	0.83	0	0
47.5	11.5	56.5	2.34	1.14	0	0
48.5	11.3	58.7	3.16	0.5	0	0
49.5	11.2	52.2	3.6	0.0	0	0
50.5	10.9	56.8	2.39	0.21	0	0
51.5	9.4	70.8	3.18	-0.33	0	0
52.5	9.4	70.5	0.97	-0.24	0	0
53.5	9.3	68.6	0.45	-0.66	0	0
54.5	9.4	66.4	0.22	-0.33	0	0
55.5	9.4	68.4	1.5	-0.8	0	0
56.5	9.9	60.2	1.91	-1.29	29	40
