#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor
0.0	9.3	80.3	1.32	-1.07	0	0
0.5	9.3	80.3	1.32	-1.07	0	0
1.5	9.2	83.6	1.13	-0.82	0	0
2.5	9.1	85.8	0.92	-0.6	0	0
3.5	9.0	88.2	0.79	-0.44	0	0
4.5	9.0	89.4	0.74	-0.3	0	0
5.5	8.9	89.9	0.69	-0.1	0	0
6.5	8.9	90.6	0.6	-0.03	0	0
7.5	8.9	90.7	0.52	0.3	0	0
8.5	9.0	91.3	-0.18	0.36	363	47
9.5	9.5	86.7	-0.53	1.19	539	102
10.5	9.7	83.1	-0.41	1.02	631	84
11.5	9.6	80.2	-0.44	1.22	603	80
12.5	9.8	79.1	0.28	0.96	415	136
13.5	9.4	83.7	1.15	0.35	0	96
14.5	9.5	84.7	0.28	0.28	0	65
15.5	9.8	82.3	0.18	0.09	0	28
16.5	9.8	83.1	0.18	0.09	0	0
17.5	9.8	85.9	0.69	-0.11	0	0
18.5	9.8	86.6	0.96	-0.28	0	0
19.5	10.0	85.1	1.12	-1.0	0	0
20.5	10.1	86.9	1.24	-0.84	0	0
21.5	10.3	87.9	0.5	-0.62	0	0
22.5	10.6	85.6	0.66	-0.76	0	0
23.5	10.5	85.6	-0.12	-1.09	0	0
24.5	10.6	88.1	-0.12	-0.89	0	0
25.5	10.8	88.8	0.71	-0.71	0	0
26.5	10.6	92.7	-0.58	-0.14	0	0
27.5	10.9	90.6	0.0	-0.6	0	0
28.5	11.2	90.0	0.95	-0.74	0	0
29.5	11.5	94.9	1.24	-1.01	0	0
30.5	11.5	93.1	-0.22	-0.56	0	0
31.5	11.7	92.4	0.5	-0.5	0	0
32.5	12.0	93.5	0.16	-0.48	0	8
33.5	12.5	93.1	-0.57	-0.57	0	35
34.5	12.8	87.3	0.87	-0.22	0	26
35.5	12.5	90.8	0.58	0.14	0	16
36.5	13.1	84.9	2.18	0.31	0	15
37.5	14.2	78.0	4.75	-1.18	0	16
38.5	16.7	62.4	5.6	1.5	0	51
39.5	16.2	63.9	5.28	2.13	0	25
40.5	16.4	58.2	5.3	2.59	0	0
41.5	15.7	58.0	5.67	1.21	0	0
42.5	14.8	57.4	7.08	0.5	0	0
43.5	13.8	62.5	5.1	-0.09	0	0
44.5	13.2	59.6	4.43	-0.78	0	0
45.5	12.7	57.2	3.6	0.13	0	0
46.5	12.6	56.1	3.09	0.83	0	0
47.5	12.4	56.9	2.34	1.14	0	0
48.5	12.2	59.1	3.16	0.5	0	0
49.5	12.1	52.6	3.6	0.0	0	0
50.5	11.8	57.2	2.39	0.21	0	0
51.5	10.3	71.2	3.18	-0.33	0	0
52.5	10.3	70.9	0.97	-0.24	0	0
53.5	10.2	69.1	0.45	-0.66	0	0
54.5	10.3	66.9	0.22	-0.33	0	0
55.5	10.3	68.9	1.5	-0.8	0	0
56.5	10.8	60.6	1.91	-1.29	30	41
57.5	10.8	60.2	1.47	-0.29	0	75
58.5	10.5	67.6	0.56	0.42	0	74
59.5	10.3	68.9	0.38	0.12	0	51
60.5	10.2	70.0	0.95	-0.31	0	49
61.5	10.7	68.6	0.0	-0.6	0	73
62.5	10.2	76.0	2.07	0.33	0	14
63.5	9.9	80.0	1.5	0.0	0	10
64.5	9.5	85.7	2.05	-1.04	0	0
65.5	9.9	82.4	2.8	-1.08	0	0
66.5	10.0	83.1	2.14	-0.5	0	0
67.5	10.8	76.1	2.41	0.97	0	0
68.5	11.1	72.7	2.6	2.03	0	0
69.5	11.8	65.7	2.69	2.69	0	0
70.5	11.5	66.8	3.47	1.55	0	0
71.5	10.7	73.6	3.34	1.35	0	0
72.5	10.0	81.3	3.39	0.3	0	0
73.5	10.0	78.5	2.95	0.96	0	0
74.5	9.8	80.5	2.93	0.62	0	0
