#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	PRECIPITATION	ALBEDO
0.0	3.6	72.9	1.64	-1.76	0	0	0.0	14
0.5	3.6	72.9	1.64	-1.76	0	0	0.0	14
1.5	4.9	73.0	1.11	-1.15	0	0	0.0	14
2.5	5.6	74.3	1.14	0.37	0	0	0.0	14
3.5	6.3	76.4	2.08	-1.2	0	0	0.1	14
4.5	6.5	79.6	-0.11	-0.69	0	0	0.3	14
5.5	6.3	83.7	-0.02	-0.9	0	0	0.4	14
6.5	6.0	88.8	0.74	-1.19	0	0	0.8	14
7.5	5.9	90.4	1.01	-0.82	0	0	0.7	14
8.5	5.8	92.4	1.24	-1.01	0	13	1.2	14
9.5	6.0	92.9	0.87	-0.5	0	14	0.5	14
10.5	6.1	93.7	1.01	-0.82	0	23	1.2	14
11.5	5.9	95.5	1.52	-0.77	0	17	0.4	14
12.5	6.1	95.5	1.97	-1.18	0	17	0.1	14
13.5	6.3	95.4	-0.11	-1.6	0	27	0.0	14
14.5	6.4	95.4	-0.52	-0.74	0	24	0.0	14
15.5	7.1	93.7	0.27	-2.18	0	9	0.0	14
16.5	7.5	92.5	0.44	-1.54	0	0	0.1	14
17.5	7.5	92.5	0.04	-1.1	0	0	0.0	14
18.5	7.9	92.1	-0.13	-1.09	0	0	0.2	14
19.5	7.9	92.6	0.9	-2.01	0	0	0.3	14
20.5	7.6	94.0	2.56	-2.08	0	0	0.7	14
21.5	8.0	93.2	0.95	-1.87	0	0	0.0	14
22.5	8.0	93.1	3.14	-2.64	0	0	1.2	14
23.5	7.9	94.0	5.17	-2.41	0	0	0.7	14
24.5	8.4	88.1	4.32	-2.7	0	0	0.3	14
25.5	8.0	87.9	5.25	-2.23	0	0	3.2	14
26.5	8.2	69.1	4.4	0.15	0	0	0.0	14
27.5	7.7	58.3	4.8	0.0	0	0	0.0	14
28.5	7.4	50.1	5.73	-2.09	0	0	0.0	14
29.5	7.1	50.7	5.58	-1.6	0	0	0.0	14
30.5	6.8	52.1	3.4	0.0	0	0	0.0	14
31.5	4.7	71.6	2.86	-0.5	0	0	0.0	14
32.5	5.0	77.1	1.97	-0.72	0	13	0.0	14
33.5	5.6	68.5	3.2	0.11	0	26	0.0	14
34.5	4.8	76.0	5.45	-0.76	0	32	1.0	14
35.5	4.9	83.4	4.7	-0.08	0	62	0.3	14
36.5	5.5	75.8	4.7	0.16	0	56	0.0	14
37.5	5.4	74.4	4.59	-0.32	0	50	0.0	14
38.5	5.0	78.5	3.99	0.28	0	24	0.2	14
39.5	4.5	85.0	3.79	-0.26	0	10	0.2	14
40.5	4.4	85.5	3.7	0.0	0	0	0.2	14
41.5	4.1	87.0	1.23	-1.32	0	0	0.1	14
42.5	4.8	86.0	2.11	-1.84	0	0	0.1	14
43.5	4.8	84.4	2.41	-1.23	0	0	0.1	14
44.5	4.7	87.9	2.13	-1.66	0	0	0.0	14
45.5	4.9	82.8	2.19	-1.21	0	0	0.0	14
46.5	4.4	87.0	2.43	-1.76	0	0	0.0	14
47.5	4.3	86.5	1.98	-1.84	0	0	0.0	14
48.5	4.5	84.9	1.7	-1.83	0	0	0.0	14
49.5	4.5	84.0	1.74	-2.32	0	0	0.0	14
50.5	4.3	82.4	1.54	-1.71	0	0	0.1	14
51.5	4.2	80.4	1.58	-1.81	0	0	0.0	14
52.5	4.0	80.3	0.92	-1.66	0	0	0.0	14
53.5	3.8	84.2	0.4	-1.24	0	0	0.0	14
54.5	3.6	85.1	-0.08	-1.2	0	0	0.0	14
55.5	3.2	87.4	-0.47	-1.21	0	0	0.0	14
56.5	3.3	88.1	-0.54	-1.4	16	39	0.0	14
57.5	4.1	83.8	-0.6	-0.52	3	82	0.0	14
58.5	4.3	81.9	0.6	0.36	0	96	0.0	14
59.5	4.8	79.9	0.39	-0.32	0	105	0.0	14
60.5	5.1	71.7	-0.08	-0.7	2	123	0.0	14
61.5	4.5	77.2	-0.12	-1.4	0	68	0.1	14
62.5	4.1	80.7	-0.18	-1.29	0	55	0.1	14
63.5	4.2	78.3	0.64	-0.27	0	24	0.1	14
64.5	3.5	75.1	0.23	-1.18	0	0	0.0	14
65.5	3.1	73.3	1.0	-1.38	0	0	0.0	14
66.5	2.7	71.5	-2.31	-2.76	0	0	0.0	14
