#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	PRECIPITATION	ALBEDO
0.0	6.2	89.6	-0.6	0.36	0	0	0.0	14
0.5	6.2	89.6	-0.6	0.36	0	0	0.0	14
1.5	6.0	90.5	-0.6	-0.0	0	0	0.2	14
2.5	5.9	91.4	-0.4	-0.0	0	0	0.2	14
3.5	5.7	92.2	0.0	-0.2	0	0	0.3	14
4.5	5.7	92.9	0.0	-0.5	0	0	0.2	14
5.5	5.7	93.1	-0.48	0.16	0	0	0.1	14
6.5	5.7	93.1	-0.42	-0.28	0	0	0.1	14
7.5	5.6	93.3	-0.54	-0.27	0	0	0.2	14
8.5	5.5	93.2	-0.9	-0.09	0	7	0.3	14
9.5	5.6	93.9	-0.62	-0.32	0	13	1.1	14
10.5	5.9	94.0	-0.48	0.36	0	35	0.1	14
11.5	6.5	94.7	-0.16	0.48	0	94	0.0	14
12.5	6.6	94.6	-0.0	0.5	0	114	0.0	14
13.5	7.0	90.3	-0.4	-0.0	0	84	0.0	14
14.5	6.7	91.3	-0.09	0.28	0	41	0.0	14
15.5	7.2	88.3	1.48	-1.2	64	33	0.0	14
16.5	7.0	85.5	1.54	-1.12	0	0	0.0	14
17.5	7.1	81.4	1.37	-0.29	0	0	0.0	14
18.5	6.9	79.2	0.9	0.0	0	0	0.0	14
19.5	6.1	88.2	0.32	0.62	0	0	0.0	14
20.5	6.1	91.5	1.26	-0.34	0	0	0.0	14
21.5	6.0	90.2	1.07	-0.55	0	0	0.0	14
22.5	6.0	90.3	1.48	-0.6	0	0	0.0	14
23.5	6.2	90.0	1.84	-1.54	0	0	0.0	14
24.5	6.2	89.6	0.57	-0.57	0	0	0.0	14
25.5	6.0	90.5	1.24	-0.66	0	0	0.0	14
26.5	6.2	88.6	1.23	-1.03	0	0	0.0	14
27.5	6.2	87.7	0.57	-0.57	0	0	0.0	14
28.5	6.2	87.0	-0.36	-0.18	0	0	0.0	14
29.5	6.5	82.8	-0.91	-0.62	0	0	0.0	14
30.5	6.7	78.2	-0.57	-0.18	0	0	0.0	14
31.5	6.6	79.6	-0.69	-0.13	0	0	0.0	14
32.5	6.6	82.4	-0.45	0.23	0	23	0.0	14
33.5	7.5	73.3	-0.5	-0.0	0	76	0.0	14
34.5	7.9	66.4	0.83	-0.72	51	128	0.0	14
35.5	8.5	64.9	1.47	-0.29	195	145	0.0	14
36.5	9.3	60.8	1.3	-0.11	434	142	0.0	14
37.5	9.1	61.1	0.42	0.42	176	123	0.0	14
38.5	9.3	65.1	0.42	0.42	0	76	0.0	14
39.5	8.7	74.0	-0.5	0.34	0	5	0.0	14
40.5	9.2	77.5	-0.14	-1.29	0	0	0.1	14
41.5	10.0	71.7	0.84	-1.24	0	0	0.0	14
42.5	9.8	76.3	0.9	-2.01	0	0	0.3	14
43.5	9.7	79.4	2.68	-1.55	0	0	1.2	14
44.5	9.1	88.9	4.05	-1.72	0	0	1.2	14
45.5	9.0	91.0	4.14	-2.8	0	0	2.7	14
46.5	9.1	86.2	6.41	-1.96	0	0	3.9	14
47.5	8.7	80.5	4.21	-3.06	0	0	0.2	14
48.5	8.8	74.0	2.18	-1.59	0	0	0.0	14
49.5	8.4	67.1	2.68	0.33	0	0	0.0	14
50.5	8.6	66.1	2.57	0.41	0	0	0.1	14
51.5	8.4	71.8	3.78	-0.4	0	0	0.0	14
52.5	8.4	73.2	3.98	-0.99	0	0	0.0	14
53.5	8.4	65.6	5.27	-0.55	0	0	0.0	14
54.5	8.7	58.1	4.29	0.22	0	0	0.0	14
55.5	7.9	62.2	6.66	-0.7	0	0	0.0	14
56.5	5.6	85.8	5.38	-1.14	0	6	1.7	14
57.5	5.9	89.0	3.89	-1.57	0	26	0.5	14
58.5	8.1	69.4	2.91	0.73	126	138	0.0	14
59.5	9.0	56.6	2.6	0.74	5	131	0.0	14
60.5	8.7	56.6	4.53	-0.8	0	49	0.0	14
61.5	9.5	53.1	3.89	-0.27	139	136	0.0	14
62.5	9.0	55.7	3.31	-1.41	0	70	0.0	14
63.5	8.5	61.7	3.33	-1.08	0	18	0.1	14
64.5	7.7	71.4	3.27	-1.25	0	0	0.2	14
65.5	6.5	87.3	4.37	-2.22	0	0	1.8	14
66.5	6.1	92.0	3.51	-0.81	0	0	1.4	14
67.5	5.8	92.8	3.02	-2.92	0	0	2.6	14
68.5	5.6	91.7	2.06	-0.4	0	0	0.7	14
69.5	5.8	82.4	1.14	0.37	0	0	0.0	14
70.5	5.9	77.0	3.6	0.0	0	0	0.0	14
71.5	5.9	77.4	2.24	0.52	0	0	0.0	14
72.5	6.2	70.1	1.77	0.94	0	0	0.0	14
73.5	5.4	77.1	3.48	-1.26	0	0	0.0	14
74.5	4.7	89.5	2.28	-1.78	0	0	0.0	14
75.5	4.6	90.2	2.57	-1.54	0	0	0.0	14
76.5	5.0	87.1	3.94	-1.13	0	0	0.0	14
77.5	5.2	81.9	4.13	-1.18	0	0	0.0	14
78.5	5.4	79.3	4.64	-1.24	0	0	0.0	14
79.5	5.7	68.8	6.97	-1.36	0	0	0.0	14
80.5	4.2	87.3	6.46	-1.37	0	9	0.7	14
81.5	3.9	93.7	4.79	-2.03	0	26	0.8	14
82.5	4.3	94.1	3.26	-1.52	0	29	0.6	14
83.5	4.8	94.8	3.36	-1.78	0	27	1.0	14
84.5	5.4	95.2	2.82	-1.5	0	24	0.5	14
85.5	6.0	94.9	2.97	-1.65	0	21	0.2	14
86.5	6.3	94.9	2.31	-1.39	0	21	0.4	14
87.5	6.4	94.6	1.61	-1.01	0	6	0.4	14
88.5	6.6	94.8	2.72	-2.05	0	0	0.6	14
89.5	6.6	94.5	2.1	-1.53	0	0	0.1	14
90.5	6.6	94.5	1.99	-1.15	0	0	0.6	14
91.5	6.8	94.4	2.46	-1.54	0	0	0.3	14
92.5	7.0	94.0	1.5	-1.61	0	0	0.3	14
93.5	7.0	94.0	2.41	-2.25	0	0	0.1	14
94.5	7.0	94.0	2.36	-1.85	0	0	1.4	14
95.5	6.8	94.6	1.94	-1.41	0	0	1.0	14
96.5	6.7	94.3	0.41	-0.69	0	0	0.6	14
97.5	6.7	94.2	-0.59	-1.16	0	0	0.0	14
98.5	6.8	94.0	0.12	-0.89	0	0	0.1	14
99.5	7.5	91.0	0.0	-1.5	0	0	0.0	14
