#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor
0.0	-0.4	84.8	0.62	0.79	0	0
0.5	-0.4	84.8	0.62	0.79	0	0
1.5	-1.4	82.8	1.17	0.57	0	0
2.5	-2.1	81.6	1.6	0.08	0	0
3.5	-2.8	80.5	1.89	-0.17	0	0
4.5	-3.2	80.0	2.1	-0.04	0	0
5.5	-3.4	81.3	2.49	-0.17	0	0
6.5	-3.7	82.6	2.84	-0.6	0	0
7.5	-4.0	84.8	3.01	-0.75	0	0
8.5	-4.1	88.5	3.12	-0.72	0	10
9.5	-4.0	86.6	2.41	-0.65	0	28
10.5	-3.6	78.8	1.43	-0.93	61	126
11.5	-2.8	71.8	1.1	-0.86	453	112
12.5	-2.0	66.5	0.22	-0.56	609	76
13.5	-1.2	62.8	0.47	-0.38	601	62
14.5	-0.5	60.2	0.27	-0.29	444	51
15.5	-0.6	65.2	0.84	-0.32	0	21
16.5	-0.4	72.7	-0.71	1.76	0	0
17.5	-0.3	74.1	-0.41	1.44	0	0
18.5	-0.8	76.8	-0.68	1.45	0	0
19.5	-1.9	83.1	-0.48	0.64	0	0
20.5	-2.8	85.4	-0.49	0.1	0	0
21.5	-4.0	90.6	-0.02	-0.1	0	0
22.5	-3.9	94.0	0.0	0.0	0	0
23.5	-3.5	94.7	0.19	-0.07	0	0
24.5	-2.9	94.5	-0.3	0.0	0	0
25.5	-2.7	96.2	-0.72	0.69	0	0
26.5	-0.4	93.8	0.21	4.09	0	0
27.5	-0.2	95.6	1.11	4.15	0	0
28.5	-0.1	92.2	-0.38	3.08	0	0
29.5	0.2	94.3	-0.86	2.03	0	0
30.5	0.9	95.4	-0.35	1.97	0	0
31.5	2.2	93.9	1.43	2.29	0	0
32.5	2.5	94.4	0.08	2.4	0	17
33.5	2.9	95.5	-0.45	1.0	0	22
34.5	3.3	93.0	-0.3	1.88	7	113
35.5	3.8	86.3	-1.1	1.02	133	150
36.5	5.2	77.8	-1.3	2.25	468	115
37.5	5.3	77.0	-0.62	2.93	445	110
38.5	4.9	80.0	-0.08	2.2	75	69
39.5	4.2	84.2	-0.16	0.89	0	25
40.5	5.1	77.9	2.9	1.96	0	0
41.5	5.0	77.1	2.93	1.01	0	0
42.5	5.2	74.9	3.07	2.23	0	0
43.5	4.8	78.4	3.31	1.41	0	0
44.5	3.7	84.5	2.58	0.79	0	0
45.5	4.1	82.7	1.26	0.61	0	0
46.5	4.4	78.2	1.46	1.06	0	0
47.5	4.2	78.9	1.6	0.82	0	0
48.5	4.1	79.2	1.02	0.8	0	0
49.5	3.2	84.5	0.59	1.27	0	0
50.5	3.1	84.3	0.59	1.38	0	0
51.5	4.1	78.5	1.91	2.05	0	0
52.5	3.4	81.2	1.26	2.27	0	0
53.5	2.3	90.0	0.52	1.93	0	0
54.5	2.1	91.3	-0.74	1.75	0	0
55.5	1.3	94.7	-1.72	0.8	0	0
56.5	2.4	89.9	-0.07	1.3	62	44
57.5	3.8	76.5	0.12	0.99	477	80
58.5	5.3	67.9	-1.34	0.68	638	69
59.5	6.1	61.7	-1.1	-0.1	553	93
60.5	6.5	57.6	-0.24	-0.44	688	74
61.5	7.0	53.1	0.26	-0.15	518	90
62.5	6.1	59.9	0.77	-0.46	150	79
63.5	4.0	75.9	0.69	0.13	103	27
64.5	2.7	85.3	-0.21	0.21	0	0
65.5	1.9	90.3	-0.28	0.64	0	0
66.5	2.0	85.8	-1.09	-0.71	0	0
67.5	1.5	89.1	-0.45	0.22	0	0
68.5	0.2	93.5	-0.19	0.05	0	0
69.5	0.5	94.9	-0.32	0.24	0	0
70.5	1.1	93.1	-0.41	-0.29	0	0
71.5	3.1	89.1	3.06	1.49	0	0
72.5	3.4	89.9	4.06	2.16	0	0
73.5	3.4	90.9	3.44	2.23	0	0
74.5	3.4	92.2	3.02	1.96	0	0
75.5	2.6	95.1	2.35	3.11	0	0
76.5	2.0	96.4	4.59	1.4	0	0
77.5	1.2	89.4	2.57	-3.06	0	0
78.5	0.4	91.0	2.18	-1.76	0	0
79.5	0.2	81.4	2.48	-0.3	0	0
80.5	-0.4	78.5	2.91	0.73	0	28
81.5	-0.1	76.8	2.48	0.35	413	84
82.5	0.5	70.7	3.07	0.43	638	65
83.5	1.4	60.9	4.15	-0.66	696	65
84.5	1.7	59.0	3.78	-0.94	558	117
85.5	1.0	64.1	3.47	-0.49	22	119
86.5	0.5	68.7	3.56	-1.02	33	74
87.5	-0.3	71.2	2.58	-0.32	47	30
88.5	-1.1	75.3	1.5	-0.05	0	0
89.5	-2.2	85.6	0.0	-0.6	0	0
