#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover
0.0	2.7	75.7	-0.43	0.55	0	0	40
0.5	2.7	75.7	-0.43	0.55	0	0	40
1.5	3.1	71.8	-0.5	0.49	0	0	25
2.5	2.9	70.5	-0.48	0.35	0	0	15
3.5	2.8	69.0	-0.56	0.2	0	0	6
4.5	2.1	71.0	-0.47	-0.17	0	0	1
5.5	1.7	73.2	-0.42	-0.26	0	0	4
6.5	1.5	74.4	-0.3	-0.4	0	0	6
7.5	1.9	74.4	-0.39	-0.45	0	6	14
8.5	3.0	72.9	-0.16	-0.58	0	53	25
9.5	5.3	68.0	-0.42	-0.27	0	76	38
10.5	7.5	60.3	-1.04	-1.08	22	132	50
11.5	8.4	55.1	-0.71	-0.71	0	109	62
12.5	9.3	50.6	-0.29	-0.85	0	107	75
13.5	8.5	51.2	0.32	0.84	0	85	75
14.5	7.5	54.1	0.28	0.1	0	51	75
15.5	6.7	58.5	0.29	0.27	0	13	75
16.5	5.6	63.8	-0.16	-0.26	0	0	75
17.5	6.0	63.3	-0.44	-0.9	0	0	75
18.5	5.8	62.6	0.76	0.66	0	0	75
19.5	5.2	63.6	-0.36	-1.46	0	0	74
20.5	4.5	69.8	-0.47	-1.1	0	0	73
21.5	4.1	75.1	-0.37	-1.14	0	0	72
22.5	2.7	85.1	-0.47	-0.37	0	0	71
23.5	3.2	87.4	-0.11	0.79	0	0	70
24.5	2.6	90.4	-0.36	-0.6	0	0	69
25.5	2.8	90.5	0.1	-0.28	0	0	68
26.5	3.2	88.0	0.17	-0.88	0	0	67
27.5	0.9	94.2	-0.29	-0.07	0	0	66
28.5	0.6	86.1	-0.16	-0.68	0	0	65
29.5	-0.3	98.3	-0.38	-0.33	0	0	64
30.5	1.0	95.9	0.23	0.66	0	0	62
31.5	1.2	94.3	-0.3	-0.52	0	8	60
32.5	1.3	99.1	-0.98	0.17	0	40	58
33.5	5.0	58.9	-6.04	-7.46	0	163	56
34.5	6.8	41.7	-6.55	-4.42	600	128	54
