#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor
0.0	1.7	85.2	-0.83	3.09	0	0
0.5	1.7	85.2	-0.83	3.09	0	0
1.5	3.0	82.8	0.83	3.6	0	0
2.5	3.9	80.7	2.06	3.43	0	0
3.5	4.8	79.3	3.42	2.77	0	0
4.5	5.2	77.6	4.07	2.35	0	0
5.5	5.1	78.6	4.07	2.35	0	0
6.5	4.9	81.5	4.06	2.16	0	0
7.5	4.6	84.7	4.02	1.79	0	0
8.5	4.4	85.2	3.83	1.47	0	7
9.5	3.7	90.3	4.07	1.4	0	16
10.5	3.1	95.2	3.19	-0.28	0	24
11.5	2.5	96.5	2.89	-0.2	0	30
12.5	2.3	96.0	2.23	1.14	0	51
13.5	2.2	95.8	1.48	1.48	0	40
14.5	2.7	92.4	2.33	0.9	11	70
15.5	2.3	88.1	3.42	0.73	0	24
16.5	1.7	81.7	4.4	0.0	0	0
17.5	1.3	75.2	3.76	0.53	0	0
18.5	0.9	73.4	3.88	0.41	0	0
19.5	0.7	73.3	4.71	0.92	0	0
20.5	0.3	72.6	4.36	0.61	0	0
21.5	0.1	72.3	3.59	0.9	0	0
22.5	0.2	69.5	2.5	2.59	0	0
23.5	0.3	65.7	3.22	3.7	0	0
24.5	0.5	62.2	4.21	5.59	0	0
25.5	0.4	65.4	3.55	7.61	0	0
26.5	-0.2	76.0	3.66	6.89	0	0
27.5	-0.1	88.8	4.03	4.03	0	0
28.5	0.7	80.7	5.3	1.82	0	0
29.5	0.3	86.4	4.89	0.34	0	0
30.5	-0.7	94.9	4.69	-0.33	0	0
31.5	-0.9	93.4	3.06	0.94	0	0
32.5	-0.9	92.9	2.25	1.82	0	21
33.5	-0.5	90.9	3.04	0.99	0	67
34.5	-0.5	89.6	2.96	0.91	0	55
35.5	-0.5	84.3	4.46	1.11	55	134
36.5	-0.5	75.9	4.54	2.32	329	145
37.5	-1.1	77.7	4.1	2.09	0	84
38.5	-1.5	90.3	3.02	2.62	0	55
39.5	-1.2	88.2	3.72	3.35	0	11
40.5	-0.9	87.4	3.69	2.22	0	0
41.5	-0.7	90.3	4.19	2.72	0	0
42.5	-0.3	89.4	4.4	2.15	0	0
43.5	-0.2	90.6	4.82	1.95	0	0
44.5	0.0	91.5	4.79	1.74	0	0
45.5	0.2	92.3	4.79	1.02	0	0
46.5	0.6	90.8	4.59	-0.24	0	0
47.5	0.7	90.9	3.7	0.19	0	0
48.5	0.7	93.1	3.19	-0.22	0	0
49.5	0.6	95.7	2.84	-0.98	0	0
50.5	0.3	94.4	2.76	-0.49	0	0
51.5	0.0	92.3	3.02	-0.7	0	0
52.5	-0.4	94.1	1.86	-0.4	0	0
53.5	-1.1	96.2	1.5	0.1	0	0
54.5	-1.6	95.9	0.92	0.92	0	0
55.5	-1.5	94.3	0.76	0.66	0	0
56.5	-1.2	94.5	0.54	-0.27	35	41
57.5	-1.1	96.0	0.85	0.85	99	95
58.5	-0.9	92.9	0.32	1.05	103	129
59.5	-0.7	89.5	0.4	0.0	45	136
60.5	-0.5	86.7	-0.14	0.14	55	137
61.5	-0.2	80.1	-0.48	-0.16	147	117
62.5	-0.9	80.4	-1.81	-0.84	0	45
63.5	-1.3	87.9	0.0	-1.3	0	16
64.5	-1.6	87.7	-0.25	0.76	0	0
65.5	-2.1	91.7	0.14	-0.58	0	0
66.5	-2.4	93.6	-0.14	0.27	0	0
67.5	-2.9	93.8	-0.0	-0.6	0	0
68.5	-2.9	92.3	-1.43	-0.46	0	0
69.5	-3.3	90.0	-2.13	-0.86	0	0
70.5	-3.7	88.6	-2.94	-1.5	0	0
71.5	-3.8	86.8	-3.54	-1.65	0	0
72.5	-4.1	87.5	-2.3	-0.12	0	0
73.5	-4.3	89.4	-0.57	-0.57	0	0
74.5	-4.3	89.8	-0.3	-1.57	0	0
75.5	-3.8	89.3	-2.95	-2.39	0	0
76.5	-3.9	89.5	-3.73	-2.33	0	0
