#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	PRECIPITATION	ALBEDO
0.0	-0.9	84.0	3.54	1.65	0	0	0.0	14
0.5	-0.9	84.0	3.54	1.65	0	0	0.0	14
1.5	0.4	81.3	3.88	2.07	0	0	0.0	14
2.5	1.3	79.1	3.34	1.35	0	0	0.0	14
3.5	2.2	77.4	3.77	2.64	0	0	0.0	14
4.5	2.7	75.6	4.64	3.13	0	0	0.0	14
5.5	2.5	76.7	3.73	3.02	0	0	0.0	14
6.5	2.4	79.4	4.01	2.04	0	0	0.0	14
7.5	2.1	82.6	4.23	1.54	0	0	0.1	14
8.5	1.9	83.1	3.83	1.47	0	8	0.0	14
9.5	1.2	88.0	4.07	1.4	0	17	0.1	14
10.5	0.6	92.8	3.19	-0.28	0	26	0.8	14
11.5	0.0	94.1	2.89	-0.2	0	32	0.6	14
12.5	-0.2	93.6	2.23	1.14	0	55	0.8	14
13.5	-0.3	93.4	1.48	1.48	0	43	0.6	14
14.5	0.2	90.1	2.33	0.9	11	75	0.0	14
15.5	-0.2	85.9	3.42	0.73	0	26	0.0	14
16.5	-0.8	79.6	4.4	0.0	0	0	0.0	14
17.5	-1.2	73.3	3.76	0.53	0	0	0.0	14
18.5	-1.6	71.5	3.88	0.41	0	0	0.0	14
19.5	-1.8	71.4	4.71	0.92	0	0	0.0	14
20.5	-2.2	70.8	4.36	0.61	0	0	0.0	14
21.5	-2.4	70.5	3.59	0.9	0	0	0.0	14
22.5	-2.3	67.7	2.5	2.59	0	0	0.0	14
23.5	-2.2	64.0	3.22	3.7	0	0	0.0	14
24.5	-2.0	60.6	4.21	5.59	0	0	0.0	14
25.5	-2.1	63.7	3.55	7.61	0	0	0.0	14
26.5	-2.7	74.1	3.66	6.89	0	0	0.0	14
27.5	-2.6	86.5	4.03	4.03	0	0	0.0	14
28.5	-1.8	78.6	5.3	1.82	0	0	0.0	14
29.5	-2.2	84.2	4.89	0.34	0	0	0.3	14
30.5	-3.2	92.5	4.69	-0.33	0	0	0.8	14
31.5	-3.4	91.0	3.06	0.94	0	0	0.5	14
32.5	-3.4	90.5	2.25	1.82	0	22	0.1	14
33.5	-3.0	88.6	3.04	0.99	0	72	0.0	14
34.5	-3.0	87.3	2.96	0.91	0	59	0.0	14
35.5	-3.0	82.1	4.46	1.11	59	144	0.0	14
36.5	-3.0	74.0	4.54	2.32	353	156	0.1	14
37.5	-3.6	75.7	4.1	2.09	0	90	0.0	14
38.5	-4.0	88.0	3.02	2.62	0	59	0.1	14
39.5	-3.7	85.9	3.72	3.35	0	12	0.0	14
40.5	-3.4	85.2	3.69	2.22	0	0	0.0	14
41.5	-3.2	88.0	4.19	2.72	0	0	0.2	14
42.5	-2.8	87.1	4.4	2.15	0	0	0.2	14
43.5	-2.7	88.3	4.82	1.95	0	0	0.1	14
44.5	-2.5	89.2	4.79	1.74	0	0	0.2	14
45.5	-2.3	89.9	4.79	1.02	0	0	0.4	14
46.5	-1.9	88.5	4.59	-0.24	0	0	0.0	14
47.5	-1.8	88.6	3.7	0.19	0	0	0.0	14
48.5	-1.8	90.7	3.19	-0.22	0	0	0.0	14
49.5	-1.9	93.2	2.84	-0.98	0	0	0.7	14
50.5	-2.2	92.0	2.76	-0.49	0	0	0.0	14
51.5	-2.5	89.9	3.02	-0.7	0	0	0.0	14
52.5	-2.9	91.7	1.86	-0.4	0	0	0.0	14
53.5	-3.6	93.7	1.5	0.1	0	0	0.0	14
54.5	-4.1	93.4	0.92	0.92	0	0	0.0	14
55.5	-4.0	91.9	0.76	0.66	0	0	0.0	14
56.5	-3.7	92.1	0.54	-0.27	38	44	0.0	14
57.5	-3.6	93.5	0.85	0.85	106	102	0.0	14
58.5	-3.4	90.5	0.32	1.05	112	138	0.0	14
59.5	-3.2	87.2	0.4	0.0	48	146	0.0	14
60.5	-3.0	84.5	-0.14	0.14	59	147	0.0	14
61.5	-2.7	78.0	-0.48	-0.16	158	126	0.0	14
62.5	-3.4	78.3	-1.81	-0.84	0	48	0.1	14
63.5	-3.8	85.6	0.0	-1.3	0	17	0.0	14
64.5	-4.1	85.4	-0.25	0.76	0	0	0.0	14
65.5	-4.6	89.3	0.14	-0.58	0	0	0.0	14
66.5	-4.9	91.2	-0.14	0.27	0	0	0.0	14
67.5	-5.4	91.4	-0.0	-0.6	0	0	0.0	14
68.5	-5.4	89.9	-1.43	-0.46	0	0	0.0	14
69.5	-5.8	87.7	-2.13	-0.86	0	0	0.0	14
70.5	-6.2	86.3	-2.94	-1.5	0	0	0.0	14
71.5	-6.3	84.5	-3.54	-1.65	0	0	0.0	14
72.5	-6.6	85.2	-2.3	-0.12	0	0	0.0	14
73.5	-6.8	87.1	-0.57	-0.57	0	0	0.0	14
74.5	-6.8	87.5	-0.3	-1.57	0	0	0.0	14
75.5	-6.3	87.0	-2.95	-2.39	0	0	0.0	14
76.5	-6.4	87.2	-3.73	-2.33	0	0	0.0	14
77.5	-6.3	84.9	-3.47	-1.55	0	0	0.0	14
78.5	-7.1	85.7	-2.88	-2.33	0	0	0.0	14
79.5	-7.4	83.0	-3.39	-1.72	0	0	0.0	14
80.5	-7.0	79.9	-4.27	-1.06	213	41	0.0	14
81.5	-6.8	78.5	-3.58	-0.38	293	87	0.0	14
82.5	-6.5	74.7	-3.85	-1.4	605	104	0.0	14
