#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover
0.0	-6.5	85.3	-0.41	-1.54	0	0	91
0.5	-6.5	85.3	-0.41	-1.54	0	0	91
1.5	-6.9	87.4	-1.02	-1.84	0	0	95
2.5	-7.2	86.7	-0.72	-1.87	0	0	97
3.5	-7.8	88.4	-0.53	-1.19	0	0	99
4.5	-8.2	88.6	-0.51	-1.2	0	0	99
5.5	-8.4	90.7	-0.5	-0.0	0	0	97
6.5	-8.6	91.1	0.26	0.43	0	0	96
7.5	-9.2	90.7	0.72	1.54	0	3	91
8.5	-9.4	90.6	0.29	1.37	0	55	83
9.5	-9.2	90.9	-0.87	-0.22	561	92	75
10.5	-9.1	90.5	-0.6	0.36	724	128	67
11.5	-8.3	89.3	-0.14	0.27	769	116	58
12.5	-7.3	84.7	-0.31	0.51	747	77	50
13.5	-6.4	80.9	0.39	0.92	609	85	52
14.5	-6.3	82.3	-0.57	-0.57	311	73	54
15.5	-8.4	88.6	-0.12	-0.38	0	39	56
16.5	-8.8	90.9	0.18	0.36	0	0	58
17.5	-8.8	91.2	0.39	0.58	0	0	60
18.5	-8.4	91.1	-0.0	0.5	0	0	62
19.5	-7.2	91.0	0.78	0.78	0	0	66
20.5	-7.0	92.7	-0.11	-0.69	0	0	69
21.5	-6.4	92.5	-0.0	0.6	0	0	72
22.5	-6.3	93.3	0.31	0.51	0	0	75
23.5	-6.5	93.2	-0.3	-0.0	0	0	78
24.5	-6.5	93.2	-0.3	-0.4	0	0	81
25.5	-6.4	93.3	-0.51	-0.61	0	0	84
26.5	-6.5	93.1	-0.0	0.3	0	0	88
27.5	-6.8	92.9	-0.14	0.14	0	0	91
28.5	-6.6	93.1	-0.0	0.4	0	0	94
29.5	-6.6	93.2	-0.0	0.4	0	0	97
30.5	-6.5	93.2	-1.12	-2.01	0	0	100
31.5	-6.6	93.1	-0.92	-2.54	0	3	92
32.5	-6.5	92.4	-1.64	-2.02	0	63	83
33.5	-6.7	92.1	-0.92	-1.31	48	103	75
34.5	-6.4	90.1	-1.24	-2.06	273	136	67
35.5	-5.7	87.7	-2.41	-2.68	338	147	58
36.5	-4.4	80.6	-2.03	-2.6	480	115	50
37.5	-3.6	73.0	-2.02	-3.8	617	146	52
38.5	-3.6	73.2	-2.52	-3.6	549	81	54
39.5	-5.0	80.3	-2.34	-3.61	0	41	56
40.5	-5.8	82.8	-2.3	-3.98	0	0	58
41.5	-6.4	86.6	-2.83	-3.62	0	0	60
42.5	-6.8	89.5	-1.22	-3.17	0	0	62
43.5	-9.5	90.3	-1.83	-0.81	0	0	59
44.5	-11.8	88.3	0.5	1.73	0	0	56
45.5	-12.7	87.8	0.85	1.36	0	0	53
46.5	-13.2	87.3	0.93	1.54	0	0	50
47.5	-14.7	86.1	0.59	1.27	0	0	47
48.5	-15.7	85.2	0.59	1.16	0	0	44
49.5	-16.4	84.6	0.31	0.95	0	0	41
50.5	-17.0	84.2	0.29	1.16	0	0	38
51.5	-18.2	83.3	0.28	1.06	0	0	34
52.5	-18.3	83.2	0.5	1.31	0	0	31
53.5	-18.3	83.2	0.4	1.24	0	0	28
54.5	-19.4	82.4	0.31	0.95	0	0	25
55.5	-20.1	81.7	0.22	0.77	0	3	21
56.5	-19.4	82.3	0.35	0.83	0	53	17
57.5	-17.2	84.1	-0.6	-0.0	434	165	12
58.5	-15.7	85.3	-0.38	0.12	753	111	8
59.5	-13.0	87.2	-0.28	0.28	802	99	4
60.5	-10.3	85.5	-0.48	0.16	824	84	0
61.5	-9.1	83.7	-0.58	-0.69	749	75	0
62.5	-8.9	83.5	-0.14	0.27	655	55	0
63.5	-11.4	88.2	0.45	1.11	0	47	0
64.5	-13.9	86.9	0.55	1.29	0	0	0
65.5	-16.2	84.9	0.29	1.37	0	0	0
66.5	-17.2	84.1	0.8	1.5	0	0	0
67.5	-16.6	84.6	0.31	1.26	0	0	0
68.5	-15.8	85.3	0.59	1.16	0	0	0
69.5	-16.1	85.0	0.62	1.47	0	0	0
70.5	-16.0	85.1	0.32	1.05	0	0	0
71.5	-17.5	83.8	0.11	0.59	0	0	0
72.5	-21.4	80.7	0.19	0.98	0	0	0
73.5	-22.0	80.3	0.29	0.75	0	0	0
74.5	-22.5	79.8	0.32	0.84	0	0	0
75.5	-23.6	79.0	0.44	0.54	0	0	0
76.5	-23.9	78.8	0.11	0.69	0	0	0
77.5	-24.2	78.6	0.16	0.48	0	0	0
78.5	-23.9	78.9	0.32	0.62	0	0	0
79.5	-23.1	79.4	0.32	0.62	0	10	10
80.5	-22.3	80.0	0.35	0.35	0	41	21
81.5	-18.6	82.9	0.11	0.59	437	131	31
82.5	-14.4	86.0	-0.0	0.6	533	108	42
83.5	-10.9	82.7	-0.5	0.5	332	150	52
84.5	-8.7	75.5	-0.41	-0.69	366	140	62
85.5	-6.7	63.4	-0.89	0.45	487	102	67
86.5	-3.6	53.2	-1.01	-0.82	480	99	71
87.5	-4.0	56.5	-0.86	-0.25	0	46	75
88.5	-5.7	71.8	-1.09	-0.12	0	0	79
89.5	-5.1	64.3	-0.72	-1.54	0	0	83
90.5	-5.9	77.9	-0.92	0.92	0	0	88
91.5	-5.2	76.7	-0.63	1.14	0	0	85
92.5	-5.7	82.1	-1.06	0.92	0	0	83
93.5	-6.1	83.4	-0.62	1.03	0	0	81
94.5	-6.9	85.7	0.23	1.28	0	0	79
95.5	-7.6	85.5	-0.11	0.69	0	0	77
96.5	-9.9	87.6	0.41	1.02	0	0	75
97.5	-10.3	85.2	0.32	1.05	0	0	73
98.5	-12.1	86.6	0.45	0.89	0	0	71
99.5	-12.0	86.0	-0.0	0.8	0	0	69
100.5	-10.6	83.8	-0.6	-0.0	0	0	67
101.5	-8.9	74.4	-0.27	0.54	0	0	65
102.5	-6.9	67.8	-0.84	-1.24	0	0	62
103.5	-9.6	81.1	0.24	0.97	0	3	62
104.5	-8.4	75.5	-0.0	1.1	0	96	62
105.5	-6.4	71.3	-0.85	-0.98	546	76	62
106.5	-5.3	66.2	-0.61	-0.51	524	184	62
107.5	-3.2	51.1	-0.32	-0.62	102	120	62
108.5	-3.3	53.1	-1.76	-0.71	3	124	62
109.5	-2.5	57.2	-2.95	-2.06	61	125	69
110.5	-2.0	57.2	-3.03	-2.45	303	73	75
111.5	-2.3	61.2	-2.74	-1.65	0	57	81
112.5	-2.5	66.1	-1.05	-2.6	0	0	88
113.5	-3.0	72.3	-0.96	-3.36	0	0	94
114.5	-3.0	75.6	0.21	-2.39	0	0	100
115.5	-3.3	79.7	-1.69	-2.6	0	0	97
116.5	-4.2	82.5	-2.29	-3.28	0	0	94
117.5	-4.3	83.4	-1.31	-2.36	0	0	91
118.5	-4.9	88.2	-0.39	-0.58	0	0	88
119.5	-5.3	90.0	0.22	0.77	0	0	84
120.5	-6.3	90.2	0.32	1.05	0	0	81
121.5	-7.8	91.7	0.19	0.67	0	0	78
122.5	-7.9	92.0	0.45	0.66	0	0	75
123.5	-8.6	91.4	-0.0	0.4	0	0	72
124.5	-9.7	90.4	-0.0	0.7	0	0	69
125.5	-9.5	90.6	0.42	0.42	0	0	66
126.5	-9.6	90.5	0.4	0.69	0	0	62
127.5	-9.9	90.3	0.19	0.67	0	9	60
128.5	-10.2	90.0	0.31	0.74	0	51	58
129.5	-9.4	90.2	-0.0	0.5	562	93	56
130.5	-8.1	89.1	-0.0	0.4	601	101	54
131.5	-6.4	85.1	-0.36	-0.18	382	146	52
132.5	-4.9	79.1	-0.09	0.18	343	145	50
133.5	-4.2	75.6	-0.4	-0.0	161	140	58
134.5	-3.2	74.8	-0.14	0.27	66	87	67
135.5	-2.7	75.3	-0.41	0.8	0	35	75
136.5	-2.1	77.6	0.26	0.65	0	0	83
137.5	-2.8	88.8	-0.21	-0.21	0	0	92
138.5	-2.9	93.4	0.23	0.45	0	0	100
139.5	-2.6	94.6	-0.0	0.7	0	0	100
140.5	-2.3	93.4	0.57	0.57	0	0	100
141.5	-2.8	95.0	-0.23	-0.45	0	0	100
142.5	-2.8	93.8	-0.23	0.45	0	0	100
143.5	-2.8	95.3	0.35	0.35	0	0	100
144.5	-3.0	94.1	-0.0	0.5	0	0	100
145.5	-4.7	94.7	-0.0	0.4	0	0	100
146.5	-5.1	94.5	0.35	0.83	0	0	100
147.5	-4.5	94.7	-0.0	0.6	0	0	100
148.5	-3.1	93.1	0.86	1.69	0	0	100
149.5	-2.5	92.8	0.63	1.14	0	0	100
150.5	-2.1	90.9	0.56	0.42	0	0	100
151.5	-1.4	88.2	-0.18	0.57	0	4	98
152.5	-1.0	85.3	-0.83	-0.72	0	51	96
153.5	0.3	86.5	-0.72	-2.08	0	87	94
154.5	1.2	88.1	-0.99	-3.04	8	130	92
155.5	1.4	88.4	-1.08	-1.8	37	151	90
156.5	2.3	81.1	-0.45	-1.95	261	154	88
157.5	2.5	77.0	-0.54	-2.03	187	141	81
158.5	2.5	74.7	-0.22	-2.09	90	90	75
159.5	1.7	79.9	-0.5	-1.73	0	47	69
160.5	-0.9	87.8	-0.65	-1.13	0	0	62
161.5	-4.2	93.5	0.36	0.71	0	0	56
162.5	-6.0	93.4	0.44	0.54	0	0	50
163.5	-8.0	91.9	0.35	0.35	0	0	49
164.5	-8.2	91.7	0.45	0.66	0	0	48
165.5	-9.5	90.7	0.12	0.38	0	0	47
166.5	-11.0	89.3	0.35	0.83	0	0	46
167.5	-10.5	89.8	0.23	0.45	0	0	45
168.5	-11.5	88.8	0.4	0.69	0	0	44
