#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-7.5	79.4	1.76	4.36	0	0	50	0.0	80
0.5	-7.5	79.4	1.76	4.36	0	0	50	0.0	80
1.5	-5.8	77.8	0.72	1.97	0	0	58	0.0	80
2.5	-4.8	77.2	0.92	0.92	0	0	67	0.0	80
3.5	-3.7	75.8	0.45	0.23	0	0	75	0.2	80
4.5	-3.3	76.1	-0.85	-2.46	0	0	83	0.5	80
5.5	-3.4	74.2	-1.75	-3.03	0	0	92	0.2	80
6.5	-3.3	71.8	-1.84	-2.62	0	0	100	0.0	80
7.5	-3.5	67.3	-0.54	-2.54	0	5	98	0.0	80
8.5	-4.2	64.6	-0.68	-1.34	0	55	96	0.0	80
9.5	-4.3	63.5	-0.0	0.5	478	97	94	0.0	80
10.5	-1.9	50.5	-0.15	-2.8	526	100	92	0.0	80
11.5	-2.9	63.9	1.25	-3.27	27	157	90	0.0	80
12.5	-4.4	83.6	0.5	1.63	64	154	88	0.0	80
13.5	-4.1	79.2	-0.98	0.19	192	128	90	0.0	80
14.5	-4.8	86.1	-0.45	-0.89	3	70	92	0.1	80
15.5	-5.0	87.8	-0.25	-1.07	0	12	94	0.1	80
16.5	-5.3	67.8	-0.86	-2.66	0	0	96	0.1	80
17.5	-6.3	78.5	-0.64	-2.1	0	0	98	0.0	80
18.5	-7.7	85.9	-0.71	-0.71	0	0	100	0.0	80
19.5	-9.3	88.5	-0.22	0.87	0	0	96	0.0	80
20.5	-7.3	61.9	0.22	-2.49	0	0	92	0.0	80
21.5	-7.2	56.2	1.36	-1.46	0	0	88	0.0	80
22.5	-7.6	59.4	3.43	-1.39	0	0	83	0.0	80
23.5	-7.9	52.0	3.77	-3.28	0	0	79	0.0	80
24.5	-8.9	64.6	-0.61	-3.45	0	0	75	0.0	80
25.5	-9.7	78.3	-2.28	-1.78	0	0	71	0.0	80
26.5	-10.2	85.2	-1.62	-2.16	0	0	67	0.0	80
27.5	-13.4	84.7	-0.13	1.9	0	0	62	0.0	80
28.5	-13.7	82.6	0.9	1.44	0	0	58	0.0	80
29.5	-13.5	84.4	-0.0	0.3	0	0	54	0.0	80
30.5	-15.4	85.6	0.75	1.41	0	0	50	0.0	80
31.5	-14.8	85.6	0.44	1.64	0	4	54	0.0	80
32.5	-14.0	82.6	0.5	0.75	0	86	58	0.0	80
33.5	-14.0	83.3	0.58	0.93	3	91	62	0.0	80
34.5	-10.7	68.6	0.53	-2.13	0	98	67	0.0	80
35.5	-7.8	57.0	1.26	-3.48	235	152	71	0.0	80
36.5	-8.2	54.3	-1.35	-3.34	24	150	75	0.0	80
37.5	-8.1	52.9	-1.01	-2.17	336	135	79	0.0	80
38.5	-8.4	65.7	-1.79	-1.45	366	148	83	0.0	80
39.5	-9.1	68.3	-2.3	-1.22	0	42	88	0.0	80
40.5	-10.2	70.7	-0.0	0.5	0	0	92	0.0	80
41.5	-9.7	80.4	-1.38	-1.71	0	0	96	0.0	80
42.5	-10.2	89.1	-0.49	-1.1	0	0	100	0.0	80
43.5	-10.4	90.4	-0.48	0.16	0	0	98	0.0	80
44.5	-10.6	90.2	-0.25	0.17	0	0	96	0.0	80
45.5	-10.3	90.4	-0.31	0.51	0	0	94	0.0	80
46.5	-10.4	90.4	-0.19	0.46	0	0	92	0.0	80
47.5	-10.2	90.6	-0.57	0.57	0	0	90	0.0	80
48.5	-10.3	90.5	-0.51	-0.61	0	0	88	0.0	80
49.5	-10.2	90.5	-0.28	-0.28	0	0	85	0.0	80
50.5	-9.3	78.3	-0.61	-1.59	0	0	83	0.0	80
51.5	-9.2	72.9	-0.38	-3.08	0	0	81	0.0	80
52.5	-9.7	81.6	0.57	-2.12	0	0	79	0.0	80
53.5	-9.7	75.9	0.35	-1.97	0	0	77	0.0	80
54.5	-9.6	54.1	-0.58	-3.65	0	0	75	0.0	80
55.5	-10.0	62.7	-1.09	-3.01	0	9	67	0.0	80
56.5	-10.4	61.1	0.55	-2.85	0	51	58	0.0	80
57.5	-10.3	63.1	-0.12	-1.7	550	93	50	0.0	80
58.5	-9.0	53.1	0.75	-3.52	725	142	42	0.0	80
59.5	-9.0	53.6	0.96	-2.95	771	133	33	0.0	80
60.5	-8.6	53.1	0.0	-2.2	762	101	25	0.0	80
61.5	-9.0	51.8	1.2	-1.84	730	88	31	0.0	80
62.5	-9.7	57.4	2.12	-3.15	562	57	38	0.0	80
63.5	-10.5	59.9	1.15	-2.99	0	51	44	0.0	80
64.5	-11.3	63.1	-1.26	-4.11	0	0	50	0.0	80
65.5	-11.9	62.9	0.49	-3.97	0	0	56	0.0	80
66.5	-13.9	72.1	-1.74	-1.93	0	0	62	0.0	80
67.5	-16.7	82.2	-0.99	0.99	0	0	57	0.0	80
68.5	-20.1	82.3	0.51	1.2	0	0	52	0.0	80
69.5	-20.6	81.9	0.53	0.85	0	0	47	0.0	80
70.5	-22.0	80.8	0.31	0.95	0	0	42	0.0	80
71.5	-21.5	81.2	-0.0	0.8	0	0	36	0.0	80
72.5	-22.3	80.5	0.32	0.62	0	0	31	0.0	80
73.5	-23.2	79.9	0.31	0.95	0	0	26	0.0	80
74.5	-23.7	79.5	-0.0	1.1	0	0	21	0.0	80
75.5	-23.5	79.6	0.19	0.78	0	0	16	0.0	80
76.5	-23.7	79.4	0.35	0.35	0	0	10	0.0	80
77.5	-24.7	78.7	0.11	0.59	0	0	5	0.0	80
78.5	-24.3	79.0	0.19	0.67	0	0	0	0.0	80
79.5	-24.8	78.6	0.28	0.42	0	9	2	0.0	80
80.5	-25.0	78.4	-0.0	0.6	0	41	4	0.0	80
81.5	-22.4	80.4	-0.35	0.35	437	186	6	0.0	80
82.5	-20.3	82.1	-0.35	-0.35	753	134	8	0.0	80
83.5	-17.2	78.5	-0.35	0.35	770	119	10	0.0	80
84.5	-11.5	55.6	-2.02	-3.1	794	97	12	0.0	80
85.5	-11.4	55.5	-1.53	-3.15	748	73	10	0.0	80
86.5	-11.7	55.9	-1.42	-3.52	662	50	8	0.0	80
87.5	-13.4	62.9	-1.88	-3.53	0	40	6	0.0	80
88.5	-15.3	70.1	-2.12	-3.39	0	0	4	0.0	80
89.5	-18.2	76.9	-0.22	-1.38	0	0	2	0.0	80
90.5	-20.6	81.9	0.9	1.56	0	0	0	0.0	80
91.5	-22.2	80.6	0.51	1.2	0	0	0	0.0	80
92.5	-23.9	79.3	0.62	1.03	0	0	0	0.0	80
93.5	-24.5	78.8	0.4	1.24	0	0	0	0.0	80
94.5	-24.9	78.6	0.41	1.02	0	0	0	0.0	80
95.5	-25.7	77.9	0.19	0.78	0	0	0	0.0	80
96.5	-25.4	78.1	0.32	1.05	0	0	0	0.0	80
97.5	-26.6	77.2	0.09	0.59	0	0	0	0.0	80
98.5	-27.0	77.0	0.11	0.79	0	0	0	0.0	80
99.5	-26.1	77.6	0.19	0.67	0	0	0	0.0	80
100.5	-25.9	77.8	0.11	0.89	0	0	0	0.0	80
101.5	-26.5	77.3	0.12	0.89	0	0	0	0.0	80
102.5	-26.3	77.5	0.19	0.78	0	0	0	0.0	80
103.5	-26.7	77.2	0.32	0.84	0	8	0	0.0	80
104.5	-25.3	78.2	0.26	0.65	0	41	0	0.0	80
105.5	-22.8	80.1	-0.0	0.5	438	152	0	0.0	80
106.5	-20.4	82.0	-0.38	0.12	778	96	0	0.0	80
107.5	-18.2	81.3	-0.4	-0.0	837	88	0	0.0	80
108.5	-14.7	67.3	-0.0	0.4	794	91	0	0.0	80
109.5	-12.3	60.6	-0.35	0.35	748	67	0	0.0	80
110.5	-10.8	62.7	-0.5	-0.75	649	46	0	0.0	80
111.5	-13.2	71.3	0.42	0.56	0	42	0	0.0	80
112.5	-15.5	79.8	0.85	0.85	0	0	0	0.0	80
113.5	-17.4	82.8	0.32	0.84	0	0	0	0.0	80
114.5	-17.7	84.2	0.72	0.83	0	0	0	0.0	80
115.5	-19.8	82.6	0.31	0.74	0	0	0	0.0	80
116.5	-19.6	82.7	0.63	1.14	0	0	0	0.0	80
117.5	-20.1	82.3	0.41	0.8	0	0	0	0.0	80
118.5	-20.8	81.7	0.22	0.56	0	0	0	0.0	80
119.5	-22.4	80.4	0.64	0.64	0	0	0	0.0	80
120.5	-22.8	80.1	0.45	0.66	0	0	0	0.0	80
