#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover
0.0	-4.1	86.3	-1.75	3.93	0	0	71
0.5	-4.1	86.3	-1.75	3.93	0	0	71
1.5	-3.6	89.8	-2.18	1.42	0	0	83
2.5	-3.3	92.3	-1.58	0.22	0	0	90
3.5	-2.9	94.8	-0.7	-0.02	0	0	97
4.5	-2.7	95.9	-0.3	-0.03	0	0	100
5.5	-2.6	95.7	-0.38	0.12	0	0	100
6.5	-2.6	95.7	-0.39	0.45	0	0	100
7.5	-2.5	95.3	-0.46	0.53	0	3	100
8.5	-2.3	95.0	-0.57	0.57	0	12	100
9.5	-2.1	94.6	-1.04	0.94	0	37	100
10.5	-1.7	94.0	-1.1	0.69	0	48	100
11.5	-1.4	95.0	-1.03	0.62	0	42	100
12.5	-1.1	93.6	-0.54	0.44	0	40	100
13.5	-1.0	93.9	-0.21	0.21	0	29	100
14.5	-0.8	93.0	-0.0	-0.0	0	19	100
15.5	-0.8	92.5	-0.3	0.4	0	8	100
16.5	-1.2	95.4	-0.33	0.22	0	0	100
17.5	-1.2	93.8	-0.18	0.09	0	0	100
18.5	-1.3	94.4	-0.33	0.22	0	0	100
19.5	-1.2	94.5	-0.31	0.51	0	0	100
20.5	-1.2	94.6	-0.21	0.21	0	0	100
21.5	-1.2	95.0	-0.35	0.35	0	0	100
22.5	-1.2	95.3	-0.14	0.14	0	0	100
23.5	-1.3	95.7	-0.0	-0.0	0	0	100
24.5	-1.3	93.4	-0.0	-0.0	0	0	100
25.5	-1.4	95.3	-0.0	-0.0	0	0	100
26.5	-1.4	95.9	0.0	-0.1	0	0	100
27.5	-1.4	94.2	-0.14	0.14	0	0	100
28.5	-1.4	93.4	-0.22	0.33	0	0	100
29.5	-1.2	92.4	-0.76	0.66	0	0	100
30.5	-1.4	93.2	-0.71	0.71	0	0	100
31.5	-1.5	92.5	-0.53	0.96	0	0	100
32.5	-1.2	91.6	-0.47	0.65	29	50	100
33.5	-0.9	90.5	-0.85	0.85	74	96	100
34.5	-0.2	86.3	-0.68	0.87	58	139	100
35.5	-0.1	88.0	-1.36	1.18	69	167	100
36.5	-0.2	89.5	-1.42	1.11	20	143	100
37.5	-0.2	87.8	-1.72	1.2	0	92	100
38.5	-0.3	87.9	-0.7	1.32	0	44	100
39.5	-0.8	89.4	-0.59	0.68	0	13	100
40.5	-1.0	90.8	-0.22	0.33	0	0	100
41.5	-1.3	93.9	0.1	0.0	0	0	100
42.5	-1.3	93.8	-0.0	-0.0	0	0	100
43.5	-1.3	93.0	0.28	0.28	0	0	98
44.5	-1.4	94.2	0.14	0.14	0	0	96
45.5	-1.5	94.6	-0.0	-0.0	0	0	94
46.5	-1.5	95.2	0.1	0.0	0	0	92
47.5	-1.5	94.3	-0.0	-0.0	0	0	90
48.5	-1.5	94.8	-0.0	-0.0	0	0	88
49.5	-1.6	95.8	-0.0	-0.0	0	0	85
50.5	-1.6	92.9	-0.0	-0.0	0	0	83
51.5	-1.8	95.1	0.1	0.0	0	0	81
52.5	-2.6	94.0	0.27	-0.14	0	0	79
53.5	-1.8	90.4	0.65	-0.26	0	0	77
54.5	-1.3	83.3	3.48	-2.53	0	0	75
55.5	-2.0	81.9	4.01	-2.81	0	0	69
56.5	-1.6	79.6	4.44	-3.73	428	38	62
57.5	-0.8	76.2	5.29	-4.43	642	67	56
58.5	0.4	68.4	4.23	-3.67	712	73	50
59.5	1.0	66.7	4.42	-3.1	594	103	44
60.5	1.7	61.6	3.49	-0.87	626	145	38
61.5	0.7	70.7	1.19	-0.74	421	114	35
62.5	-1.4	75.4	0.96	-0.29	0	65	33
63.5	-2.2	83.8	1.05	-0.32	0	20	31
64.5	-2.5	88.0	0.48	-0.12	0	0	29
65.5	-3.3	94.0	0.39	-0.1	0	0	27
66.5	-3.8	92.6	0.54	-0.27	0	0	25
67.5	-3.6	93.5	0.25	-0.17	0	0	31
68.5	-3.4	93.5	0.74	-0.31	0	0	38
69.5	-3.7	91.7	0.3	0.0	0	0	44
70.5	-1.9	84.9	0.42	-0.28	0	0	50
71.5	-0.3	76.8	2.53	-2.12	0	0	56
72.5	0.1	72.2	4.6	-3.86	0	0	62
73.5	-0.2	71.2	4.08	-3.54	0	0	69
74.5	0.6	70.7	4.79	-3.61	0	0	75
75.5	0.6	71.9	5.91	-4.45	0	0	81
76.5	0.7	73.8	7.28	-5.29	0	0	88
77.5	0.9	75.6	8.23	-6.2	0	0	94
78.5	1.1	76.4	9.3	-6.76	0	0	100
79.5	2.1	76.9	8.12	-6.34	0	0	92
80.5	2.6	75.1	8.2	-6.4	276	47	83
81.5	2.7	76.0	10.03	-6.77	621	50	75
82.5	4.9	69.2	7.46	-4.85	724	55	67
83.5	6.0	67.4	6.71	-5.06	770	66	58
84.5	7.1	62.7	5.83	-4.72	766	65	50
85.5	7.3	62.4	5.16	-2.86	437	122	46
86.5	6.9	58.4	5.61	-2.86	0	27	42
87.5	6.5	60.6	4.68	-2.7	0	12	38
88.5	5.2	64.2	4.17	-4.03	0	0	33
89.5	6.1	61.8	5.51	-3.05	0	0	29
90.5	5.6	62.6	3.55	-2.05	0	0	25
91.5	4.2	67.4	0.97	-1.75	0	0	23
92.5	5.5	60.9	4.38	-4.53	0	0	21
93.5	5.6	59.5	5.63	-5.25	0	0	19
94.5	5.4	58.7	4.95	-5.5	0	0	17
95.5	5.7	56.1	5.73	-4.01	0	0	15
96.5	5.7	54.3	4.18	-3.26	0	0	12
97.5	5.5	54.0	0.93	-2.43	0	0	10
98.5	4.8	56.2	1.04	-2.05	0	0	8
99.5	4.7	55.5	0.75	-1.3	0	0	6
100.5	5.1	51.0	1.14	-2.34	0	0	4
101.5	5.1	48.4	2.58	-3.69	0	0	2
102.5	1.6	51.9	0.62	-0.32	0	0	0
103.5	1.9	47.4	0.46	-0.19	0	5	10
104.5	1.0	54.8	0.14	-0.14	174	54	21
105.5	3.4	55.0	-0.0	-0.1	551	70	31
106.5	6.5	42.8	-0.62	0.32	739	65	42
107.5	8.5	36.6	-0.5	0.5	668	95	52
108.5	8.9	35.6	-0.48	0.36	192	145	62
109.5	7.1	40.5	-0.21	0.21	261	113	54
110.5	4.1	46.9	1.05	-0.32	0	34	46
111.5	3.0	48.2	0.51	-0.31	0	24	38
112.5	0.9	50.1	0.47	-0.38	0	0	29
113.5	-0.2	50.9	0.51	-0.31	0	0	21
114.5	-0.1	49.8	0.51	-0.31	0	0	12
115.5	-0.6	60.7	0.33	-0.22	0	0	11
