#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover
0.0	-2.8	87.2	-1.75	3.93	0	0	71
0.5	-2.8	87.2	-1.75	3.93	0	0	71
1.5	-2.3	91.0	-2.18	1.42	0	0	83
2.5	-1.9	93.7	-1.58	0.22	0	0	90
3.5	-1.6	96.3	-0.7	-0.02	0	0	97
4.5	-1.4	97.6	-0.3	-0.03	0	0	100
5.5	-1.3	97.4	-0.38	0.12	0	0	100
6.5	-1.3	97.4	-0.39	0.45	0	0	100
7.5	-1.1	97.0	-0.46	0.53	0	3	100
8.5	-1.0	96.6	-0.57	0.57	0	11	100
9.5	-0.8	96.2	-1.04	0.94	0	36	100
10.5	-0.4	95.6	-1.1	0.69	0	47	100
11.5	-0.1	96.6	-1.03	0.62	0	41	100
12.5	0.2	95.2	-0.54	0.44	0	40	100
13.5	0.3	95.5	-0.21	0.21	0	28	100
14.5	0.5	94.6	-0.0	-0.0	0	19	100
15.5	0.5	94.1	-0.3	0.4	0	8	100
16.5	0.1	97.0	-0.33	0.22	0	0	100
17.5	0.1	95.4	-0.18	0.09	0	0	100
18.5	0.0	96.0	-0.33	0.22	0	0	100
19.5	0.1	96.1	-0.31	0.51	0	0	100
20.5	0.1	96.3	-0.21	0.21	0	0	100
21.5	0.1	96.7	-0.35	0.35	0	0	100
22.5	0.1	97.0	-0.14	0.14	0	0	100
23.5	0.0	97.4	-0.0	-0.0	0	0	100
24.5	0.0	95.1	-0.0	-0.0	0	0	100
25.5	-0.1	97.0	-0.0	-0.0	0	0	100
26.5	-0.1	97.6	0.0	-0.1	0	0	100
27.5	-0.1	95.9	-0.14	0.14	0	0	100
28.5	-0.1	95.1	-0.22	0.33	0	0	100
29.5	0.1	94.1	-0.76	0.66	0	0	100
30.5	-0.1	94.9	-0.71	0.71	0	0	100
31.5	-0.2	94.2	-0.53	0.96	0	0	100
32.5	0.1	93.3	-0.47	0.65	28	49	100
33.5	0.4	92.2	-0.85	0.85	72	94	100
34.5	1.1	87.9	-0.68	0.87	56	137	100
35.5	1.2	89.6	-1.36	1.18	68	164	100
36.5	1.1	91.1	-1.42	1.11	20	140	100
37.5	1.1	89.4	-1.72	1.2	0	90	100
38.5	1.0	89.5	-0.7	1.32	0	43	100
39.5	0.5	91.0	-0.59	0.68	0	13	100
40.5	0.3	92.5	-0.22	0.33	0	0	100
41.5	0.0	95.6	0.1	0.0	0	0	100
42.5	0.0	95.5	-0.0	-0.0	0	0	100
43.5	0.0	94.7	0.28	0.28	0	0	98
44.5	-0.1	95.9	0.14	0.14	0	0	96
45.5	-0.2	96.3	-0.0	-0.0	0	0	94
46.5	-0.2	96.9	0.1	0.0	0	0	92
47.5	-0.2	96.0	-0.0	-0.0	0	0	90
48.5	-0.2	96.5	-0.0	-0.0	0	0	88
49.5	-0.3	97.5	-0.0	-0.0	0	0	85
50.5	-0.3	94.6	-0.0	-0.0	0	0	83
51.5	-0.5	96.8	0.1	0.0	0	0	81
