#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-2.5	57.6	6.46	-5.82	0	0	50	0.0	50
0.5	-2.5	57.6	6.46	-5.82	0	0	50	0.0	50
1.5	-3.3	48.0	6.95	-5.24	0	0	42	0.0	50
2.5	-3.8	42.8	7.8	-6.1	0	0	33	0.0	50
3.5	-4.4	38.3	7.25	-5.66	0	0	25	0.0	50
4.5	-4.7	37.1	6.62	-5.17	0	0	17	0.0	50
5.5	-4.8	40.3	6.26	-5.44	0	0	8	0.0	50
6.5	-4.8	44.9	6.7	-5.23	0	0	0	0.0	50
7.5	-4.8	46.9	7.96	-4.41	0	5	4	0.0	50
8.5	-4.4	45.9	5.42	-3.01	445	37	8	0.0	50
9.5	-3.9	45.2	5.96	-3.87	636	81	12	0.0	50
10.5	-4.7	47.0	7.3	-4.92	537	105	17	0.0	50
11.5	-2.4	34.0	2.82	-3.24	310	151	21	0.0	50
12.5	-3.9	39.1	4.47	-3.37	646	130	25	0.0	50
13.5	-5.2	43.3	6.06	-4.91	450	117	25	0.0	50
14.5	-5.5	38.9	3.46	-3.46	0	75	25	0.0	50
15.5	-6.6	40.2	3.94	-3.08	0	32	25	0.0	50
16.5	-7.9	51.6	5.35	-4.03	0	0	25	0.0	50
17.5	-8.3	54.6	5.41	-3.79	0	0	25	0.0	50
18.5	-8.8	56.7	5.08	-3.56	0	0	25	0.0	50
19.5	-8.8	56.2	4.72	-2.62	0	0	25	0.0	50
20.5	-8.8	52.8	3.69	-2.4	0	0	25	0.0	50
21.5	-9.5	52.7	2.97	-2.97	0	0	25	0.0	50
22.5	-9.2	51.7	2.41	-3.32	0	0	25	0.0	50
23.5	-8.7	49.3	2.77	-3.67	0	0	25	0.0	50
24.5	-9.4	52.1	0.76	-1.63	0	0	25	0.0	50
25.5	-9.1	52.7	0.65	-1.89	0	0	25	0.0	50
26.5	-9.4	53.2	1.14	-2.45	0	0	25	0.0	50
27.5	-9.9	53.6	1.9	-3.29	0	0	25	0.0	50
28.5	-11.3	56.8	0.52	-1.93	0	0	25	0.0	50
29.5	-10.6	56.4	1.48	-1.48	0	0	25	0.0	50
30.5	-9.1	53.2	3.24	-2.82	0	0	25	0.0	50
31.5	-9.3	54.5	4.12	-3.34	0	0	31	0.0	50
32.5	-8.4	52.6	4.86	-3.16	104	53	38	0.0	50
33.5	-7.3	49.3	4.53	-3.29	563	73	44	0.0	50
34.5	-6.9	50.0	4.97	-4.03	747	58	50	0.0	50
35.5	-6.8	49.9	4.71	-3.55	778	62	56	0.0	50
36.5	-6.8	49.0	4.02	-3.14	594	107	62	0.0	50
37.5	-7.3	47.6	3.7	-2.89	314	112	58	0.0	50
38.5	-8.2	50.0	3.31	-2.59	0	64	54	0.0	50
39.5	-8.5	50.9	3.8	-2.76	0	24	50	0.0	50
40.5	-8.5	48.2	3.52	-3.4	0	0	46	0.0	50
41.5	-8.5	48.3	2.17	-2.88	0	0	42	0.0	50
42.5	-8.6	46.1	3.41	-3.66	0	0	38	0.0	50
43.5	-9.1	48.6	4.9	-4.11	0	0	40	0.0	50
44.5	-9.4	48.4	4.6	-3.86	0	0	42	0.0	50
45.5	-9.6	49.8	3.77	-3.28	0	0	44	0.0	50
46.5	-9.8	47.8	3.04	-3.04	0	0	46	0.0	50
47.5	-10.0	47.5	3.09	-2.99	0	0	48	0.0	50
48.5	-10.3	49.4	3.2	-2.88	0	0	50	0.0	50
49.5	-10.6	51.8	3.57	-3.21	0	0	52	0.0	50
50.5	-11.0	55.2	4.0	-3.48	0	0	54	0.0	50
51.5	-11.3	56.6	4.77	-3.47	0	0	56	0.0	50
52.5	-11.7	57.3	4.51	-3.65	0	0	58	0.0	50
53.5	-11.8	57.2	4.57	-3.57	0	0	60	0.0	50
54.5	-12.0	55.4	3.88	-3.62	0	0	62	0.0	50
55.5	-12.1	55.4	4.33	-3.39	0	0	69	0.0	50
56.5	-12.3	56.8	4.51	-3.65	21	51	75	0.0	50
57.5	-12.2	56.5	4.66	-3.78	62	104	81	0.0	50
58.5	-11.8	53.1	4.81	-3.76	310	132	88	0.0	50
59.5	-11.2	48.2	4.67	-3.92	555	116	94	0.0	50
60.5	-11.3	46.6	4.57	-3.57	690	78	100	0.0	50
61.5	-11.3	45.0	4.5	-3.16	700	91	88	0.0	50
62.5	-11.6	46.5	4.63	-3.49	0	197	75	0.0	50
63.5	-11.8	48.0	4.73	-3.69	0	59	62	0.0	50
64.5	-12.0	49.0	4.63	-3.49	0	0	50	0.0	50
65.5	-12.2	50.0	4.5	-3.16	0	0	38	0.0	50
66.5	-12.5	51.0	4.86	-3.16	0	0	25	0.0	50
67.5	-12.8	52.0	5.2	-3.0	0	0	23	0.0	50
68.5	-13.4	53.9	5.17	-3.23	0	0	21	0.0	50
69.5	-14.0	55.7	5.2	-3.38	0	0	19	0.0	50
70.5	-14.1	57.7	5.34	-3.34	0	0	17	0.0	50
71.5	-14.1	57.7	5.11	-2.95	0	0	15	0.0	50
72.5	-14.2	58.2	5.31	-3.19	0	0	12	0.0	50
73.5	-14.5	57.6	5.02	-3.64	0	0	10	0.0	50
74.5	-14.7	54.6	3.7	-2.89	0	0	8	0.0	50
75.5	-14.7	52.8	2.52	-1.63	0	0	6	0.0	50
76.5	-15.8	53.5	0.98	-0.5	0	0	4	0.0	50
77.5	-17.1	58.2	-0.0	0.1	0	0	2	0.0	50
78.5	-16.5	58.3	0.18	0.09	0	0	0	0.0	50
79.5	-15.5	57.6	-0.0	-0.0	0	0	17	0.0	50
80.5	-14.1	56.8	-0.18	0.08	69	56	33	0.0	50
81.5	-12.3	48.8	-0.5	0.04	10	107	50	0.0	50
82.5	-12.5	57.1	-0.4	-0.02	61	142	67	0.0	50
83.5	-11.6	56.7	-0.1	-0.02	203	167	83	0.0	50
84.5	-11.1	55.7	-0.6	-0.02	82	156	100	0.0	50
85.5	-11.2	61.3	-1.34	0.87	9	115	100	0.0	50
86.5	-11.4	68.2	-0.45	0.22	0	62	100	0.1	50
87.5	-11.7	70.9	0.42	-0.26	0	22	100	0.1	50
88.5	-13.1	66.9	6.08	-2.58	0	0	100	0.0	50
