#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-4.0	84.9	0.1	0.0	0	0	50	1.1	80
0.5	-4.0	84.9	0.1	0.0	0	0	50	1.1	80
1.5	-3.1	88.3	0.1	0.0	0	0	58	0.9	80
2.5	-2.6	91.0	-0.0	0.1	0	0	67	1.5	80
3.5	-1.9	93.2	-0.0	0.1	0	0	75	1.3	80
4.5	-1.5	94.2	-0.0	0.2	0	0	83	1.7	80
5.5	-1.4	93.8	0.21	0.21	0	0	92	2.5	80
6.5	-1.3	93.5	0.2	0.0	0	0	100	1.3	80
7.5	-1.3	93.1	0.41	0.8	0	0	100	1.1	80
8.5	-1.6	93.4	-0.57	1.28	0	12	100	1.4	80
9.5	-1.7	91.2	-0.64	0.64	0	31	100	1.5	80
10.5	-1.8	91.6	-1.17	0.94	0	48	100	0.9	80
11.5	-1.8	91.8	-0.85	0.85	0	56	100	1.1	80
12.5	-1.5	91.0	-0.68	0.59	0	73	100	0.8	80
13.5	-1.3	92.8	-0.59	1.16	0	57	100	0.5	80
14.5	-1.3	92.8	-1.32	1.23	0	24	100	0.5	80
15.5	-1.3	95.6	-1.38	1.0	0	10	100	0.4	80
16.5	-1.0	93.6	-0.58	0.69	0	0	100	0.1	80
17.5	-1.1	96.1	-1.71	1.38	0	0	100	0.1	80
18.5	-1.2	97.5	-0.78	0.78	0	0	100	0.1	80
19.5	-1.2	95.5	-0.98	1.39	0	0	100	0.5	80
20.5	-1.2	95.5	-1.48	1.48	0	0	100	0.5	80
21.5	-1.2	94.0	-1.13	1.13	0	0	100	0.6	80
22.5	-1.1	94.6	-1.17	1.09	0	0	100	1.5	80
23.5	-1.3	93.3	-0.89	0.8	0	0	100	1.3	80
24.5	-1.5	95.4	-0.8	0.89	0	0	100	1.8	80
25.5	-1.2	93.5	-1.31	0.92	0	0	100	1.0	80
26.5	-1.5	94.6	-1.39	1.3	0	0	100	1.5	80
27.5	-1.8	93.8	-1.12	1.0	0	0	100	1.7	80
28.5	-1.8	93.4	-0.88	1.09	0	0	100	1.5	80
29.5	-1.7	93.8	-0.82	1.01	0	0	100	1.9	80
30.5	-1.7	92.9	-1.32	1.23	0	0	100	1.5	80
31.5	-2.2	93.5	-0.94	1.17	0	0	100	0.5	80
32.5	-2.1	93.6	-0.87	0.97	0	9	100	0.6	80
33.5	-1.4	94.9	-1.68	1.09	0	18	100	0.4	80
34.5	-1.5	94.7	-1.92	1.61	0	25	100	0.6	80
35.5	-1.8	95.6	-1.51	1.74	0	38	100	0.4	80
36.5	-1.1	92.4	-0.55	1.29	0	43	100	0.8	80
37.5	-1.1	92.9	-0.3	1.88	0	32	100	0.3	80
38.5	-1.3	94.7	-1.45	1.79	0	22	100	0.4	80
39.5	-1.5	93.5	-1.89	1.48	0	6	100	1.1	80
40.5	-2.0	94.1	-1.26	0.98	0	0	100	0.8	80
41.5	-2.0	94.2	-0.18	0.57	0	0	100	1.4	80
42.5	-2.2	95.1	-0.17	0.25	0	0	100	2.5	80
43.5	-2.3	94.9	-0.0	-0.1	0	0	92	1.3	80
44.5	-2.1	94.9	-0.09	0.18	0	0	83	1.5	80
45.5	-2.4	94.3	-0.51	0.61	0	0	75	2.4	80
46.5	-2.4	91.8	0.6	0.0	0	0	67	0.0	80
47.5	-0.8	76.6	4.39	-4.09	0	0	58	0.0	80
48.5	-0.8	73.0	3.57	-3.21	0	0	50	0.0	80
49.5	-0.8	69.9	4.35	-3.52	0	0	42	0.2	80
50.5	-1.3	72.4	4.77	-3.47	0	0	33	0.1	80
51.5	-1.7	74.4	3.99	-3.01	0	0	25	0.0	80
52.5	-2.2	77.1	5.19	-4.84	0	0	17	0.0	80
53.5	-2.6	74.8	4.81	-4.81	0	0	8	0.0	80
54.5	-3.4	78.4	4.51	-3.65	0	0	0	0.0	80
55.5	-3.8	75.8	2.09	-4.1	0	0	10	0.0	80
56.5	-3.0	72.8	0.9	-2.12	390	57	21	0.0	80
57.5	-2.3	79.1	0.62	-1.9	472	80	31	0.0	80
58.5	-1.5	76.9	0.23	-0.45	613	96	42	0.0	80
59.5	-0.4	80.0	-0.2	-0.0	191	166	52	0.0	80
60.5	0.1	71.9	-0.51	0.31	85	173	62	0.0	80
61.5	-0.3	77.7	-0.28	0.28	91	133	54	0.0	80
62.5	-0.6	77.6	-0.5	0.34	0	119	46	0.0	80
63.5	-2.3	82.8	0.66	-0.45	0	54	38	0.0	80
64.5	-4.4	90.5	0.51	-0.31	0	0	29	0.0	80
65.5	-5.4	93.0	0.45	-0.23	0	0	21	0.0	80
66.5	-6.1	94.3	0.39	-0.1	0	0	12	0.0	80
67.5	-6.2	92.5	0.48	-0.12	0	0	11	0.0	80
68.5	-6.1	93.2	0.27	-0.14	0	0	10	0.0	80
69.5	-5.9	92.9	0.48	-0.16	0	0	9	0.0	80
70.5	-4.7	91.1	0.45	-0.23	0	0	8	0.0	80
71.5	-4.3	92.4	0.38	-0.12	0	0	7	0.0	80
72.5	-4.2	91.2	0.65	-0.26	0	0	6	0.0	80
73.5	-3.7	91.7	0.35	0.35	0	0	5	0.0	80
74.5	-0.5	75.8	1.98	-1.98	0	0	4	0.0	80
75.5	-0.4	64.6	2.84	-2.22	0	0	3	0.1	80
76.5	-3.0	69.4	2.0	-1.5	0	0	2	0.0	80
77.5	-3.8	69.9	0.88	-0.66	0	0	1	0.0	80
78.5	-2.8	58.3	2.18	-1.59	0	0	0	0.0	80
79.5	-4.7	69.0	1.32	-1.07	0	0	10	0.0	80
80.5	-6.5	84.3	0.36	-0.18	422	47	21	0.0	80
81.5	-2.4	63.1	0.31	-1.26	564	119	31	0.0	80
82.5	-0.9	60.7	0.0	-0.6	484	114	42	0.0	80
83.5	-0.2	56.9	0.22	-0.87	477	138	52	0.0	80
84.5	0.0	57.2	-1.03	0.62	603	93	62	0.0	80
85.5	0.4	51.9	-1.13	1.13	330	112	62	0.0	80
86.5	-2.1	60.1	-0.0	1.1	0	77	62	0.0	80
87.5	-4.0	65.3	0.45	-0.23	0	34	62	0.0	80
88.5	-5.7	69.0	0.56	-0.22	0	0	62	0.0	80
89.5	-7.0	85.6	0.45	-0.23	0	0	62	0.0	80
90.5	-8.0	86.3	0.25	-0.17	0	0	62	0.0	80
91.5	-7.2	87.7	0.21	-0.21	0	0	60	0.0	80
92.5	-5.9	82.6	0.28	-0.28	0	0	58	0.0	80
93.5	-4.6	86.3	-0.32	0.62	0	0	56	0.6	80
94.5	-4.4	93.1	-0.78	0.15	0	0	54	1.1	80
95.5	-4.0	87.2	-0.0	-0.5	0	0	52	0.0	80
96.5	-3.7	88.5	-0.13	0.69	0	0	50	0.0	80
97.5	-4.6	91.3	0.18	-0.36	0	0	48	0.0	80
98.5	-5.2	94.1	0.4	0.0	0	0	46	0.0	80
99.5	-4.5	91.1	0.49	-0.1	0	0	44	0.0	80
100.5	-4.5	91.6	0.48	-0.36	0	0	42	0.0	80
101.5	-4.7	91.3	0.38	-0.12	0	0	40	0.0	80
102.5	-6.3	92.6	0.59	-0.11	0	0	38	0.0	80
103.5	-7.2	92.2	0.56	-0.22	0	0	35	0.0	80
104.5	-6.7	89.3	0.45	-0.23	410	42	33	0.0	80
105.5	-3.7	77.9	-0.4	0.3	639	101	31	0.0	80
106.5	-0.1	52.4	0.11	-1.3	775	101	29	0.0	80
