#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor
0.0	-2.2	95.0	0.07	0.6	0	0
0.5	-2.2	95.0	0.07	0.6	0	0
1.5	-0.9	95.6	0.04	0.6	0	0
2.5	0.0	95.8	0.14	0.58	0	0
3.5	0.9	95.8	0.22	0.56	0	0
4.5	1.3	95.7	0.43	0.42	0	0
5.5	1.2	95.3	0.52	0.3	0	0
6.5	1.2	95.1	0.42	0.26	0	0
7.5	1.1	95.1	0.43	0.25	0	8
8.5	1.1	94.4	0.43	0.26	0	51
9.5	0.8	96.9	0.56	0.22	0	135
10.5	1.9	97.1	0.42	0.28	583	114
11.5	3.6	91.7	-0.31	0.51	706	84
12.5	4.0	84.3	-0.11	0.69	751	87
13.5	3.9	80.0	-0.54	0.44	645	90
14.5	2.8	81.9	0.96	0.29	0	114
15.5	1.6	78.9	1.59	0.2	0	32
16.5	1.0	76.2	1.28	0.2	0	0
17.5	0.1	82.1	0.8	0.0	0	0
18.5	0.1	81.6	0.42	-0.28	0	0
19.5	0.8	75.5	0.54	-0.27	0	0
20.5	0.9	74.2	0.35	-0.35	0	0
21.5	0.1	85.3	-0.6	-0.36	0	0
22.5	0.0	84.0	-0.15	-0.78	0	0
23.5	0.6	77.4	1.2	0.0	0	0
24.5	0.2	82.1	-0.52	-0.86	0	0
25.5	-0.1	86.2	-0.5	-0.5	0	0
26.5	0.1	80.2	-0.5	-0.75	0	0
27.5	0.5	77.4	-0.73	-0.53	0	0
28.5	0.5	82.8	-0.64	-0.64	0	0
29.5	0.9	80.0	0.0	-0.7	0	0
30.5	2.4	68.9	1.16	0.29	0	0
31.5	2.2	75.3	0.0	-0.8	0	3
32.5	2.7	74.6	1.9	0.0	0	24
33.5	2.1	83.6	-0.0	-0.1	0	94
34.5	3.2	79.3	0.4	0.0	10	123
35.5	4.0	77.6	0.6	0.0	1	118
36.5	4.5	77.2	0.0	-0.6	0	89
37.5	4.5	79.3	-0.63	-1.14	0	78
38.5	4.3	80.2	0.9	0.0	0	50
39.5	3.9	85.3	0.89	-0.45	0	11
40.5	3.1	92.2	-0.76	-0.66	0	0
41.5	4.0	88.5	2.7	0.09	0	0
42.5	3.4	94.6	0.52	-1.83	0	0
43.5	2.7	96.1	0.68	-0.17	0	0
44.5	3.5	92.9	1.7	0.09	0	0
45.5	3.4	93.6	1.65	-0.41	0	0
46.5	3.3	93.3	0.98	0.19	0	0
47.5	3.6	92.3	0.72	-0.83	0	0
48.5	3.0	94.9	0.71	-0.71	0	0
49.5	2.4	94.3	0.62	-0.5	0	0
50.5	1.5	93.0	0.48	-0.12	0	0
51.5	1.4	88.0	0.59	-0.11	0	0
52.5	1.5	92.6	-0.14	-0.27	0	0
53.5	1.7	90.8	0.28	-0.28	0	0
54.5	2.2	80.0	1.79	0.19	0	0
55.5	1.6	79.8	1.36	-0.34	0	10
56.5	0.1	85.9	0.42	-0.42	0	24
