#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-0.7	95.7	-0.5	-0.5	0	0	50	0.0	30
0.5	-0.7	95.7	-0.5	-0.5	0	0	50	0.0	30
1.5	-0.5	95.9	-0.35	-0.35	0	0	58	0.0	30
2.5	-0.5	95.9	0.67	0.19	0	0	67	0.1	30
3.5	-0.4	95.7	0.51	0.31	0	0	75	0.0	30
4.5	-0.4	95.4	0.54	0.27	0	0	83	0.0	30
5.5	-0.5	95.0	0.5	0.34	0	0	92	0.0	30
6.5	-0.5	94.8	0.4	0.3	0	0	100	0.0	30
7.5	-0.6	94.8	0.36	0.18	0	8	83	0.0	30
8.5	-0.6	94.1	0.43	0.26	0	52	67	0.0	30
9.5	-0.9	96.6	0.56	0.22	0	137	50	0.0	30
10.5	0.2	96.8	0.42	0.28	594	116	33	0.0	30
11.5	1.9	91.4	-0.31	0.51	788	63	17	0.0	30
12.5	2.3	84.0	-0.11	0.69	790	80	0	0.0	30
13.5	2.2	79.7	-0.54	0.44	679	86	8	0.0	30
14.5	1.1	81.6	0.96	0.29	0	116	17	0.0	30
15.5	-0.1	78.6	1.59	0.2	0	33	25	0.0	30
16.5	-0.7	75.9	1.28	0.2	0	0	33	0.0	30
17.5	-1.6	81.8	0.8	0.0	0	0	42	0.0	30
18.5	-1.6	81.3	0.42	-0.28	0	0	50	0.0	30
19.5	-0.9	75.2	0.54	-0.27	0	0	50	0.0	30
20.5	-0.8	73.9	0.35	-0.35	0	0	50	0.0	30
21.5	-1.6	85.0	-0.6	-0.36	0	0	50	0.0	30
22.5	-1.7	83.7	-0.15	-0.78	0	0	50	0.0	30
23.5	-1.1	77.1	1.2	0.0	0	0	50	0.0	30
24.5	-1.5	81.8	-0.52	-0.86	0	0	50	0.0	30
25.5	-1.8	85.9	-0.5	-0.5	0	0	50	0.0	30
26.5	-1.6	79.9	-0.5	-0.75	0	0	50	0.0	30
27.5	-1.2	77.1	-0.73	-0.53	0	0	50	0.0	30
28.5	-1.2	82.5	-0.64	-0.64	0	0	50	0.0	30
29.5	-0.8	79.7	0.0	-0.7	0	0	50	0.0	30
30.5	0.7	68.6	1.16	0.29	0	0	50	0.0	30
31.5	0.5	75.0	0.0	-0.8	0	3	54	0.0	30
32.5	1.0	74.3	1.9	0.0	0	24	58	0.0	30
33.5	0.4	83.3	-0.0	-0.1	0	95	62	0.0	30
34.5	1.5	79.0	0.4	0.0	9	127	67	0.0	30
35.5	2.3	77.3	0.6	0.0	0	120	71	0.0	30
36.5	2.8	76.9	0.0	-0.6	0	91	75	0.0	30
37.5	2.8	79.0	-0.63	-1.14	0	79	79	0.0	30
38.5	2.6	79.9	0.9	0.0	0	51	83	0.0	30
39.5	2.2	85.0	0.89	-0.45	0	11	88	0.0	30
40.5	1.5	91.8	-0.76	-0.66	0	0	92	0.1	30
41.5	2.4	88.2	2.7	0.09	0	0	96	1.1	30
42.5	1.8	94.2	0.52	-1.83	0	0	100	0.0	30
43.5	1.1	95.7	0.68	-0.17	0	0	96	0.0	30
44.5	1.9	92.5	1.7	0.09	0	0	92	0.0	30
45.5	1.8	93.2	1.65	-0.41	0	0	88	0.0	30
46.5	1.7	92.9	0.98	0.19	0	0	83	0.1	30
47.5	2.0	91.9	0.72	-0.83	0	0	79	0.3	30
48.5	1.4	94.5	0.71	-0.71	0	0	75	0.0	30
49.5	0.8	93.9	0.62	-0.5	0	0	71	0.0	30
50.5	-0.1	92.6	0.48	-0.12	0	0	67	0.0	30
51.5	-0.2	87.6	0.59	-0.11	0	0	62	0.0	30
52.5	-0.1	92.2	-0.14	-0.27	0	0	58	0.0	30
53.5	0.1	90.4	0.28	-0.28	0	0	54	0.0	30
54.5	0.6	79.7	1.79	0.19	0	0	50	0.0	30
55.5	0.0	79.5	1.36	-0.34	0	10	46	0.0	30
56.5	-1.5	85.5	0.42	-0.42	0	24	42	0.0	30
57.5	-0.3	81.3	0.79	0.11	0	142	38	0.0	30
58.5	1.9	77.5	1.77	0.94	627	128	33	0.0	30
59.5	1.7	79.2	-0.74	0.31	543	115	29	0.0	30
60.5	3.1	67.7	-0.4	0.3	731	102	25	0.0	30
61.5	3.1	60.4	-0.56	0.22	690	85	31	0.0	30
62.5	2.7	59.8	1.2	0.49	296	68	38	0.0	30
63.5	0.7	59.9	1.19	-0.12	0	20	44	0.0	30
64.5	0.4	59.0	0.56	-0.22	0	0	50	0.0	30
65.5	0.0	61.0	1.19	0.12	0	0	56	0.0	30
66.5	-0.9	65.0	-0.33	-0.22	0	0	62	0.0	30
67.5	-0.4	59.6	0.54	-0.27	0	0	60	0.0	30
68.5	-1.0	62.8	1.0	-0.1	0	0	58	0.0	30
69.5	-0.8	58.5	0.78	-0.63	0	0	56	0.0	30
70.5	-1.0	62.7	1.7	0.0	0	0	54	0.0	30
71.5	-0.9	61.9	1.07	-0.27	0	0	52	0.0	30
72.5	-1.3	68.6	0.0	-1.4	0	0	50	0.0	30
73.5	-0.9	63.9	0.6	0.0	0	0	48	0.0	30
74.5	-0.7	63.6	0.97	0.22	0	0	46	0.0	30
75.5	-0.6	62.8	0.42	-0.42	0	0	44	0.0	30
76.5	-1.4	72.6	-0.36	-0.18	0	0	42	0.0	30
77.5	-0.9	68.2	1.0	0.0	0	0	40	0.0	30
78.5	-0.8	67.8	1.0	-0.1	0	0	38	0.0	30
79.5	-0.8	71.7	-0.14	-0.58	0	4	38	0.0	30
80.5	-1.1	80.3	-0.42	-0.42	0	56	38	0.0	30
81.5	0.1	77.9	-0.5	-0.0	0	185	38	0.0	30
82.5	1.1	74.5	-0.59	0.68	716	92	38	0.0	30
83.5	2.6	66.8	0.45	0.66	729	78	38	0.0	30
84.5	4.0	62.2	0.11	0.79	751	87	38	0.0	30
85.5	4.0	60.1	0.88	0.66	484	113	42	0.0	30
86.5	2.2	65.1	1.86	0.4	25	65	46	0.0	30
87.5	1.7	67.3	1.9	0.1	0	23	50	0.0	30
88.5	0.9	70.2	0.89	-0.14	0	0	54	0.0	30
89.5	0.1	76.0	0.18	-0.57	0	0	58	0.0	30
90.5	0.0	76.1	0.36	-0.48	0	0	62	0.0	30
91.5	0.0	76.7	1.29	0.14	0	0	66	0.0	30
92.5	-0.8	88.8	-1.16	-0.59	0	0	69	0.7	30
93.5	-0.7	92.7	0.9	0.09	0	0	72	0.7	30
94.5	-0.7	92.7	0.77	0.22	0	0	75	0.4	30
95.5	-1.1	92.2	-1.13	-0.65	0	0	78	0.5	30
96.5	-1.7	90.4	-2.27	-1.26	0	0	81	0.3	30
97.5	-2.6	86.6	-3.37	-2.83	0	0	84	0.0	30
98.5	-3.2	83.8	-4.02	-3.14	0	0	88	0.0	30
99.5	-3.6	86.9	-2.56	-2.94	0	0	91	0.0	30
100.5	-4.0	86.0	-1.74	-3.15	0	0	94	0.0	30
101.5	-4.3	87.4	-2.41	-2.68	0	0	97	0.0	50
102.5	-4.6	83.9	-1.84	-2.62	0	0	100	0.0	50
103.5	-4.5	81.5	-1.77	-1.9	0	9	100	0.0	50
104.5	-4.4	78.4	-1.93	-2.3	0	81	100	0.0	50
105.5	-4.3	74.9	-1.65	-2.26	0	112	100	0.0	50
106.5	-3.9	73.7	-2.02	-2.09	46	142	100	0.0	50
107.5	-3.9	70.2	-3.23	-2.18	50	142	100	0.0	50
108.5	-3.9	67.3	-3.64	-2.1	17	143	100	0.0	50
109.5	-3.9	66.7	-3.96	-1.93	135	134	94	0.0	50
110.5	-4.6	68.0	-2.82	-1.5	88	86	88	0.0	50
111.5	-5.4	71.5	-2.18	-1.59	0	27	81	0.0	50
112.5	-5.9	75.8	0.35	-0.35	0	0	75	0.0	50
113.5	-6.1	76.7	0.14	-0.27	0	0	69	0.0	50
114.5	-6.0	76.8	-0.21	-0.21	0	0	62	0.0	50
115.5	-6.4	78.0	0.2	0.0	0	0	58	0.0	50
116.5	-8.4	81.4	0.22	-0.67	0	0	54	0.0	50
117.5	-9.6	81.0	0.58	-0.69	0	0	50	0.0	50
118.5	-9.4	77.6	1.4	0.0	0	0	46	0.0	50
119.5	-9.8	75.7	2.35	0.5	0	0	42	0.0	50
120.5	-10.4	77.2	2.28	0.74	0	0	38	0.0	50
121.5	-10.8	77.9	1.83	0.81	0	0	33	0.0	50
122.5	-11.3	78.2	1.77	0.31	0	0	29	0.0	50
123.5	-11.6	78.9	1.18	0.21	0	0	25	0.0	50
124.5	-12.3	83.3	0.69	0.1	0	0	21	0.0	50
125.5	-12.5	83.9	1.0	0.1	0	0	17	0.0	50
126.5	-12.3	81.2	0.6	0.0	0	0	12	0.0	50
127.5	-12.6	84.7	0.35	-0.35	0	11	12	0.0	50
128.5	-12.5	85.2	0.36	-0.18	0	30	12	0.0	50
129.5	-10.6	78.8	-0.42	-0.28	0	167	12	0.0	50
130.5	-9.1	77.5	-0.0	0.5	629	94	12	0.0	50
131.5	-7.7	71.8	-0.16	0.48	593	110	12	0.0	50
132.5	-6.8	72.7	-0.7	-0.0	353	140	12	0.0	50
133.5	-6.4	70.5	-0.27	-0.14	100	132	23	0.0	50
134.5	-6.3	71.8	-0.45	-0.23	116	80	33	0.0	50
135.5	-6.1	71.0	0.7	0.0	0	37	44	0.0	50
136.5	-6.5	76.3	1.18	0.19	0	0	54	0.0	50
137.5	-7.1	81.4	0.79	0.12	0	0	65	0.0	50
138.5	-7.1	81.5	0.21	-0.21	0	0	75	0.0	50
139.5	-7.4	82.6	0.14	-0.14	0	0	77	0.0	50
140.5	-7.9	87.9	-0.51	-0.31	0	0	79	0.0	50
141.5	-7.8	89.8	0.42	-0.42	0	0	81	0.0	50
142.5	-8.1	90.0	-0.8	-0.6	0	0	83	0.0	50
143.5	-7.6	89.5	0.62	-0.32	0	0	85	0.0	50
144.5	-7.2	88.5	0.98	0.19	0	0	88	0.0	50
145.5	-6.9	87.2	0.9	0.0	0	0	90	0.0	50
146.5	-7.2	89.7	0.5	0.0	0	0	92	0.0	50
147.5	-7.5	91.2	0.39	-0.1	0	0	94	0.0	50
148.5	-7.6	90.9	-0.34	-0.5	0	0	96	0.1	50
149.5	-7.9	92.6	-0.27	0.14	0	0	98	0.2	50
150.5	-8.0	91.3	-0.35	-0.35	0	0	100	0.1	80
151.5	-8.3	88.1	-2.08	-0.97	0	8	100	0.0	80
152.5	-8.6	79.9	-2.49	-1.49	0	28	100	0.0	80
153.5	-8.5	77.5	-1.48	-0.6	7	95	100	0.0	80
154.5	-8.0	72.8	-2.1	-0.94	78	147	100	0.0	80
155.5	-7.6	66.0	-3.84	-1.71	219	167	100	0.0	80
156.5	-7.5	63.7	-3.17	-1.91	81	172	100	0.0	80
157.5	-7.7	63.2	-3.96	-1.68	119	135	100	0.0	80
158.5	-8.0	64.9	-3.62	-1.69	52	82	100	0.0	80
159.5	-8.7	70.7	-3.33	-1.62	0	31	100	0.0	80
160.5	-9.6	74.6	-2.38	-1.66	0	0	100	0.0	80
161.5	-10.2	72.3	-0.82	-1.13	0	0	100	0.0	80
162.5	-11.5	77.3	0.57	-0.57	0	0	100	0.0	80
163.5	-11.6	80.2	1.2	0.0	0	0	96	0.0	80
164.5	-11.6	80.7	1.0	0.1	0	0	92	0.0	80
165.5	-12.5	82.2	0.14	-0.27	0	0	88	0.0	80
166.5	-12.7	83.7	0.14	-0.27	0	0	83	0.0	80
167.5	-12.7	77.3	0.88	0.48	0	0	79	0.0	80
168.5	-13.8	72.2	2.23	1.14	0	0	75	0.0	80
