#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-8.5	79.4	3.6	0.83	0	0	50	0.0	50
0.5	-8.5	79.4	3.6	0.83	0	0	50	0.0	50
1.5	-9.0	78.6	3.56	0.56	0	0	42	0.0	50
2.5	-9.6	77.8	3.12	0.72	0	0	33	0.0	50
3.5	-10.1	77.4	3.63	0.71	0	0	25	0.0	50
4.5	-10.5	77.7	3.72	0.79	0	0	17	0.0	50
5.5	-10.9	78.0	3.51	0.81	0	0	8	0.0	50
6.5	-11.2	78.4	4.09	0.94	0	0	0	0.0	50
7.5	-11.2	78.1	4.08	1.02	0	11	0	0.0	50
8.5	-11.4	78.6	4.27	1.06	0	44	0	0.0	50
9.5	-10.4	76.4	3.1	1.13	0	152	0	0.0	50
10.5	-9.3	73.3	2.23	1.34	713	90	0	0.0	50
11.5	-7.5	62.7	1.45	0.68	819	70	0	0.0	50
12.5	-6.4	65.5	0.54	0.44	807	67	0	0.0	50
13.5	-6.7	70.1	-0.0	0.3	677	77	0	0.0	50
14.5	-6.6	71.6	0.18	0.09	317	66	0	0.0	50
15.5	-7.7	74.1	-0.0	-0.2	0	24	0	0.0	50
16.5	-8.7	79.0	-0.21	-0.21	0	0	0	0.0	50
17.5	-9.6	82.2	-0.14	-0.14	0	0	0	0.0	50
18.5	-10.5	86.3	-0.22	-0.33	0	0	0	0.0	50
19.5	-11.4	89.0	-0.22	-0.33	0	0	5	0.0	50
20.5	-11.9	89.1	-0.21	-0.21	0	0	10	0.0	50
21.5	-12.7	88.4	0.0	-0.2	0	0	16	0.0	50
22.5	-13.8	87.5	-0.14	-0.27	0	0	21	0.0	50
23.5	-13.7	87.6	-0.18	-0.09	0	0	26	0.0	50
24.5	-14.1	87.2	-0.22	-0.67	0	0	31	0.0	50
25.5	-14.5	86.8	-0.45	-0.78	0	0	36	0.0	50
26.5	-14.8	86.6	-0.34	-1.05	0	0	42	0.0	50
27.5	-14.4	87.0	0.84	0.32	0	0	47	0.0	50
28.5	-14.4	87.0	1.1	0.1	0	0	52	0.0	50
29.5	-14.8	86.6	1.2	0.1	0	0	57	0.0	50
30.5	-15.9	85.7	1.39	0.2	0	0	62	0.0	50
31.5	-16.6	85.1	0.14	-0.27	0	5	56	0.0	50
32.5	-16.9	84.9	-0.33	-0.22	0	36	50	0.0	50
33.5	-15.9	85.7	0.2	0.0	0	147	44	0.0	50
34.5	-14.4	84.7	0.51	0.31	694	87	38	0.0	50
35.5	-13.4	86.2	0.12	0.38	758	90	31	0.0	50
36.5	-13.0	87.8	-0.42	0.28	734	130	25	0.0	50
37.5	-12.2	84.6	-0.27	0.14	722	77	21	0.0	50
38.5	-12.5	84.9	-0.5	-0.0	644	47	17	0.0	50
39.5	-13.2	85.7	-0.42	-0.42	0	28	12	0.0	50
40.5	-13.8	84.7	0.0	-0.9	0	0	8	0.0	50
41.5	-12.7	75.5	1.6	-0.82	0	0	4	0.0	50
42.5	-13.2	74.6	0.17	-1.39	0	0	0	0.0	50
43.5	-14.3	76.8	-0.23	-1.18	0	0	0	0.0	50
44.5	-15.0	81.3	-0.32	-1.05	0	0	0	0.0	50
45.5	-16.0	84.2	-0.5	-0.87	0	0	0	0.0	50
46.5	-16.7	84.9	0.27	-0.14	0	0	0	0.0	50
47.5	-17.1	84.6	1.2	0.1	0	0	0	0.0	50
48.5	-17.6	84.3	0.78	-0.15	0	0	0	0.0	50
49.5	-18.3	83.7	-0.28	-0.28	0	0	0	0.0	50
50.5	-17.7	84.2	0.98	0.19	0	0	0	0.0	50
51.5	-18.2	83.8	1.67	0.32	0	0	0	0.0	50
52.5	-18.3	83.7	1.18	0.19	0	0	0	0.0	50
53.5	-19.2	83.0	0.4	0.0	0	0	0	0.0	50
54.5	-18.9	83.2	1.47	0.31	0	0	0	0.0	50
55.5	-18.5	83.5	1.09	0.12	0	7	0	0.0	50
56.5	-17.9	84.1	0.89	0.12	0	58	0	0.0	50
57.5	-16.4	84.9	0.78	0.45	0	224	0	0.0	50
58.5	-14.9	81.5	0.67	1.0	769	79	0	0.0	50
59.5	-13.5	78.2	-0.19	0.78	823	72	0	0.0	50
60.5	-13.0	76.2	-0.4	-0.0	755	91	0	0.0	50
61.5	-12.0	76.4	-0.45	-0.23	692	121	0	0.0	50
62.5	-11.6	73.7	1.4	0.54	470	68	0	0.0	50
63.5	-12.4	77.0	1.75	0.4	0	34	0	0.0	50
64.5	-13.2	81.0	1.26	0.31	0	0	0	0.0	50
65.5	-13.8	82.1	0.9	0.09	0	0	0	0.0	50
66.5	-14.0	81.8	0.27	-0.14	0	0	0	0.0	50
67.5	-13.8	81.5	1.77	0.31	0	0	0	0.0	50
68.5	-13.9	81.6	1.57	0.3	0	0	0	0.0	50
69.5	-15.1	86.0	1.16	0.29	0	0	0	0.0	50
70.5	-14.9	83.9	1.57	0.3	0	0	0	0.0	50
71.5	-14.9	84.8	2.24	0.52	0	0	0	0.0	50
72.5	-14.9	84.1	1.78	0.28	0	0	0	0.0	50
73.5	-14.3	81.2	2.99	0.8	0	0	0	0.0	50
74.5	-14.2	80.8	3.59	0.9	0	0	0	0.0	50
75.5	-14.4	81.0	3.63	0.71	0	0	0	0.0	50
76.5	-14.3	80.3	3.82	0.81	0	0	0	0.0	50
77.5	-14.6	81.1	2.9	0.78	0	0	0	0.0	50
78.5	-14.6	80.8	2.73	0.63	0	0	0	0.0	50
79.5	-14.4	79.8	3.2	0.8	0	11	0	0.0	50
80.5	-14.2	79.1	2.74	0.58	0	52	0	0.0	50
81.5	-13.7	80.6	0.88	0.17	0	179	0	0.0	50
82.5	-11.8	74.9	1.2	0.9	721	110	0	0.0	50
83.5	-10.9	75.2	-0.7	-0.0	797	95	0	0.0	50
84.5	-9.6	70.8	-0.48	-0.12	786	85	0	0.0	50
85.5	-8.8	67.9	-0.4	-0.0	686	80	0	0.0	50
86.5	-8.1	63.2	0.98	0.19	365	71	0	0.0	50
87.5	-9.5	70.4	1.28	0.2	0	30	0	0.0	50
88.5	-9.4	71.3	1.89	0.2	0	0	0	0.0	50
89.5	-9.7	72.9	2.18	0.31	0	0	0	0.0	50
90.5	-10.2	75.4	1.98	0.31	0	0	0	0.0	50
91.5	-9.9	71.0	2.44	0.52	0	0	0	0.0	50
92.5	-10.2	71.2	3.02	0.7	0	0	0	0.0	50
93.5	-10.7	71.2	3.06	0.48	0	0	0	0.0	50
94.5	-11.1	70.9	2.9	0.78	0	0	0	0.0	50
95.5	-11.3	69.6	2.81	0.7	0	0	0	0.0	50
96.5	-11.7	69.8	3.4	0.85	0	0	0	0.0	50
97.5	-12.0	69.7	3.41	0.79	0	0	0	0.0	50
98.5	-12.2	69.3	3.71	1.2	0	0	0	0.0	50
99.5	-12.3	68.6	4.08	1.02	0	0	0	0.0	50
100.5	-12.6	68.8	3.22	1.11	0	0	0	0.0	50
101.5	-12.8	67.6	2.43	0.93	0	0	0	0.0	50
102.5	-12.4	65.1	3.52	1.14	0	0	0	0.0	50
103.5	-13.0	68.2	2.61	1.0	0	11	0	0.0	50
104.5	-12.1	63.3	3.1	0.77	0	51	0	0.0	50
105.5	-10.9	61.0	2.76	1.41	0	168	0	0.0	50
106.5	-9.2	58.0	2.59	1.88	705	88	0	0.0	50
107.5	-7.8	54.1	0.69	1.1	736	98	0	0.0	50
108.5	-6.8	57.5	-0.18	0.36	209	156	0	0.0	50
109.5	-5.4	57.7	0.22	0.33	611	105	0	0.0	50
110.5	-5.1	56.0	0.75	0.29	511	55	0	0.0	50
111.5	-6.3	60.7	1.35	0.39	0	31	0	0.0	50
112.5	-6.5	62.7	2.28	0.74	0	0	0	0.0	50
113.5	-5.7	58.8	2.9	0.78	0	0	0	0.0	50
114.5	-5.7	57.6	4.3	0.92	0	0	0	0.0	50
115.5	-6.4	62.8	4.29	0.99	0	0	0	0.0	50
116.5	-6.9	64.2	4.3	0.92	0	0	0	0.0	50
117.5	-7.5	65.9	3.98	0.99	0	0	0	0.0	50
118.5	-7.9	67.2	4.29	0.99	0	0	0	0.0	50
119.5	-8.0	66.9	4.15	1.11	0	0	0	0.0	50
120.5	-8.4	68.2	3.98	0.99	0	0	0	0.0	50
121.5	-8.5	67.3	3.54	1.08	0	0	0	0.0	50
122.5	-8.8	67.7	3.25	0.99	0	0	0	0.0	50
123.5	-8.7	67.1	2.7	0.72	0	0	0	0.0	50
124.5	-8.6	66.7	2.96	0.91	0	0	0	0.0	50
125.5	-8.3	65.1	3.16	0.96	0	0	0	0.0	14
126.5	-7.9	64.7	3.08	1.18	0	0	0	0.0	14
127.5	-7.2	63.9	2.12	0.9	0	10	17	0.0	14
128.5	-5.7	60.0	2.71	1.04	0	56	33	0.0	14
129.5	-4.7	60.0	2.76	0.9	0	76	50	0.0	14
130.5	-3.6	58.3	1.58	0.64	0	104	67	0.0	14
131.5	-3.9	70.2	-0.27	-0.14	18	133	83	0.0	50
132.5	-2.4	65.4	-0.33	-0.22	19	134	100	0.0	50
133.5	-1.6	65.8	-0.25	-0.17	111	134	100	0.0	50
134.5	0.0	60.2	0.48	0.12	110	81	100	0.0	50
135.5	-0.1	62.2	0.38	0.12	0	28	100	0.0	50
136.5	-0.1	65.7	0.59	0.11	0	0	100	0.0	50
137.5	0.4	63.6	1.39	0.2	0	0	100	0.0	50
