#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor
0.0	4.0	75.0	-4.21	3.54	0	0
0.5	4.0	75.0	-4.21	3.54	0	0
1.5	2.5	77.7	-4.67	0.49	0	0
2.5	1.5	79.3	-3.96	-1.06	0	0
3.5	0.4	81.4	-2.68	-2.09	0	0
4.5	-0.2	82.5	-1.8	-2.14	0	0
5.5	-0.2	82.5	-1.81	-2.01	0	0
6.5	-0.2	82.6	-1.74	-1.93	0	0
7.5	-0.1	82.2	-1.88	-1.94	0	0
8.5	0.1	81.6	-2.18	-1.76	36	42
9.5	0.3	80.6	-1.9	-1.1	0	66
10.5	0.5	80.9	-2.65	-1.79	0	86
11.5	0.4	81.7	-1.46	-1.36	0	62
12.5	0.7	82.4	-1.6	-1.2	0	64
13.5	0.5	83.5	-0.8	-0.6	0	40
14.5	0.5	83.6	-0.64	-0.64	0	15
15.5	0.5	84.6	-0.91	-0.41	0	5
16.5	0.4	84.0	-0.32	-0.62	0	0
17.5	0.4	83.9	-0.65	-0.26	0	0
18.5	0.3	85.7	-1.5	0.1	0	0
19.5	0.1	90.5	-0.9	-0.0	0	0
20.5	-0.2	97.1	-0.14	-0.14	0	0
21.5	-0.2	97.7	-0.42	-0.42	0	0
22.5	-0.1	97.7	-0.47	-0.65	0	0
23.5	-0.3	98.2	-0.62	-0.32	0	0
24.5	-0.3	97.8	-0.45	-0.23	0	0
25.5	-0.3	98.2	-0.33	-0.22	0	0
26.5	-0.2	97.3	-0.42	-0.42	0	0
27.5	-0.3	98.3	-0.5	-0.5	0	0
28.5	-0.4	98.4	-0.61	-0.51	0	0
29.5	-0.5	97.8	-0.93	-0.76	0	0
30.5	-0.5	96.6	-1.27	-1.27	0	0
31.5	-0.6	97.1	-1.09	-1.56	0	0
32.5	-0.5	92.6	-1.44	-1.66	0	28
33.5	-0.6	89.2	-2.1	-1.53	0	36
34.5	-0.8	86.1	-1.94	-1.41	0	76
35.5	-0.9	84.7	-1.67	-1.99	0	58
36.5	-0.8	82.7	-1.72	-2.21	0	86
37.5	-0.7	83.3	-2.25	-2.41	0	59
38.5	-0.9	83.4	-1.97	-1.54	0	38
39.5	-1.5	82.3	-2.68	-1.74	0	11
40.5	-1.8	80.7	-2.27	-2.8	0	0
41.5	-1.7	82.9	-2.18	-2.6	0	0
42.5	-1.7	82.3	-2.79	-2.43	0	0
43.5	-1.8	81.6	-3.24	-3.13	0	0
44.5	-2.0	81.0	-3.45	-3.33	0	0
45.5	-2.3	79.3	-2.83	-2.83	0	0
46.5	-2.6	79.0	-2.44	-2.91	0	0
47.5	-2.8	78.9	-2.08	-2.56	0	0
48.5	-3.0	79.9	-3.41	-4.06	0	0
49.5	-3.1	79.6	-2.59	-3.56	0	0
50.5	-3.3	79.2	-2.17	-2.88	0	0
51.5	-3.4	79.1	-2.53	-3.35	0	0
52.5	-3.4	79.7	-2.52	-3.11	0	0
53.5	-3.5	78.7	-2.23	-2.15	0	0
54.5	-3.5	79.5	-2.72	-2.05	0	0
55.5	-3.7	79.4	-3.11	-3.11	0	0
56.5	-3.7	78.4	-2.34	-2.03	0	24
57.5	-4.0	78.7	-2.83	-1.7	0	48
58.5	-4.3	78.2	-2.9	-2.61	0	90
59.5	-4.2	74.9	-2.7	-3.22	4	133
60.5	-4.1	72.1	-2.65	-3.39	19	138
61.5	-4.2	71.9	-3.81	-1.78	181	122
62.5	-4.6	73.6	-3.36	-1.29	422	65
63.5	-4.8	74.9	-2.75	-2.48	0	27
64.5	-5.5	78.4	-2.41	-2.25	0	0
65.5	-6.1	76.3	-2.08	-1.56	0	0
66.5	-6.3	77.0	-1.84	-2.74	0	0
67.5	-6.0	77.9	-1.78	-2.54	0	0
