#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	PRECIPITATION	ALBEDO
0.0	1.6	85.1	1.54	0.72	0	0	0.0	14
0.5	1.6	85.1	1.54	0.72	0	0	0.0	14
1.5	1.1	86.0	1.43	0.73	0	0	0.0	14
2.5	0.8	86.8	1.64	0.73	0	0	0.0	14
3.5	0.5	87.4	1.85	0.43	0	0	0.0	14
4.5	0.4	88.0	1.75	0.4	0	0	0.0	14
5.5	0.5	88.3	2.65	0.52	0	0	0.0	14
6.5	0.6	88.7	2.47	0.39	0	0	0.0	14
7.5	0.6	88.6	2.86	0.5	0	0	0.0	14
8.5	0.7	88.7	2.7	0.72	0	25	0.0	14
9.5	0.8	88.5	2.63	0.61	0	67	0.0	14
10.5	1.1	86.6	2.97	0.42	0	90	0.0	14
11.5	1.4	85.5	2.66	0.47	8	128	0.0	14
12.5	1.5	85.2	2.76	0.49	0	85	0.0	14
13.5	1.6	84.4	2.53	0.58	0	63	0.0	14
14.5	1.6	85.2	2.93	0.62	0	29	0.0	14
15.5	1.8	85.4	2.91	0.73	0	15	0.0	14
16.5	1.9	86.7	2.24	0.52	0	0	0.3	14
17.5	1.8	89.6	2.55	0.88	0	0	0.5	14
18.5	2.0	90.0	3.06	1.24	0	0	0.0	14
19.5	1.9	91.2	3.34	1.35	0	0	0.0	14
20.5	2.1	91.2	3.12	1.59	0	0	0.1	14
21.5	2.1	91.9	3.03	1.75	0	0	0.1	14
22.5	2.1	91.8	2.97	1.2	0	0	0.1	14
23.5	2.3	91.9	2.96	0.91	0	0	0.3	14
24.5	2.3	91.7	3.63	1.11	0	0	0.1	14
25.5	2.1	91.3	2.55	0.5	0	0	0.0	14
26.5	2.0	92.1	2.1	-0.11	0	0	0.0	14
27.5	1.9	93.1	1.1	0.0	0	0	0.0	14
28.5	1.6	94.5	0.59	0.09	0	0	0.0	14
29.5	1.3	95.0	1.7	-0.09	0	0	0.0	14
30.5	1.4	93.5	0.42	-0.42	0	0	0.0	14
31.5	0.8	94.7	-0.87	-1.34	0	0	0.0	14
32.5	0.9	93.9	-1.61	-1.92	0	23	0.0	14
33.5	1.4	93.5	-1.64	-1.76	0	56	0.0	14
34.5	1.6	92.0	-1.11	-1.42	0	75	0.0	14
35.5	2.4	89.7	-1.05	-1.34	0	95	0.0	14
36.5	2.5	88.6	-0.95	-0.31	0	90	0.0	14
37.5	2.6	88.5	-1.19	-0.53	0	53	0.0	14
38.5	2.5	87.3	-1.91	-1.29	0	29	0.0	14
39.5	2.4	87.2	-1.74	-1.93	0	8	0.0	14
40.5	2.2	87.6	-2.04	-0.82	0	0	0.0	14
41.5	2.1	88.9	-1.9	-1.77	0	0	0.0	14
42.5	2.0	88.4	-2.06	-1.24	0	0	0.0	14
43.5	1.6	89.6	-1.7	-1.7	0	0	0.0	14
44.5	1.1	89.9	-1.32	-1.63	0	0	0.0	14
45.5	0.9	89.9	-0.1	-0.39	0	0	0.0	14
46.5	1.0	89.4	-0.09	-0.28	0	0	0.0	14
47.5	0.9	89.4	-0.31	-0.74	0	0	0.0	14
48.5	0.9	89.7	0.48	-0.16	0	0	0.0	14
49.5	1.1	88.5	1.78	0.28	0	0	0.0	14
50.5	1.2	86.7	2.5	1.01	0	0	0.0	14
51.5	1.3	86.0	3.14	1.96	0	0	0.0	14
52.5	1.5	86.3	3.73	2.52	0	0	0.0	14
53.5	1.6	84.5	3.59	2.71	0	0	0.0	14
54.5	1.4	82.8	3.48	2.53	0	0	0.0	14
55.5	1.3	83.4	3.94	2.18	0	0	0.0	14
56.5	1.3	85.3	3.04	0.99	0	18	0.0	14
57.5	1.6	84.5	2.47	1.1	0	48	0.0	14
58.5	2.2	82.2	2.64	2.14	0	68	0.0	14
59.5	2.4	80.5	3.94	3.55	0	114	0.0	14
60.5	2.6	79.2	3.72	3.35	0	108	0.0	14
61.5	2.5	78.7	3.83	2.89	0	63	0.0	14
62.5	2.5	79.8	3.26	1.96	0	44	0.0	14
63.5	2.4	80.5	2.87	2.01	0	23	0.0	14
64.5	1.7	84.2	3.17	1.48	0	0	0.0	14
65.5	1.9	83.5	2.27	1.26	0	0	0.0	14
66.5	1.7	86.8	1.48	1.89	0	0	0.0	14
67.5	1.3	88.3	1.71	1.38	0	0	0.0	14
68.5	1.2	86.1	2.1	1.53	0	0	0.0	14
69.5	1.1	87.0	1.57	1.68	0	0	0.0	14
70.5	0.8	88.1	1.78	1.61	0	0	0.0	14
71.5	0.7	88.5	3.38	0.91	0	0	0.0	14
72.5	0.8	89.1	1.68	1.26	0	0	0.0	14
73.5	0.7	89.9	1.03	1.94	0	0	0.0	14
74.5	0.6	89.7	0.71	2.19	0	0	0.0	14
75.5	0.4	90.3	0.31	1.77	0	0	0.0	14
76.5	0.7	89.5	1.08	2.8	0	0	0.0	14
77.5	0.6	88.7	1.5	2.82	0	0	0.0	14
78.5	0.6	87.3	1.7	2.71	0	0	0.0	14
79.5	0.6	86.7	1.43	2.29	0	0	0.0	14
80.5	0.7	86.6	2.39	2.95	0	22	0.0	14
81.5	1.0	86.6	2.27	2.8	0	56	0.0	14
82.5	1.6	85.7	3.2	1.42	0	102	0.0	14
83.5	2.2	82.2	2.91	2.12	74	147	0.0	14
84.5	2.9	81.0	3.5	1.2	503	105	0.0	14
85.5	3.5	81.0	2.8	0.1	588	102	0.0	14
86.5	4.0	78.7	2.46	0.85	321	68	0.0	14
87.5	3.6	78.6	2.45	2.36	0	36	0.0	14
88.5	2.6	82.1	4.11	1.58	0	0	0.0	14
89.5	1.9	86.3	4.79	1.02	0	0	0.0	14
90.5	1.7	86.3	4.83	1.29	0	0	0.0	14
91.5	1.9	87.1	4.47	1.45	0	0	0.0	14
92.5	2.1	86.6	5.36	1.24	0	0	0.0	14
93.5	2.2	86.5	4.21	1.29	0	0	0.0	14
94.5	2.6	86.7	3.77	1.6	0	0	0.0	14
