#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover
0.0	4.3	94.6	-0.52	0.74	0	0	67
0.5	4.3	94.6	-0.52	0.74	0	0	67
1.5	4.6	94.9	-0.38	0.82	0	0	61
2.5	4.6	95.3	-0.04	0.7	0	0	57
3.5	4.6	95.7	0.01	0.6	0	0	52
4.5	4.3	96.4	0.04	0.6	0	0	50
5.5	3.7	96.8	-0.07	0.6	0	0	51
6.5	2.9	97.2	0.2	0.67	0	0	52
7.5	2.7	96.5	-0.67	0.74	0	0	55
8.5	3.4	93.9	-2.01	-0.61	0	17	58
9.5	3.2	94.5	-1.73	-0.5	0	34	62
10.5	3.5	93.6	-0.78	0.45	0	84	67
11.5	6.4	80.1	-0.41	1.02	513	153	71
12.5	8.3	69.1	-1.17	0.27	497	118	75
13.5	8.8	66.0	-1.6	-0.11	190	122	79
14.5	8.8	66.8	-1.5	0.1	24	84	83
15.5	8.3	67.3	-1.26	-0.31	0	26	88
16.5	7.9	67.4	-2.0	-0.65	0	0	92
17.5	7.4	71.4	-0.17	0.68	0	0	96
18.5	6.9	75.1	-0.64	0.64	0	0	100
19.5	7.3	73.1	-1.36	-1.46	0	0	100
20.5	7.5	72.9	-1.84	-1.02	0	0	100
21.5	6.8	83.2	-2.31	-1.39	0	0	100
22.5	6.1	86.8	-2.81	-0.7	0	0	100
23.5	5.7	88.3	-2.04	-0.82	0	0	100
24.5	5.5	88.1	-2.39	-1.02	0	0	100
25.5	5.4	91.8	-1.35	-0.39	0	0	100
26.5	5.1	94.3	-1.22	-0.68	0	0	100
27.5	5.2	93.7	-0.0	1.1	0	0	100
28.5	5.1	94.5	-1.59	-0.61	0	0	100
29.5	5.1	95.6	-1.38	-0.22	0	0	100
30.5	5.2	95.7	-1.84	-0.49	0	0	100
31.5	5.2	95.9	-1.34	-0.41	0	0	100
32.5	5.3	96.0	-1.64	-0.44	0	8	100
33.5	5.6	95.8	-1.7	0.09	0	15	100
34.5	5.9	95.8	-1.45	-0.39	0	27	100
35.5	6.2	95.7	-1.13	-0.41	0	27	100
36.5	6.4	95.3	-2.1	-0.64	0	28	100
37.5	6.6	94.6	-1.5	-0.55	0	23	100
38.5	6.7	95.2	-1.72	-0.8	0	18	100
39.5	6.8	95.4	0.43	1.33	0	5	100
40.5	6.7	95.8	-0.98	-0.19	0	0	100
41.5	6.6	96.2	0.85	0.85	0	0	100
42.5	6.5	96.8	-0.29	1.16	0	0	100
43.5	6.4	96.8	-1.22	-0.68	0	0	96
44.5	6.5	95.9	-1.58	-0.64	0	0	92
45.5	7.3	88.9	-0.78	0.78	0	0	88
46.5	8.4	75.8	1.47	0.29	0	0	83
47.5	7.9	75.9	1.2	0.1	0	0	79
48.5	9.0	66.1	1.85	0.43	0	0	75
49.5	8.9	59.9	2.61	1.0	0	0	71
50.5	9.8	45.8	2.76	2.31	0	0	67
51.5	8.5	51.5	3.14	1.02	0	0	62
52.5	8.1	54.7	1.08	1.8	0	0	58
53.5	6.0	66.2	0.35	1.15	0	0	54
54.5	4.2	76.6	-1.16	-0.31	0	0	50
55.5	3.4	81.6	-0.4	-0.0	0	0	58
56.5	3.3	83.1	-1.24	-0.4	0	52	67
57.5	5.7	71.7	-1.87	-0.72	0	77	75
58.5	6.4	72.4	-1.09	-0.12	0	74	83
59.5	6.8	71.6	0.99	0.99	0	59	92
60.5	7.2	70.0	-0.79	-0.11	0	54	100
61.5	7.7	67.6	-1.5	-0.0	0	76	100
62.5	8.5	62.9	-3.06	-0.94	0	65	100
63.5	7.8	68.8	-0.5	-0.5	0	8	100
64.5	6.7	80.8	0.57	0.57	0	0	100
65.5	5.8	84.6	-0.96	-0.72	0	0	100
66.5	5.4	91.5	0.24	1.48	0	0	100
67.5	5.0	93.5	-0.69	0.13	0	0	100
68.5	4.7	96.4	0.36	0.6	0	0	100
69.5	4.6	97.1	-0.31	0.95	0	0	100
70.5	4.6	96.5	0.54	0.27	0	0	100
71.5	4.5	97.3	-0.7	-0.0	0	0	100
72.5	4.5	96.9	-0.89	-0.45	0	0	100
73.5	4.5	96.7	-1.15	-0.35	0	0	100
74.5	4.5	96.4	-0.5	-0.0	0	0	100
75.5	4.5	97.5	-0.0	-0.4	0	0	100
76.5	4.5	97.5	0.5	0.98	0	0	100
77.5	4.5	97.9	0.71	0.36	0	0	100
78.5	4.5	98.1	0.32	0.62	0	0	100
79.5	4.5	97.9	-0.71	0.36	0	0	100
80.5	4.8	97.5	-0.99	-0.16	0	29	100
81.5	5.1	97.0	-1.17	-0.94	0	31	100
82.5	5.5	94.9	-2.01	-0.9	0	85	100
83.5	5.7	93.2	-1.82	-1.23	0	70	100
84.5	5.8	94.5	-1.16	-0.29	0	45	100
85.5	6.0	94.9	-1.18	-0.21	0	48	100
86.5	6.0	95.4	-0.45	0.23	0	25	100
87.5	5.8	96.4	0.14	0.27	0	14	100
88.5	5.7	97.3	0.81	0.59	0	0	100
89.5	5.5	97.8	1.06	1.06	0	0	100
90.5	4.2	85.7	6.56	3.64	0	0	100
91.5	3.5	76.6	6.19	3.87	0	0	100
92.5	3.3	68.1	5.17	1.88	0	0	100
93.5	3.4	58.9	5.79	0.3	0	0	100
94.5	2.8	59.0	3.2	2.24	0	0	100
95.5	2.2	63.8	0.93	0.36	0	0	100
96.5	2.4	62.7	1.76	1.32	0	0	100
97.5	1.0	77.3	4.5	2.81	0	0	100
98.5	0.3	80.4	4.37	2.42	0	0	100
99.5	-0.4	78.1	3.86	2.32	0	0	100
100.5	-1.0	76.9	5.35	2.49	0	0	100
101.5	-1.3	75.5	5.75	2.81	0	0	100
102.5	-1.5	74.9	6.2	2.26	0	0	100
103.5	-1.6	73.4	4.52	1.3	0	0	90
104.5	-1.9	72.6	4.21	-0.89	0	26	79
105.5	-1.7	69.4	4.83	0.85	0	62	69
106.5	-1.1	62.6	4.23	2.85	0	134	58
107.5	0.1	56.0	4.2	3.4	554	130	48
108.5	0.6	53.3	5.21	2.77	757	96	38
109.5	0.8	54.7	5.26	2.68	729	78	31
110.5	0.4	57.5	4.36	1.76	412	83	25
111.5	-0.8	59.7	3.89	1.57	0	27	19
112.5	-1.5	62.0	3.27	0.94	0	0	12
113.5	-1.9	68.1	0.73	0.53	0	0	6
114.5	-2.5	73.3	-1.29	0.14	0	0	0
115.5	-2.8	75.2	-1.0	-0.0	0	0	0
116.5	-3.3	76.9	-1.48	-0.21	0	0	0
117.5	-3.5	74.8	-1.5	-0.0	0	0	0
118.5	-3.7	76.1	-1.8	-0.09	0	0	0
119.5	-4.3	79.5	-1.57	-0.3	0	0	0
120.5	-4.3	80.2	-1.85	-0.43	0	0	0
121.5	-4.5	80.6	-1.73	-1.0	0	0	0
122.5	-4.7	83.1	-1.68	-0.64	0	0	0
123.5	-4.7	83.1	-2.04	-0.51	0	0	0
124.5	-4.7	82.9	-2.14	-0.5	0	0	0
125.5	-4.7	81.9	-1.72	-0.8	0	0	0
126.5	-4.9	82.8	-1.64	-0.73	0	0	0
127.5	-5.1	85.1	0.7	0.0	0	0	17
128.5	-5.0	86.5	0.5	0.0	0	51	33
129.5	-3.7	79.7	-1.31	-0.5	0	126	50
130.5	-2.5	72.6	-1.84	-0.78	0	180	67
131.5	-1.7	68.3	-1.36	-0.32	60	157	83
132.5	-0.7	64.5	-1.4	-0.54	89	180	100
133.5	-0.2	61.0	-0.7	-0.0	71	139	100
134.5	0.2	61.8	0.89	0.45	84	101	100
135.5	-0.3	65.4	1.43	0.93	0	45	100
136.5	-0.9	69.4	2.25	0.48	0	0	100
137.5	-1.5	73.5	1.94	0.48	0	0	100
138.5	-2.1	75.6	1.02	0.41	0	0	100
139.5	-2.8	81.7	0.28	0.28	0	0	98
140.5	-3.6	87.8	0.21	0.21	0	0	96
141.5	-4.1	89.9	-0.8	-0.0	0	0	94
142.5	-4.0	87.9	-1.34	-0.41	0	0	92
143.5	-3.5	85.6	-1.9	-1.1	0	0	90
144.5	-2.7	84.2	-2.61	-1.0	0	0	88
145.5	-2.3	83.6	-1.18	-0.19	0	0	85
146.5	-2.3	82.2	-0.09	-0.18	0	0	83
147.5	-2.2	83.2	-0.38	-0.12	0	0	81
148.5	-1.8	77.9	0.78	0.15	0	0	79
149.5	-1.5	72.1	1.64	0.73	0	0	77
150.5	-1.5	70.1	1.77	1.9	0	0	75
151.5	-1.7	67.4	2.36	1.85	0	0	73
152.5	-1.7	64.1	1.84	1.38	0	32	71
153.5	-1.8	65.4	1.93	0.82	0	59	69
154.5	-1.4	63.0	0.85	0.53	0	130	67
155.5	0.2	51.9	1.45	2.51	603	126	65
156.5	0.7	45.0	4.26	3.32	544	132	62
157.5	0.0	44.8	3.4	2.95	24	135	56
158.5	0.0	49.7	4.19	2.72	61	96	50
159.5	-0.7	52.4	3.07	2.07	0	36	44
160.5	-1.4	52.8	1.31	1.51	0	0	38
161.5	-2.4	56.9	0.3	1.06	0	0	31
162.5	-3.4	63.5	-1.39	-0.2	0	0	25
163.5	-4.2	68.7	-1.2	0.1	0	0	23
164.5	-5.0	73.9	-0.89	-0.11	0	0	21
165.5	-5.5	73.6	-1.5	-0.1	0	0	19
166.5	-5.5	72.3	-1.75	-0.4	0	0	17
167.5	-5.6	73.1	-1.93	-0.52	0	0	15
168.5	-5.6	74.3	-1.69	-0.21	0	0	12
169.5	-5.4	72.8	-1.97	-0.72	0	0	10
170.5	-6.1	77.2	-1.77	-0.31	0	0	8
171.5	-6.0	72.8	-2.27	-0.78	0	0	6
172.5	-6.4	74.7	-2.45	-0.48	0	0	4
173.5	-6.1	73.0	-2.36	-0.42	0	0	2
174.5	-5.9	73.2	-2.12	-0.9	0	0	0
175.5	-6.1	74.1	-2.26	-0.4	0	0	12
176.5	-5.5	71.2	-2.23	-1.14	0	48	25
177.5	-4.8	68.8	-2.67	-1.36	0	101	38
178.5	-3.6	61.8	-2.23	-1.14	0	141	50
179.5	-1.2	49.7	-1.26	-0.31	556	165	62
180.5	0.2	41.6	-0.78	-0.45	282	155	75
181.5	1.2	41.2	-1.02	-0.41	304	126	69
182.5	1.6	42.2	-0.7	-0.0	131	103	62
183.5	0.9	48.7	-0.79	-0.11	0	45	56
184.5	0.1	53.3	-1.96	-0.42	0	0	50
185.5	-0.4	57.7	-2.4	-0.69	0	0	44
186.5	-1.0	61.1	-1.88	-0.3	0	0	38
187.5	-1.4	66.1	-1.18	-0.21	0	0	36
188.5	-1.1	64.2	-1.3	-0.75	0	0	35
189.5	-0.9	63.1	-1.66	-1.12	0	0	34
190.5	-1.4	67.7	-2.53	-0.58	0	0	33
191.5	-1.7	67.7	-1.61	-1.01	0	0	32
192.5	-3.1	76.7	-0.59	-0.11	0	0	31
193.5	-4.4	81.2	-0.75	-0.29	0	0	30
194.5	-4.5	82.4	-1.73	-0.5	0	0	29
195.5	-5.1	84.4	-0.84	-0.32	0	0	28
196.5	-5.0	83.0	-1.34	-0.41	0	0	27
197.5	-4.7	79.7	-1.93	-0.82	0	0	26
198.5	-4.7	80.3	-1.8	-0.62	0	0	25
199.5	-4.9	83.0	-1.75	-0.4	0	0	23
200.5	-4.6	82.0	-1.32	-0.7	0	26	21
201.5	-4.4	82.9	-0.3	-0.0	0	44	19
202.5	-3.4	81.2	-0.0	0.9	0	105	17
203.5	-0.7	62.0	0.41	1.34	549	132	15
204.5	0.8	51.8	1.14	2.34	738	84	12
205.5	1.5	50.6	2.18	1.76	646	74	12
206.5	1.7	52.1	1.41	1.41	396	78	12
207.5	0.6	59.9	1.43	0.93	0	43	12
208.5	-0.6	72.9	2.38	0.29	0	0	12
