#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-0.9	90.3	0.93	0.58	0	0	50	0.0	50
0.5	-0.9	90.3	0.93	0.58	0	0	50	0.0	50
1.5	0.1	91.3	0.62	0.33	0	0	58	0.0	50
2.5	0.9	92.0	-1.63	-0.5	0	0	67	0.0	50
3.5	1.6	92.7	0.46	1.43	0	0	75	0.0	50
4.5	2.1	93.0	0.86	0.52	0	0	83	0.0	50
5.5	2.2	93.2	-1.84	-0.78	0	0	92	0.0	30
6.5	2.4	93.0	-1.89	-1.13	0	0	100	0.1	30
7.5	2.4	93.4	-1.54	-0.44	0	0	100	2.0	30
8.5	2.3	94.6	-1.3	-0.52	0	15	100	1.5	30
9.5	2.5	95.0	-0.79	-0.14	0	37	100	1.7	30
10.5	3.0	94.6	-2.01	-0.61	0	51	100	1.5	30
11.5	3.4	94.1	-2.38	-1.27	0	71	100	1.6	50
12.5	3.3	94.5	-2.23	-1.34	0	58	100	1.9	50
13.5	2.9	95.1	-1.91	-0.58	0	45	100	0.7	50
14.5	2.6	96.1	-0.67	-0.2	0	44	100	0.2	50
15.5	2.7	95.5	-1.1	0.04	0	29	100	0.0	50
16.5	2.1	95.0	-0.02	-1.0	0	0	100	0.0	50
17.5	2.2	94.7	1.16	0.59	0	0	100	0.1	50
18.5	2.1	94.5	0.52	0.6	0	0	100	0.3	50
19.5	2.2	94.9	-0.66	-0.46	0	0	98	0.3	50
20.5	2.0	94.3	-0.67	-0.2	0	0	96	0.0	50
21.5	1.6	94.5	-0.48	0.14	0	0	94	0.0	50
22.5	1.7	94.7	-0.83	-0.72	0	0	92	0.0	50
23.5	1.8	94.8	-1.06	-0.28	0	0	90	0.0	50
24.5	1.7	95.0	-1.07	-0.27	0	0	88	0.2	50
25.5	1.8	94.8	-0.87	-0.23	0	0	85	0.0	50
26.5	2.0	93.8	1.37	0.82	0	0	83	1.0	50
27.5	3.6	93.4	2.01	2.49	0	0	81	0.3	50
28.5	6.3	85.3	5.92	3.14	0	0	79	0.1	50
29.5	7.0	53.1	5.41	5.05	0	0	77	0.0	50
30.5	6.3	49.9	5.2	0.0	0	0	75	0.0	50
31.5	5.4	55.3	2.69	2.69	0	0	79	0.0	50
32.5	4.1	69.3	2.13	1.66	0	21	83	0.0	50
33.5	3.4	81.1	0.91	0.62	0	30	88	0.0	50
34.5	3.5	83.5	-0.28	0.64	0	70	92	0.0	50
35.5	3.9	80.4	-0.65	-0.62	0	91	96	0.0	50
36.5	4.4	75.0	0.98	-0.19	0	77	100	0.0	50
37.5	5.4	61.7	3.36	1.78	0	54	100	0.0	50
38.5	4.8	64.8	3.59	0.9	0	20	100	0.0	50
39.5	3.7	78.9	2.39	0.73	0	4	100	0.4	50
40.5	2.5	90.9	-1.32	-0.48	0	0	100	0.9	50
41.5	1.9	93.8	-1.92	-1.07	0	0	100	1.3	30
42.5	1.9	94.0	-1.4	-0.78	0	0	100	1.1	30
43.5	1.8	94.2	-1.27	-0.29	0	0	100	0.4	30
44.5	2.0	93.8	-1.09	-0.51	0	0	100	0.2	30
45.5	2.1	94.2	-1.99	-0.68	0	0	100	0.0	30
46.5	2.1	94.4	-1.23	-0.42	0	0	100	0.0	30
47.5	1.9	94.2	0.49	-0.08	0	0	100	0.1	30
48.5	2.0	93.9	0.28	0.53	0	0	100	0.1	30
49.5	2.4	93.2	0.48	0.13	0	0	100	0.1	30
50.5	2.7	93.4	-0.08	0.49	0	0	100	0.0	30
51.5	2.9	93.9	0.45	1.95	0	0	100	0.0	30
52.5	2.7	93.6	0.41	1.44	0	0	100	0.0	30
53.5	2.0	94.3	0.48	0.76	0	0	100	0.1	30
54.5	2.7	93.1	1.55	0.69	0	0	100	0.1	30
55.5	2.6	93.9	0.8	1.15	0	0	98	0.0	30
56.5	2.9	94.4	-0.86	-0.52	0	43	96	0.0	30
