#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-1.7	89.2	1.31	0.5	0	0	50	1.1	14
0.5	-1.7	89.2	1.31	0.5	0	0	50	1.1	14
1.5	-0.1	91.4	1.2	0.9	0	0	58	0.8	14
2.5	0.9	92.3	1.4	0.0	0	0	67	0.2	14
3.5	2.0	92.3	-1.97	-0.72	0	0	75	0.0	14
4.5	2.4	91.9	-1.25	-0.64	0	0	83	0.0	14
5.5	2.5	88.9	0.64	0.64	0	0	92	0.0	14
6.5	2.5	86.5	0.8	0.0	0	0	100	0.0	14
7.5	3.0	79.4	1.8	0.0	0	0	98	0.0	14
8.5	3.6	72.8	1.79	1.45	0	30	96	0.0	14
9.5	4.1	67.1	3.08	0.32	0	75	94	0.0	14
10.5	4.4	63.1	3.35	0.59	0	93	92	0.0	14
11.5	5.1	57.8	1.64	0.95	0	122	90	0.0	14
12.5	4.1	67.5	5.47	3.69	20	132	88	0.0	14
13.5	3.8	68.5	3.2	0.0	1	110	90	0.0	14
14.5	2.4	79.6	5.03	2.24	0	53	92	0.0	14
15.5	1.4	86.5	5.2	1.79	0	19	94	0.0	14
16.5	1.1	88.7	2.65	0.91	0	0	96	0.0	14
17.5	1.4	84.7	0.78	0.78	0	0	98	0.0	14
18.5	0.9	87.4	3.33	1.08	0	0	100	0.0	14
19.5	0.8	78.5	3.53	0.69	0	0	100	0.0	14
20.5	0.7	65.6	4.7	1.99	0	0	100	0.0	14
21.5	0.6	61.3	5.02	3.64	0	0	100	0.0	14
22.5	0.3	62.1	5.48	2.67	0	0	100	0.0	14
23.5	0.0	60.0	4.97	2.99	0	0	100	0.0	14
24.5	-0.1	57.9	4.99	2.54	0	0	100	0.0	14
25.5	-0.4	59.9	4.81	2.45	0	0	100	0.0	14
26.5	-0.2	58.9	2.59	2.5	0	0	100	0.0	14
27.5	-0.4	62.2	2.82	1.9	0	0	100	0.0	14
28.5	-1.1	78.9	1.78	0.91	0	0	100	0.0	14
29.5	-1.0	77.2	1.8	-0.09	0	0	100	0.0	14
30.5	-1.1	84.3	3.2	3.44	0	0	100	0.1	14
31.5	-1.8	74.5	4.59	3.21	0	0	100	0.0	14
32.5	-2.3	72.1	4.33	1.24	0	47	100	0.0	14
33.5	-1.3	56.1	4.14	1.76	0	106	100	0.0	14
34.5	-1.7	63.3	3.9	2.44	0	89	100	0.0	14
35.5	-1.3	62.7	3.43	2.59	78	159	100	0.0	50
36.5	-1.4	67.6	3.83	1.95	121	162	100	0.0	50
37.5	-1.4	65.9	4.04	1.47	8	131	100	0.0	50
38.5	-1.4	67.8	4.38	1.95	19	84	100	0.0	50
39.5	-1.9	71.1	4.51	1.92	0	31	100	0.0	50
40.5	-1.7	67.4	3.69	2.4	0	0	100	0.0	50
41.5	-1.5	61.9	3.47	2.71	0	0	100	0.0	50
42.5	-1.9	70.5	3.26	1.96	0	0	100	0.0	14
43.5	-2.2	79.9	5.03	2.24	0	0	100	0.0	14
44.5	-2.1	81.0	3.39	1.72	0	0	100	0.0	14
45.5	-1.8	78.3	2.6	1.5	0	0	100	0.0	14
46.5	-1.7	79.2	4.08	1.65	0	0	100	0.0	14
47.5	-1.6	80.0	3.92	2.0	0	0	100	0.0	14
48.5	-1.8	84.2	3.94	3.08	0	0	100	0.0	14
49.5	-1.6	80.6	3.64	2.1	0	0	100	0.0	14
50.5	-1.5	82.4	3.96	3.21	0	0	100	0.0	14
51.5	-1.4	82.3	3.12	2.35	0	0	100	0.0	14
52.5	-1.3	84.0	4.9	1.41	0	0	100	0.0	14
53.5	-1.3	86.2	3.81	2.2	0	0	100	0.0	30
54.5	-1.2	84.8	2.91	1.06	0	0	100	0.0	30
55.5	-1.4	87.5	2.29	0.2	0	0	90	0.0	30
56.5	-1.7	86.9	-1.0	-0.67	0	24	79	0.0	30
57.5	-2.2	84.8	-0.34	0.5	0	44	69	0.0	30
58.5	-1.7	75.8	0.1	1.1	0	92	58	0.0	30
59.5	0.4	61.2	0.19	1.18	610	124	48	0.0	30
60.5	1.4	53.6	2.25	1.82	801	61	38	0.0	30
61.5	1.5	49.6	2.83	2.06	748	58	33	0.0	30
62.5	1.0	50.4	3.11	2.18	480	80	29	0.0	30
63.5	-0.2	49.6	2.95	2.06	0	21	25	0.0	30
64.5	-0.9	50.0	1.32	0.48	0	0	21	0.0	30
65.5	-2.2	61.5	-0.8	-0.0	0	0	17	0.0	30
66.5	-3.0	65.3	-1.69	-0.21	0	0	12	0.0	30
67.5	-3.9	73.1	-1.4	-0.0	0	0	19	0.0	30
68.5	-4.8	76.4	-0.89	0.11	0	0	25	0.0	30
69.5	-5.1	77.2	-1.0	-0.0	0	0	31	0.0	30
70.5	-4.3	75.2	0.58	0.39	0	0	38	0.0	30
71.5	-3.7	69.8	-0.17	0.68	0	0	44	0.0	30
72.5	-3.5	68.9	-0.79	0.12	0	0	50	0.0	30
73.5	-4.0	73.2	-0.36	0.71	0	0	56	0.0	30
74.5	-3.7	70.4	-0.5	-0.5	0	0	62	0.0	30
75.5	-3.6	61.4	-1.27	-0.8	0	0	69	0.0	30
76.5	-4.0	69.4	-1.87	-0.72	0	0	75	0.0	30
77.5	-4.3	64.9	-2.48	-1.06	0	0	81	0.0	14
78.5	-4.8	68.2	-2.99	-1.15	0	0	88	0.0	14
79.5	-5.3	68.4	-3.22	-1.11	0	0	75	0.0	14
80.5	-5.9	71.1	-3.27	-1.25	0	32	62	0.0	14
81.5	-6.0	70.7	-3.14	-1.02	0	45	50	0.0	14
