#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	2.8	91.6	-0.6	-0.0	0	0	50	0.0	14
0.5	2.8	91.6	-0.6	-0.0	0	0	50	0.0	14
1.5	2.0	92.8	-0.48	-0.12	0	0	58	0.0	14
2.5	1.4	93.9	-1.44	-0.41	0	0	67	0.0	14
3.5	1.0	94.4	-2.23	-1.34	0	0	75	0.0	14
4.5	0.8	94.9	-2.02	-0.86	0	0	83	0.0	14
5.5	1.0	95.1	0.78	0.45	0	0	92	0.0	14
6.5	1.0	95.3	-0.0	0.5	0	0	100	0.0	14
7.5	1.3	95.3	-0.18	0.36	0	0	100	0.0	14
8.5	1.6	95.4	0.36	-0.71	0	23	100	0.2	14
9.5	2.3	95.6	-1.08	-0.21	0	60	100	0.1	14
10.5	3.3	95.1	-2.01	-0.61	0	99	100	0.0	14
11.5	3.9	93.4	-1.2	-0.0	0	61	100	0.0	14
12.5	3.8	93.6	1.78	0.91	0	78	100	0.0	14
13.5	4.5	92.8	0.64	0.48	0	96	90	0.0	14
14.5	5.1	87.9	-0.45	-0.23	36	83	79	0.0	14
15.5	4.9	88.0	-0.43	1.33	0	37	69	0.0	14
16.5	3.2	91.9	-1.5	-0.1	0	0	58	0.0	14
17.5	2.3	93.1	-1.14	-0.37	0	0	48	0.0	14
18.5	1.0	93.8	0.67	0.22	0	0	38	0.0	14
19.5	0.4	93.6	-1.14	-0.37	0	0	42	0.0	14
20.5	0.9	94.8	-2.12	-0.9	0	0	46	0.0	14
21.5	1.6	95.2	-2.05	-1.04	0	0	50	0.0	14
22.5	2.0	95.0	-2.67	-0.38	0	0	54	0.0	14
23.5	2.0	95.5	-1.11	-0.45	0	0	58	0.0	14
24.5	1.8	95.2	0.0	-0.6	0	0	62	0.0	14
25.5	2.3	94.7	-1.63	-0.5	0	0	67	0.0	14
26.5	2.5	95.6	-1.63	-0.76	0	0	71	0.0	14
27.5	2.5	95.7	-2.54	-0.92	0	0	75	0.0	14
28.5	2.7	95.6	-1.9	-0.62	0	0	79	0.0	14
29.5	3.0	94.9	-1.72	-0.53	0	0	83	0.0	14
30.5	2.5	95.1	-0.0	-0.3	0	0	88	0.0	14
31.5	2.4	94.4	-0.65	0.26	0	0	90	0.0	14
32.5	2.5	93.7	-0.93	-0.36	0	31	92	0.0	14
33.5	2.5	94.2	-0.79	0.12	0	65	94	0.0	14
34.5	4.2	96.2	-0.23	0.45	0	152	96	0.0	14
35.5	6.3	83.8	-0.89	-0.11	92	155	98	0.0	14
36.5	7.8	65.5	-1.5	-0.0	187	151	100	0.0	14
37.5	8.4	59.7	-2.19	-0.19	324	123	98	0.0	14
38.5	8.4	57.2	-1.3	-0.0	101	95	96	0.0	14
39.5	7.1	64.6	0.72	0.54	0	45	94	0.0	14
40.5	5.9	74.6	-1.09	0.15	0	0	92	0.0	14
41.5	5.2	80.3	-0.42	0.42	0	0	90	0.0	14
42.5	5.1	83.8	0.71	0.36	0	0	88	0.0	14
43.5	4.8	86.7	0.57	0.57	0	0	86	0.0	14
44.5	4.4	90.8	-0.0	0.6	0	0	85	0.9	14
