#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover
0.0	8.6	71.5	4.36	2.83	0	0	86
0.5	8.6	71.5	4.36	2.83	0	0	86
1.5	8.4	73.8	3.81	2.57	0	0	87
2.5	8.3	75.0	3.52	2.29	0	0	87
3.5	8.3	75.8	3.34	2.01	0	0	87
4.5	8.3	75.8	3.32	1.84	0	0	87
5.5	8.3	74.5	3.5	1.71	0	0	87
6.5	8.4	73.4	3.63	1.11	0	0	87
7.5	8.5	72.1	3.64	1.4	0	0	85
8.5	8.4	71.4	3.29	1.46	130	44	83
9.5	9.2	69.5	2.23	2.01	504	93	81
10.5	9.7	68.1	2.51	2.99	673	105	79
11.5	10.3	65.4	2.31	2.76	581	98	77
12.5	10.7	63.8	2.53	3.48	536	90	75
13.5	10.3	64.5	2.52	3.11	128	119	79
14.5	10.2	65.4	2.01	2.49	98	72	83
15.5	9.5	68.8	1.82	2.51	0	25	88
16.5	9.3	71.9	1.56	2.08	0	0	92
17.5	8.6	83.4	1.01	1.61	0	0	96
18.5	8.4	87.9	1.07	1.32	0	0	100
19.5	8.5	82.2	2.4	3.07	0	0	100
20.5	9.2	73.5	3.91	2.95	0	0	100
21.5	9.8	72.5	6.34	1.82	0	0	100
22.5	10.3	73.0	5.54	2.02	0	0	100
23.5	12.1	67.5	8.92	5.15	0	0	100
24.5	12.5	66.5	8.21	4.37	0	0	100
25.5	10.6	78.0	7.19	0.38	0	0	100
26.5	11.4	77.2	9.04	2.94	0	0	100
27.5	12.1	76.9	8.96	3.44	0	0	100
28.5	12.4	74.5	7.29	4.38	0	0	100
29.5	11.9	77.6	6.44	2.74	0	0	100
30.5	11.4	83.3	5.4	5.21	0	0	100
31.5	11.1	87.0	3.52	5.22	0	0	100
32.5	10.9	82.5	3.1	5.6	0	10	100
33.5	11.9	81.3	5.18	3.76	0	28	100
34.5	12.7	76.4	5.67	4.76	0	33	100
35.5	12.9	72.3	4.39	4.24	0	36	100
36.5	13.5	68.9	5.87	3.81	0	50	100
37.5	12.8	77.7	6.62	1.05	0	14	98
38.5	11.7	89.6	5.47	0.57	0	6	96
39.5	12.7	82.3	8.81	4.3	0	7	94
40.5	14.1	68.4	12.03	4.38	0	0	92
41.5	12.8	75.0	13.77	4.21	0	0	90
42.5	13.8	59.2	14.17	4.6	0	0	88
43.5	12.5	58.1	16.74	5.76	0	0	88
44.5	11.7	57.1	13.79	4.48	0	0	88
45.5	10.7	61.5	11.46	4.17	0	0	88
46.5	10.5	57.4	10.08	3.87	0	0	88
47.5	10.1	59.6	10.31	4.38	0	0	88
48.5	8.9	68.3	11.03	3.58	0	0	88
49.5	8.7	66.5	9.36	3.78	0	0	88
50.5	8.9	65.4	9.52	3.66	0	0	88
51.5	8.9	61.5	10.57	4.27	0	0	88
52.5	9.1	58.3	9.85	4.18	0	0	88
53.5	8.6	62.7	8.25	3.33	0	0	88
54.5	8.8	61.4	7.85	2.7	0	0	88
55.5	9.2	56.7	6.53	3.47	0	0	88
56.5	9.6	53.3	5.06	3.04	0	24	88
57.5	9.9	53.9	4.97	2.11	5	82	88
58.5	10.8	52.0	6.94	2.26	492	115	88
59.5	11.3	49.2	8.41	2.57	693	66	88
60.5	11.8	46.7	6.71	2.31	508	124	88
61.5	10.9	48.6	6.54	1.87	12	111	85
62.5	10.7	50.0	6.75	2.19	0	58	83
63.5	10.6	49.8	5.26	2.68	0	20	81
64.5	10.0	54.1	6.21	3.44	0	0	79
65.5	9.6	57.5	7.04	4.4	0	0	77
66.5	10.0	57.6	6.65	3.24	0	0	75
67.5	9.2	68.0	7.88	3.68	0	0	77
68.5	9.5	67.1	6.77	3.45	0	0	79
69.5	9.9	64.0	6.43	3.86	0	0	81
70.5	9.8	65.4	7.19	3.51	0	0	83
71.5	8.5	80.9	7.21	1.66	0	0	85
72.5	8.3	82.0	8.89	3.06	0	0	88
73.5	8.4	80.9	6.54	1.87	0	0	90
74.5	8.1	87.4	5.36	0.66	0	0	92
75.5	7.7	87.6	5.81	1.02	0	0	94
76.5	7.2	89.3	5.7	-0.2	0	0	96
77.5	6.5	89.8	4.17	-0.51	0	0	98
78.5	6.1	87.8	2.79	0.2	0	0	100
79.5	6.3	87.0	0.36	1.35	0	0	100
80.5	6.6	85.8	0.2	1.39	0	22	100
81.5	7.0	88.9	0.11	0.79	0	39	100
82.5	7.2	90.5	-0.12	0.89	0	53	100
83.5	7.5	90.9	1.03	1.94	0	101	100
84.5	7.6	90.1	1.26	1.55	0	65	100
85.5	7.5	88.9	1.7	2.1	0	45	94
86.5	7.6	87.8	1.68	1.57	0	30	88
87.5	7.6	85.4	3.9	2.63	0	7	81
88.5	7.1	83.8	7.88	2.26	0	0	75
89.5	6.8	82.3	6.1	0.21	0	0	69
90.5	5.3	83.9	6.38	-1.24	0	0	62
