#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover
0.0	9.4	72.0	4.36	2.83	0	0	86
0.5	9.4	72.0	4.36	2.83	0	0	86
1.5	9.2	74.4	3.81	2.57	0	0	87
2.5	9.1	75.7	3.52	2.29	0	0	87
3.5	9.1	76.7	3.34	2.01	0	0	87
4.5	9.1	76.6	3.32	1.84	0	0	87
5.5	9.1	75.4	3.5	1.71	0	0	87
6.5	9.2	74.2	3.63	1.11	0	0	87
7.5	9.3	73.0	3.64	1.4	0	0	85
8.5	9.2	72.3	3.29	1.46	125	43	83
9.5	10.0	70.3	2.23	2.01	486	90	81
10.5	10.5	68.9	2.51	2.99	649	101	79
11.5	11.1	66.2	2.31	2.76	560	95	77
12.5	11.5	64.5	2.53	3.48	517	87	75
13.5	11.1	65.3	2.52	3.11	123	115	79
14.5	11.0	66.2	2.01	2.49	95	69	83
15.5	10.3	69.6	1.82	2.51	0	24	88
16.5	10.1	72.8	1.56	2.08	0	0	92
17.5	9.4	84.4	1.01	1.61	0	0	96
18.5	9.2	89.0	1.07	1.32	0	0	100
19.5	9.3	83.2	2.4	3.07	0	0	100
20.5	10.0	74.4	3.91	2.95	0	0	100
21.5	10.6	73.4	6.34	1.82	0	0	100
22.5	11.1	73.9	5.54	2.02	0	0	100
23.5	12.9	68.3	8.92	5.15	0	0	100
24.5	13.3	67.3	8.21	4.37	0	0	100
25.5	11.4	78.9	7.19	0.38	0	0	100
26.5	12.2	78.1	9.04	2.94	0	0	100
27.5	12.9	77.8	8.96	3.44	0	0	100
28.5	13.2	75.4	7.29	4.38	0	0	100
29.5	12.7	78.5	6.44	2.74	0	0	100
30.5	12.2	84.3	5.4	5.21	0	0	100
31.5	11.9	88.0	3.52	5.22	0	0	100
32.5	11.7	83.5	3.1	5.6	0	9	100
33.5	12.7	82.3	5.18	3.76	0	27	100
34.5	13.5	77.3	5.67	4.76	0	32	100
35.5	13.7	73.2	4.39	4.24	0	35	100
36.5	14.3	69.7	5.87	3.81	0	48	100
37.5	13.6	78.6	6.62	1.05	0	13	98
38.5	12.5	90.6	5.47	0.57	0	6	96
39.5	13.5	83.3	8.81	4.3	0	7	94
40.5	14.9	69.2	12.03	4.38	0	0	92
41.5	13.6	75.9	13.77	4.21	0	0	90
42.5	14.6	59.9	14.17	4.6	0	0	88
43.5	13.3	58.8	16.74	5.76	0	0	88
44.5	12.5	57.8	13.79	4.48	0	0	88
45.5	11.5	62.2	11.46	4.17	0	0	88
46.5	11.3	58.1	10.08	3.87	0	0	88
47.5	10.9	60.3	10.31	4.38	0	0	88
48.5	9.7	69.1	11.03	3.58	0	0	88
49.5	9.5	67.3	9.36	3.78	0	0	88
50.5	9.7	66.2	9.52	3.66	0	0	88
51.5	9.7	62.2	10.57	4.27	0	0	88
52.5	9.9	59.0	9.85	4.18	0	0	88
53.5	9.4	63.4	8.25	3.33	0	0	88
54.5	9.6	62.1	7.85	2.7	0	0	88
55.5	10.0	57.4	6.53	3.47	0	0	88
56.5	10.4	53.9	5.06	3.04	0	23	88
57.5	10.7	54.5	4.97	2.11	5	80	88
58.5	11.6	52.6	6.94	2.26	475	111	88
59.5	12.1	49.8	8.41	2.57	669	64	88
60.5	12.6	47.2	6.71	2.31	490	119	88
61.5	11.7	49.1	6.54	1.87	11	107	85
62.5	11.5	50.6	6.75	2.19	0	56	83
63.5	11.4	50.4	5.26	2.68	0	19	81
64.5	10.8	54.7	6.21	3.44	0	0	79
65.5	10.4	58.2	7.04	4.4	0	0	77
66.5	10.8	58.3	6.65	3.24	0	0	75
67.5	10.0	68.8	7.88	3.68	0	0	77
68.5	10.3	67.9	6.77	3.45	0	0	79
69.5	10.7	64.7	6.43	3.86	0	0	81
70.5	10.6	66.2	7.19	3.51	0	0	83
71.5	9.3	81.8	7.21	1.66	0	0	85
72.5	9.1	82.9	8.89	3.06	0	0	88
73.5	9.2	81.8	6.54	1.87	0	0	90
74.5	8.9	88.4	5.36	0.66	0	0	92
75.5	8.5	88.6	5.81	1.02	0	0	94
76.5	8.0	90.3	5.7	-0.2	0	0	96
77.5	7.3	90.8	4.17	-0.51	0	0	98
78.5	6.9	88.8	2.79	0.2	0	0	100
79.5	7.1	88.0	0.36	1.35	0	0	100
80.5	7.4	86.7	0.2	1.39	0	21	100
81.5	7.8	89.9	0.11	0.79	0	38	100
82.5	8.0	91.5	-0.12	0.89	0	51	100
83.5	8.3	91.9	1.03	1.94	0	98	100
84.5	8.4	91.1	1.26	1.55	0	63	100
85.5	8.3	89.9	1.7	2.1	0	44	94
86.5	8.4	88.8	1.68	1.57	0	29	88
87.5	8.4	86.3	3.9	2.63	0	7	81
88.5	7.9	84.7	7.88	2.26	0	0	75
89.5	7.6	83.2	6.1	0.21	0	0	69
90.5	6.1	84.8	6.38	-1.24	0	0	62
91.5	4.7	80.5	7.1	-0.12	0	0	66
92.5	4.7	76.0	5.93	0.94	0	0	69
93.5	4.1	72.5	7.15	0.88	0	0	72
94.5	3.5	72.6	6.49	0.34	0	0	75
95.5	2.4	81.2	3.05	-1.91	0	0	78
96.5	1.7	81.1	3.52	-1.42	0	0	81
97.5	1.0	86.1	2.89	-1.6	0	0	84
98.5	1.0	87.2	1.95	-0.79	0	0	88
99.5	0.8	78.7	3.45	-0.61	0	0	91
100.5	0.2	70.3	4.8	0.0	0	0	94
101.5	0.0	74.8	4.94	0.78	0	0	97
102.5	-0.3	74.7	4.84	0.77	0	0	100
103.5	-0.5	79.2	4.15	1.11	0	0	100
104.5	-0.7	85.3	3.33	0.71	0	11	100
105.5	-0.8	88.6	1.78	1.61	0	30	100
106.5	-0.7	86.3	1.68	1.57	0	44	100
107.5	-0.7	85.3	1.86	1.35	0	38	100
108.5	-0.6	85.0	2.08	0.97	0	40	100
109.5	-0.4	84.1	2.22	0.6	0	42	100
110.5	-0.4	84.3	1.3	0.75	0	21	100
111.5	-0.5	81.6	1.51	1.31	0	6	100
112.5	-0.5	83.7	1.54	-0.72	0	0	100
113.5	-0.5	83.9	0.09	-0.28	0	0	100
114.5	-0.4	84.4	-0.61	-0.51	0	0	100
115.5	-0.4	85.4	-0.59	-0.68	0	0	100
116.5	-0.2	86.8	-0.68	-0.59	0	0	100
117.5	-0.4	85.2	-1.14	-0.37	0	0	100
118.5	-0.4	85.5	-1.31	-0.92	0	0	100
119.5	-0.3	87.2	-1.61	-1.5	0	0	100
120.5	-0.3	87.4	-1.63	-1.32	0	0	100
121.5	-0.3	87.5	-1.3	-1.09	0	0	100
122.5	-0.1	86.7	-0.82	-1.01	0	0	100
123.5	-0.1	85.4	-0.78	-0.78	0	0	100
124.5	-0.1	82.6	-1.12	-1.0	0	0	100
125.5	-0.2	84.4	-0.87	-1.34	0	0	100
126.5	-0.4	82.9	-1.0	-1.38	0	0	100
127.5	-0.6	86.0	-0.7	-1.21	0	0	98
