#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	3.3	73.9	5.12	2.72	0	0	50	0.0	14
0.5	3.3	73.9	5.12	2.72	0	0	50	0.0	14
1.5	4.7	69.3	4.72	2.62	0	0	58	0.0	14
2.5	5.7	66.5	4.71	2.2	0	0	67	0.0	14
3.5	6.6	64.7	3.9	2.44	0	0	75	0.0	14
4.5	7.1	63.6	4.13	3.0	0	0	83	0.0	14
5.5	6.8	66.9	6.0	3.19	0	0	92	0.0	14
6.5	6.7	69.6	5.98	3.45	0	0	100	0.2	14
7.5	6.1	77.6	2.97	2.97	0	0	100	1.1	14
8.5	5.4	87.4	2.74	3.05	0	11	100	2.3	14
9.5	4.9	90.8	1.4	2.99	0	24	100	1.3	14
10.5	5.0	91.8	1.96	3.26	0	40	100	0.9	14
11.5	5.5	92.2	1.62	2.4	0	36	100	1.3	14
12.5	5.8	93.6	2.13	3.85	0	25	100	0.6	14
13.5	7.2	92.4	5.16	5.16	0	33	98	1.6	14
14.5	8.0	94.0	7.91	5.96	0	17	96	2.0	14
15.5	8.4	93.0	7.83	5.9	0	7	94	0.8	14
16.5	8.3	95.1	8.04	3.58	0	0	92	2.2	14
17.5	8.8	90.1	7.29	4.38	0	0	90	0.3	14
18.5	9.2	85.7	8.38	3.56	0	0	88	0.0	14
19.5	9.3	83.2	8.07	3.76	0	0	85	0.0	14
20.5	9.3	82.3	8.52	3.97	0	0	83	0.0	14
21.5	9.0	81.3	7.45	4.3	0	0	81	0.0	14
22.5	10.4	70.7	7.17	5.6	0	0	79	0.0	14
23.5	10.4	67.4	9.97	4.65	0	0	77	0.0	14
24.5	9.2	78.5	9.94	4.22	0	0	75	0.2	14
25.5	8.0	81.0	11.6	5.17	0	0	73	0.7	14
26.5	7.4	82.0	6.92	1.98	0	0	71	0.0	14
27.5	5.4	83.0	9.5	0.0	0	0	69	0.3	14
28.5	5.0	74.2	9.66	0.84	0	0	67	0.1	14
29.5	4.8	70.7	6.83	0.96	0	0	65	0.0	14
30.5	4.5	67.4	6.38	1.71	0	0	62	0.0	14
