#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	7.1	71.1	3.03	2.12	0	0	50	0.0	14
0.5	7.1	71.1	3.03	2.12	0	0	50	0.0	14
1.5	7.0	73.5	3.32	2.41	0	0	56	0.0	14
2.5	6.9	74.8	2.37	2.29	0	0	62	0.0	14
3.5	6.9	75.7	2.4	2.4	0	0	69	0.0	14
4.5	6.8	75.6	4.15	2.21	0	0	75	0.0	14
5.5	6.9	74.4	3.43	1.39	0	0	81	0.0	14
6.5	6.9	73.2	2.9	0.1	0	0	88	0.0	14
7.5	7.1	72.0	4.62	2.15	0	0	85	0.0	14
8.5	7.0	71.3	3.29	1.46	128	45	83	0.0	14
9.5	7.8	69.4	2.23	2.01	513	95	81	0.0	14
10.5	8.3	68.0	2.51	2.99	685	107	79	0.0	14
11.5	8.9	65.3	2.31	2.76	590	101	77	0.0	14
12.5	9.3	63.7	2.53	3.48	543	92	75	0.0	14
13.5	8.9	64.4	2.52	3.11	131	121	79	0.0	14
14.5	8.8	65.3	2.01	2.49	99	73	83	0.0	14
15.5	8.1	68.7	1.82	2.51	0	25	88	0.0	14
16.5	7.9	71.8	1.56	2.08	0	0	92	0.0	14
17.5	7.2	83.3	1.01	1.61	0	0	96	0.7	14
18.5	7.0	87.8	1.07	1.32	0	0	100	0.4	14
19.5	7.1	82.1	2.4	3.07	0	0	100	0.2	14
20.5	7.8	73.4	3.91	2.95	0	0	100	0.0	14
21.5	8.4	72.4	6.34	1.82	0	0	100	0.0	14
22.5	8.9	72.9	5.54	2.02	0	0	100	0.0	14
23.5	10.7	67.4	8.92	5.15	0	0	100	0.0	14
24.5	11.1	66.4	8.21	4.37	0	0	100	0.0	14
25.5	9.2	77.9	7.19	0.38	0	0	100	0.4	14
26.5	10.0	77.1	9.04	2.94	0	0	100	0.0	14
27.5	10.7	76.8	8.96	3.44	0	0	100	0.0	14
28.5	11.0	74.4	7.29	4.38	0	0	100	0.0	14
29.5	10.5	77.5	6.44	2.74	0	0	100	0.0	14
30.5	10.0	83.2	5.4	5.21	0	0	100	1.6	14
31.5	9.7	86.8	3.52	5.22	0	0	100	1.0	14
32.5	9.5	82.4	3.1	5.6	0	10	100	0.1	14
