#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover
0.0	-2.7	71.1	-0.22	1.79	0	0	24
0.5	-2.7	71.1	-0.22	1.79	0	0	24
1.5	-3.8	70.7	-0.12	1.4	0	0	21
2.5	-4.2	69.6	-0.21	1.08	0	0	18
3.5	-4.6	68.3	-0.19	0.78	0	0	15
4.5	-4.3	66.6	-0.12	0.59	0	0	13
5.5	-3.9	65.2	-0.16	0.48	0	0	16
6.5	-3.6	65.3	-0.14	0.58	0	0	17
7.5	-3.3	63.3	-0.34	0.5	0	0	24
8.5	-3.3	65.5	-0.0	0.9	0	10	33
9.5	-1.8	61.1	-0.48	-0.15	0	60	44
10.5	-1.0	59.0	-0.19	0.23	3	110	54
11.5	0.2	65.3	-0.47	0.65	90	157	65
12.5	0.5	70.7	0.35	-0.35	168	158	75
13.5	1.5	61.4	0.42	0.42	16	113	75
14.5	1.9	63.9	-0.54	0.27	0	57	75
15.5	1.2	73.3	-0.0	0.8	0	10	75
16.5	1.3	70.6	0.0	-1.4	0	0	75
17.5	1.0	68.8	1.35	2.34	0	0	75
18.5	3.9	43.2	-0.94	3.78	0	0	75
19.5	5.2	38.5	-0.98	0.85	0	0	73
20.5	4.3	41.8	1.52	0.49	0	0	71
21.5	4.5	41.6	0.16	1.49	0	0	69
22.5	2.7	54.2	0.82	2.26	0	0	67
23.5	3.8	49.6	-0.13	2.4	0	0	65
24.5	5.8	44.7	0.12	3.5	0	0	62
25.5	5.7	60.6	-0.23	1.28	0	0	60
26.5	6.4	61.1	-0.51	2.04	0	0	58
27.5	7.7	58.6	-0.9	3.59	0	0	56
28.5	10.1	43.6	-3.68	3.81	0	0	54
29.5	10.3	40.3	-3.88	5.34	0	0	52
30.5	3.3	71.0	1.73	-0.5	0	0	50
31.5	2.5	78.6	2.06	2.95	0	0	58
32.5	4.8	72.3	-1.06	4.27	0	24	67
33.5	5.6	67.3	0.94	1.04	9	89	75
34.5	6.0	67.7	0.74	0.3	0	94	83
35.5	5.2	75.7	1.02	0.41	0	63	92
36.5	5.4	83.5	0.94	2.21	0	49	100
37.5	5.5	82.6	0.63	2.73	0	31	94
38.5	5.5	82.9	0.1	2.9	0	21	88
39.5	6.4	76.1	0.46	2.15	0	10	81
40.5	5.5	82.0	0.14	0.58	0	0	75
41.5	5.5	77.7	-1.01	2.93	0	0	69
42.5	5.2	77.4	0.22	1.38	0	0	62
43.5	6.9	67.3	-0.0	1.8	0	0	61
44.5	6.0	73.2	-0.92	0.92	0	0	60
45.5	5.5	75.7	-0.49	1.1	0	0	59
46.5	3.7	89.0	-0.54	-0.27	0	0	58
47.5	2.9	98.9	0.71	-0.71	0	0	57
48.5	4.1	87.8	1.14	2.45	0	0	56
49.5	4.7	82.5	1.67	1.86	0	0	55
50.5	4.1	86.9	1.64	2.63	0	0	54
51.5	4.2	83.9	2.73	2.92	0	0	53
52.5	4.6	80.3	3.06	2.57	0	0	52
53.5	4.7	76.0	3.04	2.29	0	0	51
54.5	4.6	72.2	2.51	1.82	0	0	50
55.5	4.8	68.5	2.41	2.25	0	0	54
56.5	4.8	67.7	2.59	2.5	0	49	58
