#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	1.3	76.8	4.68	4.07	0	0	50	0.0	30
0.5	1.3	76.8	4.68	4.07	0	0	50	0.0	30
1.5	2.9	72.0	3.62	3.88	0	0	58	0.0	30
2.5	3.9	69.1	3.82	3.82	0	0	67	0.0	30
3.5	5.0	66.3	2.88	3.2	0	0	75	0.0	30
4.5	5.5	65.3	2.35	3.48	0	0	83	0.0	30
5.5	5.3	66.9	2.87	4.1	0	0	92	0.0	30
6.5	5.2	68.7	3.2	3.44	0	0	100	0.0	30
7.5	5.2	71.0	2.77	3.55	0	0	100	0.0	30
8.5	4.7	75.0	1.54	1.84	0	10	100	0.2	30
9.5	5.5	78.1	0.93	1.43	0	17	100	0.2	30
10.5	5.4	84.8	1.13	0.41	0	35	100	0.7	30
11.5	5.4	92.7	0.76	0.48	0	38	100	1.2	30
12.5	6.9	89.8	2.3	2.07	0	39	100	1.3	30
13.5	8.0	86.1	4.32	2.7	0	33	100	0.5	30
14.5	8.1	87.4	4.36	1.76	0	18	100	1.8	30
15.5	8.0	88.1	4.31	2.91	0	6	100	1.7	30
16.5	7.8	90.6	3.78	1.84	0	0	100	2.0	30
17.5	7.7	89.6	2.53	3.48	0	0	100	1.3	30
18.5	7.8	86.1	1.92	3.62	0	0	100	0.1	30
19.5	7.9	80.1	2.49	3.99	0	0	96	0.0	30
20.5	8.4	76.3	2.28	3.65	0	0	92	0.1	30
21.5	8.0	80.9	3.22	3.7	0	0	88	0.1	30
22.5	8.0	78.1	2.52	3.11	0	0	83	0.0	30
23.5	8.3	75.1	3.79	3.41	0	0	79	0.0	30
24.5	7.7	74.6	3.51	3.27	0	0	75	0.0	30
25.5	6.8	81.5	5.71	2.42	0	0	71	1.4	30
26.5	5.2	82.6	8.36	2.4	0	0	67	0.4	30
27.5	4.9	86.9	4.63	0.82	0	0	62	1.8	30
28.5	2.7	93.3	6.72	1.55	0	0	58	1.5	30
29.5	2.0	86.3	6.15	2.12	0	0	54	0.0	30
30.5	2.3	74.2	7.24	1.54	0	0	50	0.0	30
31.5	2.5	70.0	4.81	3.24	0	0	56	0.0	30
32.5	2.7	68.8	4.42	3.1	0	41	62	0.0	30
33.5	3.3	62.4	5.39	3.64	422	76	69	0.0	30
34.5	3.4	62.4	5.31	3.58	149	136	75	0.0	30
35.5	3.2	64.0	4.06	3.41	0	84	81	0.0	30
36.5	2.5	74.6	4.76	2.75	0	100	88	0.0	30
37.5	1.5	89.3	4.21	3.54	3	101	90	0.0	30
38.5	1.0	91.6	3.93	2.75	0	26	92	0.3	30
39.5	1.0	87.5	5.17	2.63	0	8	94	0.3	30
40.5	1.5	79.4	1.84	2.62	0	0	96	0.0	30
41.5	1.5	82.6	3.17	1.91	0	0	98	0.0	30
42.5	1.5	83.9	3.71	1.97	0	0	100	0.0	30
