#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-1.2	94.5	-0.0	-0.0	0	0	50	0.0	50
0.5	-1.2	94.5	-0.0	-0.0	0	0	50	0.0	50
1.5	-0.8	93.3	0.22	0.56	0	0	58	0.0	50
2.5	-0.4	92.2	0.59	1.27	0	0	67	0.0	50
3.5	-0.1	91.6	1.3	1.39	0	0	75	0.0	50
4.5	0.3	90.9	0.44	0.54	0	0	83	0.0	50
5.5	0.4	91.3	0.09	0.28	0	0	92	0.0	50
6.5	0.2	93.4	0.4	0.0	0	0	100	0.0	50
7.5	0.3	93.4	0.33	0.22	0	0	100	0.0	50
8.5	0.6	92.3	0.84	0.32	0	19	100	0.0	50
9.5	1.0	93.4	0.55	1.29	0	51	100	0.0	50
10.5	1.7	89.7	1.32	1.63	0	95	100	0.0	50
11.5	2.2	86.1	1.81	1.42	12	134	100	0.0	50
12.5	1.9	87.9	1.34	0.41	0	88	100	0.0	50
13.5	1.9	88.6	0.83	0.72	0	81	100	0.0	50
14.5	2.2	86.4	1.01	0.82	0	51	100	0.0	50
15.5	2.4	83.6	1.61	1.5	0	15	100	0.0	50
16.5	2.3	83.0	1.78	1.29	0	0	100	0.0	50
17.5	2.3	82.8	1.49	1.01	0	0	100	0.0	50
18.5	1.6	90.5	1.13	0.41	0	0	100	0.3	50
19.5	1.1	94.2	1.51	1.74	0	0	100	0.6	50
20.5	1.5	91.3	1.8	2.4	0	0	100	0.6	50
21.5	1.7	91.2	1.54	2.57	0	0	100	0.9	50
22.5	2.1	88.8	2.12	3.27	0	0	100	0.1	50
23.5	2.1	89.9	1.57	1.68	0	0	100	0.0	50
24.5	2.0	91.6	1.32	1.63	0	0	100	0.4	50
25.5	1.7	93.4	1.23	1.03	0	0	100	0.0	50
26.5	1.8	93.0	1.05	0.76	0	0	100	0.0	50
27.5	1.7	93.9	1.06	0.28	0	0	100	0.0	50
28.5	1.2	98.1	0.27	-0.14	0	0	100	0.2	50
29.5	1.1	98.6	-0.0	0.2	0	0	100	0.1	50
30.5	1.0	98.6	-0.1	0.69	0	0	100	0.0	50
31.5	0.8	96.3	0.14	0.58	0	0	100	0.0	50
32.5	0.4	99.5	-0.49	0.1	0	48	100	0.0	50
33.5	0.5	100.0	-0.71	-0.36	4	85	100	0.0	50
34.5	0.9	96.6	-0.7	-0.0	70	135	100	0.0	50
35.5	1.0	97.3	-0.32	-0.84	5	126	100	0.0	50
36.5	0.6	99.9	-0.62	-0.5	0	108	100	0.0	50
37.5	0.9	97.7	0.72	-0.54	5	112	100	0.0	50
38.5	0.5	99.2	0.13	-0.69	0	59	100	0.0	50
39.5	0.1	99.9	-0.45	-0.23	0	10	100	0.0	50
40.5	-0.1	99.5	-0.69	0.11	0	0	100	0.0	50
41.5	0.1	96.8	0.0	-0.7	0	0	100	0.0	50
42.5	0.0	96.7	-0.36	0.6	0	0	100	0.0	50
43.5	-0.6	96.1	0.48	0.16	0	0	100	0.0	50
44.5	-0.8	98.1	-0.28	0.42	0	0	100	0.0	50
45.5	-1.5	97.3	0.92	0.92	0	0	100	0.0	50
46.5	-1.3	98.5	-0.45	-0.23	0	0	100	0.0	50
47.5	-1.5	97.9	1.05	0.34	0	0	100	0.0	50
48.5	-2.1	97.7	0.62	0.32	0	0	100	0.0	50
