#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor
0.0	-6.3	75.3	-0.93	-0.36	0	0
0.5	-6.3	75.3	-0.93	-0.36	0	0
1.5	-5.9	78.4	-1.03	-0.39	0	0
2.5	-5.7	79.6	-1.1	-0.47	0	0
3.5	-5.6	81.0	-1.17	-0.57	0	0
4.5	-5.8	81.1	-1.19	-0.74	0	0
5.5	-6.4	81.4	-1.1	-0.86	0	0
6.5	-6.8	81.8	-1.02	-0.96	0	0
7.5	-7.9	83.1	-0.85	-0.85	0	0
8.5	-9.9	87.2	-0.22	-0.33	0	34
9.5	-11.5	87.1	-0.28	-0.09	0	87
10.5	-10.6	84.2	-0.14	-0.14	0	149
11.5	-9.2	80.9	-0.2	-0.0	244	149
12.5	-8.1	80.6	0.1	0.0	425	121
13.5	-6.1	78.0	-0.56	-0.22	406	102
14.5	-6.2	78.8	0.45	0.23	131	88
15.5	-6.3	81.7	1.0	0.0	32	31
16.5	-6.4	84.3	-0.76	-0.48	0	0
17.5	-6.8	88.1	0.5	0.62	0	0
18.5	-5.8	87.8	0.75	0.5	0	0
19.5	-4.8	91.1	-1.58	-0.64	0	0
20.5	-4.8	92.6	-0.42	-0.56	0	0
21.5	-5.0	94.2	-0.0	-0.0	0	0
22.5	-5.0	94.7	-0.0	-0.0	0	0
23.5	-5.0	93.5	0.54	0.44	0	0
24.5	-4.8	93.8	0.48	0.36	0	0
25.5	-5.0	93.8	-0.62	-0.32	0	0
26.5	-5.2	94.3	-0.0	-0.0	0	0
27.5	-5.6	94.1	-0.0	-0.2	0	0
28.5	-5.7	93.7	-0.0	-0.1	0	0
29.5	-5.7	94.0	0.2	0.0	0	0
30.5	-5.4	93.2	-0.3	-0.0	0	0
31.5	-5.5	92.6	0.38	0.12	0	0
32.5	-5.3	93.2	-0.3	-0.0	0	45
33.5	-5.0	91.8	-0.1	-0.0	0	91
34.5	-4.3	89.5	-0.07	-0.07	0	168
35.5	-4.4	88.1	-0.0	-0.0	87	173
36.5	-4.4	85.5	0.36	0.18	188	156
37.5	-4.3	82.8	1.45	0.68	338	114
38.5	-4.4	84.3	1.43	0.73	106	88
39.5	-5.4	90.3	0.58	-0.14	22	31
40.5	-8.3	92.2	-0.22	-0.33	0	0
41.5	-10.7	83.3	-0.16	0.48	0	0
42.5	-12.1	79.7	-0.2	-0.0	0	0
43.5	-12.8	78.1	-0.39	-0.1	0	0
44.5	-12.5	81.8	-0.74	-0.31	0	0
45.5	-13.9	73.2	-0.46	-0.19	0	0
46.5	-15.0	73.3	-0.28	-0.09	0	0
47.5	-16.5	83.7	-0.1	-0.0	0	0
48.5	-17.1	85.0	-0.39	-0.1	0	0
49.5	-18.2	84.1	-0.4	-0.0	0	0
50.5	-18.3	84.0	-0.2	-0.0	0	0
51.5	-18.4	83.9	-0.36	-0.18	0	0
52.5	-18.4	83.9	-0.3	-0.0	0	0
53.5	-19.1	83.3	-0.1	-0.0	0	0
54.5	-19.1	83.3	-0.1	-0.0	0	0
55.5	-20.0	82.6	-0.2	-0.0	0	0
56.5	-19.2	83.3	-0.2	-0.0	0	22
