#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor
0.0	-3.2	85.7	-1.2	-0.08	0	0
0.5	-3.2	85.7	-1.2	-0.08	0	0
1.5	-3.4	84.5	-1.18	-0.21	0	0
2.5	-3.6	83.1	-1.25	-0.36	0	0
3.5	-4.0	82.5	-1.19	-0.53	0	0
4.5	-4.4	81.5	-1.19	-0.74	0	0
5.5	-5.0	81.7	-1.1	-0.86	0	0
6.5	-5.4	82.2	-1.02	-0.96	0	0
7.5	-6.5	83.5	-0.85	-0.85	0	0
8.5	-8.5	87.6	-0.22	-0.33	0	35
9.5	-10.1	87.5	-0.28	-0.09	0	90
10.5	-9.2	84.7	-0.14	-0.14	0	154
11.5	-7.8	81.3	-0.2	-0.0	252	154
12.5	-6.7	81.0	0.1	0.0	439	125
13.5	-4.7	78.4	-0.56	-0.22	420	105
14.5	-4.8	79.2	0.45	0.23	135	91
15.5	-4.9	82.1	1.0	0.0	33	32
16.5	-5.0	84.7	-0.76	-0.48	0	0
17.5	-5.4	88.5	0.5	0.62	0	0
18.5	-4.4	88.2	0.75	0.5	0	0
19.5	-3.4	91.5	-1.58	-0.64	0	0
20.5	-3.4	93.1	-0.42	-0.56	0	0
21.5	-3.6	94.7	-0.0	-0.0	0	0
22.5	-3.6	95.2	-0.0	-0.0	0	0
23.5	-3.6	94.0	0.54	0.44	0	0
24.5	-3.4	94.3	0.48	0.36	0	0
25.5	-3.6	94.3	-0.62	-0.32	0	0
26.5	-3.8	94.8	-0.0	-0.0	0	0
27.5	-4.1	94.6	-0.0	-0.2	0	0
28.5	-4.2	94.2	-0.0	-0.1	0	0
29.5	-4.2	94.5	0.2	0.0	0	0
30.5	-3.9	93.7	-0.3	-0.0	0	0
31.5	-4.0	93.1	0.38	0.12	0	0
32.5	-3.8	93.7	-0.3	-0.0	0	46
33.5	-3.5	92.3	-0.1	-0.0	0	94
34.5	-2.8	89.9	-0.07	-0.07	0	174
35.5	-2.9	88.5	-0.0	-0.0	90	179
36.5	-2.9	85.9	0.36	0.18	194	162
37.5	-2.8	83.2	1.45	0.68	349	118
38.5	-2.9	84.7	1.43	0.73	109	91
39.5	-3.9	90.7	0.58	-0.14	23	32
40.5	-6.8	92.7	-0.22	-0.33	0	0
41.5	-9.2	83.7	-0.16	0.48	0	0
42.5	-10.6	80.1	-0.2	-0.0	0	0
43.5	-11.3	78.5	-0.39	-0.1	0	0
44.5	-11.0	82.2	-0.74	-0.31	0	0
45.5	-12.4	73.5	-0.46	-0.19	0	0
46.5	-13.5	73.7	-0.28	-0.09	0	0
47.5	-15.0	84.1	-0.1	-0.0	0	0
48.5	-15.6	85.4	-0.39	-0.1	0	0
49.5	-16.7	84.5	-0.4	-0.0	0	0
50.5	-16.8	84.4	-0.2	-0.0	0	0
51.5	-16.9	84.3	-0.36	-0.18	0	0
52.5	-16.9	84.3	-0.3	-0.0	0	0
53.5	-17.6	83.7	-0.1	-0.0	0	0
54.5	-17.6	83.7	-0.1	-0.0	0	0
55.5	-18.5	83.0	-0.2	-0.0	0	0
56.5	-17.7	83.7	-0.2	-0.0	0	23
57.5	-18.0	83.4	-0.0	-0.0	0	43
58.5	-17.4	83.9	-0.0	-0.0	0	54
59.5	-14.5	79.3	-0.1	-0.0	246	168
60.5	-10.5	77.9	-0.07	-0.07	746	115
61.5	-8.2	79.0	-0.48	-0.12	783	81
62.5	-7.6	83.0	-0.0	-0.3	564	88
63.5	-9.6	78.4	-0.36	0.18	268	31
64.5	-11.3	74.6	-0.27	-0.54	0	0
65.5	-11.0	67.6	-0.39	-0.1	0	0
66.5	-12.5	75.7	-0.59	-0.11	0	0
67.5	-14.7	73.5	-0.5	-0.0	0	0
68.5	-15.7	76.2	-0.39	-0.1	0	0
69.5	-16.2	73.4	-0.28	-0.09	0	0
70.5	-16.9	84.4	-0.28	-0.28	0	0
71.5	-16.8	84.5	-0.21	-0.21	0	0
72.5	-17.7	83.8	-0.3	-0.0	0	0
73.5	-18.4	83.2	-0.45	-0.23	0	0
74.5	-18.9	82.8	-0.27	-0.14	0	0
75.5	-19.5	82.3	-0.07	0.07	0	0
76.5	-19.6	82.2	-0.27	-0.14	0	0
77.5	-20.2	81.8	-0.5	-0.0	0	0
