#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	PRECIPITATION	ALBEDO
0.0	-4.2	92.2	-0.93	-0.36	0	0	0.0	65
0.5	-4.2	92.2	-0.93	-0.36	0	0	0.0	65
1.5	-5.5	91.1	0.22	0.2	0	0	0.0	65
2.5	-6.4	90.3	0.48	0.13	0	0	0.0	65
3.5	-7.4	89.6	-0.48	-0.13	0	0	0.0	65
4.5	-8.0	89.0	0.58	0.16	0	0	0.0	65
5.5	-8.4	89.0	-0.39	-0.1	0	0	0.0	65
6.5	-8.8	88.8	0.13	-0.48	0	0	0.0	65
7.5	-9.9	86.4	-0.29	-0.08	0	0	0.0	65
8.5	-11.5	87.6	-0.29	0.06	0	4	0.0	65
9.5	-13.3	66.0	-0.03	0.1	0	7	0.0	65
10.5	-14.2	81.4	-0.48	-0.13	0	8	0.0	65
11.5	-11.4	68.4	-0.59	0.12	0	71	0.0	65
12.5	-7.9	82.6	-0.09	0.05	0	88	0.0	65
13.5	-6.4	83.7	0.19	0.05	291	114	0.0	65
14.5	-5.1	85.0	-0.29	0.06	96	88	0.0	65
15.5	-5.1	85.5	-0.8	-0.01	0	3	0.0	65
16.5	-5.7	87.6	0.56	0.42	0	0	0.0	65
17.5	-6.6	89.7	0.19	0.05	0	0	0.0	65
18.5	-6.6	89.5	-0.97	-0.26	0	0	0.0	65
19.5	-7.2	90.6	0.52	0.29	0	0	0.0	65
20.5	-6.7	88.9	-0.17	-0.78	0	0	0.0	65
21.5	-6.3	89.1	0.52	0.29	0	0	0.0	65
22.5	-6.0	90.5	-0.68	-0.18	0	0	0.0	65
23.5	-6.3	91.6	-0.39	-0.1	0	0	0.0	65
24.5	-8.7	90.2	0.44	0.24	0	0	0.0	65
25.5	-8.3	89.9	-0.37	-0.34	0	0	0.0	65
26.5	-8.3	89.7	-0.42	-0.27	0	0	0.0	65
27.5	-9.2	89.1	0.45	0.4	0	0	0.0	65
28.5	-10.4	84.0	-0.59	-0.38	0	0	0.0	65
29.5	-11.1	83.8	-0.39	-0.1	0	0	0.0	65
30.5	-13.5	59.0	-0.19	-0.05	0	0	0.0	65
31.5	-14.6	69.6	-0.4	0.02	0	0	0.0	65
32.5	-15.5	75.4	-0.26	0.15	0	4	0.0	65
33.5	-14.9	73.0	-0.39	-0.1	0	6	0.0	65
34.5	-14.9	71.4	-0.19	-0.05	0	9	0.0	65
35.5	-12.6	66.8	-0.4	0.02	0	72	0.0	65
36.5	-9.2	75.4	-0.0	-0.3	292	149	0.0	65
37.5	-6.7	83.9	-0.45	-0.22	257	123	0.0	65
38.5	-6.6	85.7	-0.39	-0.1	484	80	0.0	65
39.5	-8.4	88.3	-0.0	-0.1	0	10	0.0	65
40.5	-9.6	89.4	-0.54	-0.26	0	0	0.0	65
41.5	-12.5	79.6	-0.0	-0.0	0	0	0.0	65
42.5	-13.4	66.9	-0.0	-0.0	0	0	0.0	65
43.5	-14.6	68.3	-0.29	-0.08	0	0	0.0	65
44.5	-15.2	69.5	-0.29	-0.08	0	0	0.0	65
45.5	-16.4	80.3	-0.39	-0.1	0	0	0.0	65
46.5	-15.7	78.4	-0.48	-0.13	0	0	0.0	65
47.5	-16.8	82.3	-0.1	-0.03	0	0	0.0	65
48.5	-16.8	81.1	-0.3	0.02	0	0	0.0	65
49.5	-17.8	84.1	-0.09	0.05	0	0	0.0	65
50.5	-17.6	84.2	-0.1	-0.03	0	0	0.0	65
51.5	-17.2	84.0	-0.19	-0.05	0	0	0.0	65
52.5	-17.9	84.0	-0.1	-0.03	0	0	0.0	65
53.5	-18.4	83.6	-0.2	-0.04	0	0	0.0	65
54.5	-18.1	83.9	-0.19	-0.05	0	0	0.0	65
55.5	-17.8	84.1	-0.1	-0.03	0	0	0.0	65
56.5	-18.0	83.9	-0.0	-0.0	0	5	0.0	65
57.5	-17.8	82.2	-0.1	-0.03	0	14	0.0	65
58.5	-17.4	78.6	-0.1	-0.03	0	50	0.0	65
59.5	-13.9	75.8	-0.39	-0.1	273	122	0.0	65
60.5	-10.0	80.1	-0.1	-0.03	597	107	0.0	65
61.5	-7.4	85.3	-0.19	-0.05	566	94	0.0	65
62.5	-6.6	88.2	-0.0	-0.1	490	107	0.0	65
63.5	-7.5	89.6	-0.45	-0.22	168	24	0.0	65
64.5	-10.1	89.8	-0.1	-0.03	0	0	0.0	65
65.5	-12.0	86.8	-0.39	-0.1	0	0	0.0	65
66.5	-14.2	72.9	-0.29	-0.08	0	0	0.0	65
67.5	-15.3	69.5	-0.09	-0.04	0	0	0.0	65
68.5	-15.9	78.9	-0.39	-0.1	0	0	0.0	65
69.5	-16.3	76.5	-0.29	-0.08	0	0	0.0	65
70.5	-17.0	77.5	-0.3	0.02	0	0	0.0	65
71.5	-17.0	84.8	-0.19	-0.05	0	0	0.0	65
72.5	-16.7	80.1	-0.39	-0.1	0	0	0.0	65
73.5	-17.4	84.5	-0.1	-0.03	0	0	0.0	65
74.5	-17.1	84.7	-0.19	-0.05	0	0	0.0	65
75.5	-17.9	84.0	-0.1	-0.03	0	0	0.0	65
76.5	-17.4	84.5	-0.22	-0.2	0	0	0.0	65
77.5	-18.1	83.9	-0.1	-0.03	0	0	0.0	65
78.5	-17.2	84.6	-0.19	-0.05	0	0	0.0	65
79.5	-18.6	83.5	-0.17	0.1	0	0	0.0	65
80.5	-17.7	84.2	-0.3	0.02	0	21	0.0	65
81.5	-17.7	84.2	-0.29	-0.08	0	36	0.0	65
82.5	-16.7	84.5	-0.29	-0.08	0	48	0.0	65
83.5	-13.9	70.5	-0.17	0.1	233	168	0.0	65
84.5	-10.2	78.1	-0.29	-0.08	646	101	0.0	65
85.5	-7.6	82.9	-0.4	-0.01	629	86	0.0	65
86.5	-7.0	85.8	-0.39	-0.1	491	120	0.0	65
87.5	-8.0	85.8	-0.1	0.39	184	37	0.0	65
88.5	-9.3	87.9	-0.22	-0.2	0	0	0.0	65
89.5	-9.4	86.1	-0.68	-0.18	0	0	0.0	65
90.5	-10.1	86.9	-0.58	-0.16	0	0	0.0	65
91.5	-11.0	85.8	-0.0	-0.3	0	0	0.0	65
92.5	-11.5	85.5	-0.29	-0.08	0	0	0.0	65
93.5	-9.4	86.7	-0.84	-0.55	0	0	0.0	65
94.5	-9.1	85.0	0.25	0.43	0	0	0.0	65
95.5	-7.3	86.9	-0.25	-0.43	0	0	0.0	65
96.5	-5.9	88.7	-0.39	-0.1	0	0	0.0	65
97.5	-6.6	89.6	-0.0	-0.1	0	0	0.0	65
98.5	-7.9	90.1	0.1	0.03	0	0	0.0	65
99.5	-8.2	89.5	-0.3	-0.27	0	0	0.0	65
100.5	-8.2	89.5	-0.0	-0.4	0	0	0.0	65
101.5	-8.8	91.4	-0.54	-0.26	0	0	0.0	65
102.5	-9.3	88.0	-0.0	-0.3	0	0	0.0	65
103.5	-8.9	90.1	-0.64	-0.28	0	0	0.0	65
104.5	-9.4	87.9	-0.0	-0.2	0	41	0.0	65
105.5	-7.9	86.2	-0.15	-0.26	0	87	0.0	65
106.5	-8.6	87.8	0.15	0.26	0	61	0.0	65
107.5	-5.6	90.6	-0.55	-0.24	251	168	0.0	65
108.5	-4.5	86.0	-0.0	-0.0	661	99	0.0	65
109.5	-3.1	86.6	-0.25	-0.16	712	58	0.0	65
110.5	-3.4	90.4	-0.29	-0.08	551	60	0.0	65
111.5	-4.8	91.2	-0.39	-0.1	100	37	0.0	65
112.5	-7.0	93.0	-0.39	-0.1	0	0	0.0	65
113.5	-9.4	90.8	-0.2	0.04	0	0	0.0	65
114.5	-10.5	88.6	-0.3	-0.27	0	0	0.0	65
115.5	-11.2	85.3	-0.48	-0.13	0	0	0.0	65
