#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	PRECIPITATION	ALBEDO
0.0	-3.7	92.4	3.45	2.89	0	0	0.6	65
0.5	-3.7	92.4	3.45	2.89	0	0	0.6	65
1.5	-3.2	93.3	3.45	2.89	0	0	0.2	65
2.5	-2.9	93.6	3.83	3.21	0	0	0.6	65
3.5	-2.6	93.3	3.54	3.54	0	0	0.1	65
4.5	-2.4	92.7	3.21	3.83	0	0	0.8	65
5.5	-2.4	90.7	3.21	3.83	0	0	1.8	65
6.5	-2.5	89.1	3.83	3.21	0	0	0.0	65
7.5	-2.4	85.2	3.45	2.89	0	0	0.0	65
8.5	-2.6	84.6	3.18	3.18	0	32	0.1	65
9.5	-2.2	79.8	2.57	3.06	0	108	0.0	65
10.5	-2.2	77.8	3.18	3.18	0	230	0.0	65
11.5	-2.0	75.4	2.89	3.45	79	149	0.0	65
12.5	-3.1	87.0	3.06	2.57	0	74	0.7	65
13.5	-3.6	89.4	3.46	2.0	0	71	0.6	65
14.5	-3.6	85.1	3.17	1.48	0	48	0.2	65
15.5	-3.9	71.3	3.03	1.75	0	20	0.0	65
16.5	-4.2	68.8	-3.08	-0.38	0	0	0.0	65
17.5	-4.8	78.7	-0.91	-0.62	0	0	0.1	65
18.5	-5.4	87.2	0.89	0.45	0	0	0.2	65
19.5	-5.3	82.7	0.2	0.0	0	0	0.5	65
20.5	-5.8	72.3	-1.17	-0.27	0	0	0.0	65
21.5	-6.6	69.6	-2.12	-0.9	0	0	0.0	65
22.5	-6.8	65.2	-5.45	-1.67	0	0	0.0	65
23.5	-7.3	64.2	-5.67	-0.6	0	0	0.0	65
24.5	-7.4	58.6	0.15	-1.39	0	0	0.0	65
25.5	-8.1	68.9	1.39	0.8	0	0	0.0	65
26.5	-8.5	81.4	0.4	0.3	0	0	0.7	65
27.5	-8.6	84.8	-0.18	-0.09	0	0	0.7	65
28.5	-8.5	85.2	-0.56	-0.22	0	0	1.2	65
29.5	-8.4	84.9	-1.06	-0.28	0	0	1.0	65
30.5	-8.4	85.0	-0.28	-0.09	0	0	1.1	65
31.5	-7.8	79.4	-1.93	-0.52	0	0	0.4	65
32.5	-8.0	70.6	-5.33	-0.84	0	28	0.0	65
33.5	-7.8	61.3	1.12	2.78	0	102	0.0	65
34.5	-8.0	55.9	5.31	1.42	0	142	0.0	65
35.5	-8.5	58.6	5.77	1.23	18	131	0.0	65
36.5	-8.4	64.5	4.68	1.08	6	135	0.0	65
37.5	-8.5	67.5	3.97	1.37	9	111	0.0	65
38.5	-8.4	67.0	3.35	1.02	2	73	0.0	65
39.5	-8.5	65.7	3.84	1.1	0	28	0.0	65
40.5	-8.9	74.2	3.46	0.99	0	0	0.3	65
41.5	-8.9	76.0	3.42	1.11	0	0	0.5	65
42.5	-8.6	78.4	4.97	1.52	0	0	0.3	65
43.5	-8.6	76.2	4.7	1.71	0	0	0.2	65
44.5	-8.3	79.4	4.63	0.82	0	0	0.2	65
45.5	-8.2	80.5	5.22	1.4	0	0	0.3	65
46.5	-8.2	80.2	5.55	1.28	0	0	0.2	65
47.5	-8.2	80.8	2.32	0.62	0	0	0.7	65
48.5	-8.4	86.2	-1.13	-0.41	0	0	1.0	65
49.5	-8.4	87.1	-0.48	-0.16	0	0	0.8	65
50.5	-8.3	87.2	-0.27	-0.14	0	0	0.7	65
51.5	-7.9	85.9	-0.77	-0.22	0	0	1.1	65
52.5	-7.4	81.7	-2.68	-0.33	0	0	1.1	65
53.5	-7.6	73.7	-6.38	-0.56	0	0	0.4	65
54.5	-7.6	65.8	-2.6	-1.5	0	0	0.0	65
55.5	-7.6	59.5	-3.85	-1.4	0	0	0.1	65
56.5	-8.0	56.9	-4.54	-1.22	0	31	0.1	65
57.5	-10.4	64.8	1.56	0.66	0	77	0.0	65
58.5	-9.7	61.8	1.32	0.48	0	169	0.0	65
59.5	-9.0	58.8	1.05	0.34	310	152	0.0	65
60.5	-7.1	51.2	-1.97	1.38	739	111	0.0	65
61.5	-7.1	50.6	-3.32	1.84	776	71	0.0	65
62.5	-7.5	54.3	-1.47	0.62	562	76	0.0	65
63.5	-8.7	57.3	-1.7	-0.0	171	36	0.0	65
64.5	-11.5	67.5	1.14	0.63	0	0	0.0	65
65.5	-14.7	77.7	0.62	0.32	0	0	0.0	65
66.5	-14.8	80.8	-0.42	0.42	0	0	0.0	65
67.5	-15.3	80.6	0.14	0.27	0	0	0.0	65
68.5	-15.1	76.3	-0.77	-0.64	0	0	0.0	65
69.5	-15.9	85.7	1.07	0.25	0	0	0.0	65
70.5	-17.2	82.2	0.36	0.18	0	0	0.0	65
71.5	-18.7	83.4	-0.75	-0.29	0	0	0.0	65
72.5	-19.5	82.8	-0.71	-0.36	0	0	0.0	65
73.5	-19.8	82.5	0.4	0.0	0	0	0.0	65
74.5	-19.8	82.5	0.71	0.36	0	0	0.0	65
75.5	-20.1	82.3	-0.67	-0.22	0	0	0.0	65
76.5	-20.5	82.0	-0.3	-0.0	0	0	0.0	65
77.5	-21.2	81.4	-0.7	-0.0	0	0	0.0	65
78.5	-21.8	80.9	-0.0	0.3	0	0	0.0	65
79.5	-21.0	81.6	-0.3	-0.0	0	0	0.0	65
80.5	-19.3	82.9	0.25	0.17	0	27	0.0	65
81.5	-18.4	83.7	-0.3	-0.0	0	45	0.0	65
82.5	-16.2	84.7	-1.29	-0.55	0	59	0.0	65
83.5	-10.0	54.1	-2.72	-0.99	291	165	0.0	65
84.5	-8.1	41.5	-1.56	-1.56	741	117	0.0	65
85.5	-10.8	54.3	2.49	1.49	778	81	0.0	65
86.5	-10.8	52.4	1.29	0.55	568	81	0.0	65
87.5	-13.7	72.8	0.45	0.23	274	32	0.0	65
88.5	-16.1	80.9	-0.1	-0.0	0	0	0.0	65
89.5	-18.4	83.6	-0.2	-0.0	0	0	0.0	65
90.5	-20.2	82.6	-0.1	-0.0	0	0	0.0	65
91.5	-22.3	80.6	-0.28	-0.09	0	0	0.0	65
92.5	-23.2	79.8	-0.2	-0.0	0	0	0.0	65
93.5	-24.1	79.1	-0.2	-0.0	0	0	0.0	65
94.5	-24.7	78.7	-0.39	-0.1	0	0	0.0	65
95.5	-25.8	77.8	-0.2	-0.0	0	0	0.0	65
96.5	-25.9	77.8	-0.18	-0.09	0	0	0.0	65
97.5	-27.1	76.9	-0.0	-0.0	0	0	0.0	65
98.5	-27.3	76.7	-0.1	-0.0	0	0	0.0	65
99.5	-27.6	76.5	-0.1	-0.0	0	0	0.0	65
100.5	-29.1	75.4	-0.1	-0.0	0	0	0.0	65
101.5	-28.8	75.6	-0.1	-0.0	0	0	0.0	65
102.5	-27.4	76.6	-0.14	0.14	0	0	0.0	65
103.5	-26.5	77.3	-0.1	-0.0	0	0	0.0	65
104.5	-26.8	77.1	-0.1	-0.0	0	31	0.0	65
105.5	-25.6	78.0	-0.1	-0.0	0	52	0.0	65
106.5	-24.9	78.5	-0.0	-0.0	0	66	0.0	65
107.5	-21.2	81.4	-0.1	-0.0	286	166	0.0	65
108.5	-16.8	85.0	-0.07	-0.07	741	110	0.0	65
109.5	-14.0	72.0	-0.1	-0.0	780	70	0.0	65
110.5	-13.0	67.8	-0.1	-0.0	593	72	0.0	65
111.5	-13.7	66.0	-0.0	-0.0	332	30	0.0	65
112.5	-16.4	77.6	0.09	0.18	0	0	0.0	65
113.5	-18.0	82.6	-0.56	-0.22	0	0	0.0	65
114.5	-19.1	83.0	-0.3	-0.0	0	0	0.0	65
115.5	-19.8	82.5	-0.0	-0.0	0	0	0.0	65
116.5	-21.2	81.4	-0.1	-0.0	0	0	0.0	65
117.5	-21.5	81.2	-0.3	-0.0	0	0	0.0	65
118.5	-22.6	80.3	-0.2	-0.0	0	0	0.0	65
119.5	-22.8	80.1	-0.3	-0.0	0	0	0.0	65
120.5	-23.4	79.7	-0.2	-0.0	0	0	0.0	65
121.5	-23.8	79.3	-0.0	-0.0	0	0	0.0	65
122.5	-23.6	79.5	-0.0	-0.0	0	0	0.0	65
123.5	-23.8	79.4	-0.1	-0.0	0	0	0.0	65
124.5	-24.3	79.0	-0.1	-0.0	0	0	0.0	65
