#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	PRECIPITATION	ALBEDO
0.0	-2.4	90.7	-0.69	-0.41	0	0	0.0	65
0.5	-2.4	90.7	-0.69	-0.41	0	0	0.0	65
1.5	-2.5	89.0	0.42	0.42	0	0	0.0	65
2.5	-2.5	88.1	-0.64	-0.48	0	0	0.0	65
3.5	-2.5	87.1	-0.33	-0.22	0	0	0.0	65
4.5	-2.6	86.9	0.14	-0.14	0	0	0.0	65
5.5	-2.5	86.8	-0.45	-0.23	0	0	0.0	65
6.5	-2.4	86.9	0.42	0.28	0	0	0.0	65
7.5	-2.1	86.1	-0.85	-0.85	0	0	0.0	65
8.5	-2.1	85.6	0.85	0.53	0	69	0.0	65
9.5	-1.0	81.9	0.71	-0.71	0	125	0.0	65
10.5	0.3	79.2	-0.48	-0.16	0	169	0.0	65
11.5	1.0	77.7	-0.4	-0.0	93	149	0.0	65
12.5	1.6	75.7	0.64	0.64	60	153	0.0	65
13.5	1.5	77.4	0.66	0.45	0	66	0.0	65
14.5	1.8	75.9	0.56	0.42	8	77	0.0	65
15.5	1.2	81.3	1.57	1.68	0	17	0.0	65
16.5	0.8	86.2	0.67	0.22	0	0	0.0	65
17.5	0.7	87.9	-0.0	0.3	0	0	0.0	65
18.5	0.5	88.9	0.83	0.72	0	0	0.0	65
19.5	0.4	89.9	0.63	0.78	0	0	0.0	65
20.5	0.6	89.7	-1.17	-0.94	0	0	0.0	65
21.5	0.7	89.3	-0.42	0.42	0	0	0.0	65
22.5	0.5	90.0	0.0	-0.3	0	0	0.0	65
23.5	-0.1	90.8	0.86	0.69	0	0	0.0	65
24.5	-1.2	92.3	-0.39	-0.58	0	0	0.0	65
25.5	-1.3	91.4	-0.0	0.6	0	0	0.0	65
26.5	-1.0	90.8	0.54	0.27	0	0	0.0	65
27.5	-0.9	92.4	-1.2	-0.51	0	0	0.1	65
28.5	-0.9	94.1	-0.95	-0.74	0	0	0.4	65
29.5	-0.8	94.5	-0.62	-0.32	0	0	0.0	65
30.5	-0.7	93.9	-0.28	-0.28	0	0	0.0	65
31.5	-0.4	92.6	-0.48	-0.16	0	0	0.0	65
32.5	-0.3	92.9	0.07	0.07	0	37	0.0	65
33.5	0.1	90.8	-0.75	-0.5	0	99	0.0	65
34.5	0.2	88.5	0.66	0.45	0	148	0.0	65
35.5	1.0	84.7	-0.76	-0.25	78	174	0.0	65
36.5	1.4	82.2	-0.5	-0.5	66	167	0.0	65
37.5	1.5	81.2	0.0	-0.4	134	137	0.0	65
