#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover
0.0	6.8	96.7	0.2	0.88	0	0	100
0.5	6.8	96.7	0.2	0.88	0	0	100
1.5	6.8	96.3	0.31	0.74	0	0	100
2.5	6.8	95.6	0.27	0.64	0	0	100
3.5	6.9	94.5	0.25	0.76	0	0	99
4.5	7.0	93.4	0.22	0.87	0	0	99
5.5	7.2	91.1	-0.19	1.08	0	0	96
6.5	7.5	88.0	-0.64	1.25	0	0	94
7.5	7.7	85.3	-0.8	1.39	0	0	84
8.5	7.9	83.4	-0.85	1.36	0	38	71
9.5	8.3	80.0	-1.21	2.19	164	86	56
10.5	9.9	70.6	-2.76	2.15	599	82	42
11.5	10.8	65.8	-1.4	2.42	728	60	27
12.5	11.8	58.7	-0.93	2.85	631	85	12
13.5	11.9	53.6	-0.0	3.0	328	91	27
14.5	11.7	53.6	-0.0	3.1	204	71	42
15.5	10.8	56.4	-0.62	3.54	0	23	56
16.5	10.5	56.7	-1.64	2.63	0	0	71
17.5	10.3	55.6	-1.5	3.38	0	0	85
18.5	10.4	52.9	-3.56	2.4	0	0	100
19.5	10.2	52.6	-2.83	3.62	0	0	99
20.5	10.6	49.1	-4.83	3.02	0	0	98
21.5	11.0	46.6	-4.7	3.05	0	0	97
22.5	11.0	46.3	-3.54	3.54	0	0	96
23.5	10.7	47.5	-3.68	3.68	0	0	95
24.5	10.7	48.2	-3.68	3.95	0	0	94
25.5	10.8	48.1	-3.32	4.26	0	0	93
26.5	10.6	49.5	-2.4	4.16	0	0	92
27.5	10.8	49.9	-3.41	4.06	0	0	91
28.5	11.0	50.3	-2.24	4.8	0	0	90
29.5	11.1	52.6	-2.44	3.9	0	0	89
30.5	12.0	56.3	-1.74	1.51	0	0	88
31.5	10.7	74.4	-2.4	1.62	0	0	90
32.5	10.0	81.6	-2.69	2.69	0	16	92
33.5	11.1	78.2	-2.3	2.07	0	30	94
34.5	11.4	75.0	-3.38	1.95	0	41	96
35.5	11.7	72.0	-3.39	2.12	0	44	98
36.5	12.1	70.1	-2.83	2.83	0	37	100
37.5	14.0	59.3	-2.27	3.77	0	76	100
38.5	16.0	47.9	1.41	2.54	0	14	100
39.5	13.8	67.5	1.7	-2.83	0	0	100
40.5	11.9	79.9	-0.58	1.91	0	0	100
41.5	12.6	69.8	-1.18	2.32	0	0	100
42.5	14.2	55.5	0.1	2.8	0	0	100
43.5	14.6	50.5	-1.74	2.07	0	0	100
44.5	14.5	48.3	-1.61	-1.78	0	0	100
45.5	13.9	46.2	-2.92	2.28	0	0	100
