#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover
0.0	6.2	95.9	0.2	0.88	0	0	100
0.5	6.2	95.9	0.2	0.88	0	0	100
1.5	6.1	95.3	0.31	0.74	0	0	100
2.5	6.0	94.4	0.27	0.64	0	0	100
3.5	6.0	93.1	0.25	0.76	0	0	99
4.5	6.1	91.9	0.22	0.87	0	0	99
5.5	6.3	89.6	-0.19	1.08	0	0	96
6.5	6.5	86.6	-0.64	1.25	0	0	94
7.5	6.7	84.0	-0.8	1.39	0	0	84
8.5	6.9	82.1	-0.85	1.36	0	40	71
9.5	7.3	78.7	-1.21	2.19	171	90	56
10.5	8.9	69.5	-2.76	2.15	625	85	42
11.5	9.8	64.7	-1.4	2.42	759	63	27
12.5	10.8	57.8	-0.93	2.85	659	89	12
13.5	10.9	52.8	-0.0	3.0	343	95	27
14.5	10.7	52.8	-0.0	3.1	213	74	42
15.5	9.8	55.5	-0.62	3.54	0	24	56
16.5	9.5	55.8	-1.64	2.63	0	0	71
17.5	9.3	54.7	-1.5	3.38	0	0	85
18.5	9.4	52.1	-3.56	2.4	0	0	100
19.5	9.2	51.8	-2.83	3.62	0	0	99
20.5	9.6	48.4	-4.83	3.02	0	0	98
21.5	10.0	45.8	-4.7	3.05	0	0	97
22.5	10.0	45.5	-3.54	3.54	0	0	96
23.5	9.7	46.8	-3.68	3.68	0	0	95
24.5	9.7	47.5	-3.68	3.95	0	0	94
25.5	9.8	47.4	-3.32	4.26	0	0	93
26.5	9.6	48.8	-2.4	4.16	0	0	92
27.5	9.8	49.2	-3.41	4.06	0	0	91
28.5	10.0	49.5	-2.24	4.8	0	0	90
29.5	10.1	51.8	-2.44	3.9	0	0	89
30.5	11.0	55.4	-1.74	1.51	0	0	88
31.5	9.7	73.2	-2.4	1.62	0	0	90
32.5	9.0	80.3	-2.69	2.69	0	17	92
33.5	10.1	77.0	-2.3	2.07	0	31	94
34.5	10.4	73.8	-3.38	1.95	0	43	96
35.5	10.7	70.9	-3.39	2.12	0	46	98
36.5	11.1	69.0	-2.83	2.83	0	39	100
37.5	13.0	58.4	-2.27	3.77	0	79	100
38.5	15.0	47.2	1.41	2.54	0	15	100
39.5	12.8	66.5	1.7	-2.83	0	0	100
40.5	10.9	78.6	-0.58	1.91	0	0	100
41.5	11.6	68.7	-1.18	2.32	0	0	100
42.5	13.2	54.6	0.1	2.8	0	0	100
43.5	13.6	49.7	-1.74	2.07	0	0	100
44.5	13.5	47.6	-1.61	-1.78	0	0	100
45.5	12.9	45.5	-2.92	2.28	0	0	100
46.5	13.5	34.8	-0.97	5.52	0	0	100
47.5	13.3	31.8	-1.08	4.68	0	0	100
48.5	12.7	35.3	-0.92	4.0	0	0	100
49.5	12.2	35.8	-1.54	4.23	0	0	100
50.5	11.4	41.2	0.73	1.64	0	0	100
51.5	10.6	47.5	-1.41	2.65	0	0	100
52.5	9.6	55.1	-2.04	4.01	0	0	100
53.5	9.1	56.7	-0.69	1.55	0	0	100
54.5	9.2	53.9	-1.37	3.22	0	0	100
55.5	8.6	59.5	-0.59	3.75	0	0	90
56.5	8.2	63.6	-0.8	4.12	0	25	79
57.5	8.2	62.5	-1.29	3.04	0	59	69
58.5	9.7	57.8	-1.24	4.64	229	121	58
59.5	11.2	53.3	-1.11	3.42	591	121	48
60.5	11.7	50.3	0.2	2.79	468	109	38
61.5	11.6	48.2	-0.12	1.09	100	125	48
62.5	11.5	48.4	0.09	1.8	118	81	58
63.5	10.7	49.8	-0.81	2.36	0	22	69
64.5	10.4	48.3	-1.98	1.98	0	0	79
65.5	10.4	47.9	-1.38	2.2	0	0	90
66.5	10.2	48.1	-2.38	2.83	0	0	100
67.5	10.2	43.9	-1.9	1.77	0	0	100
68.5	9.7	45.5	-1.49	2.49	0	0	100
69.5	9.5	44.2	-2.41	3.2	0	0	100
70.5	9.3	42.8	-2.53	3.48	0	0	100
71.5	9.3	42.9	-1.84	2.62	0	0	100
72.5	7.7	59.1	-0.33	3.79	0	0	100
73.5	8.0	68.8	-1.37	3.22	0	0	100
74.5	6.9	75.0	-0.5	1.63	0	0	100
75.5	6.6	82.6	1.06	-1.06	0	0	100
76.5	6.1	90.4	0.28	-1.06	0	0	100
77.5	5.9	93.7	0.28	0.28	0	0	100
78.5	6.0	93.6	0.5	0.75	0	0	100
79.5	5.5	92.1	0.25	-0.76	0	0	98
80.5	5.4	91.4	0.25	-0.76	0	33	96
81.5	5.6	87.2	0.23	0.45	0	104	94
82.5	6.6	83.8	-0.58	0.93	203	134	92
83.5	7.4	76.9	-0.55	1.5	333	129	90
84.5	7.9	75.2	-1.42	1.11	28	138	88
85.5	8.2	71.6	-0.14	0.89	7	103	90
86.5	8.0	76.9	0.22	0.77	0	45	92
87.5	7.6	81.8	0.0	-1.0	0	13	94
88.5	7.0	88.0	0.71	-0.36	0	0	96
89.5	7.0	84.7	-0.72	-2.7	0	0	98
90.5	7.0	82.1	-0.41	-1.65	0	0	100
91.5	6.3	85.0	1.13	-0.98	0	0	100
92.5	5.4	62.1	-5.07	-7.8	0	0	100
93.5	5.0	54.8	-2.89	-6.81	0	0	100
94.5	4.1	56.7	-1.66	-7.21	0	0	100
95.5	3.3	67.2	-1.27	-3.9	0	0	100
96.5	2.3	80.8	-0.71	-2.19	0	0	100
97.5	1.6	87.6	0.41	-1.34	0	0	100
98.5	1.3	86.0	0.23	-3.29	0	0	100
99.5	2.0	63.8	-3.16	-4.5	0	0	100
100.5	1.2	63.9	-2.91	-5.7	0	0	100
101.5	0.8	64.4	-1.06	-3.96	0	0	100
102.5	0.6	61.7	-1.71	-3.84	0	0	100
103.5	0.3	58.5	-3.75	-3.75	0	3	100
104.5	-0.1	69.8	-0.37	-4.18	0	23	100
105.5	-0.5	78.5	1.26	-1.68	0	55	100
