#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	2.3	69.6	-0.82	2.26	0	0	50	0.0	14
0.5	2.3	69.6	-0.82	2.26	0	0	50	0.0	14
1.5	3.7	67.7	-1.54	3.03	0	0	58	0.0	14
2.5	4.7	65.6	-1.45	2.97	0	0	67	0.0	14
3.5	5.6	63.8	-1.79	2.65	0	0	75	0.0	14
4.5	6.4	61.3	-2.43	2.52	0	0	83	0.0	14
5.5	6.5	61.1	-2.59	2.78	0	0	92	0.0	14
6.5	6.7	60.3	-2.43	2.52	0	0	100	0.0	14
7.5	6.6	62.6	-1.9	2.19	0	0	100	0.0	14
8.5	6.3	67.6	-0.43	1.85	0	65	100	0.0	14
9.5	6.3	71.0	-0.47	1.53	3	85	100	0.0	14
10.5	7.2	67.5	-0.67	1.0	0	108	100	0.0	14
11.5	6.4	76.7	0.41	-0.8	0	52	100	0.0	14
12.5	6.6	77.5	0.41	-0.8	0	75	100	0.0	14
13.5	7.2	72.9	0.22	-0.67	0	83	90	0.0	14
14.5	6.8	75.5	0.98	0.19	0	47	79	0.0	14
15.5	6.4	74.8	-0.36	0.93	0	19	69	0.0	14
16.5	4.6	81.8	-0.19	-0.78	0	0	58	0.0	14
17.5	3.8	86.2	0.0	-0.9	0	0	48	0.0	14
18.5	2.3	88.7	-0.19	-0.78	0	0	38	0.0	14
19.5	1.4	90.3	-0.0	0.9	0	0	43	0.0	14
20.5	2.3	89.2	-0.53	2.13	0	0	48	0.0	14
21.5	4.7	84.1	-1.79	2.65	0	0	53	0.0	14
22.5	5.2	75.3	-2.06	2.83	0	0	58	0.0	14
23.5	5.8	70.3	-3.18	1.69	0	0	64	0.0	14
24.5	6.7	66.3	-2.87	2.49	0	0	69	0.0	14
25.5	6.8	64.4	-3.34	3.58	0	0	74	0.0	14
26.5	7.2	60.2	-2.53	3.35	0	0	79	0.0	14
27.5	7.1	59.7	-3.13	3.24	0	0	84	0.0	14
28.5	7.2	58.3	-2.16	2.49	0	0	90	0.0	14
29.5	7.4	56.9	-2.24	3.2	0	0	95	0.0	14
30.5	7.5	55.7	-3.21	3.57	0	0	100	0.0	14
31.5	7.8	54.4	-3.08	3.55	0	0	100	0.0	14
32.5	8.4	54.8	-3.51	2.65	0	46	100	0.0	14
33.5	8.6	54.5	-3.32	2.41	31	96	100	0.0	14
34.5	9.0	53.0	-2.32	2.49	58	135	100	0.0	14
35.5	9.9	51.3	-2.52	3.6	137	164	100	0.0	14
36.5	10.0	51.6	-2.65	3.39	10	131	100	0.0	14
37.5	10.1	53.4	-2.38	2.14	118	121	100	0.0	14
38.5	10.0	56.0	-0.42	2.97	133	82	100	0.0	14
39.5	8.9	55.6	0.41	0.8	0	30	100	0.0	14
40.5	7.1	66.0	-0.53	2.13	0	0	100	0.0	14
41.5	8.5	64.2	-1.84	4.33	0	0	100	0.0	14
42.5	10.0	51.5	-2.01	2.98	0	0	100	0.0	14
43.5	9.7	53.6	-0.42	2.97	0	0	93	0.0	14
44.5	8.2	63.2	0.56	-1.71	0	0	85	0.0	14
45.5	11.8	47.6	-2.16	2.49	0	0	78	0.0	14
46.5	13.0	42.1	-1.89	2.33	0	0	71	0.0	14
47.5	11.1	57.0	-1.16	-4.66	0	0	64	0.9	14
48.5	8.9	73.1	-3.2	2.41	0	0	56	0.9	14
49.5	8.7	72.2	-1.41	2.76	0	0	49	0.0	14
50.5	8.3	72.8	-1.71	0.56	0	0	42	0.0	14
51.5	8.0	73.6	-0.31	2.18	0	0	34	0.0	14
52.5	6.4	79.5	-0.42	2.16	0	0	27	0.0	14
53.5	5.5	85.1	-1.48	1.89	0	0	20	0.0	14
54.5	5.8	83.8	-1.43	2.29	0	0	12	0.0	14
55.5	6.1	79.9	-1.63	3.21	0	0	27	0.0	14
56.5	6.5	76.4	-3.74	1.91	0	37	42	0.0	14
