#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor
0.0	4.9	79.0	2.24	1.51	0	0
0.5	4.9	79.0	2.24	1.51	0	0
1.5	3.8	81.2	1.99	1.67	0	0
2.5	3.0	82.7	1.98	1.84	0	0
3.5	2.3	84.2	2.09	2.02	0	0
4.5	2.0	85.2	2.3	2.22	0	0
5.5	2.0	85.5	2.64	2.14	0	0
6.5	2.0	86.0	3.14	1.96	0	0
7.5	2.1	85.7	3.18	1.69	0	0
8.5	2.2	85.5	2.97	1.45	0	35
9.5	2.8	82.8	2.63	1.23	50	85
10.5	3.3	80.8	2.41	0.97	77	124
11.5	3.6	79.8	2.38	0.77	6	134
12.5	3.9	78.7	2.83	0.65	27	127
13.5	4.0	80.3	2.76	1.41	6	109
14.5	3.8	84.2	2.54	1.78	0	46
15.5	3.3	89.3	2.48	1.87	0	14
16.5	3.1	90.4	2.43	1.76	0	0
17.5	2.8	93.8	2.4	1.62	0	0
18.5	2.9	93.0	2.47	1.32	0	0
19.5	3.0	92.3	2.5	1.01	0	0
20.5	2.8	94.2	2.6	0.0	0	0
21.5	2.7	95.2	2.23	-1.14	0	0
22.5	2.7	95.8	0.74	-2.28	0	0
23.5	2.4	97.6	0.0	-2.3	0	0
24.5	2.4	97.0	-0.34	-2.17	0	0
25.5	2.4	97.1	-0.65	-2.0	0	0
26.5	2.4	97.9	-0.75	-1.85	0	0
27.5	2.4	97.7	-0.89	-1.68	0	0
28.5	2.5	96.9	-0.9	-1.56	0	0
29.5	2.6	97.1	-1.02	-1.36	0	0
30.5	2.6	97.6	-1.2	-1.2	0	0
31.5	2.5	98.0	-1.36	-1.02	0	0
32.5	2.8	96.3	-1.7	-1.23	0	29
33.5	3.0	95.5	-2.33	-1.89	33	82
34.5	3.7	93.5	-3.09	-1.64	0	96
35.5	3.8	94.4	-3.24	-1.58	0	82
36.5	3.9	94.6	-2.97	-1.65	0	65
37.5	4.1	92.7	-2.7	-1.89	0	57
38.5	3.7	93.6	-2.34	-2.03	0	37
39.5	3.8	93.8	-1.94	-2.15	0	11
40.5	3.6	93.6	-1.51	-2.24	0	0
41.5	3.4	93.7	-1.22	-2.3	0	0
42.5	3.4	93.5	-0.9	-2.33	0	0
43.5	3.2	94.5	0.0	-2.5	0	0
44.5	3.0	95.3	1.7	-1.7	0	0
45.5	2.9	95.5	2.39	0.25	0	0
46.5	3.1	92.9	2.32	0.94	0	0
47.5	3.4	89.7	2.45	1.36	0	0
48.5	3.5	87.2	3.21	1.63	0	0
49.5	3.4	85.6	3.92	2.0	0	0
50.5	3.3	86.0	4.62	2.15	0	0
51.5	3.5	85.1	4.14	1.76	0	0
52.5	3.6	83.4	3.41	1.45	0	0
53.5	3.7	83.5	2.89	1.11	0	0
54.5	3.5	85.4	2.9	1.35	0	0
55.5	3.6	83.4	3.0	1.6	0	0
56.5	3.7	81.5	3.14	1.96	0	19
57.5	3.9	80.1	2.78	1.95	0	48
58.5	4.2	79.8	2.49	2.01	0	77
59.5	4.4	78.7	2.16	2.08	0	86
60.5	4.6	78.5	2.49	2.01	0	97
61.5	4.6	77.8	2.87	2.01	0	83
62.5	4.5	77.8	3.14	1.96	0	59
63.5	4.3	79.0	2.7	1.89	11	27
64.5	3.4	84.7	2.14	1.8	0	0
65.5	3.1	84.5	1.7	1.7	0	0
66.5	2.9	85.8	1.73	1.35	0	0
67.5	2.5	87.9	1.77	0.94	0	0
68.5	2.3	87.2	1.89	0.65	0	0
69.5	2.5	87.4	2.09	0.68	0	0
70.5	2.4	87.8	2.24	0.86	0	0
71.5	2.3	88.5	2.48	1.06	0	0
72.5	2.2	90.0	2.41	0.97	0	0
73.5	2.1	91.3	2.41	0.97	0	0
74.5	2.0	90.9	2.33	0.9	0	0
75.5	1.9	91.4	2.19	0.23	0	0
76.5	1.9	92.2	1.84	-0.49	0	0
77.5	2.0	91.9	1.51	-0.98	0	0
78.5	2.1	92.5	2.5	-0.13	0	0
79.5	2.2	90.4	3.25	0.99	0	0
80.5	2.3	88.8	3.65	1.86	0	18
81.5	2.5	87.4	3.14	1.96	0	46
82.5	2.7	87.8	3.88	2.07	0	80
83.5	3.0	88.7	3.86	3.02	4	124
84.5	3.2	86.8	4.5	2.81	5	116
85.5	3.4	85.7	3.86	2.5	0	88
86.5	3.4	86.1	3.2	2.24	0	47
87.5	3.5	86.7	3.39	2.65	0	22
88.5	3.4	87.9	3.85	3.35	0	0
89.5	3.4	88.7	3.4	2.95	0	0
90.5	3.4	88.4	3.41	1.89	0	0
91.5	3.3	88.9	3.3	1.68	0	0
92.5	3.2	89.0	3.17	1.91	0	0
