#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-3.4	81.4	2.86	1.65	0	0	50	0.0	30
0.5	-3.4	81.4	2.86	1.65	0	0	50	0.0	30
1.5	-3.7	79.8	3.12	1.8	0	0	58	0.0	30
2.5	-3.9	79.4	3.32	2.24	0	0	67	0.0	30
3.5	-4.0	79.4	3.05	1.91	0	0	75	0.0	30
4.5	-3.9	80.5	3.6	2.52	0	0	83	0.0	30
5.5	-3.7	82.1	3.69	2.4	0	0	92	0.0	30
6.5	-3.5	83.5	3.36	2.18	0	0	100	0.0	30
7.5	-3.1	83.8	3.27	2.47	0	0	100	0.0	30
8.5	-2.7	83.7	3.72	2.7	0	28	100	0.0	30
9.5	-2.1	84.1	3.31	2.59	0	74	100	0.0	30
10.5	-1.3	82.8	2.94	1.7	3	118	100	0.0	30
11.5	-0.5	79.8	2.56	1.36	0	97	100	0.0	30
12.5	0.0	77.5	2.3	0.98	0	65	100	0.0	30
13.5	0.0	79.4	2.65	1.41	0	93	100	0.0	30
14.5	0.5	76.7	4.63	1.6	0	54	100	0.0	30
15.5	0.4	76.9	3.28	2.29	0	17	100	0.0	30
16.5	0.4	73.4	4.42	2.35	0	0	100	0.0	30
17.5	0.5	70.4	4.81	2.45	0	0	100	0.0	30
18.5	0.5	70.0	4.58	1.76	0	0	100	0.0	30
19.5	0.4	72.0	4.64	2.57	0	0	100	0.0	30
20.5	-0.1	83.0	5.6	2.15	0	0	100	0.0	30
21.5	-0.5	95.1	3.41	1.89	0	0	100	0.8	30
22.5	-0.7	97.0	2.95	2.06	0	0	100	0.9	30
23.5	-0.6	97.0	3.2	2.24	0	0	100	0.1	30
24.5	-0.7	97.5	3.15	1.74	0	0	100	0.2	30
25.5	-0.6	95.6	3.36	2.18	0	0	100	0.0	30
26.5	-0.6	95.6	3.07	2.07	0	0	100	0.7	30
27.5	-0.8	96.6	3.27	2.47	0	0	100	0.7	30
28.5	-0.8	97.0	3.22	2.01	0	0	100	1.1	30
29.5	-0.7	97.0	2.57	1.73	0	0	100	0.9	80
30.5	-0.6	96.9	2.16	1.62	0	0	100	0.1	80
31.5	-0.6	96.7	1.81	1.87	0	0	100	0.0	80
32.5	-0.6	95.7	2.01	1.31	0	22	100	0.0	80
33.5	-0.4	90.8	2.16	1.05	13	88	100	0.0	80
34.5	-0.3	89.1	2.38	1.27	49	129	100	0.0	80
35.5	-0.3	89.4	2.49	1.49	8	132	100	0.0	80
36.5	0.0	85.2	2.48	1.06	0	101	100	0.0	80
37.5	-0.3	85.6	1.84	1.38	3	111	100	0.0	80
38.5	-0.4	78.7	0.99	0.99	0	65	100	0.0	80
39.5	-0.9	78.9	0.7	0.02	0	28	100	0.0	80
40.5	-1.8	86.9	-0.41	-0.8	0	0	100	0.0	80
41.5	-2.0	91.0	0.82	-1.01	0	0	100	0.6	80
42.5	-2.2	83.2	0.45	-1.11	0	0	100	0.0	80
43.5	-2.6	78.9	0.39	-1.45	0	0	100	0.0	80
