#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	2.9	78.6	1.06	1.06	0	0	50	0.0	50
0.5	2.9	78.6	1.06	1.06	0	0	50	0.0	50
1.5	1.7	80.8	1.12	1.66	0	0	58	0.0	50
2.5	1.0	82.5	1.21	2.19	0	0	67	0.0	50
3.5	0.2	84.0	1.74	2.32	0	0	75	0.0	50
4.5	-0.1	85.0	2.37	2.29	0	0	83	0.0	50
5.5	0.0	85.3	2.99	2.17	0	0	92	0.0	50
6.5	0.0	85.8	3.46	2.0	0	0	100	0.0	50
7.5	0.1	85.5	3.3	1.68	0	0	98	0.0	50
8.5	0.2	85.3	2.97	1.45	0	38	96	0.0	50
9.5	0.8	82.6	2.63	1.23	56	93	94	0.0	50
10.5	1.3	80.6	2.41	0.97	85	135	92	0.0	50
11.5	1.6	79.6	2.38	0.77	7	146	90	0.0	50
12.5	1.9	78.5	2.83	0.65	29	138	88	0.0	50
13.5	2.0	80.1	2.76	1.41	7	119	90	0.0	50
14.5	1.8	84.0	2.54	1.78	0	50	92	0.0	50
15.5	1.3	89.1	2.48	1.87	0	15	94	0.0	50
16.5	1.1	90.2	2.43	1.76	0	0	96	0.0	50
17.5	0.8	93.6	2.4	1.62	0	0	98	0.0	50
18.5	0.9	92.8	2.47	1.32	0	0	100	0.0	50
19.5	1.0	92.1	2.5	1.01	0	0	100	0.0	50
20.5	0.8	94.0	2.6	0.0	0	0	100	0.0	50
21.5	0.7	95.0	2.23	-1.14	0	0	100	0.1	50
22.5	0.7	95.6	0.74	-2.28	0	0	100	0.0	50
23.5	0.4	97.4	0.0	-2.3	0	0	100	0.1	50
24.5	0.4	96.8	-0.34	-2.17	0	0	100	0.1	50
25.5	0.4	96.9	-0.65	-2.0	0	0	100	0.0	50
26.5	0.4	97.6	-0.75	-1.85	0	0	100	0.0	50
27.5	0.4	97.4	-0.89	-1.68	0	0	100	0.0	50
28.5	0.5	96.6	-0.9	-1.56	0	0	100	0.0	50
29.5	0.6	96.8	-1.02	-1.36	0	0	100	0.0	30
30.5	0.6	97.3	-1.2	-1.2	0	0	100	0.0	30
31.5	0.5	97.7	-1.36	-1.02	0	0	100	0.0	30
32.5	0.8	96.0	-1.7	-1.23	0	32	100	0.0	30
33.5	1.0	95.2	-2.33	-1.89	37	90	100	0.0	30
34.5	1.7	93.2	-3.09	-1.64	0	105	100	0.0	30
35.5	1.8	94.1	-3.24	-1.58	0	89	100	0.0	30
36.5	1.9	94.3	-2.97	-1.65	0	71	100	0.0	30
37.5	2.1	92.4	-2.7	-1.89	0	62	100	0.0	30
38.5	1.7	93.3	-2.34	-2.03	0	40	100	0.0	30
39.5	1.8	93.5	-1.94	-2.15	0	12	100	0.0	30
40.5	1.6	93.3	-1.51	-2.24	0	0	100	0.0	30
41.5	1.4	93.4	-1.22	-2.3	0	0	100	0.0	30
42.5	1.4	93.2	-0.9	-2.33	0	0	100	0.0	30
43.5	1.2	94.2	0.0	-2.5	0	0	100	0.0	30
44.5	1.0	95.0	1.7	-1.7	0	0	100	0.0	30
45.5	0.9	95.2	2.39	0.25	0	0	100	0.0	30
46.5	1.1	92.6	2.32	0.94	0	0	100	0.0	30
47.5	1.4	89.4	2.45	1.36	0	0	100	0.0	30
48.5	1.5	86.9	3.21	1.63	0	0	100	0.0	30
49.5	1.4	85.3	3.92	2.0	0	0	100	0.0	30
50.5	1.3	85.7	4.62	2.15	0	0	100	0.0	30
51.5	1.5	84.8	4.14	1.76	0	0	100	0.0	30
52.5	1.6	83.1	3.41	1.45	0	0	100	0.0	30
53.5	1.7	83.2	2.89	1.11	0	0	100	0.0	30
54.5	1.5	85.1	2.9	1.35	0	0	100	0.0	30
55.5	1.6	83.1	3.0	1.6	0	0	100	0.0	30
56.5	1.7	81.2	3.14	1.96	0	21	100	0.0	30
57.5	1.9	79.8	2.78	1.95	0	53	100	0.0	30
58.5	2.2	79.5	2.49	2.01	0	84	100	0.0	30
59.5	2.4	78.4	2.16	2.08	0	94	100	0.0	30
60.5	2.6	78.2	2.49	2.01	0	106	100	0.0	30
61.5	2.6	77.5	2.87	2.01	0	91	100	0.0	30
62.5	2.5	77.5	3.14	1.96	0	64	100	0.0	30
63.5	2.3	78.7	2.7	1.89	12	30	100	0.0	30
64.5	1.4	84.4	2.14	1.8	0	0	100	0.0	30
65.5	1.1	84.2	1.7	1.7	0	0	100	0.0	30
66.5	0.9	85.5	1.73	1.35	0	0	100	0.0	30
67.5	0.5	87.6	1.77	0.94	0	0	100	0.0	30
68.5	0.3	86.9	1.89	0.65	0	0	100	0.0	30
69.5	0.5	87.1	2.09	0.68	0	0	100	0.0	30
70.5	0.4	87.5	2.24	0.86	0	0	100	0.0	30
71.5	0.3	88.2	2.48	1.06	0	0	100	0.0	30
72.5	0.2	89.7	2.41	0.97	0	0	100	0.0	30
73.5	0.1	91.0	2.41	0.97	0	0	100	0.0	30
74.5	0.0	90.6	2.33	0.9	0	0	100	0.0	30
75.5	-0.1	91.1	2.19	0.23	0	0	100	0.0	30
76.5	-0.1	91.9	1.84	-0.49	0	0	100	0.0	30
77.5	0.0	91.6	1.51	-0.98	0	0	100	0.0	30
78.5	0.1	92.2	2.5	-0.13	0	0	100	0.0	30
79.5	0.2	90.1	3.25	0.99	0	0	100	0.0	30
80.5	0.3	88.5	3.65	1.86	0	20	100	0.0	30
81.5	0.5	87.1	3.14	1.96	0	50	100	0.0	30
82.5	0.7	87.5	3.88	2.07	0	88	100	0.0	30
83.5	1.0	88.4	3.86	3.02	4	136	100	0.0	30
84.5	1.2	86.5	4.5	2.81	5	128	100	0.0	30
85.5	1.4	85.4	3.86	2.5	0	96	100	0.0	30
86.5	1.4	85.8	3.2	2.24	0	51	100	0.0	30
87.5	1.5	86.4	3.39	2.65	0	24	100	0.0	30
88.5	1.4	87.6	3.85	3.35	0	0	100	0.0	30
89.5	1.4	88.3	3.4	2.95	0	0	100	0.0	30
90.5	1.4	88.0	3.41	1.89	0	0	100	0.0	30
91.5	1.3	88.5	3.3	1.68	0	0	100	0.0	30
92.5	1.2	88.6	3.17	1.91	0	0	100	0.2	30
