#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	4.3	93.8	0.61	0.51	0	0	50	0.0	14
0.5	4.3	93.8	0.61	0.51	0	0	50	0.0	14
1.5	3.8	94.8	0.5	0.0	0	0	58	0.0	14
2.5	3.6	95.4	0.3	0.0	0	0	67	0.1	14
3.5	3.4	95.9	1.27	1.27	0	0	75	0.9	14
4.5	3.5	96.2	0.67	0.22	0	0	83	0.3	14
5.5	3.7	96.1	0.64	0.64	0	0	92	0.1	14
6.5	3.9	96.0	1.24	1.16	0	0	100	0.0	14
7.5	4.1	95.9	1.42	1.11	0	0	100	0.0	14
8.5	4.3	96.0	1.38	1.71	0	16	100	0.2	14
9.5	4.6	95.9	1.6	0.82	0	20	100	0.8	14
10.5	4.9	96.1	1.87	1.17	0	39	100	0.1	14
11.5	5.2	95.2	2.16	0.79	0	61	100	0.0	14
12.5	5.6	94.4	2.78	1.12	0	66	100	0.0	14
13.5	6.1	93.5	2.08	1.87	0	76	88	0.0	14
14.5	6.3	92.1	2.01	1.31	0	58	75	0.0	14
15.5	5.9	94.5	0.64	0.64	0	21	62	0.0	14
16.5	4.7	97.1	0.71	0.36	0	0	50	0.0	14
17.5	3.4	99.6	0.94	0.57	0	0	38	0.0	14
18.5	3.6	96.9	1.94	1.57	0	0	25	0.0	14
19.5	3.8	95.1	2.02	1.64	0	0	31	0.0	14
20.5	4.3	92.9	1.98	1.98	0	0	38	0.0	14
21.5	5.1	87.2	3.47	2.71	0	0	44	0.0	14
22.5	5.3	85.3	3.85	3.35	0	0	50	0.0	14
23.5	5.7	81.9	4.59	3.21	0	0	56	0.0	14
24.5	5.8	82.1	5.49	3.3	0	0	62	0.0	14
25.5	5.5	85.6	5.16	2.86	0	0	69	0.1	14
26.5	5.3	87.4	4.37	2.22	0	0	75	0.0	14
27.5	5.2	88.7	5.68	3.55	0	0	81	0.0	14
28.5	5.6	86.0	4.87	3.67	0	0	88	0.0	14
29.5	6.0	82.1	4.58	3.71	0	0	94	0.0	14
30.5	6.1	80.2	4.4	2.15	0	0	100	0.0	14
31.5	6.1	82.3	3.8	3.55	0	0	98	0.0	14
32.5	6.7	79.8	3.99	3.01	0	35	96	0.0	14
33.5	7.2	77.5	3.17	1.91	0	76	94	0.0	14
34.5	8.2	75.4	2.92	2.28	41	127	92	0.0	14
35.5	9.1	73.6	4.15	2.21	27	142	90	0.0	14
36.5	10.3	69.9	5.2	1.79	354	138	88	0.0	14
37.5	10.5	69.7	5.92	1.48	142	125	90	0.0	14
