#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor
0.0	-2.5	83.4	-0.23	1.28	0	0
0.5	-2.5	83.4	-0.23	1.28	0	0
1.5	-3.3	80.3	0.43	1.12	0	0
2.5	-3.9	77.7	0.63	0.78	0	0
3.5	-4.5	74.0	0.82	0.57	0	0
4.5	-5.1	72.0	0.96	0.53	0	0
5.5	-5.5	70.1	0.88	0.66	0	0
6.5	-5.9	67.3	0.86	0.69	0	0
7.5	-6.0	65.6	0.83	0.72	0	0
8.5	-5.7	66.1	0.8	0.6	0	17
9.5	-5.8	73.8	0.71	0.71	0	33
10.5	-4.1	73.4	0.74	0.95	477	146
11.5	-1.8	64.4	0.69	0.98	742	84
12.5	-0.8	65.3	-1.4	-0.78	712	108
13.5	-0.2	68.7	-1.02	-0.41	702	71
14.5	-0.2	61.1	1.05	1.34	366	107
15.5	-2.6	66.0	0.62	0.32	0	16
16.5	-4.1	68.6	0.71	0.71	0	0
17.5	-4.8	70.0	0.83	0.72	0	0
18.5	-4.8	69.1	0.78	0.63	0	0
19.5	-4.8	63.1	0.85	0.53	0	0
20.5	-4.7	57.9	1.81	0.59	0	0
21.5	-4.6	67.7	1.74	1.17	0	0
22.5	-4.7	76.5	1.13	0.82	0	0
23.5	-4.1	75.7	0.8	0.0	0	0
24.5	-3.9	76.9	0.83	0.72	0	0
25.5	-3.3	77.4	0.42	-0.42	0	0
26.5	-2.5	75.5	0.64	0.64	0	0
27.5	-2.3	75.7	0.68	-0.17	0	0
28.5	-1.8	73.9	0.86	0.25	0	0
29.5	-1.8	74.4	0.49	-1.52	0	0
30.5	-2.7	78.6	0.82	0.37	0	0
31.5	-3.1	79.7	1.11	0.67	0	0
32.5	-2.9	80.0	1.03	0.62	0	15
33.5	-2.7	80.7	1.07	0.55	0	31
34.5	-0.3	70.3	0.83	0.72	484	131
35.5	1.5	65.5	-0.0	0.9	714	107
36.5	2.2	74.1	-1.24	-0.84	770	80
37.5	2.3	77.0	-1.62	-1.18	705	78
38.5	2.6	74.5	-1.38	-1.58	367	101
39.5	0.9	80.9	-0.45	-0.66	0	20
40.5	0.8	79.2	0.34	-0.5	0	0
41.5	0.6	79.1	-0.52	-1.3	0	0
42.5	0.3	81.6	-0.52	-0.86	0	0
43.5	0.4	82.3	0.48	0.12	0	0
44.5	0.3	81.9	0.97	0.7	0	0
45.5	-0.3	66.7	-1.56	-2.08	0	0
46.5	-0.8	65.5	-0.0	0.6	0	0
47.5	-1.7	61.6	0.57	-0.57	0	0
48.5	-3.4	54.3	0.36	0.18	0	0
49.5	-4.3	54.3	0.8	0.6	0	0
50.5	-4.9	41.5	1.13	0.82	0	0
51.5	-5.7	41.6	0.91	0.62	0	0
52.5	-6.2	41.5	0.97	0.87	0	0
53.5	-6.0	41.3	0.85	0.53	0	0
54.5	-6.3	48.6	0.91	0.41	0	0
55.5	-7.1	50.7	0.83	0.72	0	0
56.5	-7.0	54.2	0.89	0.8	0	19
57.5	-6.2	50.3	0.87	0.68	0	34
58.5	-5.1	47.1	-1.43	-0.73	482	137
59.5	-3.0	35.9	-1.91	-0.58	715	112
60.5	-1.3	32.2	0.45	0.89	742	102
61.5	-1.4	36.7	0.36	0.71	704	71
62.5	-1.8	36.3	-0.0	0.8	371	107
63.5	-4.1	48.0	0.71	0.71	0	17
64.5	-5.4	55.2	0.57	0.57	0	0
65.5	-6.3	60.3	0.76	0.66	0	0
66.5	-6.7	59.5	0.68	0.59	0	0
67.5	-7.2	62.1	0.71	0.71	0	0
68.5	-7.2	60.2	0.69	0.58	0	0
69.5	-7.6	60.3	0.61	0.51	0	0
70.5	-7.7	61.1	0.89	0.8	0	0
71.5	-7.7	61.4	0.85	0.85	0	0
72.5	-8.0	65.4	0.76	0.66	0	0
73.5	-7.8	64.0	0.71	0.71	0	0
74.5	-7.4	58.5	0.8	0.6	0	0
75.5	-7.3	63.0	0.85	0.85	0	0
76.5	-7.5	63.6	0.92	0.92	0	0
77.5	-6.9	60.0	0.85	0.85	0	0
78.5	-6.8	57.5	1.01	0.82	0	0
79.5	-6.3	54.3	0.99	0.99	0	0
80.5	-5.4	50.6	0.71	0.71	0	19
81.5	-4.4	47.3	1.17	1.09	0	32
82.5	-2.4	56.4	0.82	1.01	484	134
83.5	0.8	53.5	0.87	0.97	715	111
84.5	3.2	45.6	0.62	1.03	773	85
85.5	4.6	44.5	0.85	0.85	707	78
86.5	3.4	48.4	0.69	0.98	372	108
87.5	1.1	54.0	0.99	0.99	0	16
88.5	0.2	57.7	0.92	0.92	0	0
89.5	-0.5	61.2	1.12	1.0	0	0
90.5	-0.7	61.9	1.13	1.13	0	0
91.5	-0.1	59.5	0.8	0.6	0	0
92.5	-1.1	63.7	1.01	0.82	0	0
93.5	-1.6	64.4	1.13	0.82	0	0
94.5	-1.8	62.1	1.28	0.96	0	0
95.5	-2.2	61.0	1.12	1.0	0	0
96.5	-2.1	62.9	1.17	1.09	0	0
97.5	-1.9	60.7	1.09	0.88	0	0
98.5	-1.4	58.0	1.17	1.09	0	0
99.5	-1.5	57.9	1.36	0.85	0	0
100.5	-2.0	58.9	1.25	0.64	0	0
101.5	-2.5	62.9	1.13	0.82	0	0
102.5	-1.6	59.2	1.34	0.87	0	0
103.5	-1.7	59.1	1.13	1.13	0	0
104.5	-1.7	60.7	0.97	0.87	0	43
105.5	-0.7	58.5	1.17	0.94	0	78
106.5	0.4	56.7	0.81	0.59	193	136
107.5	2.3	51.9	1.06	1.06	550	121
108.5	4.5	45.4	1.0	1.12	713	107
109.5	5.4	34.3	1.61	1.5	733	74
110.5	4.2	36.6	1.23	1.32	377	117
111.5	1.5	47.4	0.8	0.6	0	18
112.5	0.1	53.4	0.96	0.53	0	0
113.5	-0.7	55.1	0.89	0.45	0	0
114.5	-1.4	55.9	1.05	0.76	0	0
115.5	-2.5	60.9	0.76	0.66	0	0
116.5	-2.9	59.9	0.8	0.89	0	0
117.5	-3.0	60.1	1.01	0.82	0	0
118.5	-2.8	53.2	1.31	0.92	0	0
119.5	-2.6	45.6	1.12	1.0	0	0
120.5	-2.4	48.7	0.85	0.53	0	0
121.5	-2.4	54.8	1.46	0.88	0	0
122.5	-0.9	59.5	1.29	0.16	0	0
123.5	0.4	58.0	1.5	0.0	0	0
124.5	0.5	62.0	0.8	0.0	0	0
125.5	0.7	63.3	1.36	1.02	0	0
126.5	0.4	68.2	2.06	0.4	0	0
127.5	1.3	72.9	1.58	0.64	0	0
128.5	1.8	79.4	0.59	0.09	0	47
129.5	2.5	76.3	-0.8	-1.27	0	174
130.5	4.7	69.2	0.5	0.5	631	84
131.5	3.7	68.5	-3.04	-3.04	715	105
132.5	3.8	70.5	-2.21	-1.72	715	120
133.5	4.4	67.7	-1.1	-0.0	688	87
134.5	4.6	62.7	0.18	0.57	377	109
135.5	2.5	60.6	0.4	0.3	0	18
136.5	0.6	69.2	0.8	0.6	0	0
137.5	-0.2	70.4	0.76	0.66	0	0
138.5	-0.7	71.2	0.95	0.74	0	0
139.5	-0.8	70.5	0.69	0.4	0	0
140.5	-1.4	70.4	0.66	0.45	0	0
141.5	-2.1	70.5	0.89	0.8	0	0
142.5	-2.2	68.5	0.64	0.48	0	0
143.5	-2.8	66.0	1.27	0.8	0	0
144.5	-2.5	66.0	0.66	0.45	0	0
145.5	-2.8	71.1	1.1	0.86	0	0
146.5	-2.8	74.6	0.78	0.78	0	0
147.5	-3.0	74.7	1.0	1.12	0	0
148.5	-3.2	75.4	0.89	0.8	0	0
149.5	-2.8	72.9	1.12	1.0	0	0
150.5	-2.5	72.7	0.94	1.04	0	0
151.5	-1.9	68.6	1.23	1.03	0	0
152.5	-1.5	68.0	1.04	0.94	0	19
153.5	-0.4	61.8	1.01	0.82	0	31
154.5	1.4	59.5	1.0	1.12	488	135
155.5	4.6	48.8	0.8	0.89	716	118
156.5	6.5	44.5	0.68	0.87	714	107
157.5	7.3	44.2	0.76	1.05	685	75
158.5	6.6	41.2	0.82	1.13	382	119
159.5	3.9	47.4	0.89	0.8	0	20
160.5	2.3	54.9	1.01	0.82	0	0
161.5	1.9	53.3	1.09	0.88	0	0
162.5	1.4	54.4	1.12	1.0	0	0
163.5	1.5	51.5	1.23	1.03	0	0
164.5	1.2	52.8	1.23	1.03	0	0
165.5	0.5	54.1	1.15	0.96	0	0
166.5	0.6	50.9	1.17	1.09	0	0
167.5	0.3	51.4	1.38	1.16	0	0
168.5	0.3	50.2	1.17	1.09	0	0
169.5	-0.4	53.4	1.12	1.0	0	0
170.5	-0.2	51.7	1.17	1.09	0	0
171.5	-0.8	53.2	1.3	1.09	0	0
172.5	-0.2	45.9	1.12	1.0	0	0
173.5	0.0	43.5	1.24	1.16	0	0
174.5	-0.6	48.4	1.17	1.09	0	0
175.5	0.2	47.8	1.24	1.16	0	0
176.5	-0.4	56.3	1.23	1.03	0	18
177.5	0.5	53.7	1.04	0.94	0	31
178.5	2.1	53.0	1.2	1.2	488	137
179.5	5.6	41.1	1.12	1.0	716	112
180.5	7.5	36.6	0.94	1.04	778	88
181.5	8.4	31.2	1.74	1.51	738	75
182.5	7.2	33.1	1.3	1.39	385	123
183.5	5.1	40.9	1.1	0.69	0	17
184.5	2.7	49.3	1.05	0.76	0	0
185.5	1.7	51.7	1.23	1.03	0	0
186.5	1.3	53.8	1.2	0.9	0	0
187.5	1.2	56.0	1.24	0.84	0	0
188.5	1.4	52.0	1.48	0.6	0	0
189.5	0.6	55.6	1.34	0.68	0	0
190.5	0.0	55.5	1.2	0.9	0	0
191.5	-0.7	57.0	1.21	0.88	0	0
192.5	-0.8	57.1	0.8	0.6	0	0
193.5	-0.6	57.6	1.14	0.63	0	0
194.5	0.0	55.2	0.71	0.71	0	0
195.5	-0.5	56.5	1.21	0.7	0	0
196.5	-0.6	57.6	1.21	0.7	0	0
197.5	-1.2	60.6	1.24	0.84	0	0
198.5	-1.0	59.9	1.19	0.74	0	0
199.5	-0.8	60.1	1.36	0.85	0	0
200.5	-0.5	59.6	1.1	0.69	0	52
201.5	0.5	58.8	0.8	0.89	0	121
202.5	2.5	55.5	0.59	0.68	251	125
203.5	4.3	52.1	0.59	0.68	190	162
204.5	5.9	50.0	0.53	0.85	563	104
205.5	6.5	42.9	0.92	1.31	686	77
206.5	5.5	45.6	1.09	1.3	387	114
207.5	3.2	53.1	0.89	0.8	0	22
208.5	1.7	61.4	0.97	0.87	0	0
209.5	0.7	66.6	1.01	0.82	0	0
210.5	0.5	65.8	1.12	1.0	0	0
211.5	0.3	66.0	0.97	0.87	0	0
212.5	0.5	63.6	1.01	0.82	0	0
213.5	0.4	62.4	1.12	1.0	0	0
214.5	0.3	60.1	0.97	0.87	0	0
215.5	0.6	58.2	1.12	1.0	0	0
216.5	0.6	59.9	1.12	1.0	0	0
217.5	-0.1	63.7	1.12	1.0	0	0
218.5	0.6	62.8	1.2	0.9	0	0
219.5	0.7	64.1	1.23	1.03	0	0
220.5	0.7	64.2	1.3	1.09	0	0
221.5	0.6	63.1	1.04	0.94	0	0
222.5	0.7	62.0	1.12	1.0	0	0
223.5	-0.2	63.9	0.99	0.99	0	0
224.5	0.0	59.2	1.23	1.03	0	17
225.5	0.8	52.7	1.24	1.16	0	30
226.5	2.8	50.2	1.24	1.16	491	138
227.5	5.7	44.3	0.94	1.04	717	115
