#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-5.4	75.3	0.97	0.7	0	0	50	0.0	80
0.5	-5.4	75.3	0.97	0.7	0	0	50	0.0	80
1.5	-7.0	71.3	0.73	0.68	0	0	56	0.0	80
2.5	-7.9	69.0	-0.33	-0.62	0	0	62	0.0	80
3.5	-8.9	66.8	0.53	0.73	0	0	69	0.0	80
4.5	-9.2	65.7	-0.93	-1.54	0	0	75	0.0	80
5.5	-9.2	67.1	-0.41	-0.8	0	0	81	0.0	80
6.5	-9.4	69.1	-0.61	-1.15	0	0	88	0.0	80
7.5	-9.5	70.2	0.59	-0.68	0	0	90	0.0	80
8.5	-10.4	73.8	0.39	-1.03	0	26	92	0.0	80
9.5	-8.9	68.5	-0.49	-0.76	0	162	94	0.0	80
10.5	-8.6	66.2	-1.15	-0.96	17	133	96	0.0	80
11.5	-7.8	69.7	-1.01	-1.61	12	165	98	0.0	80
12.5	-8.1	71.6	-1.94	-2.01	101	161	100	0.0	80
13.5	-7.8	72.9	-1.73	-1.67	480	98	90	0.0	80
14.5	-7.9	75.9	-1.73	-1.67	175	91	79	0.0	80
15.5	-8.8	80.5	-0.1	-1.1	0	28	69	0.0	80
16.5	-9.3	83.1	0.11	-1.3	0	0	58	0.0	80
17.5	-9.6	82.7	0.8	0.42	0	0	48	0.0	80
18.5	-9.5	74.6	0.7	0.72	0	0	38	0.0	80
19.5	-10.1	63.7	0.64	0.28	0	0	41	0.0	80
20.5	-10.4	63.8	0.9	-0.08	0	0	44	0.0	80
21.5	-10.8	64.3	0.72	0.7	0	0	47	0.0	80
22.5	-10.6	60.3	1.09	0.51	0	0	50	0.0	80
23.5	-10.2	60.2	0.91	0.42	0	0	53	0.0	80
24.5	-9.5	58.2	0.91	0.62	0	0	56	0.0	80
25.5	-9.1	58.1	0.61	0.51	0	0	59	0.0	80
26.5	-9.1	59.8	-0.65	-1.89	0	0	62	0.0	80
27.5	-9.5	66.3	-0.92	-1.31	0	0	66	0.0	80
28.5	-9.6	69.5	-0.53	-1.08	0	0	69	0.0	80
29.5	-9.9	72.8	-0.59	-1.16	0	0	72	0.0	80
30.5	-9.7	75.5	0.35	0.35	0	0	75	0.0	80
31.5	-9.6	77.7	0.0	-0.9	0	0	79	0.0	80
32.5	-9.4	81.9	0.16	0.58	0	21	83	0.1	80
33.5	-9.1	84.5	-0.43	-0.25	0	44	88	0.1	80
34.5	-8.7	82.8	0.49	0.76	0	88	92	0.1	80
35.5	-7.0	66.4	0.45	0.66	0	117	96	0.0	80
36.5	-7.6	71.5	-1.69	-0.15	0	96	100	0.0	80
37.5	-7.9	80.2	-1.09	-0.12	0	60	92	0.1	80
38.5	-7.9	76.4	0.74	0.67	0	65	83	0.0	80
39.5	-7.6	73.0	0.36	0.48	0	37	75	0.0	80
40.5	-7.8	68.7	0.37	-0.14	0	0	67	0.0	80
41.5	-8.4	66.8	0.24	-0.44	0	0	58	0.0	80
42.5	-9.1	68.3	-0.45	-1.11	0	0	50	0.0	80
43.5	-9.5	75.1	-0.12	-0.69	0	0	54	0.0	80
