#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-7.2	84.0	0.2	0.0	0	0	50	0.0	80
0.5	-7.2	84.0	0.2	0.0	0	0	50	0.0	80
1.5	-5.8	86.6	-0.5	-0.62	0	0	58	0.1	80
2.5	-4.9	87.9	0.28	0.42	0	0	67	0.0	80
3.5	-4.0	89.1	-0.72	-0.96	0	0	75	0.0	80
4.5	-3.6	89.9	-0.97	-0.87	0	0	83	0.0	80
5.5	-3.6	88.2	1.0	0.67	0	0	92	0.0	80
6.5	-3.6	86.1	0.0	-0.9	0	0	100	0.0	80
7.5	-3.6	83.0	-1.25	-1.43	0	0	100	0.0	80
8.5	-3.8	83.1	0.48	0.36	0	57	100	0.0	80
9.5	-3.0	71.4	-0.0	-0.1	0	146	100	0.0	80
10.5	-2.6	63.4	-1.51	-1.31	471	127	100	0.0	80
11.5	-2.9	59.8	-1.15	-0.96	27	158	100	0.0	80
12.5	-3.0	52.3	1.23	1.32	0	112	100	0.0	80
13.5	-3.9	60.2	-1.44	-1.66	0	83	100	0.0	80
14.5	-5.5	86.1	-1.7	-1.83	0	27	100	0.2	80
15.5	-5.0	70.9	1.16	1.38	0	20	100	0.0	80
16.5	-5.5	60.3	-0.82	-1.13	0	0	100	0.0	80
17.5	-6.2	58.9	0.5	-0.5	0	0	100	0.0	80
18.5	-5.7	50.1	0.57	0.18	0	0	100	0.0	80
19.5	-5.7	46.5	0.76	0.25	0	0	100	0.0	80
20.5	-5.9	41.8	1.66	1.44	0	0	100	0.0	80
21.5	-6.8	41.8	0.8	0.6	0	0	100	0.0	80
22.5	-6.7	38.7	0.67	1.0	0	0	100	0.0	80
23.5	-7.3	40.5	-0.32	0.62	0	0	100	0.0	80
24.5	-7.7	45.8	0.94	2.1	0	0	100	0.0	80
25.5	-8.0	50.4	1.38	1.58	0	0	100	0.0	80
26.5	-8.3	55.8	1.55	1.26	0	0	100	0.0	80
27.5	-8.6	59.6	0.77	1.52	0	0	100	0.0	80
28.5	-9.4	80.4	-2.19	-1.9	0	0	100	0.0	80
29.5	-9.5	79.3	-0.94	-0.57	0	0	100	0.0	80
30.5	-9.1	79.4	-0.86	-0.28	0	0	100	0.0	80
31.5	-9.0	79.2	-1.14	-0.63	0	0	98	0.3	80
